### STEP LINES ###
step 1 | loss -0.0098 | teacher-student gap -0.2414 | adv_clip 8.5% | ratio_clip lo 0.5% hi 0.0% | staleness 0.00 (max 0) | grad 5.817 | lr 1.00e-06 | tokens 683 | hint_drop 10.0% | sandbox_fail 0 | empty_eps 0
step 2 | loss 0.0006 | teacher-student gap -0.1667 | adv_clip 6.3% | ratio_clip lo 2.0% hi 0.7% | staleness 0.50 (max 1) | grad 3.419 | lr 1.00e-06 | tokens 1256 | hint_drop 20.0% | sandbox_fail 0 | empty_eps 0
step 3 | loss -0.0905 | teacher-student gap -0.1834 | adv_clip 6.9% | ratio_clip lo 0.1% hi 0.0% | staleness 0.98 (max 2) | grad 2.030 | lr 1.00e-06 | tokens 2331 | hint_drop 28.6% | sandbox_fail 0 | empty_eps 0
step 4 | loss -0.0549 | teacher-student gap -0.1410 | adv_clip 6.4% | ratio_clip lo 13.1% hi 3.7% | staleness 1.14 (max 2) | grad 2.165 | lr 1.00e-06 | tokens 1967 | hint_drop 50.0% | sandbox_fail 0 | empty_eps 0
step 5 | loss -0.0616 | teacher-student gap -0.1817 | adv_clip 9.0% | ratio_clip lo 7.7% hi 3.2% | staleness 1.12 (max 2) | grad 3.578 | lr 1.00e-06 | tokens 898 | hint_drop 64.2% | sandbox_fail 0 | empty_eps 0
step 6 | loss -0.0288 | teacher-student gap -0.1731 | adv_clip 7.3% | ratio_clip lo 9.1% hi 2.7% | staleness 1.17 (max 2) | grad 2.475 | lr 1.00e-06 | tokens 948 | hint_drop 69.8% | sandbox_fail 0 | empty_eps 0
step 7 | loss -0.0331 | teacher-student gap -0.2190 | adv_clip 10.9% | ratio_clip lo 0.0% hi 0.0% | staleness 1.21 (max 2) | grad 3.116 | lr 1.00e-06 | tokens 960 | hint_drop 81.4% | sandbox_fail 0 | empty_eps 0
step 8 | loss -0.0556 | teacher-student gap -0.2697 | adv_clip 10.5% | ratio_clip lo 0.0% hi 0.0% | staleness 1.22 (max 2) | grad 2.882 | lr 1.00e-06 | tokens 992 | hint_drop 82.9% | sandbox_fail 0 | empty_eps 0
step 9 | loss -0.0615 | teacher-student gap -0.1186 | adv_clip 5.5% | ratio_clip lo 0.1% hi 0.0% | staleness 1.26 (max 2) | grad 2.506 | lr 1.00e-06 | tokens 1106 | hint_drop 85.5% | sandbox_fail 0 | empty_eps 0
step 10 | loss 0.0270 | teacher-student gap -0.1044 | adv_clip 4.4% | ratio_clip lo 0.1% hi 0.0% | staleness 1.27 (max 2) | grad 2.130 | lr 1.00e-06 | tokens 1905 | hint_drop 93.1% | sandbox_fail 0 | empty_eps 0
step 11 | loss -0.0247 | teacher-student gap -0.1864 | adv_clip 6.7% | ratio_clip lo 8.4% hi 2.8% | staleness 1.26 (max 2) | grad 2.623 | lr 1.00e-06 | tokens 1107 | hint_drop 101.7% | sandbox_fail 0 | empty_eps 0
