mu	seed	ema_2655	ema_2680	ema_2690	ema_2720	first_ema_lt3.28	exit
0.94	0	3.28009	3.27840	3.27775	3.27609	2660	0
0.94	1	3.28153	3.27985	3.27923	3.27760	2680	0
0.94	2	3.28045	3.27877	3.27813	3.27643	2665	0
0.94	3	3.27812	3.27641	3.27578	3.27410	2635	0
0.94	4	3.28027	3.27859	3.27797	3.27623	2660	0
0.94	5	3.27822	3.27656	3.27592	3.27418	2635	0
0.94	6	3.28061	3.27894	3.27830	3.27662	2665	0
0.94	7	3.28038	3.27867	3.27806	3.27635	2665	0
# mean	-	3.27996	3.27827	3.27764	3.27595	2658.1	-
# margin=(3.28-mean)*sqrt(8)	-	0.00012	0.00488	0.00667	0.01146	-	-
