W0826 22:43:33.748000 2980 torch/distributed/run.py:852] 
W0826 22:43:33.748000 2980 torch/distributed/run.py:852] *****************************************
W0826 22:43:33.748000 2980 torch/distributed/run.py:852] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0826 22:43:33.748000 2980 torch/distributed/run.py:852] *****************************************
logs/4621ee5a-6965-443e-8d89-23635a3139c6.txt
step:0/3250 val_loss:10.82584 train_time:0.000s step_avg:nanms
step:1/3250 train_time:44.201s step_avg:44201.02ms
step:2/3250 train_time:44.338s step_avg:22168.95ms
step:3/3250 train_time:44.489s step_avg:14829.59ms
step:4/3250 train_time:44.641s step_avg:11160.18ms
step:5/3250 train_time:44.794s step_avg:8958.75ms
step:6/3250 train_time:44.946s step_avg:7491.02ms
step:7/3250 train_time:45.099s step_avg:6442.76ms
step:8/3250 train_time:45.253s step_avg:5656.61ms
step:9/3250 train_time:45.406s step_avg:5045.14ms
step:10/3250 train_time:45.561s step_avg:4556.05ms
step:11/3250 train_time:45.714s step_avg:4155.83ms
step:12/3250 train_time:45.867s step_avg:3822.21ms
step:13/3250 train_time:46.020s step_avg:3540.00ms
step:14/3250 train_time:46.173s step_avg:3298.08ms
step:15/3250 train_time:46.326s step_avg:3088.39ms
step:16/3250 train_time:46.480s step_avg:2905.03ms
step:17/3250 train_time:46.634s step_avg:2743.18ms
step:18/3250 train_time:46.787s step_avg:2599.31ms
step:19/3250 train_time:46.941s step_avg:2470.58ms
step:20/3250 train_time:47.095s step_avg:2354.76ms
step:21/3250 train_time:47.247s step_avg:2249.88ms
step:22/3250 train_time:47.402s step_avg:2154.65ms
step:23/3250 train_time:47.557s step_avg:2067.67ms
step:24/3250 train_time:47.709s step_avg:1987.88ms
step:25/3250 train_time:47.863s step_avg:1914.51ms
step:26/3250 train_time:48.016s step_avg:1846.75ms
step:27/3250 train_time:48.169s step_avg:1784.05ms
step:28/3250 train_time:48.323s step_avg:1725.81ms
step:29/3250 train_time:48.477s step_avg:1671.63ms
step:30/3250 train_time:48.631s step_avg:1621.03ms
step:31/3250 train_time:48.786s step_avg:1573.73ms
step:32/3250 train_time:48.939s step_avg:1529.35ms
step:33/3250 train_time:49.095s step_avg:1487.72ms
step:34/3250 train_time:49.248s step_avg:1448.48ms
step:35/3250 train_time:49.402s step_avg:1411.49ms
step:36/3250 train_time:49.556s step_avg:1376.55ms
step:37/3250 train_time:49.709s step_avg:1343.48ms
step:38/3250 train_time:49.862s step_avg:1312.16ms
step:39/3250 train_time:50.017s step_avg:1282.49ms
step:40/3250 train_time:50.170s step_avg:1254.26ms
step:41/3250 train_time:50.324s step_avg:1227.43ms
step:42/3250 train_time:50.480s step_avg:1201.91ms
step:43/3250 train_time:50.633s step_avg:1177.51ms
step:44/3250 train_time:50.786s step_avg:1154.22ms
step:45/3250 train_time:50.940s step_avg:1131.99ms
step:46/3250 train_time:51.094s step_avg:1110.75ms
step:47/3250 train_time:51.248s step_avg:1090.38ms
step:48/3250 train_time:51.403s step_avg:1070.90ms
step:49/3250 train_time:51.558s step_avg:1052.21ms
step:50/3250 train_time:51.711s step_avg:1034.22ms
step:51/3250 train_time:51.864s step_avg:1016.94ms
step:52/3250 train_time:52.020s step_avg:1000.38ms
step:53/3250 train_time:52.174s step_avg:984.42ms
step:54/3250 train_time:52.327s step_avg:969.03ms
step:55/3250 train_time:52.482s step_avg:954.21ms
step:56/3250 train_time:52.635s step_avg:939.92ms
step:57/3250 train_time:52.789s step_avg:926.11ms
step:58/3250 train_time:52.942s step_avg:912.79ms
step:59/3250 train_time:53.097s step_avg:899.94ms
step:60/3250 train_time:53.249s step_avg:887.49ms
step:61/3250 train_time:53.403s step_avg:875.47ms
step:62/3250 train_time:53.558s step_avg:863.84ms
step:63/3250 train_time:53.712s step_avg:852.57ms
step:64/3250 train_time:53.865s step_avg:841.64ms
step:65/3250 train_time:54.021s step_avg:831.10ms
step:66/3250 train_time:54.175s step_avg:820.84ms
step:67/3250 train_time:54.329s step_avg:810.88ms
step:68/3250 train_time:54.484s step_avg:801.24ms
step:69/3250 train_time:54.639s step_avg:791.87ms
step:70/3250 train_time:54.794s step_avg:782.78ms
step:71/3250 train_time:54.947s step_avg:773.91ms
step:72/3250 train_time:55.102s step_avg:765.30ms
step:73/3250 train_time:55.257s step_avg:756.94ms
step:74/3250 train_time:55.410s step_avg:748.79ms
step:75/3250 train_time:55.563s step_avg:740.84ms
step:76/3250 train_time:55.719s step_avg:733.14ms
step:77/3250 train_time:55.874s step_avg:725.64ms
step:78/3250 train_time:56.027s step_avg:718.30ms
step:79/3250 train_time:56.182s step_avg:711.16ms
step:80/3250 train_time:56.335s step_avg:704.19ms
step:81/3250 train_time:56.489s step_avg:697.40ms
step:82/3250 train_time:56.642s step_avg:690.76ms
step:83/3250 train_time:56.797s step_avg:684.30ms
step:84/3250 train_time:56.951s step_avg:677.98ms
step:85/3250 train_time:57.105s step_avg:671.82ms
step:86/3250 train_time:57.259s step_avg:665.80ms
step:87/3250 train_time:57.413s step_avg:659.92ms
step:88/3250 train_time:57.566s step_avg:654.16ms
step:89/3250 train_time:57.720s step_avg:648.54ms
