W0826 22:55:23.853000 7547 torch/distributed/run.py:852] 
W0826 22:55:23.853000 7547 torch/distributed/run.py:852] *****************************************
W0826 22:55:23.853000 7547 torch/distributed/run.py:852] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0826 22:55:23.853000 7547 torch/distributed/run.py:852] *****************************************
logs/a16b7b84-b8f8-4c62-8be8-6180e3d1d776.txt
step:0/3250 val_loss:10.82584 train_time:0.000s step_avg:nanms
step:1/3250 train_time:9.310s step_avg:9309.88ms
step:2/3250 train_time:9.445s step_avg:4722.29ms
step:3/3250 train_time:9.598s step_avg:3199.38ms
step:4/3250 train_time:9.751s step_avg:2437.85ms
step:5/3250 train_time:9.904s step_avg:1980.80ms
step:6/3250 train_time:10.058s step_avg:1676.32ms
step:7/3250 train_time:10.213s step_avg:1458.95ms
step:8/3250 train_time:10.367s step_avg:1295.84ms
step:9/3250 train_time:10.522s step_avg:1169.13ms
step:10/3250 train_time:10.679s step_avg:1067.87ms
step:11/3250 train_time:10.833s step_avg:984.86ms
step:12/3250 train_time:10.988s step_avg:915.67ms
step:13/3250 train_time:11.142s step_avg:857.09ms
step:14/3250 train_time:11.297s step_avg:806.92ms
step:15/3250 train_time:11.451s step_avg:763.42ms
step:16/3250 train_time:11.606s step_avg:725.39ms
step:17/3250 train_time:11.762s step_avg:691.88ms
step:18/3250 train_time:11.918s step_avg:662.11ms
step:19/3250 train_time:12.074s step_avg:635.45ms
step:20/3250 train_time:12.227s step_avg:611.36ms
step:21/3250 train_time:12.381s step_avg:589.58ms
step:22/3250 train_time:12.537s step_avg:569.88ms
step:23/3250 train_time:12.692s step_avg:551.81ms
step:24/3250 train_time:12.845s step_avg:535.23ms
step:25/3250 train_time:13.000s step_avg:519.98ms
step:26/3250 train_time:13.154s step_avg:505.93ms
step:27/3250 train_time:13.310s step_avg:492.97ms
step:28/3250 train_time:13.464s step_avg:480.85ms
step:29/3250 train_time:13.620s step_avg:469.65ms
