W0826 23:06:24.552000 10017 torch/distributed/run.py:852] 
W0826 23:06:24.552000 10017 torch/distributed/run.py:852] *****************************************
W0826 23:06:24.552000 10017 torch/distributed/run.py:852] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0826 23:06:24.552000 10017 torch/distributed/run.py:852] *****************************************
logs/f774cd28-5c5e-469f-9510-3c8dcc23f779.txt
step:0/3250 val_loss:10.82584 train_time:0.000s step_avg:nanms
step:1/3250 train_time:9.702s step_avg:9702.49ms
step:2/3250 train_time:9.839s step_avg:4919.44ms
step:3/3250 train_time:9.990s step_avg:3330.07ms
step:4/3250 train_time:10.143s step_avg:2535.78ms
step:5/3250 train_time:10.298s step_avg:2059.50ms
step:6/3250 train_time:10.451s step_avg:1741.81ms
step:7/3250 train_time:10.605s step_avg:1515.03ms
step:8/3250 train_time:10.760s step_avg:1345.06ms
step:9/3250 train_time:10.915s step_avg:1212.77ms
step:10/3250 train_time:11.069s step_avg:1106.94ms
step:11/3250 train_time:11.225s step_avg:1020.44ms
step:12/3250 train_time:11.379s step_avg:948.21ms
step:13/3250 train_time:11.532s step_avg:887.05ms
step:14/3250 train_time:11.687s step_avg:834.76ms
step:15/3250 train_time:11.841s step_avg:789.42ms
step:16/3250 train_time:11.995s step_avg:749.72ms
step:17/3250 train_time:12.150s step_avg:714.68ms
step:18/3250 train_time:12.305s step_avg:683.61ms
step:19/3250 train_time:12.461s step_avg:655.82ms
step:20/3250 train_time:12.614s step_avg:630.69ms
step:21/3250 train_time:12.769s step_avg:608.05ms
step:22/3250 train_time:12.923s step_avg:587.41ms
step:23/3250 train_time:13.078s step_avg:568.60ms
step:24/3250 train_time:13.232s step_avg:551.32ms
step:25/3250 train_time:13.388s step_avg:535.52ms
step:26/3250 train_time:13.545s step_avg:520.97ms
step:27/3250 train_time:13.700s step_avg:507.43ms
step:28/3250 train_time:13.855s step_avg:494.82ms
step:29/3250 train_time:14.009s step_avg:483.08ms
step:30/3250 train_time:14.164s step_avg:472.13ms
step:31/3250 train_time:14.318s step_avg:461.88ms
step:32/3250 train_time:14.472s step_avg:452.26ms
step:33/3250 train_time:14.627s step_avg:443.26ms
step:34/3250 train_time:14.784s step_avg:434.82ms
step:35/3250 train_time:14.939s step_avg:426.82ms
step:36/3250 train_time:15.094s step_avg:419.28ms
step:37/3250 train_time:15.249s step_avg:412.13ms
step:38/3250 train_time:15.404s step_avg:405.36ms
step:39/3250 train_time:15.558s step_avg:398.93ms
step:40/3250 train_time:15.711s step_avg:392.78ms
step:41/3250 train_time:15.867s step_avg:387.00ms
step:42/3250 train_time:16.024s step_avg:381.52ms
step:43/3250 train_time:16.180s step_avg:376.27ms
step:44/3250 train_time:16.333s step_avg:371.20ms
step:45/3250 train_time:16.487s step_avg:366.38ms
step:46/3250 train_time:16.641s step_avg:361.77ms
step:47/3250 train_time:16.795s step_avg:357.35ms
step:48/3250 train_time:16.950s step_avg:353.11ms
step:49/3250 train_time:17.107s step_avg:349.11ms
step:50/3250 train_time:17.262s step_avg:345.24ms
step:51/3250 train_time:17.417s step_avg:341.51ms
step:52/3250 train_time:17.571s step_avg:337.91ms
step:53/3250 train_time:17.726s step_avg:334.45ms
step:54/3250 train_time:17.881s step_avg:331.12ms
step:55/3250 train_time:18.034s step_avg:327.90ms
step:56/3250 train_time:18.188s step_avg:324.79ms
step:57/3250 train_time:18.344s step_avg:321.83ms
step:58/3250 train_time:18.499s step_avg:318.96ms
step:59/3250 train_time:18.653s step_avg:316.15ms
step:60/3250 train_time:18.808s step_avg:313.46ms
step:61/3250 train_time:18.963s step_avg:310.86ms
step:62/3250 train_time:19.117s step_avg:308.33ms
step:63/3250 train_time:19.270s step_avg:305.88ms
step:64/3250 train_time:19.426s step_avg:303.52ms
step:65/3250 train_time:19.583s step_avg:301.27ms
step:66/3250 train_time:19.738s step_avg:299.05ms
step:67/3250 train_time:19.892s step_avg:296.89ms
step:68/3250 train_time:20.047s step_avg:294.80ms
step:69/3250 train_time:20.202s step_avg:292.79ms
step:70/3250 train_time:20.356s step_avg:290.80ms
step:71/3250 train_time:20.510s step_avg:288.87ms
step:72/3250 train_time:20.666s step_avg:287.03ms
step:73/3250 train_time:20.821s step_avg:285.22ms
step:74/3250 train_time:20.975s step_avg:283.44ms
step:75/3250 train_time:21.129s step_avg:281.72ms
step:76/3250 train_time:21.287s step_avg:280.09ms
step:77/3250 train_time:21.442s step_avg:278.47ms
step:78/3250 train_time:21.596s step_avg:276.87ms
step:79/3250 train_time:21.750s step_avg:275.31ms
step:80/3250 train_time:21.908s step_avg:273.84ms
step:81/3250 train_time:22.063s step_avg:272.38ms
step:82/3250 train_time:22.217s step_avg:270.94ms
step:83/3250 train_time:22.371s step_avg:269.54ms
step:84/3250 train_time:22.526s step_avg:268.16ms
step:85/3250 train_time:22.680s step_avg:266.82ms
step:86/3250 train_time:22.833s step_avg:265.50ms
step:87/3250 train_time:22.987s step_avg:264.22ms
step:88/3250 train_time:23.142s step_avg:262.98ms
step:89/3250 train_time:23.299s step_avg:261.79ms
step:90/3250 train_time:23.453s step_avg:260.59ms
step:91/3250 train_time:23.609s step_avg:259.43ms
step:92/3250 train_time:23.763s step_avg:258.29ms
step:93/3250 train_time:23.917s step_avg:257.18ms
step:94/3250 train_time:24.071s step_avg:256.08ms
step:95/3250 train_time:24.226s step_avg:255.02ms
step:96/3250 train_time:24.382s step_avg:253.98ms
step:97/3250 train_time:24.536s step_avg:252.95ms
step:98/3250 train_time:24.692s step_avg:251.95ms
step:99/3250 train_time:24.846s step_avg:250.97ms
step:100/3250 train_time:25.001s step_avg:250.01ms
step:101/3250 train_time:25.154s step_avg:249.05ms
step:102/3250 train_time:25.308s step_avg:248.12ms
step:103/3250 train_time:25.463s step_avg:247.22ms
step:104/3250 train_time:25.618s step_avg:246.33ms
step:105/3250 train_time:25.772s step_avg:245.45ms
step:106/3250 train_time:25.926s step_avg:244.59ms
