W0826 23:17:24.631000 12515 torch/distributed/run.py:852] 
W0826 23:17:24.631000 12515 torch/distributed/run.py:852] *****************************************
W0826 23:17:24.631000 12515 torch/distributed/run.py:852] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0826 23:17:24.631000 12515 torch/distributed/run.py:852] *****************************************
logs/5afb2e92-d3d7-4ebf-979f-cfe72245dbab.txt
step:0/3250 val_loss:10.82584 train_time:0.000s step_avg:nanms
step:1/3250 train_time:9.594s step_avg:9594.30ms
step:2/3250 train_time:9.729s step_avg:4864.59ms
step:3/3250 train_time:9.881s step_avg:3293.69ms
step:4/3250 train_time:10.035s step_avg:2508.87ms
step:5/3250 train_time:10.189s step_avg:2037.87ms
step:6/3250 train_time:10.343s step_avg:1723.79ms
step:7/3250 train_time:10.496s step_avg:1499.44ms
step:8/3250 train_time:10.652s step_avg:1331.46ms
step:9/3250 train_time:10.805s step_avg:1200.55ms
step:10/3250 train_time:10.960s step_avg:1095.96ms
step:11/3250 train_time:11.114s step_avg:1010.38ms
step:12/3250 train_time:11.270s step_avg:939.15ms
step:13/3250 train_time:11.423s step_avg:878.66ms
step:14/3250 train_time:11.577s step_avg:826.94ms
step:15/3250 train_time:11.732s step_avg:782.14ms
step:16/3250 train_time:11.886s step_avg:742.88ms
step:17/3250 train_time:12.041s step_avg:708.27ms
step:18/3250 train_time:12.195s step_avg:677.52ms
step:19/3250 train_time:12.350s step_avg:650.01ms
step:20/3250 train_time:12.504s step_avg:625.22ms
step:21/3250 train_time:12.660s step_avg:602.85ms
step:22/3250 train_time:12.815s step_avg:582.51ms
step:23/3250 train_time:12.970s step_avg:563.91ms
step:24/3250 train_time:13.123s step_avg:546.80ms
step:25/3250 train_time:13.278s step_avg:531.12ms
step:26/3250 train_time:13.435s step_avg:516.74ms
step:27/3250 train_time:13.591s step_avg:503.36ms
step:28/3250 train_time:13.745s step_avg:490.88ms
step:29/3250 train_time:13.900s step_avg:479.29ms
step:30/3250 train_time:14.055s step_avg:468.51ms
step:31/3250 train_time:14.209s step_avg:458.36ms
step:32/3250 train_time:14.363s step_avg:448.85ms
step:33/3250 train_time:14.520s step_avg:439.99ms
step:34/3250 train_time:14.675s step_avg:431.60ms
step:35/3250 train_time:14.829s step_avg:423.68ms
step:36/3250 train_time:14.983s step_avg:416.19ms
step:37/3250 train_time:15.141s step_avg:409.21ms
step:38/3250 train_time:15.296s step_avg:402.52ms
step:39/3250 train_time:15.451s step_avg:396.18ms
step:40/3250 train_time:15.604s step_avg:390.11ms
step:41/3250 train_time:15.759s step_avg:384.37ms
step:42/3250 train_time:15.914s step_avg:378.91ms
step:43/3250 train_time:16.070s step_avg:373.71ms
step:44/3250 train_time:16.223s step_avg:368.70ms
step:45/3250 train_time:16.378s step_avg:363.96ms
step:46/3250 train_time:16.533s step_avg:359.42ms
step:47/3250 train_time:16.687s step_avg:355.04ms
step:48/3250 train_time:16.841s step_avg:350.85ms
step:49/3250 train_time:16.995s step_avg:346.83ms
step:50/3250 train_time:17.150s step_avg:342.99ms
step:51/3250 train_time:17.304s step_avg:339.29ms
step:52/3250 train_time:17.459s step_avg:335.74ms
step:53/3250 train_time:17.614s step_avg:332.34ms
step:54/3250 train_time:17.769s step_avg:329.05ms
step:55/3250 train_time:17.922s step_avg:325.85ms
step:56/3250 train_time:18.078s step_avg:322.82ms
step:57/3250 train_time:18.233s step_avg:319.88ms
step:58/3250 train_time:18.388s step_avg:317.03ms
step:59/3250 train_time:18.543s step_avg:314.28ms
step:60/3250 train_time:18.698s step_avg:311.63ms
step:61/3250 train_time:18.853s step_avg:309.06ms
step:62/3250 train_time:19.006s step_avg:306.54ms
step:63/3250 train_time:19.159s step_avg:304.12ms
step:64/3250 train_time:19.316s step_avg:301.81ms
step:65/3250 train_time:19.471s step_avg:299.55ms
step:66/3250 train_time:19.624s step_avg:297.34ms
step:67/3250 train_time:19.779s step_avg:295.20ms
step:68/3250 train_time:19.934s step_avg:293.14ms
step:69/3250 train_time:20.088s step_avg:291.13ms
step:70/3250 train_time:20.242s step_avg:289.17ms
step:71/3250 train_time:20.397s step_avg:287.28ms
step:72/3250 train_time:20.551s step_avg:285.43ms
step:73/3250 train_time:20.704s step_avg:283.62ms
step:74/3250 train_time:20.860s step_avg:281.89ms
step:75/3250 train_time:21.017s step_avg:280.22ms
step:76/3250 train_time:21.172s step_avg:278.57ms
step:77/3250 train_time:21.326s step_avg:276.96ms
step:78/3250 train_time:21.480s step_avg:275.38ms
step:79/3250 train_time:21.637s step_avg:273.88ms
step:80/3250 train_time:21.792s step_avg:272.40ms
step:81/3250 train_time:21.945s step_avg:270.93ms
step:82/3250 train_time:22.099s step_avg:269.50ms
step:83/3250 train_time:22.255s step_avg:268.13ms
step:84/3250 train_time:22.410s step_avg:266.78ms
step:85/3250 train_time:22.563s step_avg:265.45ms
step:86/3250 train_time:22.718s step_avg:264.17ms
step:87/3250 train_time:22.873s step_avg:262.91ms
step:88/3250 train_time:23.027s step_avg:261.67ms
step:89/3250 train_time:23.180s step_avg:260.45ms
step:90/3250 train_time:23.336s step_avg:259.29ms
step:91/3250 train_time:23.491s step_avg:258.14ms
step:92/3250 train_time:23.644s step_avg:257.00ms
step:93/3250 train_time:23.798s step_avg:255.90ms
step:94/3250 train_time:23.953s step_avg:254.81ms
step:95/3250 train_time:24.106s step_avg:253.75ms
step:96/3250 train_time:24.260s step_avg:252.71ms
step:97/3250 train_time:24.415s step_avg:251.70ms
step:98/3250 train_time:24.570s step_avg:250.72ms
step:99/3250 train_time:24.723s step_avg:249.73ms
step:100/3250 train_time:24.878s step_avg:248.78ms
step:101/3250 train_time:25.033s step_avg:247.85ms
step:102/3250 train_time:25.186s step_avg:246.92ms
step:103/3250 train_time:25.340s step_avg:246.02ms
step:104/3250 train_time:25.496s step_avg:245.16ms
step:105/3250 train_time:25.651s step_avg:244.29ms
step:106/3250 train_time:25.805s step_avg:243.44ms
step:107/3250 train_time:25.960s step_avg:242.61ms
step:108/3250 train_time:26.115s step_avg:241.81ms
step:109/3250 train_time:26.270s step_avg:241.01ms
step:110/3250 train_time:26.423s step_avg:240.21ms
step:111/3250 train_time:26.578s step_avg:239.44ms
step:112/3250 train_time:26.736s step_avg:238.71ms
step:113/3250 train_time:26.891s step_avg:237.97ms
step:114/3250 train_time:27.044s step_avg:237.23ms
step:115/3250 train_time:27.200s step_avg:236.52ms
step:116/3250 train_time:27.355s step_avg:235.82ms
step:117/3250 train_time:27.510s step_avg:235.13ms
step:118/3250 train_time:27.663s step_avg:234.43ms
step:119/3250 train_time:27.819s step_avg:233.77ms
step:120/3250 train_time:27.973s step_avg:233.11ms
