W0826 22:43:45.065000 3527 torch/distributed/run.py:852] 
W0826 22:43:45.065000 3527 torch/distributed/run.py:852] *****************************************
W0826 22:43:45.065000 3527 torch/distributed/run.py:852] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0826 22:43:45.065000 3527 torch/distributed/run.py:852] *****************************************
logs/618a8721-f00d-4476-83ab-cf668b55695f.txt
step:0/3250 val_loss:10.82584 train_time:0.000s step_avg:nanms
step:1/3250 train_time:45.318s step_avg:45318.08ms
step:2/3250 train_time:45.452s step_avg:22725.85ms
step:3/3250 train_time:45.602s step_avg:15200.81ms
step:4/3250 train_time:45.756s step_avg:11438.90ms
step:5/3250 train_time:45.907s step_avg:9181.44ms
step:6/3250 train_time:46.059s step_avg:7676.43ms
step:7/3250 train_time:46.211s step_avg:6601.51ms
step:8/3250 train_time:46.363s step_avg:5795.32ms
step:9/3250 train_time:46.515s step_avg:5168.33ms
step:10/3250 train_time:46.667s step_avg:4666.66ms
step:11/3250 train_time:46.819s step_avg:4256.28ms
step:12/3250 train_time:46.971s step_avg:3914.26ms
step:13/3250 train_time:47.123s step_avg:3624.82ms
step:14/3250 train_time:47.275s step_avg:3376.80ms
step:15/3250 train_time:47.428s step_avg:3161.85ms
step:16/3250 train_time:47.579s step_avg:2973.70ms
step:17/3250 train_time:47.733s step_avg:2807.83ms
step:18/3250 train_time:47.886s step_avg:2660.31ms
step:19/3250 train_time:48.039s step_avg:2528.34ms
step:20/3250 train_time:48.190s step_avg:2409.52ms
step:21/3250 train_time:48.343s step_avg:2302.05ms
step:22/3250 train_time:48.495s step_avg:2204.33ms
step:23/3250 train_time:48.647s step_avg:2115.09ms
step:24/3250 train_time:48.799s step_avg:2033.27ms
step:25/3250 train_time:48.951s step_avg:1958.04ms
step:26/3250 train_time:49.103s step_avg:1888.56ms
step:27/3250 train_time:49.255s step_avg:1824.27ms
step:28/3250 train_time:49.408s step_avg:1764.56ms
step:29/3250 train_time:49.559s step_avg:1708.93ms
step:30/3250 train_time:49.712s step_avg:1657.07ms
step:31/3250 train_time:49.864s step_avg:1608.51ms
step:32/3250 train_time:50.017s step_avg:1563.03ms
step:33/3250 train_time:50.169s step_avg:1520.27ms
step:34/3250 train_time:50.321s step_avg:1480.03ms
step:35/3250 train_time:50.476s step_avg:1442.16ms
step:36/3250 train_time:50.628s step_avg:1406.34ms
step:37/3250 train_time:50.781s step_avg:1372.45ms
step:38/3250 train_time:50.934s step_avg:1340.36ms
step:39/3250 train_time:51.085s step_avg:1309.88ms
step:40/3250 train_time:51.238s step_avg:1280.94ms
step:41/3250 train_time:51.389s step_avg:1253.39ms
step:42/3250 train_time:51.541s step_avg:1227.17ms
step:43/3250 train_time:51.694s step_avg:1202.19ms
step:44/3250 train_time:51.847s step_avg:1178.34ms
step:45/3250 train_time:52.000s step_avg:1155.55ms
step:46/3250 train_time:52.153s step_avg:1133.76ms
step:47/3250 train_time:52.304s step_avg:1112.85ms
step:48/3250 train_time:52.457s step_avg:1092.86ms
step:49/3250 train_time:52.610s step_avg:1073.66ms
step:50/3250 train_time:52.761s step_avg:1055.22ms
step:51/3250 train_time:52.914s step_avg:1037.53ms
step:52/3250 train_time:53.067s step_avg:1020.52ms
step:53/3250 train_time:53.220s step_avg:1004.15ms
step:54/3250 train_time:53.373s step_avg:988.39ms
step:55/3250 train_time:53.526s step_avg:973.20ms
step:56/3250 train_time:53.678s step_avg:958.54ms
step:57/3250 train_time:53.831s step_avg:944.40ms
step:58/3250 train_time:53.982s step_avg:930.73ms
step:59/3250 train_time:54.138s step_avg:917.60ms
step:60/3250 train_time:54.291s step_avg:904.85ms
