W0826 22:55:30.524000 8039 torch/distributed/run.py:852] 
W0826 22:55:30.524000 8039 torch/distributed/run.py:852] *****************************************
W0826 22:55:30.524000 8039 torch/distributed/run.py:852] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0826 22:55:30.524000 8039 torch/distributed/run.py:852] *****************************************
logs/7fef94f6-3f11-4a38-81ba-e48ff4a2973f.txt
step:0/3250 val_loss:10.82584 train_time:0.000s step_avg:nanms
step:1/3250 train_time:9.997s step_avg:9997.06ms
step:2/3250 train_time:10.129s step_avg:5064.65ms
step:3/3250 train_time:10.280s step_avg:3426.82ms
step:4/3250 train_time:10.432s step_avg:2608.12ms
step:5/3250 train_time:10.588s step_avg:2117.67ms
step:6/3250 train_time:10.741s step_avg:1790.25ms
step:7/3250 train_time:10.893s step_avg:1556.16ms
step:8/3250 train_time:11.047s step_avg:1380.84ms
step:9/3250 train_time:11.199s step_avg:1244.38ms
step:10/3250 train_time:11.351s step_avg:1135.13ms
step:11/3250 train_time:11.505s step_avg:1045.88ms
step:12/3250 train_time:11.657s step_avg:971.45ms
step:13/3250 train_time:11.810s step_avg:908.43ms
step:14/3250 train_time:11.963s step_avg:854.49ms
step:15/3250 train_time:12.117s step_avg:807.80ms
step:16/3250 train_time:12.270s step_avg:766.87ms
step:17/3250 train_time:12.424s step_avg:730.81ms
step:18/3250 train_time:12.578s step_avg:698.77ms
step:19/3250 train_time:12.730s step_avg:670.01ms
step:20/3250 train_time:12.884s step_avg:644.21ms
step:21/3250 train_time:13.038s step_avg:620.84ms
step:22/3250 train_time:13.190s step_avg:599.57ms
step:23/3250 train_time:13.344s step_avg:580.18ms
step:24/3250 train_time:13.496s step_avg:562.34ms
step:25/3250 train_time:13.648s step_avg:545.94ms
step:26/3250 train_time:13.802s step_avg:530.85ms
step:27/3250 train_time:13.955s step_avg:516.86ms
step:28/3250 train_time:14.108s step_avg:503.85ms
step:29/3250 train_time:14.262s step_avg:491.80ms
step:30/3250 train_time:14.416s step_avg:480.52ms
step:31/3250 train_time:14.569s step_avg:469.96ms
step:32/3250 train_time:14.721s step_avg:460.04ms
step:33/3250 train_time:14.874s step_avg:450.73ms
step:34/3250 train_time:15.027s step_avg:441.98ms
step:35/3250 train_time:15.181s step_avg:433.75ms
step:36/3250 train_time:15.334s step_avg:425.93ms
step:37/3250 train_time:15.487s step_avg:418.57ms
step:38/3250 train_time:15.642s step_avg:411.63ms
step:39/3250 train_time:15.795s step_avg:405.00ms
step:40/3250 train_time:15.948s step_avg:398.70ms
step:41/3250 train_time:16.102s step_avg:392.72ms
step:42/3250 train_time:16.255s step_avg:387.02ms
step:43/3250 train_time:16.408s step_avg:381.58ms
step:44/3250 train_time:16.561s step_avg:376.39ms
step:45/3250 train_time:16.714s step_avg:371.43ms
step:46/3250 train_time:16.867s step_avg:366.68ms
step:47/3250 train_time:17.021s step_avg:362.14ms
step:48/3250 train_time:17.173s step_avg:357.77ms
step:49/3250 train_time:17.326s step_avg:353.60ms
step:50/3250 train_time:17.480s step_avg:349.60ms
step:51/3250 train_time:17.633s step_avg:345.74ms
step:52/3250 train_time:17.788s step_avg:342.07ms
step:53/3250 train_time:17.941s step_avg:338.51ms
step:54/3250 train_time:18.094s step_avg:335.07ms
step:55/3250 train_time:18.247s step_avg:331.76ms
step:56/3250 train_time:18.400s step_avg:328.56ms
step:57/3250 train_time:18.552s step_avg:325.48ms
step:58/3250 train_time:18.707s step_avg:322.54ms
step:59/3250 train_time:18.861s step_avg:319.68ms
step:60/3250 train_time:19.013s step_avg:316.89ms
step:61/3250 train_time:19.169s step_avg:314.24ms
step:62/3250 train_time:19.322s step_avg:311.65ms
step:63/3250 train_time:19.476s step_avg:309.14ms
step:64/3250 train_time:19.629s step_avg:306.70ms
step:65/3250 train_time:19.782s step_avg:304.33ms
step:66/3250 train_time:19.935s step_avg:302.04ms
step:67/3250 train_time:20.089s step_avg:299.83ms
