W0826 23:06:28.661000 10505 torch/distributed/run.py:852] 
W0826 23:06:28.661000 10505 torch/distributed/run.py:852] *****************************************
W0826 23:06:28.661000 10505 torch/distributed/run.py:852] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0826 23:06:28.661000 10505 torch/distributed/run.py:852] *****************************************
logs/e45f8f9b-4255-41dc-8cba-299b4de4f9e4.txt
step:0/3250 val_loss:10.82584 train_time:0.000s step_avg:nanms
step:1/3250 train_time:10.202s step_avg:10202.19ms
step:2/3250 train_time:10.339s step_avg:5169.30ms
step:3/3250 train_time:10.489s step_avg:3496.31ms
step:4/3250 train_time:10.641s step_avg:2660.32ms
step:5/3250 train_time:10.795s step_avg:2158.97ms
step:6/3250 train_time:10.947s step_avg:1824.46ms
step:7/3250 train_time:11.100s step_avg:1585.65ms
step:8/3250 train_time:11.252s step_avg:1406.55ms
step:9/3250 train_time:11.404s step_avg:1267.15ms
step:10/3250 train_time:11.557s step_avg:1155.66ms
step:11/3250 train_time:11.710s step_avg:1064.54ms
step:12/3250 train_time:11.862s step_avg:988.50ms
step:13/3250 train_time:12.015s step_avg:924.26ms
step:14/3250 train_time:12.169s step_avg:869.19ms
step:15/3250 train_time:12.321s step_avg:821.42ms
step:16/3250 train_time:12.475s step_avg:779.67ms
step:17/3250 train_time:12.628s step_avg:742.84ms
step:18/3250 train_time:12.782s step_avg:710.10ms
step:19/3250 train_time:12.935s step_avg:680.77ms
step:20/3250 train_time:13.087s step_avg:654.37ms
step:21/3250 train_time:13.241s step_avg:630.53ms
step:22/3250 train_time:13.395s step_avg:608.86ms
step:23/3250 train_time:13.549s step_avg:589.08ms
step:24/3250 train_time:13.702s step_avg:570.91ms
step:25/3250 train_time:13.855s step_avg:554.20ms
step:26/3250 train_time:14.008s step_avg:538.75ms
step:27/3250 train_time:14.161s step_avg:524.47ms
step:28/3250 train_time:14.314s step_avg:511.22ms
step:29/3250 train_time:14.466s step_avg:498.84ms
step:30/3250 train_time:14.620s step_avg:487.33ms
step:31/3250 train_time:14.774s step_avg:476.57ms
step:32/3250 train_time:14.927s step_avg:466.46ms
step:33/3250 train_time:15.079s step_avg:456.95ms
step:34/3250 train_time:15.233s step_avg:448.02ms
step:35/3250 train_time:15.385s step_avg:439.58ms
step:36/3250 train_time:15.538s step_avg:431.60ms
step:37/3250 train_time:15.690s step_avg:424.07ms
step:38/3250 train_time:15.844s step_avg:416.93ms
step:39/3250 train_time:15.996s step_avg:410.16ms
step:40/3250 train_time:16.151s step_avg:403.76ms
