=== n8 ctrl seed 0: train_gpt_muonh_fast_slow_decay.py ===
W0827 07:33:45.912000 18642 torch/distributed/run.py:852] 
W0827 07:33:45.912000 18642 torch/distributed/run.py:852] *****************************************
W0827 07:33:45.912000 18642 torch/distributed/run.py:852] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0827 07:33:45.912000 18642 torch/distributed/run.py:852] *****************************************
logs/muonh_fast_slow_decay_warm100_plateauEnd200_peak0.03_fastEnd1750_floor0.006_slowlinear_exp0.6_steps3125_seed0.txt
step:0/3125 val_loss:10.98535 train_time:0.000s step_avg:nanms
step:1/3125 train_time:2.630s step_avg:2630.25ms
step:2/3125 train_time:2.773s step_avg:1386.67ms
step:3/3125 train_time:2.927s step_avg:975.70ms
step:4/3125 train_time:3.079s step_avg:769.79ms
step:5/3125 train_time:3.232s step_avg:646.44ms
step:6/3125 train_time:3.385s step_avg:564.16ms
step:7/3125 train_time:3.538s step_avg:505.41ms
step:8/3125 train_time:3.692s step_avg:461.50ms
step:9/3125 train_time:3.846s step_avg:427.35ms
step:10/3125 train_time:3.998s step_avg:399.85ms
step:11/3125 train_time:4.153s step_avg:377.51ms
step:12/3125 train_time:4.308s step_avg:359.03ms
step:13/3125 train_time:4.464s step_avg:343.38ms
step:14/3125 train_time:4.616s step_avg:329.73ms
step:15/3125 train_time:4.771s step_avg:318.04ms
step:16/3125 train_time:4.925s step_avg:307.79ms
step:17/3125 train_time:5.081s step_avg:298.86ms
step:18/3125 train_time:5.234s step_avg:290.80ms
step:19/3125 train_time:5.388s step_avg:283.58ms
step:20/3125 train_time:5.542s step_avg:277.10ms
step:21/3125 train_time:5.695s step_avg:271.19ms
step:22/3125 train_time:5.848s step_avg:265.83ms
step:23/3125 train_time:6.003s step_avg:261.00ms
step:24/3125 train_time:6.156s step_avg:256.51ms
step:25/3125 train_time:6.310s step_avg:252.39ms
step:26/3125 train_time:6.464s step_avg:248.63ms
step:27/3125 train_time:6.618s step_avg:245.10ms
step:28/3125 train_time:6.773s step_avg:241.88ms
step:29/3125 train_time:6.927s step_avg:238.85ms
step:30/3125 train_time:7.080s step_avg:235.99ms
step:31/3125 train_time:7.234s step_avg:233.35ms
step:32/3125 train_time:7.387s step_avg:230.85ms
step:33/3125 train_time:7.540s step_avg:228.49ms
step:34/3125 train_time:7.694s step_avg:226.30ms
step:35/3125 train_time:7.849s step_avg:224.24ms
step:36/3125 train_time:8.003s step_avg:222.32ms
step:37/3125 train_time:8.156s step_avg:220.43ms
step:38/3125 train_time:8.310s step_avg:218.68ms
step:39/3125 train_time:8.465s step_avg:217.06ms
step:40/3125 train_time:8.618s step_avg:215.46ms
step:41/3125 train_time:8.773s step_avg:213.97ms
step:42/3125 train_time:8.927s step_avg:212.55ms
step:43/3125 train_time:9.080s step_avg:211.16ms
step:44/3125 train_time:9.234s step_avg:209.87ms
step:45/3125 train_time:9.388s step_avg:208.62ms
step:46/3125 train_time:9.542s step_avg:207.44ms
step:47/3125 train_time:9.696s step_avg:206.29ms
step:48/3125 train_time:9.849s step_avg:205.20ms
step:49/3125 train_time:10.003s step_avg:204.14ms
step:50/3125 train_time:10.156s step_avg:203.13ms
step:51/3125 train_time:10.311s step_avg:202.17ms
step:52/3125 train_time:10.465s step_avg:201.26ms
step:53/3125 train_time:10.619s step_avg:200.35ms
step:54/3125 train_time:10.774s step_avg:199.52ms
step:55/3125 train_time:10.928s step_avg:198.69ms
step:56/3125 train_time:11.081s step_avg:197.88ms
step:57/3125 train_time:11.234s step_avg:197.08ms
step:58/3125 train_time:11.388s step_avg:196.34ms
step:59/3125 train_time:11.542s step_avg:195.62ms
step:60/3125 train_time:11.695s step_avg:194.91ms
step:61/3125 train_time:11.848s step_avg:194.24ms
step:62/3125 train_time:12.002s step_avg:193.57ms
step:63/3125 train_time:12.155s step_avg:192.94ms
step:64/3125 train_time:12.309s step_avg:192.32ms
step:65/3125 train_time:12.462s step_avg:191.73ms
step:66/3125 train_time:12.616s step_avg:191.15ms
step:67/3125 train_time:12.769s step_avg:190.58ms
step:68/3125 train_time:12.923s step_avg:190.05ms
step:69/3125 train_time:13.077s step_avg:189.51ms
step:70/3125 train_time:13.231s step_avg:189.01ms
step:71/3125 train_time:13.384s step_avg:188.51ms
step:72/3125 train_time:13.539s step_avg:188.04ms
step:73/3125 train_time:13.692s step_avg:187.56ms
step:74/3125 train_time:13.848s step_avg:187.14ms
step:75/3125 train_time:14.001s step_avg:186.68ms
step:76/3125 train_time:14.154s step_avg:186.24ms
step:77/3125 train_time:14.308s step_avg:185.82ms
step:78/3125 train_time:14.463s step_avg:185.42ms
step:79/3125 train_time:14.616s step_avg:185.01ms
step:80/3125 train_time:14.769s step_avg:184.62ms
step:81/3125 train_time:14.924s step_avg:184.24ms
step:82/3125 train_time:15.077s step_avg:183.87ms
step:83/3125 train_time:15.232s step_avg:183.52ms
step:84/3125 train_time:15.386s step_avg:183.17ms
step:85/3125 train_time:15.540s step_avg:182.82ms
step:86/3125 train_time:15.695s step_avg:182.49ms
step:87/3125 train_time:15.848s step_avg:182.16ms
step:88/3125 train_time:16.002s step_avg:181.85ms
step:89/3125 train_time:16.156s step_avg:181.53ms
step:90/3125 train_time:16.309s step_avg:181.21ms
step:91/3125 train_time:16.464s step_avg:180.92ms
step:92/3125 train_time:16.616s step_avg:180.61ms
step:93/3125 train_time:16.770s step_avg:180.33ms
step:94/3125 train_time:16.925s step_avg:180.06ms
step:95/3125 train_time:17.078s step_avg:179.77ms
step:96/3125 train_time:17.232s step_avg:179.50ms
step:97/3125 train_time:17.385s step_avg:179.23ms
step:98/3125 train_time:17.538s step_avg:178.96ms
step:99/3125 train_time:17.691s step_avg:178.70ms
step:100/3125 train_time:17.847s step_avg:178.47ms
step:101/3125 train_time:18.001s step_avg:178.23ms
step:102/3125 train_time:18.155s step_avg:177.99ms
step:103/3125 train_time:18.308s step_avg:177.75ms
step:104/3125 train_time:18.462s step_avg:177.52ms
step:105/3125 train_time:18.616s step_avg:177.30ms
step:106/3125 train_time:18.770s step_avg:177.08ms
step:107/3125 train_time:18.924s step_avg:176.86ms
step:108/3125 train_time:19.078s step_avg:176.64ms
step:109/3125 train_time:19.231s step_avg:176.43ms
step:110/3125 train_time:19.384s step_avg:176.22ms
step:111/3125 train_time:19.538s step_avg:176.02ms
step:112/3125 train_time:19.692s step_avg:175.82ms
step:113/3125 train_time:19.846s step_avg:175.63ms
step:114/3125 train_time:19.999s step_avg:175.43ms
step:115/3125 train_time:20.153s step_avg:175.24ms
step:116/3125 train_time:20.306s step_avg:175.05ms
step:117/3125 train_time:20.459s step_avg:174.86ms
step:118/3125 train_time:20.613s step_avg:174.68ms
step:119/3125 train_time:20.767s step_avg:174.52ms
step:120/3125 train_time:20.921s step_avg:174.34ms
step:121/3125 train_time:21.075s step_avg:174.17ms
step:122/3125 train_time:21.228s step_avg:174.00ms
step:123/3125 train_time:21.381s step_avg:173.83ms
step:124/3125 train_time:21.535s step_avg:173.67ms
step:125/3125 train_time:21.688s step_avg:173.50ms
step:125/3125 val_loss:4.91363 train_time:21.696s step_avg:173.57ms
step:126/3125 train_time:21.842s step_avg:173.35ms
step:127/3125 train_time:21.996s step_avg:173.19ms
step:128/3125 train_time:22.149s step_avg:173.04ms
step:129/3125 train_time:22.302s step_avg:172.88ms
step:130/3125 train_time:22.456s step_avg:172.74ms
step:131/3125 train_time:22.611s step_avg:172.60ms
step:132/3125 train_time:22.765s step_avg:172.46ms
step:133/3125 train_time:22.918s step_avg:172.32ms
step:134/3125 train_time:23.072s step_avg:172.18ms
step:135/3125 train_time:23.224s step_avg:172.03ms
step:136/3125 train_time:23.378s step_avg:171.89ms
step:137/3125 train_time:23.531s step_avg:171.76ms
step:138/3125 train_time:23.684s step_avg:171.63ms
step:139/3125 train_time:23.838s step_avg:171.50ms
step:140/3125 train_time:23.992s step_avg:171.37ms
step:141/3125 train_time:24.145s step_avg:171.24ms
step:142/3125 train_time:24.298s step_avg:171.11ms
step:143/3125 train_time:24.451s step_avg:170.98ms
step:144/3125 train_time:24.603s step_avg:170.85ms
step:145/3125 train_time:24.756s step_avg:170.73ms
step:146/3125 train_time:24.909s step_avg:170.61ms
step:147/3125 train_time:25.062s step_avg:170.49ms
step:148/3125 train_time:25.216s step_avg:170.38ms
step:149/3125 train_time:25.370s step_avg:170.27ms
step:150/3125 train_time:25.524s step_avg:170.16ms
step:151/3125 train_time:25.678s step_avg:170.05ms
step:152/3125 train_time:25.831s step_avg:169.94ms
step:153/3125 train_time:25.984s step_avg:169.83ms
step:154/3125 train_time:26.138s step_avg:169.73ms
step:155/3125 train_time:26.293s step_avg:169.63ms
step:156/3125 train_time:26.446s step_avg:169.52ms
step:157/3125 train_time:26.599s step_avg:169.42ms
step:158/3125 train_time:26.753s step_avg:169.32ms
step:159/3125 train_time:26.906s step_avg:169.22ms
step:160/3125 train_time:27.059s step_avg:169.12ms
step:161/3125 train_time:27.212s step_avg:169.02ms
step:162/3125 train_time:27.368s step_avg:168.94ms
step:163/3125 train_time:27.524s step_avg:168.86ms
