step	km_mean	km_margin	bm_mean	bm_margin	pairwise_lhs
2580	3.286446	-0.01823	3.283100	-0.00877	-0.00669
2585	3.285968	-0.01688	3.282690	-0.00761	-0.00656
2590	3.285513	-0.01559	3.282293	-0.00648	-0.00644
2595	3.285069	-0.01434	3.281907	-0.00540	-0.00632
2600	3.284639	-0.01312	3.281526	-0.00432	-0.00623
2605	3.284234	-0.01197	3.281176	-0.00333	-0.00611
2610	3.283819	-0.01080	3.280805	-0.00228	-0.00603
2615	3.283381	-0.00956	3.280400	-0.00113	-0.00596
2620	3.282976	-0.00842	3.280044	-0.00012	-0.00587
2625	3.282563	-0.00725	3.279665	0.00095	-0.00580
2630	3.282171	-0.00614	3.279326	0.00191	-0.00569
2635	3.281745	-0.00494	3.278945	0.00298	-0.00560
2640	3.281346	-0.00381	3.278583	0.00401	-0.00553
2645	3.280955	-0.00270	3.278247	0.00496	-0.00541
2650	3.280619	-0.00175	3.277948	0.00581	-0.00534
2655	3.280211	-0.00060	3.277586	0.00683	-0.00525
2660	3.279859	0.00040	3.277280	0.00769	-0.00516
2665	3.279499	0.00142	3.276950	0.00863	-0.00510
2670	3.279144	0.00242	3.276635	0.00952	-0.00502
2675	3.278787	0.00343	3.276324	0.01040	-0.00493
2680	3.278472	0.00432	3.276048	0.01118	-0.00485
2685	3.278134	0.00528	3.275756	0.01200	-0.00476
2690	3.277818	0.00617	3.275484	0.01277	-0.00467
2695	3.277532	0.00698	3.275221	0.01352	-0.00462
2700	3.277250	0.00778	3.274965	0.01424	-0.00457
2705	3.276935	0.00867	3.274683	0.01504	-0.00450
2710	3.276635	0.00952	3.274424	0.01577	-0.00442
2715	3.276358	0.01030	3.274179	0.01646	-0.00436
2720	3.276068	0.01112	3.273920	0.01720	-0.00430
