W0825 21:32:47.778000 10256 torch/distributed/run.py:852] 
W0825 21:32:47.778000 10256 torch/distributed/run.py:852] *****************************************
W0825 21:32:47.778000 10256 torch/distributed/run.py:852] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0825 21:32:47.778000 10256 torch/distributed/run.py:852] *****************************************
logs/230a8d48-705d-48eb-be2b-8da95dacbf2c.txt
step:0/3250 val_loss:10.82584 train_time:0.001s step_avg:nanms
step:1/3250 train_time:2.887s step_avg:2887.35ms
step:2/3250 train_time:3.023s step_avg:1511.68ms
step:3/3250 train_time:3.175s step_avg:1058.40ms
step:4/3250 train_time:3.327s step_avg:831.74ms
step:5/3250 train_time:3.479s step_avg:695.78ms
step:6/3250 train_time:3.632s step_avg:605.30ms
step:7/3250 train_time:3.784s step_avg:540.50ms
step:8/3250 train_time:3.939s step_avg:492.41ms
step:9/3250 train_time:4.093s step_avg:454.78ms
step:10/3250 train_time:4.245s step_avg:424.50ms
step:11/3250 train_time:4.399s step_avg:399.87ms
step:12/3250 train_time:4.551s step_avg:379.23ms
step:13/3250 train_time:4.703s step_avg:361.79ms
step:14/3250 train_time:4.856s step_avg:346.85ms
step:15/3250 train_time:5.009s step_avg:333.92ms
step:16/3250 train_time:5.162s step_avg:322.61ms
step:17/3250 train_time:5.318s step_avg:312.82ms
step:18/3250 train_time:5.470s step_avg:303.89ms
step:19/3250 train_time:5.623s step_avg:295.95ms
step:20/3250 train_time:5.778s step_avg:288.89ms
step:21/3250 train_time:5.932s step_avg:282.47ms
step:22/3250 train_time:6.085s step_avg:276.58ms
step:23/3250 train_time:6.239s step_avg:271.25ms
step:24/3250 train_time:6.392s step_avg:266.33ms
step:25/3250 train_time:6.544s step_avg:261.78ms
step:26/3250 train_time:6.699s step_avg:257.64ms
step:27/3250 train_time:6.851s step_avg:253.75ms
step:28/3250 train_time:7.004s step_avg:250.15ms
step:29/3250 train_time:7.159s step_avg:246.85ms
step:30/3250 train_time:7.314s step_avg:243.80ms
step:31/3250 train_time:7.466s step_avg:240.85ms
step:32/3250 train_time:7.620s step_avg:238.14ms
step:33/3250 train_time:7.774s step_avg:235.58ms
step:34/3250 train_time:7.927s step_avg:233.14ms
step:35/3250 train_time:8.080s step_avg:230.86ms
step:36/3250 train_time:8.236s step_avg:228.78ms
step:37/3250 train_time:8.390s step_avg:226.76ms
step:38/3250 train_time:8.543s step_avg:224.81ms
step:39/3250 train_time:8.698s step_avg:223.03ms
step:40/3250 train_time:8.851s step_avg:221.29ms
step:41/3250 train_time:9.004s step_avg:219.61ms
step:42/3250 train_time:9.158s step_avg:218.05ms
step:43/3250 train_time:9.312s step_avg:216.56ms
step:44/3250 train_time:9.465s step_avg:215.12ms
step:45/3250 train_time:9.619s step_avg:213.76ms
step:46/3250 train_time:9.774s step_avg:212.48ms
step:47/3250 train_time:9.927s step_avg:211.21ms
step:48/3250 train_time:10.080s step_avg:210.01ms
step:49/3250 train_time:10.234s step_avg:208.85ms
step:50/3250 train_time:10.387s step_avg:207.74ms
step:51/3250 train_time:10.541s step_avg:206.68ms
step:52/3250 train_time:10.695s step_avg:205.68ms
step:53/3250 train_time:10.848s step_avg:204.68ms
step:54/3250 train_time:11.002s step_avg:203.75ms
step:55/3250 train_time:11.156s step_avg:202.83ms
step:56/3250 train_time:11.310s step_avg:201.96ms
step:57/3250 train_time:11.463s step_avg:201.11ms
step:58/3250 train_time:11.619s step_avg:200.32ms
step:59/3250 train_time:11.771s step_avg:199.51ms
step:60/3250 train_time:11.927s step_avg:198.78ms
step:61/3250 train_time:12.082s step_avg:198.06ms
step:62/3250 train_time:12.238s step_avg:197.39ms
step:63/3250 train_time:12.392s step_avg:196.70ms
step:64/3250 train_time:12.544s step_avg:196.00ms
step:65/3250 train_time:12.699s step_avg:195.37ms
step:66/3250 train_time:12.853s step_avg:194.74ms
step:67/3250 train_time:13.006s step_avg:194.13ms
step:68/3250 train_time:13.160s step_avg:193.53ms
step:69/3250 train_time:13.317s step_avg:192.99ms
step:70/3250 train_time:13.470s step_avg:192.43ms
step:71/3250 train_time:13.624s step_avg:191.88ms
step:72/3250 train_time:13.777s step_avg:191.35ms
step:73/3250 train_time:13.932s step_avg:190.85ms
step:74/3250 train_time:14.084s step_avg:190.33ms
step:75/3250 train_time:14.239s step_avg:189.85ms
step:76/3250 train_time:14.393s step_avg:189.38ms
step:77/3250 train_time:14.545s step_avg:188.90ms
step:78/3250 train_time:14.700s step_avg:188.46ms
step:79/3250 train_time:14.853s step_avg:188.02ms
step:80/3250 train_time:15.007s step_avg:187.59ms
step:81/3250 train_time:15.161s step_avg:187.18ms
step:82/3250 train_time:15.318s step_avg:186.80ms
step:83/3250 train_time:15.472s step_avg:186.41ms
step:84/3250 train_time:15.627s step_avg:186.03ms
step:85/3250 train_time:15.782s step_avg:185.67ms
step:86/3250 train_time:15.937s step_avg:185.31ms
step:87/3250 train_time:16.091s step_avg:184.96ms
step:88/3250 train_time:16.244s step_avg:184.59ms
step:89/3250 train_time:16.398s step_avg:184.25ms
step:90/3250 train_time:16.553s step_avg:183.92ms
step:91/3250 train_time:16.706s step_avg:183.59ms
step:92/3250 train_time:16.860s step_avg:183.26ms
step:93/3250 train_time:17.016s step_avg:182.97ms
step:94/3250 train_time:17.168s step_avg:182.64ms
step:95/3250 train_time:17.326s step_avg:182.37ms
step:96/3250 train_time:17.480s step_avg:182.08ms
step:97/3250 train_time:17.635s step_avg:181.80ms
step:98/3250 train_time:17.788s step_avg:181.51ms
step:99/3250 train_time:17.942s step_avg:181.23ms
step:100/3250 train_time:18.098s step_avg:180.98ms
step:101/3250 train_time:18.251s step_avg:180.70ms
step:102/3250 train_time:18.405s step_avg:180.45ms
step:103/3250 train_time:18.560s step_avg:180.19ms
step:104/3250 train_time:18.712s step_avg:179.93ms
step:105/3250 train_time:18.865s step_avg:179.67ms
step:106/3250 train_time:19.019s step_avg:179.43ms
step:107/3250 train_time:19.173s step_avg:179.18ms
step:108/3250 train_time:19.325s step_avg:178.94ms
step:109/3250 train_time:19.480s step_avg:178.72ms
step:110/3250 train_time:19.635s step_avg:178.50ms
step:111/3250 train_time:19.788s step_avg:178.27ms
step:112/3250 train_time:19.941s step_avg:178.05ms
step:113/3250 train_time:20.097s step_avg:177.85ms
step:114/3250 train_time:20.249s step_avg:177.63ms
step:115/3250 train_time:20.404s step_avg:177.42ms
step:116/3250 train_time:20.557s step_avg:177.22ms
step:117/3250 train_time:20.711s step_avg:177.02ms
step:118/3250 train_time:20.863s step_avg:176.81ms
step:119/3250 train_time:21.017s step_avg:176.61ms
step:120/3250 train_time:21.173s step_avg:176.44ms
step:121/3250 train_time:21.327s step_avg:176.26ms
step:122/3250 train_time:21.482s step_avg:176.08ms
step:123/3250 train_time:21.637s step_avg:175.91ms
step:124/3250 train_time:21.790s step_avg:175.73ms
step:125/3250 train_time:21.943s step_avg:175.55ms
step:125/3250 val_loss:4.58935 train_time:21.955s step_avg:175.64ms
step:126/3250 train_time:22.099s step_avg:175.39ms
step:127/3250 train_time:22.255s step_avg:175.24ms
step:128/3250 train_time:22.408s step_avg:175.06ms
step:129/3250 train_time:22.560s step_avg:174.88ms
step:130/3250 train_time:22.714s step_avg:174.72ms
step:131/3250 train_time:22.867s step_avg:174.56ms
step:132/3250 train_time:23.022s step_avg:174.41ms
step:133/3250 train_time:23.176s step_avg:174.25ms
step:134/3250 train_time:23.331s step_avg:174.11ms
step:135/3250 train_time:23.482s step_avg:173.94ms
step:136/3250 train_time:23.636s step_avg:173.80ms
step:137/3250 train_time:23.790s step_avg:173.65ms
step:138/3250 train_time:23.943s step_avg:173.50ms
step:139/3250 train_time:24.099s step_avg:173.38ms
step:140/3250 train_time:24.255s step_avg:173.25ms
step:141/3250 train_time:24.409s step_avg:173.11ms
step:142/3250 train_time:24.562s step_avg:172.97ms
step:143/3250 train_time:24.715s step_avg:172.83ms
step:144/3250 train_time:24.868s step_avg:172.70ms
step:145/3250 train_time:25.021s step_avg:172.56ms
step:146/3250 train_time:25.174s step_avg:172.42ms
step:147/3250 train_time:25.328s step_avg:172.30ms
step:148/3250 train_time:25.481s step_avg:172.17ms
step:149/3250 train_time:25.635s step_avg:172.05ms
step:150/3250 train_time:25.789s step_avg:171.93ms
step:151/3250 train_time:25.942s step_avg:171.80ms
step:152/3250 train_time:26.097s step_avg:171.69ms
step:153/3250 train_time:26.251s step_avg:171.58ms
step:154/3250 train_time:26.404s step_avg:171.45ms
step:155/3250 train_time:26.558s step_avg:171.34ms
step:156/3250 train_time:26.712s step_avg:171.23ms
step:157/3250 train_time:26.865s step_avg:171.11ms
step:158/3250 train_time:27.018s step_avg:171.00ms
step:159/3250 train_time:27.172s step_avg:170.89ms
step:160/3250 train_time:27.325s step_avg:170.78ms
step:161/3250 train_time:27.478s step_avg:170.67ms
step:162/3250 train_time:27.635s step_avg:170.58ms
step:163/3250 train_time:27.789s step_avg:170.48ms
step:164/3250 train_time:27.942s step_avg:170.38ms
step:165/3250 train_time:28.095s step_avg:170.27ms
step:166/3250 train_time:28.249s step_avg:170.18ms
step:167/3250 train_time:28.402s step_avg:170.07ms
step:168/3250 train_time:28.555s step_avg:169.97ms
step:169/3250 train_time:28.709s step_avg:169.87ms
step:170/3250 train_time:28.862s step_avg:169.77ms
step:171/3250 train_time:29.016s step_avg:169.68ms
step:172/3250 train_time:29.169s step_avg:169.59ms
step:173/3250 train_time:29.322s step_avg:169.49ms
step:174/3250 train_time:29.476s step_avg:169.40ms
step:175/3250 train_time:29.631s step_avg:169.32ms
step:176/3250 train_time:29.783s step_avg:169.22ms
step:177/3250 train_time:29.939s step_avg:169.15ms
step:178/3250 train_time:30.093s step_avg:169.06ms
step:179/3250 train_time:30.246s step_avg:168.97ms
step:180/3250 train_time:30.400s step_avg:168.89ms
step:181/3250 train_time:30.554s step_avg:168.81ms
step:182/3250 train_time:30.708s step_avg:168.72ms
step:183/3250 train_time:30.860s step_avg:168.63ms
step:184/3250 train_time:31.014s step_avg:168.55ms
step:185/3250 train_time:31.167s step_avg:168.47ms
step:186/3250 train_time:31.320s step_avg:168.39ms
step:187/3250 train_time:31.474s step_avg:168.31ms
step:188/3250 train_time:31.628s step_avg:168.23ms
step:189/3250 train_time:31.780s step_avg:168.15ms
step:190/3250 train_time:31.934s step_avg:168.08ms
step:191/3250 train_time:32.240s step_avg:168.80ms
step:192/3250 train_time:32.393s step_avg:168.71ms
step:193/3250 train_time:32.546s step_avg:168.63ms
step:194/3250 train_time:32.699s step_avg:168.55ms
step:195/3250 train_time:32.853s step_avg:168.47ms
step:196/3250 train_time:33.005s step_avg:168.39ms
step:197/3250 train_time:33.159s step_avg:168.32ms
step:198/3250 train_time:33.313s step_avg:168.25ms
step:199/3250 train_time:33.465s step_avg:168.17ms
step:200/3250 train_time:33.619s step_avg:168.10ms
step:201/3250 train_time:33.773s step_avg:168.03ms
step:202/3250 train_time:33.927s step_avg:167.96ms
step:203/3250 train_time:34.079s step_avg:167.88ms
step:204/3250 train_time:34.234s step_avg:167.81ms
step:205/3250 train_time:34.386s step_avg:167.74ms
step:206/3250 train_time:34.539s step_avg:167.67ms
step:207/3250 train_time:34.693s step_avg:167.60ms
step:208/3250 train_time:34.846s step_avg:167.53ms
step:209/3250 train_time:34.999s step_avg:167.46ms
step:210/3250 train_time:35.153s step_avg:167.39ms
step:211/3250 train_time:35.306s step_avg:167.33ms
step:212/3250 train_time:35.458s step_avg:167.26ms
step:213/3250 train_time:35.612s step_avg:167.19ms
step:214/3250 train_time:35.764s step_avg:167.12ms
step:215/3250 train_time:35.917s step_avg:167.06ms
step:216/3250 train_time:36.071s step_avg:167.00ms
step:217/3250 train_time:36.224s step_avg:166.93ms
step:218/3250 train_time:36.377s step_avg:166.87ms
step:219/3250 train_time:36.532s step_avg:166.81ms
step:220/3250 train_time:36.685s step_avg:166.75ms
step:221/3250 train_time:36.838s step_avg:166.69ms
step:222/3250 train_time:36.993s step_avg:166.64ms
step:223/3250 train_time:37.148s step_avg:166.58ms
step:224/3250 train_time:37.299s step_avg:166.51ms
step:225/3250 train_time:37.453s step_avg:166.46ms
step:226/3250 train_time:37.607s step_avg:166.40ms
step:227/3250 train_time:37.760s step_avg:166.34ms
step:228/3250 train_time:37.913s step_avg:166.29ms
step:229/3250 train_time:38.065s step_avg:166.22ms
step:230/3250 train_time:38.218s step_avg:166.17ms
step:231/3250 train_time:38.371s step_avg:166.11ms
step:232/3250 train_time:38.524s step_avg:166.05ms
step:233/3250 train_time:38.678s step_avg:166.00ms
step:234/3250 train_time:38.831s step_avg:165.95ms
step:235/3250 train_time:38.983s step_avg:165.89ms
step:236/3250 train_time:39.138s step_avg:165.84ms
step:237/3250 train_time:39.292s step_avg:165.79ms
step:238/3250 train_time:39.444s step_avg:165.73ms
step:239/3250 train_time:39.597s step_avg:165.68ms
step:240/3250 train_time:39.753s step_avg:165.64ms
step:241/3250 train_time:39.905s step_avg:165.58ms
step:242/3250 train_time:40.058s step_avg:165.53ms
step:243/3250 train_time:40.212s step_avg:165.48ms
step:244/3250 train_time:40.364s step_avg:165.43ms
step:245/3250 train_time:40.517s step_avg:165.38ms
step:246/3250 train_time:40.671s step_avg:165.33ms
step:247/3250 train_time:40.823s step_avg:165.28ms
step:248/3250 train_time:40.977s step_avg:165.23ms
step:249/3250 train_time:41.130s step_avg:165.18ms
step:250/3250 train_time:41.282s step_avg:165.13ms
step:250/3250 val_loss:4.09551 train_time:41.294s step_avg:154.71ms
step:251/3250 train_time:41.438s step_avg:165.09ms
step:252/3250 train_time:41.592s step_avg:165.05ms
step:253/3250 train_time:41.745s step_avg:165.00ms
step:254/3250 train_time:41.898s step_avg:164.95ms
step:255/3250 train_time:42.052s step_avg:164.91ms
step:256/3250 train_time:42.205s step_avg:164.86ms
step:257/3250 train_time:42.359s step_avg:164.82ms
step:258/3250 train_time:42.513s step_avg:164.78ms
step:259/3250 train_time:42.666s step_avg:164.73ms
step:260/3250 train_time:42.818s step_avg:164.69ms
step:261/3250 train_time:42.973s step_avg:164.65ms
step:262/3250 train_time:43.125s step_avg:164.60ms
step:263/3250 train_time:43.278s step_avg:164.56ms
step:264/3250 train_time:43.433s step_avg:164.52ms
step:265/3250 train_time:43.585s step_avg:164.47ms
step:266/3250 train_time:43.738s step_avg:164.43ms
step:267/3250 train_time:43.891s step_avg:164.39ms
step:268/3250 train_time:44.044s step_avg:164.34ms
step:269/3250 train_time:44.197s step_avg:164.30ms
step:270/3250 train_time:44.352s step_avg:164.27ms
step:271/3250 train_time:44.504s step_avg:164.22ms
step:272/3250 train_time:44.658s step_avg:164.18ms
step:273/3250 train_time:44.812s step_avg:164.15ms
step:274/3250 train_time:44.965s step_avg:164.10ms
step:275/3250 train_time:45.119s step_avg:164.07ms
step:276/3250 train_time:45.274s step_avg:164.04ms
step:277/3250 train_time:45.427s step_avg:164.00ms
step:278/3250 train_time:45.579s step_avg:163.95ms
step:279/3250 train_time:45.736s step_avg:163.93ms
step:280/3250 train_time:45.889s step_avg:163.89ms
step:281/3250 train_time:46.042s step_avg:163.85ms
step:282/3250 train_time:46.195s step_avg:163.81ms
step:283/3250 train_time:46.348s step_avg:163.77ms
step:284/3250 train_time:46.500s step_avg:163.73ms
step:285/3250 train_time:46.654s step_avg:163.70ms
step:286/3250 train_time:46.806s step_avg:163.66ms
step:287/3250 train_time:46.959s step_avg:163.62ms
step:288/3250 train_time:47.112s step_avg:163.58ms
step:289/3250 train_time:47.265s step_avg:163.55ms
step:290/3250 train_time:47.418s step_avg:163.51ms
step:291/3250 train_time:47.572s step_avg:163.48ms
step:292/3250 train_time:47.725s step_avg:163.44ms
step:293/3250 train_time:47.878s step_avg:163.41ms
step:294/3250 train_time:48.033s step_avg:163.38ms
step:295/3250 train_time:48.185s step_avg:163.34ms
step:296/3250 train_time:48.339s step_avg:163.31ms
step:297/3250 train_time:48.492s step_avg:163.27ms
step:298/3250 train_time:48.646s step_avg:163.24ms
step:299/3250 train_time:48.798s step_avg:163.20ms
step:300/3250 train_time:48.953s step_avg:163.18ms
step:301/3250 train_time:49.105s step_avg:163.14ms
step:302/3250 train_time:49.259s step_avg:163.11ms
step:303/3250 train_time:49.412s step_avg:163.08ms
step:304/3250 train_time:49.564s step_avg:163.04ms
step:305/3250 train_time:49.717s step_avg:163.01ms
step:306/3250 train_time:49.871s step_avg:162.98ms
step:307/3250 train_time:50.023s step_avg:162.94ms
step:308/3250 train_time:50.176s step_avg:162.91ms
step:309/3250 train_time:50.330s step_avg:162.88ms
step:310/3250 train_time:50.482s step_avg:162.85ms
step:311/3250 train_time:50.635s step_avg:162.81ms
step:312/3250 train_time:50.788s step_avg:162.78ms
step:313/3250 train_time:50.941s step_avg:162.75ms
step:314/3250 train_time:51.094s step_avg:162.72ms
step:315/3250 train_time:51.248s step_avg:162.69ms
step:316/3250 train_time:51.400s step_avg:162.66ms
step:317/3250 train_time:51.554s step_avg:162.63ms
step:318/3250 train_time:51.706s step_avg:162.60ms
step:319/3250 train_time:51.859s step_avg:162.57ms
step:320/3250 train_time:52.012s step_avg:162.54ms
step:321/3250 train_time:52.165s step_avg:162.51ms
step:322/3250 train_time:52.321s step_avg:162.49ms
step:323/3250 train_time:52.476s step_avg:162.46ms
step:324/3250 train_time:52.629s step_avg:162.44ms
step:325/3250 train_time:52.781s step_avg:162.40ms
step:326/3250 train_time:52.935s step_avg:162.38ms
step:327/3250 train_time:53.087s step_avg:162.35ms
step:328/3250 train_time:53.240s step_avg:162.32ms
step:329/3250 train_time:53.393s step_avg:162.29ms
step:330/3250 train_time:53.545s step_avg:162.26ms
step:331/3250 train_time:53.698s step_avg:162.23ms
step:332/3250 train_time:53.852s step_avg:162.20ms
step:333/3250 train_time:54.004s step_avg:162.17ms
step:334/3250 train_time:54.158s step_avg:162.15ms
step:335/3250 train_time:54.312s step_avg:162.13ms
step:336/3250 train_time:54.465s step_avg:162.10ms
step:337/3250 train_time:54.619s step_avg:162.08ms
step:338/3250 train_time:54.774s step_avg:162.05ms
step:339/3250 train_time:54.927s step_avg:162.03ms
step:340/3250 train_time:55.080s step_avg:162.00ms
step:341/3250 train_time:55.234s step_avg:161.98ms
step:342/3250 train_time:55.387s step_avg:161.95ms
step:343/3250 train_time:55.539s step_avg:161.92ms
step:344/3250 train_time:55.694s step_avg:161.90ms
step:345/3250 train_time:55.847s step_avg:161.88ms
step:346/3250 train_time:55.999s step_avg:161.85ms
step:347/3250 train_time:56.153s step_avg:161.82ms
step:348/3250 train_time:56.305s step_avg:161.80ms
step:349/3250 train_time:56.460s step_avg:161.78ms
step:350/3250 train_time:56.613s step_avg:161.75ms
step:351/3250 train_time:56.766s step_avg:161.73ms
step:352/3250 train_time:56.919s step_avg:161.70ms
step:353/3250 train_time:57.074s step_avg:161.68ms
step:354/3250 train_time:57.227s step_avg:161.66ms
step:355/3250 train_time:57.380s step_avg:161.63ms
step:356/3250 train_time:57.534s step_avg:161.61ms
step:357/3250 train_time:57.687s step_avg:161.59ms
step:358/3250 train_time:57.839s step_avg:161.56ms
step:359/3250 train_time:57.992s step_avg:161.54ms
step:360/3250 train_time:58.146s step_avg:161.52ms
step:361/3250 train_time:58.298s step_avg:161.49ms
step:362/3250 train_time:58.453s step_avg:161.47ms
step:363/3250 train_time:58.605s step_avg:161.45ms
step:364/3250 train_time:58.760s step_avg:161.43ms
step:365/3250 train_time:58.912s step_avg:161.40ms
step:366/3250 train_time:59.065s step_avg:161.38ms
step:367/3250 train_time:59.217s step_avg:161.35ms
step:368/3250 train_time:59.371s step_avg:161.33ms
step:369/3250 train_time:59.523s step_avg:161.31ms
step:370/3250 train_time:59.676s step_avg:161.29ms
step:371/3250 train_time:59.829s step_avg:161.26ms
step:372/3250 train_time:59.981s step_avg:161.24ms
step:373/3250 train_time:60.135s step_avg:161.22ms
step:374/3250 train_time:60.287s step_avg:161.20ms
step:375/3250 train_time:60.440s step_avg:161.17ms
step:375/3250 val_loss:3.92236 train_time:60.452s step_avg:153.26ms
step:376/3250 train_time:60.596s step_avg:161.16ms
step:377/3250 train_time:60.750s step_avg:161.14ms
step:378/3250 train_time:60.902s step_avg:161.12ms
step:379/3250 train_time:61.055s step_avg:161.10ms
step:380/3250 train_time:61.208s step_avg:161.07ms
step:381/3250 train_time:61.411s step_avg:161.18ms
step:382/3250 train_time:61.563s step_avg:161.16ms
step:383/3250 train_time:61.716s step_avg:161.14ms
step:384/3250 train_time:61.870s step_avg:161.12ms
step:385/3250 train_time:62.022s step_avg:161.10ms
step:386/3250 train_time:62.175s step_avg:161.08ms
step:387/3250 train_time:62.329s step_avg:161.06ms
step:388/3250 train_time:62.482s step_avg:161.04ms
step:389/3250 train_time:62.635s step_avg:161.01ms
