W0825 21:42:53.834000 11732 torch/distributed/run.py:852] 
W0825 21:42:53.834000 11732 torch/distributed/run.py:852] *****************************************
W0825 21:42:53.834000 11732 torch/distributed/run.py:852] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0825 21:42:53.834000 11732 torch/distributed/run.py:852] *****************************************
logs/4e82dc3a-5e5b-4147-84f8-95169df030af.txt
step:0/3250 val_loss:10.82584 train_time:0.000s step_avg:nanms
step:1/3250 train_time:2.984s step_avg:2983.66ms
step:2/3250 train_time:3.116s step_avg:1558.12ms
step:3/3250 train_time:3.268s step_avg:1089.27ms
step:4/3250 train_time:3.420s step_avg:855.05ms
step:5/3250 train_time:3.578s step_avg:715.69ms
step:6/3250 train_time:3.724s step_avg:620.69ms
step:7/3250 train_time:3.878s step_avg:554.01ms
step:8/3250 train_time:4.031s step_avg:503.91ms
step:9/3250 train_time:4.184s step_avg:464.93ms
step:10/3250 train_time:4.339s step_avg:433.89ms
step:11/3250 train_time:4.492s step_avg:408.33ms
step:12/3250 train_time:4.644s step_avg:386.98ms
step:13/3250 train_time:4.798s step_avg:369.10ms
step:14/3250 train_time:4.951s step_avg:353.63ms
step:15/3250 train_time:5.103s step_avg:340.21ms
step:16/3250 train_time:5.257s step_avg:328.57ms
step:17/3250 train_time:5.411s step_avg:318.29ms
step:18/3250 train_time:5.563s step_avg:309.08ms
step:19/3250 train_time:5.720s step_avg:301.04ms
step:20/3250 train_time:5.873s step_avg:293.65ms
step:21/3250 train_time:6.025s step_avg:286.93ms
step:22/3250 train_time:6.179s step_avg:280.87ms
step:23/3250 train_time:6.333s step_avg:275.37ms
step:24/3250 train_time:6.486s step_avg:270.27ms
step:25/3250 train_time:6.640s step_avg:265.61ms
step:26/3250 train_time:6.793s step_avg:261.28ms
step:27/3250 train_time:6.946s step_avg:257.26ms
step:28/3250 train_time:7.102s step_avg:253.63ms
step:29/3250 train_time:7.256s step_avg:250.22ms
step:30/3250 train_time:7.409s step_avg:246.98ms
step:31/3250 train_time:7.563s step_avg:243.97ms
step:32/3250 train_time:7.718s step_avg:241.19ms
step:33/3250 train_time:7.872s step_avg:238.55ms
step:34/3250 train_time:8.025s step_avg:236.04ms
step:35/3250 train_time:8.179s step_avg:233.69ms
step:36/3250 train_time:8.332s step_avg:231.46ms
step:37/3250 train_time:8.485s step_avg:229.32ms
step:38/3250 train_time:8.639s step_avg:227.34ms
step:39/3250 train_time:8.793s step_avg:225.46ms
step:40/3250 train_time:8.946s step_avg:223.65ms
step:41/3250 train_time:9.100s step_avg:221.95ms
step:42/3250 train_time:9.254s step_avg:220.33ms
step:43/3250 train_time:9.407s step_avg:218.76ms
step:44/3250 train_time:9.560s step_avg:217.28ms
step:45/3250 train_time:9.716s step_avg:215.91ms
step:46/3250 train_time:9.869s step_avg:214.54ms
step:47/3250 train_time:10.023s step_avg:213.25ms
step:48/3250 train_time:10.177s step_avg:212.02ms
step:49/3250 train_time:10.330s step_avg:210.82ms
step:50/3250 train_time:10.484s step_avg:209.67ms
step:51/3250 train_time:10.638s step_avg:208.58ms
step:52/3250 train_time:10.792s step_avg:207.55ms
step:53/3250 train_time:10.945s step_avg:206.51ms
step:54/3250 train_time:11.099s step_avg:205.54ms
step:55/3250 train_time:11.253s step_avg:204.60ms
step:56/3250 train_time:11.406s step_avg:203.67ms
