W0825 21:12:37.051000 7322 torch/distributed/run.py:852] 
W0825 21:12:37.051000 7322 torch/distributed/run.py:852] *****************************************
W0825 21:12:37.051000 7322 torch/distributed/run.py:852] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0825 21:12:37.051000 7322 torch/distributed/run.py:852] *****************************************
logs/15e0b8e9-5920-4c22-822f-99d9f5cbaccb.txt
step:0/3250 val_loss:10.82584 train_time:0.000s step_avg:nanms
step:1/3250 train_time:3.010s step_avg:3009.63ms
step:2/3250 train_time:3.142s step_avg:1571.25ms
step:3/3250 train_time:3.294s step_avg:1097.86ms
step:4/3250 train_time:3.446s step_avg:861.48ms
step:5/3250 train_time:3.599s step_avg:719.71ms
step:6/3250 train_time:3.750s step_avg:624.98ms
step:7/3250 train_time:3.904s step_avg:557.64ms
step:8/3250 train_time:4.056s step_avg:507.02ms
step:9/3250 train_time:4.210s step_avg:467.83ms
step:10/3250 train_time:4.365s step_avg:436.52ms
step:11/3250 train_time:4.518s step_avg:410.73ms
step:12/3250 train_time:4.671s step_avg:389.22ms
step:13/3250 train_time:4.825s step_avg:371.12ms
step:14/3250 train_time:4.978s step_avg:355.54ms
step:15/3250 train_time:5.130s step_avg:341.99ms
step:16/3250 train_time:5.284s step_avg:330.27ms
step:17/3250 train_time:5.438s step_avg:319.88ms
step:18/3250 train_time:5.591s step_avg:310.61ms
step:19/3250 train_time:5.744s step_avg:302.33ms
step:20/3250 train_time:5.898s step_avg:294.89ms
step:21/3250 train_time:6.050s step_avg:288.10ms
step:22/3250 train_time:6.205s step_avg:282.03ms
step:23/3250 train_time:6.358s step_avg:276.42ms
step:24/3250 train_time:6.510s step_avg:271.27ms
step:25/3250 train_time:6.665s step_avg:266.61ms
step:26/3250 train_time:6.820s step_avg:262.30ms
step:27/3250 train_time:6.973s step_avg:258.25ms
step:28/3250 train_time:7.126s step_avg:254.49ms
step:29/3250 train_time:7.280s step_avg:251.04ms
step:30/3250 train_time:7.432s step_avg:247.72ms
step:31/3250 train_time:7.587s step_avg:244.75ms
step:32/3250 train_time:7.743s step_avg:241.97ms
step:33/3250 train_time:7.896s step_avg:239.28ms
step:34/3250 train_time:8.049s step_avg:236.73ms
step:35/3250 train_time:8.205s step_avg:234.43ms
step:36/3250 train_time:8.358s step_avg:232.17ms
step:37/3250 train_time:8.511s step_avg:230.02ms
step:38/3250 train_time:8.665s step_avg:228.04ms
step:39/3250 train_time:8.818s step_avg:226.11ms
step:40/3250 train_time:8.971s step_avg:224.28ms
step:41/3250 train_time:9.125s step_avg:222.57ms
step:42/3250 train_time:9.281s step_avg:220.97ms
step:43/3250 train_time:9.434s step_avg:219.39ms
step:44/3250 train_time:9.589s step_avg:217.93ms
step:45/3250 train_time:9.742s step_avg:216.48ms
step:46/3250 train_time:9.895s step_avg:215.11ms
step:47/3250 train_time:10.049s step_avg:213.81ms
step:48/3250 train_time:10.204s step_avg:212.58ms
step:49/3250 train_time:10.359s step_avg:211.40ms
step:50/3250 train_time:10.511s step_avg:210.22ms
step:51/3250 train_time:10.666s step_avg:209.14ms
step:52/3250 train_time:10.820s step_avg:208.07ms
step:53/3250 train_time:10.974s step_avg:207.05ms
step:54/3250 train_time:11.127s step_avg:206.06ms
step:55/3250 train_time:11.280s step_avg:205.08ms
step:56/3250 train_time:11.432s step_avg:204.15ms
step:57/3250 train_time:11.587s step_avg:203.27ms
step:58/3250 train_time:11.741s step_avg:202.44ms
step:59/3250 train_time:11.895s step_avg:201.61ms
step:60/3250 train_time:12.051s step_avg:200.85ms
step:61/3250 train_time:12.206s step_avg:200.10ms
step:62/3250 train_time:12.360s step_avg:199.35ms
step:63/3250 train_time:12.513s step_avg:198.61ms
step:64/3250 train_time:12.668s step_avg:197.93ms
step:65/3250 train_time:12.820s step_avg:197.24ms
step:66/3250 train_time:12.975s step_avg:196.59ms
step:67/3250 train_time:13.128s step_avg:195.94ms
step:68/3250 train_time:13.283s step_avg:195.33ms
step:69/3250 train_time:13.435s step_avg:194.71ms
step:70/3250 train_time:13.589s step_avg:194.13ms
step:71/3250 train_time:13.746s step_avg:193.61ms
step:72/3250 train_time:13.901s step_avg:193.07ms
step:73/3250 train_time:14.054s step_avg:192.52ms
step:74/3250 train_time:14.208s step_avg:191.99ms
step:75/3250 train_time:14.361s step_avg:191.48ms
step:76/3250 train_time:14.516s step_avg:191.01ms
step:77/3250 train_time:14.670s step_avg:190.52ms
step:78/3250 train_time:14.826s step_avg:190.07ms
step:79/3250 train_time:14.979s step_avg:189.60ms
step:80/3250 train_time:15.132s step_avg:189.15ms
step:81/3250 train_time:15.287s step_avg:188.73ms
step:82/3250 train_time:15.440s step_avg:188.29ms
step:83/3250 train_time:15.593s step_avg:187.87ms
step:84/3250 train_time:15.747s step_avg:187.46ms
step:85/3250 train_time:15.900s step_avg:187.06ms
step:86/3250 train_time:16.054s step_avg:186.67ms
step:87/3250 train_time:16.207s step_avg:186.29ms
step:88/3250 train_time:16.363s step_avg:185.94ms
step:89/3250 train_time:16.515s step_avg:185.56ms
step:90/3250 train_time:16.669s step_avg:185.21ms
step:91/3250 train_time:16.823s step_avg:184.87ms
step:92/3250 train_time:16.977s step_avg:184.53ms
step:93/3250 train_time:17.130s step_avg:184.19ms
step:94/3250 train_time:17.285s step_avg:183.88ms
step:95/3250 train_time:17.438s step_avg:183.56ms
step:96/3250 train_time:17.591s step_avg:183.24ms
step:97/3250 train_time:17.745s step_avg:182.94ms
step:98/3250 train_time:17.899s step_avg:182.65ms
step:99/3250 train_time:18.051s step_avg:182.33ms
step:100/3250 train_time:18.205s step_avg:182.05ms
step:101/3250 train_time:18.360s step_avg:181.78ms
