W0825 21:01:31.503000 2730 torch/distributed/run.py:852] 
W0825 21:01:31.503000 2730 torch/distributed/run.py:852] *****************************************
W0825 21:01:31.503000 2730 torch/distributed/run.py:852] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0825 21:01:31.503000 2730 torch/distributed/run.py:852] *****************************************
logs/dd3f7ac9-2690-4d4b-89a8-96d40aab0484.txt
step:0/3250 val_loss:10.82584 train_time:0.000s step_avg:nanms
step:1/3250 train_time:43.326s step_avg:43325.97ms
step:2/3250 train_time:43.461s step_avg:21730.30ms
step:3/3250 train_time:43.610s step_avg:14536.81ms
step:4/3250 train_time:43.762s step_avg:10940.47ms
step:5/3250 train_time:43.914s step_avg:8782.72ms
step:6/3250 train_time:44.065s step_avg:7344.15ms
step:7/3250 train_time:44.217s step_avg:6316.75ms
step:8/3250 train_time:44.369s step_avg:5546.18ms
step:9/3250 train_time:44.522s step_avg:4946.86ms
step:10/3250 train_time:44.673s step_avg:4467.31ms
step:11/3250 train_time:44.825s step_avg:4075.03ms
step:12/3250 train_time:44.977s step_avg:3748.11ms
step:13/3250 train_time:45.129s step_avg:3471.48ms
step:14/3250 train_time:45.283s step_avg:3234.47ms
step:15/3250 train_time:45.435s step_avg:3028.98ms
step:16/3250 train_time:45.586s step_avg:2849.15ms
step:17/3250 train_time:45.739s step_avg:2690.54ms
step:18/3250 train_time:45.891s step_avg:2549.48ms
step:19/3250 train_time:46.043s step_avg:2423.30ms
step:20/3250 train_time:46.194s step_avg:2309.72ms
step:21/3250 train_time:46.346s step_avg:2206.94ms
step:22/3250 train_time:46.499s step_avg:2113.59ms
step:23/3250 train_time:46.650s step_avg:2028.27ms
step:24/3250 train_time:46.802s step_avg:1950.10ms
step:25/3250 train_time:46.955s step_avg:1878.19ms
step:26/3250 train_time:47.107s step_avg:1811.79ms
step:27/3250 train_time:47.259s step_avg:1750.34ms
step:28/3250 train_time:47.411s step_avg:1693.25ms
step:29/3250 train_time:47.563s step_avg:1640.11ms
step:30/3250 train_time:47.716s step_avg:1590.54ms
step:31/3250 train_time:47.869s step_avg:1544.16ms
step:32/3250 train_time:48.022s step_avg:1500.69ms
step:33/3250 train_time:48.174s step_avg:1459.83ms
