W0825 21:22:42.706000 8798 torch/distributed/run.py:852] 
W0825 21:22:42.706000 8798 torch/distributed/run.py:852] *****************************************
W0825 21:22:42.706000 8798 torch/distributed/run.py:852] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0825 21:22:42.706000 8798 torch/distributed/run.py:852] *****************************************
logs/9da0c496-87c0-47c8-b10c-271ca0fcea5b.txt
step:0/3250 val_loss:10.82584 train_time:0.000s step_avg:nanms
step:1/3250 train_time:2.706s step_avg:2705.84ms
step:2/3250 train_time:2.840s step_avg:1420.19ms
step:3/3250 train_time:2.993s step_avg:997.54ms
step:4/3250 train_time:3.145s step_avg:786.14ms
step:5/3250 train_time:3.296s step_avg:659.12ms
step:6/3250 train_time:3.448s step_avg:574.67ms
step:7/3250 train_time:3.602s step_avg:514.51ms
step:8/3250 train_time:3.754s step_avg:469.27ms
step:9/3250 train_time:3.910s step_avg:434.42ms
step:10/3250 train_time:4.062s step_avg:406.22ms
step:11/3250 train_time:4.215s step_avg:383.18ms
step:12/3250 train_time:4.368s step_avg:363.98ms
step:13/3250 train_time:4.520s step_avg:347.68ms
step:14/3250 train_time:4.672s step_avg:333.73ms
step:15/3250 train_time:4.826s step_avg:321.76ms
step:16/3250 train_time:4.980s step_avg:311.27ms
step:17/3250 train_time:5.133s step_avg:301.95ms
step:18/3250 train_time:5.290s step_avg:293.90ms
step:19/3250 train_time:5.445s step_avg:286.57ms
step:20/3250 train_time:5.597s step_avg:279.85ms
step:21/3250 train_time:5.750s step_avg:273.82ms
step:22/3250 train_time:5.904s step_avg:268.36ms
step:23/3250 train_time:6.056s step_avg:263.31ms
step:24/3250 train_time:6.210s step_avg:258.75ms
step:25/3250 train_time:6.363s step_avg:254.51ms
step:26/3250 train_time:6.516s step_avg:250.61ms
step:27/3250 train_time:6.670s step_avg:247.03ms
step:28/3250 train_time:6.823s step_avg:243.68ms
step:29/3250 train_time:6.976s step_avg:240.56ms
step:30/3250 train_time:7.130s step_avg:237.65ms
step:31/3250 train_time:7.283s step_avg:234.94ms
step:32/3250 train_time:7.435s step_avg:232.35ms
