W0825 21:53:00.275000 13208 torch/distributed/run.py:852] 
W0825 21:53:00.275000 13208 torch/distributed/run.py:852] *****************************************
W0825 21:53:00.275000 13208 torch/distributed/run.py:852] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0825 21:53:00.275000 13208 torch/distributed/run.py:852] *****************************************
logs/27b1237d-d448-4238-93a7-33f4f581c841.txt
step:0/3250 val_loss:10.82584 train_time:0.000s step_avg:nanms
step:1/3250 train_time:2.823s step_avg:2823.17ms
step:2/3250 train_time:2.960s step_avg:1479.99ms
step:3/3250 train_time:3.111s step_avg:1037.11ms
step:4/3250 train_time:3.263s step_avg:815.82ms
step:5/3250 train_time:3.416s step_avg:683.11ms
step:6/3250 train_time:3.568s step_avg:594.67ms
step:7/3250 train_time:3.722s step_avg:531.66ms
step:8/3250 train_time:3.875s step_avg:484.43ms
step:9/3250 train_time:4.028s step_avg:447.60ms
step:10/3250 train_time:4.182s step_avg:418.19ms
step:11/3250 train_time:4.333s step_avg:393.94ms
step:12/3250 train_time:4.487s step_avg:373.91ms
step:13/3250 train_time:4.641s step_avg:356.98ms
step:14/3250 train_time:4.795s step_avg:342.49ms
step:15/3250 train_time:4.947s step_avg:329.82ms
step:16/3250 train_time:5.102s step_avg:318.87ms
step:17/3250 train_time:5.255s step_avg:309.12ms
step:18/3250 train_time:5.408s step_avg:300.44ms
step:19/3250 train_time:5.561s step_avg:292.69ms
step:20/3250 train_time:5.714s step_avg:285.68ms
step:21/3250 train_time:5.866s step_avg:279.36ms
step:22/3250 train_time:6.021s step_avg:273.68ms
step:23/3250 train_time:6.175s step_avg:268.49ms
step:24/3250 train_time:6.329s step_avg:263.69ms
step:25/3250 train_time:6.482s step_avg:259.28ms
step:26/3250 train_time:6.635s step_avg:255.20ms
step:27/3250 train_time:6.790s step_avg:251.46ms
step:28/3250 train_time:6.943s step_avg:247.97ms
step:29/3250 train_time:7.098s step_avg:244.78ms
step:30/3250 train_time:7.252s step_avg:241.73ms
step:31/3250 train_time:7.407s step_avg:238.93ms
step:32/3250 train_time:7.560s step_avg:236.26ms
step:33/3250 train_time:7.713s step_avg:233.71ms
step:34/3250 train_time:7.866s step_avg:231.34ms
step:35/3250 train_time:8.020s step_avg:229.15ms
step:36/3250 train_time:8.172s step_avg:227.01ms
step:37/3250 train_time:8.327s step_avg:225.06ms
step:38/3250 train_time:8.482s step_avg:223.21ms
step:39/3250 train_time:8.636s step_avg:221.43ms
step:40/3250 train_time:8.789s step_avg:219.71ms
step:41/3250 train_time:8.942s step_avg:218.09ms
step:42/3250 train_time:9.095s step_avg:216.56ms
