=== eos_f1500_s060 : run.py configs/req019/eos_f1500_s060.yaml ===
W0830 11:49:55.624000 7345 torch/distributed/run.py:852] 
W0830 11:49:55.624000 7345 torch/distributed/run.py:852] *****************************************
W0830 11:49:55.624000 7345 torch/distributed/run.py:852] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0830 11:49:55.624000 7345 torch/distributed/run.py:852] *****************************************
logs/dfe5a0e4-8cfe-4055-9933-4ff9fd8f433f.txt
resumed training state from step 1500 in eos_shared_state, skipped 1500 batches
step:0/3250 val_loss:3.52212 train_time:0.002s step_avg:nanms
learning_rates step:1500 [{'pattern': '^embed\\.weight$', 'lr': [0.42]}, {'pattern': '^proj\\.weight$', 'lr': [0.0024]}, {'pattern': '^blocks\\..*\\.weight$', 'lr': [0.015]}, {'pattern': '.*', 'lr': [0.009]}]
step:1501/3250 train_time:3.161s step_avg:2.11ms
learning_rates step:1501 [{'pattern': '^embed\\.weight$', 'lr': [0.42]}, {'pattern': '^proj\\.weight$', 'lr': [0.0024]}, {'pattern': '^blocks\\..*\\.weight$', 'lr': [0.015]}, {'pattern': '.*', 'lr': [0.009]}]
step:1502/3250 train_time:3.299s step_avg:2.20ms
step:1503/3250 train_time:3.450s step_avg:2.30ms
step:1504/3250 train_time:3.605s step_avg:2.40ms
step:1505/3250 train_time:3.757s step_avg:2.50ms
step:1506/3250 train_time:3.909s step_avg:2.60ms
step:1507/3250 train_time:4.062s step_avg:2.70ms
step:1508/3250 train_time:4.214s step_avg:2.79ms
step:1509/3250 train_time:4.365s step_avg:2.89ms
step:1510/3250 train_time:4.518s step_avg:2.99ms
step:1511/3250 train_time:4.670s step_avg:3.09ms
step:1512/3250 train_time:4.823s step_avg:3.19ms
step:1513/3250 train_time:4.974s step_avg:3.29ms
step:1514/3250 train_time:5.127s step_avg:3.39ms
step:1515/3250 train_time:5.280s step_avg:3.48ms
step:1516/3250 train_time:5.432s step_avg:3.58ms
step:1517/3250 train_time:5.584s step_avg:3.68ms
step:1518/3250 train_time:5.736s step_avg:3.78ms
step:1519/3250 train_time:5.889s step_avg:3.88ms
step:1520/3250 train_time:6.041s step_avg:3.97ms
step:1521/3250 train_time:6.240s step_avg:4.10ms
step:1522/3250 train_time:6.392s step_avg:4.20ms
step:1523/3250 train_time:6.544s step_avg:4.30ms
step:1524/3250 train_time:6.695s step_avg:4.39ms
step:1525/3250 train_time:6.849s step_avg:4.49ms
step:1526/3250 train_time:7.001s step_avg:4.59ms
step:1527/3250 train_time:7.154s step_avg:4.68ms
step:1528/3250 train_time:7.306s step_avg:4.78ms
step:1529/3250 train_time:7.459s step_avg:4.88ms
step:1530/3250 train_time:7.611s step_avg:4.97ms
step:1531/3250 train_time:7.763s step_avg:5.07ms
step:1532/3250 train_time:7.915s step_avg:5.17ms
step:1533/3250 train_time:8.067s step_avg:5.26ms
step:1534/3250 train_time:8.220s step_avg:5.36ms
step:1535/3250 train_time:8.372s step_avg:5.45ms
step:1536/3250 train_time:8.523s step_avg:5.55ms
step:1537/3250 train_time:8.676s step_avg:5.64ms
step:1538/3250 train_time:8.829s step_avg:5.74ms
step:1539/3250 train_time:8.981s step_avg:5.84ms
step:1540/3250 train_time:9.133s step_avg:5.93ms
step:1541/3250 train_time:9.285s step_avg:6.03ms
step:1542/3250 train_time:9.438s step_avg:6.12ms
step:1543/3250 train_time:9.590s step_avg:6.21ms
step:1544/3250 train_time:9.742s step_avg:6.31ms
step:1545/3250 train_time:9.894s step_avg:6.40ms
step:1546/3250 train_time:10.048s step_avg:6.50ms
step:1547/3250 train_time:10.201s step_avg:6.59ms
step:1548/3250 train_time:10.353s step_avg:6.69ms
step:1549/3250 train_time:10.505s step_avg:6.78ms
step:1550/3250 train_time:10.658s step_avg:6.88ms
step:1551/3250 train_time:10.811s step_avg:6.97ms
step:1552/3250 train_time:10.963s step_avg:7.06ms
step:1553/3250 train_time:11.115s step_avg:7.16ms
step:1554/3250 train_time:11.268s step_avg:7.25ms
step:1555/3250 train_time:11.421s step_avg:7.34ms
step:1556/3250 train_time:11.573s step_avg:7.44ms
step:1557/3250 train_time:11.725s step_avg:7.53ms
step:1558/3250 train_time:11.878s step_avg:7.62ms
step:1559/3250 train_time:12.030s step_avg:7.72ms
step:1560/3250 train_time:12.183s step_avg:7.81ms
step:1561/3250 train_time:12.336s step_avg:7.90ms
step:1562/3250 train_time:12.487s step_avg:7.99ms
step:1563/3250 train_time:12.640s step_avg:8.09ms
step:1564/3250 train_time:12.792s step_avg:8.18ms
step:1565/3250 train_time:12.944s step_avg:8.27ms
step:1566/3250 train_time:13.098s step_avg:8.36ms
step:1567/3250 train_time:13.250s step_avg:8.46ms
step:1568/3250 train_time:13.403s step_avg:8.55ms
step:1569/3250 train_time:13.555s step_avg:8.64ms
step:1570/3250 train_time:13.708s step_avg:8.73ms
step:1571/3250 train_time:13.861s step_avg:8.82ms
step:1572/3250 train_time:14.013s step_avg:8.91ms
step:1573/3250 train_time:14.164s step_avg:9.00ms
step:1574/3250 train_time:14.317s step_avg:9.10ms
step:1575/3250 train_time:14.469s step_avg:9.19ms
step:1576/3250 train_time:14.622s step_avg:9.28ms
step:1577/3250 train_time:14.773s step_avg:9.37ms
step:1578/3250 train_time:14.926s step_avg:9.46ms
step:1579/3250 train_time:15.079s step_avg:9.55ms
step:1580/3250 train_time:15.232s step_avg:9.64ms
step:1581/3250 train_time:15.383s step_avg:9.73ms
step:1582/3250 train_time:15.537s step_avg:9.82ms
step:1583/3250 train_time:15.689s step_avg:9.91ms
step:1584/3250 train_time:15.841s step_avg:10.00ms
step:1585/3250 train_time:15.993s step_avg:10.09ms
step:1586/3250 train_time:16.148s step_avg:10.18ms
step:1587/3250 train_time:16.299s step_avg:10.27ms
step:1588/3250 train_time:16.451s step_avg:10.36ms
step:1589/3250 train_time:16.604s step_avg:10.45ms
step:1590/3250 train_time:16.755s step_avg:10.54ms
step:1591/3250 train_time:16.909s step_avg:10.63ms
step:1592/3250 train_time:17.063s step_avg:10.72ms
step:1593/3250 train_time:17.215s step_avg:10.81ms
step:1594/3250 train_time:17.367s step_avg:10.90ms
step:1595/3250 train_time:17.521s step_avg:10.98ms
step:1596/3250 train_time:17.673s step_avg:11.07ms
step:1597/3250 train_time:17.825s step_avg:11.16ms
step:1598/3250 train_time:17.977s step_avg:11.25ms
step:1599/3250 train_time:18.131s step_avg:11.34ms
step:1600/3250 train_time:18.284s step_avg:11.43ms
step:1601/3250 train_time:18.436s step_avg:11.52ms
step:1602/3250 train_time:18.590s step_avg:11.60ms
step:1603/3250 train_time:18.742s step_avg:11.69ms
step:1604/3250 train_time:18.894s step_avg:11.78ms
step:1605/3250 train_time:19.046s step_avg:11.87ms
step:1606/3250 train_time:19.199s step_avg:11.95ms
step:1607/3250 train_time:19.351s step_avg:12.04ms
step:1608/3250 train_time:19.505s step_avg:12.13ms
step:1609/3250 train_time:19.658s step_avg:12.22ms
step:1610/3250 train_time:19.810s step_avg:12.30ms
step:1611/3250 train_time:19.963s step_avg:12.39ms
step:1612/3250 train_time:20.115s step_avg:12.48ms
step:1613/3250 train_time:20.267s step_avg:12.56ms
step:1614/3250 train_time:20.420s step_avg:12.65ms
step:1615/3250 train_time:20.572s step_avg:12.74ms
step:1616/3250 train_time:20.725s step_avg:12.82ms
step:1617/3250 train_time:20.877s step_avg:12.91ms
step:1618/3250 train_time:21.030s step_avg:13.00ms
step:1619/3250 train_time:21.183s step_avg:13.08ms
step:1620/3250 train_time:21.335s step_avg:13.17ms
step:1621/3250 train_time:21.488s step_avg:13.26ms
step:1622/3250 train_time:21.640s step_avg:13.34ms
step:1623/3250 train_time:21.792s step_avg:13.43ms
step:1624/3250 train_time:21.948s step_avg:13.51ms
step:1625/3250 train_time:22.100s step_avg:13.60ms
step:1625/3250 val_loss:3.47711 train_time:22.112s step_avg:13.61ms
step:1626/3250 train_time:22.853s step_avg:14.05ms
step:1627/3250 train_time:22.992s step_avg:14.13ms
step:1628/3250 train_time:23.145s step_avg:14.22ms
step:1629/3250 train_time:23.298s step_avg:14.30ms
step:1630/3250 train_time:23.449s step_avg:14.39ms
step:1631/3250 train_time:23.601s step_avg:14.47ms
step:1632/3250 train_time:23.754s step_avg:14.56ms
step:1633/3250 train_time:23.906s step_avg:14.64ms
step:1634/3250 train_time:24.059s step_avg:14.72ms
step:1635/3250 train_time:24.212s step_avg:14.81ms
step:1636/3250 train_time:24.365s step_avg:14.89ms
step:1637/3250 train_time:24.519s step_avg:14.98ms
step:1638/3250 train_time:24.673s step_avg:15.06ms
step:1639/3250 train_time:24.825s step_avg:15.15ms
step:1640/3250 train_time:24.978s step_avg:15.23ms
step:1641/3250 train_time:25.129s step_avg:15.31ms
step:1642/3250 train_time:25.285s step_avg:15.40ms
step:1643/3250 train_time:25.438s step_avg:15.48ms
step:1644/3250 train_time:25.591s step_avg:15.57ms
step:1645/3250 train_time:25.745s step_avg:15.65ms
step:1646/3250 train_time:25.898s step_avg:15.73ms
step:1647/3250 train_time:26.050s step_avg:15.82ms
step:1648/3250 train_time:26.203s step_avg:15.90ms
step:1649/3250 train_time:26.356s step_avg:15.98ms
step:1650/3250 train_time:26.509s step_avg:16.07ms
