W0830 21:51:54.730000 7514 torch/distributed/run.py:852] 
W0830 21:51:54.730000 7514 torch/distributed/run.py:852] *****************************************
W0830 21:51:54.730000 7514 torch/distributed/run.py:852] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0830 21:51:54.730000 7514 torch/distributed/run.py:852] *****************************************
logs/f1e4d09f-6453-48ae-96b9-bb70395243b5.txt
resumed training state from step 1500 in eos_shared_state, skipped 1500 batches
step:0/3250 val_loss:3.51931 train_time:0.001s step_avg:nanms
learning_rates step:1500 [{'pattern': '^embed\\.weight$', 'lr': [0.45499999999999996]}, {'pattern': '^proj\\.weight$', 'lr': [0.0026000000000000003]}, {'pattern': '^blocks\\..*\\.weight$', 'lr': [0.01625]}, {'pattern': '.*', 'lr': [0.00975]}]
step:1501/3250 train_time:3.144s step_avg:2.09ms
learning_rates step:1501 [{'pattern': '^embed\\.weight$', 'lr': [0.45499999999999996]}, {'pattern': '^proj\\.weight$', 'lr': [0.0026000000000000003]}, {'pattern': '^blocks\\..*\\.weight$', 'lr': [0.01625]}, {'pattern': '.*', 'lr': [0.00975]}]
step:1502/3250 train_time:3.282s step_avg:2.19ms
step:1503/3250 train_time:3.434s step_avg:2.28ms
step:1504/3250 train_time:3.587s step_avg:2.38ms
step:1505/3250 train_time:3.740s step_avg:2.49ms
step:1506/3250 train_time:3.893s step_avg:2.58ms
step:1507/3250 train_time:4.046s step_avg:2.68ms
step:1508/3250 train_time:4.200s step_avg:2.78ms
step:1509/3250 train_time:4.352s step_avg:2.88ms
step:1510/3250 train_time:4.506s step_avg:2.98ms
step:1511/3250 train_time:4.659s step_avg:3.08ms
step:1512/3250 train_time:4.812s step_avg:3.18ms
step:1513/3250 train_time:4.967s step_avg:3.28ms
step:1514/3250 train_time:5.121s step_avg:3.38ms
step:1515/3250 train_time:5.273s step_avg:3.48ms
step:1516/3250 train_time:5.427s step_avg:3.58ms
step:1517/3250 train_time:5.580s step_avg:3.68ms
step:1518/3250 train_time:5.733s step_avg:3.78ms
step:1519/3250 train_time:5.886s step_avg:3.87ms
