=== eos_f1500_s077 : run.py configs/req019/eos_f1500_s077.yaml ===
W0830 11:53:49.562000 8237 torch/distributed/run.py:852] 
W0830 11:53:49.562000 8237 torch/distributed/run.py:852] *****************************************
W0830 11:53:49.562000 8237 torch/distributed/run.py:852] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0830 11:53:49.562000 8237 torch/distributed/run.py:852] *****************************************
logs/db973c53-7c4a-4f5a-a4f2-b51a43491a58.txt
resumed training state from step 1500 in eos_shared_state, skipped 1500 batches
step:0/3250 val_loss:3.52212 train_time:0.001s step_avg:nanms
learning_rates step:1500 [{'pattern': '^embed\\.weight$', 'lr': [0.5389999999999999]}, {'pattern': '^proj\\.weight$', 'lr': [0.0030800000000000003]}, {'pattern': '^blocks\\..*\\.weight$', 'lr': [0.019250000000000003]}, {'pattern': '.*', 'lr': [0.01155]}]
step:1501/3250 train_time:3.128s step_avg:2.08ms
learning_rates step:1501 [{'pattern': '^embed\\.weight$', 'lr': [0.5389999999999999]}, {'pattern': '^proj\\.weight$', 'lr': [0.0030800000000000003]}, {'pattern': '^blocks\\..*\\.weight$', 'lr': [0.019250000000000003]}, {'pattern': '.*', 'lr': [0.01155]}]
step:1502/3250 train_time:3.266s step_avg:2.17ms
step:1503/3250 train_time:3.418s step_avg:2.27ms
step:1504/3250 train_time:3.570s step_avg:2.37ms
step:1505/3250 train_time:3.722s step_avg:2.47ms
step:1506/3250 train_time:3.875s step_avg:2.57ms
step:1507/3250 train_time:4.029s step_avg:2.67ms
step:1508/3250 train_time:4.183s step_avg:2.77ms
step:1509/3250 train_time:4.336s step_avg:2.87ms
step:1510/3250 train_time:4.490s step_avg:2.97ms
step:1511/3250 train_time:4.642s step_avg:3.07ms
step:1512/3250 train_time:4.794s step_avg:3.17ms
step:1513/3250 train_time:4.949s step_avg:3.27ms
step:1514/3250 train_time:5.102s step_avg:3.37ms
step:1515/3250 train_time:5.256s step_avg:3.47ms
step:1516/3250 train_time:5.411s step_avg:3.57ms
step:1517/3250 train_time:5.566s step_avg:3.67ms
step:1518/3250 train_time:5.719s step_avg:3.77ms
step:1519/3250 train_time:5.873s step_avg:3.87ms
step:1520/3250 train_time:6.026s step_avg:3.96ms
step:1521/3250 train_time:6.214s step_avg:4.09ms
step:1522/3250 train_time:6.367s step_avg:4.18ms
step:1523/3250 train_time:6.520s step_avg:4.28ms
step:1524/3250 train_time:6.673s step_avg:4.38ms
step:1525/3250 train_time:6.825s step_avg:4.48ms
step:1526/3250 train_time:6.979s step_avg:4.57ms
step:1527/3250 train_time:7.133s step_avg:4.67ms
step:1528/3250 train_time:7.286s step_avg:4.77ms
step:1529/3250 train_time:7.441s step_avg:4.87ms
step:1530/3250 train_time:7.594s step_avg:4.96ms
step:1531/3250 train_time:7.748s step_avg:5.06ms
step:1532/3250 train_time:7.902s step_avg:5.16ms
step:1533/3250 train_time:8.057s step_avg:5.26ms
step:1534/3250 train_time:8.211s step_avg:5.35ms
step:1535/3250 train_time:8.365s step_avg:5.45ms
step:1536/3250 train_time:8.518s step_avg:5.55ms
step:1537/3250 train_time:8.671s step_avg:5.64ms
step:1538/3250 train_time:8.823s step_avg:5.74ms
step:1539/3250 train_time:8.978s step_avg:5.83ms
step:1540/3250 train_time:9.133s step_avg:5.93ms
step:1541/3250 train_time:9.288s step_avg:6.03ms
step:1542/3250 train_time:9.440s step_avg:6.12ms
step:1543/3250 train_time:9.594s step_avg:6.22ms
step:1544/3250 train_time:9.749s step_avg:6.31ms
step:1545/3250 train_time:9.904s step_avg:6.41ms
step:1546/3250 train_time:10.059s step_avg:6.51ms
step:1547/3250 train_time:10.213s step_avg:6.60ms
step:1548/3250 train_time:10.367s step_avg:6.70ms
step:1549/3250 train_time:10.520s step_avg:6.79ms
step:1550/3250 train_time:10.673s step_avg:6.89ms
step:1551/3250 train_time:10.827s step_avg:6.98ms
step:1552/3250 train_time:10.981s step_avg:7.08ms
step:1553/3250 train_time:11.135s step_avg:7.17ms
step:1554/3250 train_time:11.289s step_avg:7.26ms
step:1555/3250 train_time:11.443s step_avg:7.36ms
step:1556/3250 train_time:11.596s step_avg:7.45ms
step:1557/3250 train_time:11.749s step_avg:7.55ms
step:1558/3250 train_time:11.901s step_avg:7.64ms
step:1559/3250 train_time:12.054s step_avg:7.73ms
step:1560/3250 train_time:12.211s step_avg:7.83ms
step:1561/3250 train_time:12.365s step_avg:7.92ms
step:1562/3250 train_time:12.518s step_avg:8.01ms
step:1563/3250 train_time:12.671s step_avg:8.11ms
step:1564/3250 train_time:12.825s step_avg:8.20ms
step:1565/3250 train_time:12.979s step_avg:8.29ms
step:1566/3250 train_time:13.132s step_avg:8.39ms
step:1567/3250 train_time:13.288s step_avg:8.48ms
step:1568/3250 train_time:13.442s step_avg:8.57ms
step:1569/3250 train_time:13.596s step_avg:8.67ms
step:1570/3250 train_time:13.749s step_avg:8.76ms
step:1571/3250 train_time:13.903s step_avg:8.85ms
step:1572/3250 train_time:14.057s step_avg:8.94ms
step:1573/3250 train_time:14.211s step_avg:9.03ms
step:1574/3250 train_time:14.366s step_avg:9.13ms
step:1575/3250 train_time:14.519s step_avg:9.22ms
step:1576/3250 train_time:14.673s step_avg:9.31ms
step:1577/3250 train_time:14.828s step_avg:9.40ms
step:1578/3250 train_time:14.981s step_avg:9.49ms
step:1579/3250 train_time:15.135s step_avg:9.59ms
step:1580/3250 train_time:15.290s step_avg:9.68ms
step:1581/3250 train_time:15.443s step_avg:9.77ms
step:1582/3250 train_time:15.597s step_avg:9.86ms
step:1583/3250 train_time:15.750s step_avg:9.95ms
step:1584/3250 train_time:15.906s step_avg:10.04ms
step:1585/3250 train_time:16.061s step_avg:10.13ms
step:1586/3250 train_time:16.214s step_avg:10.22ms
step:1587/3250 train_time:16.369s step_avg:10.31ms
step:1588/3250 train_time:16.522s step_avg:10.40ms
step:1589/3250 train_time:16.676s step_avg:10.49ms
step:1590/3250 train_time:16.830s step_avg:10.59ms
step:1591/3250 train_time:16.984s step_avg:10.68ms
step:1592/3250 train_time:17.139s step_avg:10.77ms
step:1593/3250 train_time:17.293s step_avg:10.86ms
step:1594/3250 train_time:17.448s step_avg:10.95ms
step:1595/3250 train_time:17.601s step_avg:11.04ms
step:1596/3250 train_time:17.754s step_avg:11.12ms
step:1597/3250 train_time:17.909s step_avg:11.21ms
step:1598/3250 train_time:18.063s step_avg:11.30ms
step:1599/3250 train_time:18.217s step_avg:11.39ms
step:1600/3250 train_time:18.371s step_avg:11.48ms
step:1601/3250 train_time:18.524s step_avg:11.57ms
step:1602/3250 train_time:18.679s step_avg:11.66ms
step:1603/3250 train_time:18.833s step_avg:11.75ms
step:1604/3250 train_time:18.990s step_avg:11.84ms
step:1605/3250 train_time:19.143s step_avg:11.93ms
step:1606/3250 train_time:19.297s step_avg:12.02ms
step:1607/3250 train_time:19.451s step_avg:12.10ms
step:1608/3250 train_time:19.604s step_avg:12.19ms
step:1609/3250 train_time:19.759s step_avg:12.28ms
step:1610/3250 train_time:19.915s step_avg:12.37ms
step:1611/3250 train_time:20.069s step_avg:12.46ms
step:1612/3250 train_time:20.222s step_avg:12.54ms
