W0830 21:55:48.867000 8592 torch/distributed/run.py:852] 
W0830 21:55:48.867000 8592 torch/distributed/run.py:852] *****************************************
W0830 21:55:48.867000 8592 torch/distributed/run.py:852] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0830 21:55:48.867000 8592 torch/distributed/run.py:852] *****************************************
logs/77140296-462e-4d99-b843-cd438acfac20.txt
resumed training state from step 1500 in eos_shared_state, skipped 1500 batches
step:0/3250 val_loss:3.51931 train_time:0.001s step_avg:nanms
learning_rates step:1500 [{'pattern': '^embed\\.weight$', 'lr': [0.595]}, {'pattern': '^proj\\.weight$', 'lr': [0.0034]}, {'pattern': '^blocks\\..*\\.weight$', 'lr': [0.02125]}, {'pattern': '.*', 'lr': [0.01275]}]
step:1501/3250 train_time:3.321s step_avg:2.21ms
learning_rates step:1501 [{'pattern': '^embed\\.weight$', 'lr': [0.595]}, {'pattern': '^proj\\.weight$', 'lr': [0.0034]}, {'pattern': '^blocks\\..*\\.weight$', 'lr': [0.02125]}, {'pattern': '.*', 'lr': [0.01275]}]
step:1502/3250 train_time:3.459s step_avg:2.30ms
step:1503/3250 train_time:3.611s step_avg:2.40ms
step:1504/3250 train_time:3.764s step_avg:2.50ms
step:1505/3250 train_time:3.918s step_avg:2.60ms
step:1506/3250 train_time:4.069s step_avg:2.70ms
step:1507/3250 train_time:4.224s step_avg:2.80ms
step:1508/3250 train_time:4.377s step_avg:2.90ms
step:1509/3250 train_time:4.529s step_avg:3.00ms
step:1510/3250 train_time:4.683s step_avg:3.10ms
step:1511/3250 train_time:4.835s step_avg:3.20ms
step:1512/3250 train_time:4.989s step_avg:3.30ms
step:1513/3250 train_time:5.142s step_avg:3.40ms
step:1514/3250 train_time:5.295s step_avg:3.50ms
step:1515/3250 train_time:5.448s step_avg:3.60ms
step:1516/3250 train_time:5.600s step_avg:3.69ms
step:1517/3250 train_time:5.752s step_avg:3.79ms
step:1518/3250 train_time:5.907s step_avg:3.89ms
step:1519/3250 train_time:6.060s step_avg:3.99ms
step:1520/3250 train_time:6.212s step_avg:4.09ms
step:1521/3250 train_time:6.400s step_avg:4.21ms
step:1522/3250 train_time:6.552s step_avg:4.30ms
step:1523/3250 train_time:6.706s step_avg:4.40ms
step:1524/3250 train_time:6.859s step_avg:4.50ms
step:1525/3250 train_time:7.012s step_avg:4.60ms
step:1526/3250 train_time:7.165s step_avg:4.70ms
step:1527/3250 train_time:7.318s step_avg:4.79ms
step:1528/3250 train_time:7.470s step_avg:4.89ms
step:1529/3250 train_time:7.627s step_avg:4.99ms
step:1530/3250 train_time:7.779s step_avg:5.08ms
step:1531/3250 train_time:7.932s step_avg:5.18ms
step:1532/3250 train_time:8.086s step_avg:5.28ms
step:1533/3250 train_time:8.239s step_avg:5.37ms
step:1534/3250 train_time:8.392s step_avg:5.47ms
step:1535/3250 train_time:8.546s step_avg:5.57ms
step:1536/3250 train_time:8.698s step_avg:5.66ms
step:1537/3250 train_time:8.851s step_avg:5.76ms
step:1538/3250 train_time:9.003s step_avg:5.85ms
step:1539/3250 train_time:9.156s step_avg:5.95ms
step:1540/3250 train_time:9.309s step_avg:6.04ms
step:1541/3250 train_time:9.462s step_avg:6.14ms
step:1542/3250 train_time:9.616s step_avg:6.24ms
step:1543/3250 train_time:9.768s step_avg:6.33ms
step:1544/3250 train_time:9.921s step_avg:6.43ms
step:1545/3250 train_time:10.074s step_avg:6.52ms
step:1546/3250 train_time:10.227s step_avg:6.62ms
step:1547/3250 train_time:10.381s step_avg:6.71ms
step:1548/3250 train_time:10.534s step_avg:6.80ms
step:1549/3250 train_time:10.687s step_avg:6.90ms
step:1550/3250 train_time:10.840s step_avg:6.99ms
