W0830 22:15:22.038000 13390 torch/distributed/run.py:852] 
W0830 22:15:22.038000 13390 torch/distributed/run.py:852] *****************************************
W0830 22:15:22.038000 13390 torch/distributed/run.py:852] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0830 22:15:22.038000 13390 torch/distributed/run.py:852] *****************************************
logs/0c9931a3-4b25-4213-86e7-84dd153ee2d9.txt
resumed training state from step 1500 in eos_shared_state, skipped 1500 batches
step:0/3250 val_loss:3.51931 train_time:0.001s step_avg:nanms
learning_rates step:1500 [{'pattern': '^embed\\.weight$', 'lr': [0.595]}, {'pattern': '^proj\\.weight$', 'lr': [0.0034]}, {'pattern': '^blocks\\..*\\.weight$', 'lr': [0.02125]}, {'pattern': '.*', 'lr': [0.01275]}]
step:1501/3250 train_time:3.279s step_avg:2.18ms
learning_rates step:1501 [{'pattern': '^embed\\.weight$', 'lr': [0.595]}, {'pattern': '^proj\\.weight$', 'lr': [0.0034]}, {'pattern': '^blocks\\..*\\.weight$', 'lr': [0.02125]}, {'pattern': '.*', 'lr': [0.01275]}]
step:1502/3250 train_time:3.419s step_avg:2.28ms
step:1503/3250 train_time:3.571s step_avg:2.38ms
step:1504/3250 train_time:3.724s step_avg:2.48ms
step:1505/3250 train_time:3.876s step_avg:2.58ms
step:1506/3250 train_time:4.030s step_avg:2.68ms
step:1507/3250 train_time:4.184s step_avg:2.78ms
step:1508/3250 train_time:4.336s step_avg:2.88ms
step:1509/3250 train_time:4.488s step_avg:2.97ms
step:1510/3250 train_time:4.641s step_avg:3.07ms
step:1511/3250 train_time:4.793s step_avg:3.17ms
step:1512/3250 train_time:4.946s step_avg:3.27ms
step:1513/3250 train_time:5.098s step_avg:3.37ms
step:1514/3250 train_time:5.253s step_avg:3.47ms
step:1515/3250 train_time:5.405s step_avg:3.57ms
step:1516/3250 train_time:5.558s step_avg:3.67ms
step:1517/3250 train_time:5.711s step_avg:3.76ms
step:1518/3250 train_time:5.865s step_avg:3.86ms
step:1519/3250 train_time:6.018s step_avg:3.96ms
step:1520/3250 train_time:6.171s step_avg:4.06ms
step:1521/3250 train_time:6.362s step_avg:4.18ms
