W0830 21:59:44.295000 9538 torch/distributed/run.py:852] 
W0830 21:59:44.295000 9538 torch/distributed/run.py:852] *****************************************
W0830 21:59:44.295000 9538 torch/distributed/run.py:852] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0830 21:59:44.295000 9538 torch/distributed/run.py:852] *****************************************
logs/4b13a345-748c-4ecf-86f3-87d8ccc04739.txt
resumed training state from step 1500 in eos_shared_state, skipped 1500 batches
step:0/3250 val_loss:3.51931 train_time:0.001s step_avg:nanms
learning_rates step:1500 [{'pattern': '^embed\\.weight$', 'lr': [0.63]}, {'pattern': '^proj\\.weight$', 'lr': [0.0036000000000000003]}, {'pattern': '^blocks\\..*\\.weight$', 'lr': [0.022500000000000003]}, {'pattern': '.*', 'lr': [0.0135]}]
step:1501/3250 train_time:3.366s step_avg:2.24ms
learning_rates step:1501 [{'pattern': '^embed\\.weight$', 'lr': [0.63]}, {'pattern': '^proj\\.weight$', 'lr': [0.0036000000000000003]}, {'pattern': '^blocks\\..*\\.weight$', 'lr': [0.022500000000000003]}, {'pattern': '.*', 'lr': [0.0135]}]
step:1502/3250 train_time:3.509s step_avg:2.34ms
step:1503/3250 train_time:3.661s step_avg:2.44ms
step:1504/3250 train_time:3.814s step_avg:2.54ms
step:1505/3250 train_time:3.967s step_avg:2.64ms
step:1506/3250 train_time:4.119s step_avg:2.73ms
step:1507/3250 train_time:4.271s step_avg:2.83ms
step:1508/3250 train_time:4.424s step_avg:2.93ms
step:1509/3250 train_time:4.576s step_avg:3.03ms
step:1510/3250 train_time:4.729s step_avg:3.13ms
step:1511/3250 train_time:4.881s step_avg:3.23ms
step:1512/3250 train_time:5.035s step_avg:3.33ms
step:1513/3250 train_time:5.188s step_avg:3.43ms
step:1514/3250 train_time:5.342s step_avg:3.53ms
step:1515/3250 train_time:5.496s step_avg:3.63ms
step:1516/3250 train_time:5.650s step_avg:3.73ms
step:1517/3250 train_time:5.803s step_avg:3.83ms
step:1518/3250 train_time:5.956s step_avg:3.92ms
step:1519/3250 train_time:6.108s step_avg:4.02ms
step:1520/3250 train_time:6.261s step_avg:4.12ms
step:1521/3250 train_time:6.448s step_avg:4.24ms
step:1522/3250 train_time:6.599s step_avg:4.34ms
step:1523/3250 train_time:6.753s step_avg:4.43ms
step:1524/3250 train_time:6.906s step_avg:4.53ms
step:1525/3250 train_time:7.059s step_avg:4.63ms
step:1526/3250 train_time:7.211s step_avg:4.73ms
step:1527/3250 train_time:7.364s step_avg:4.82ms
step:1528/3250 train_time:7.518s step_avg:4.92ms
step:1529/3250 train_time:7.672s step_avg:5.02ms
step:1530/3250 train_time:7.828s step_avg:5.12ms
step:1531/3250 train_time:7.981s step_avg:5.21ms
step:1532/3250 train_time:8.135s step_avg:5.31ms
step:1533/3250 train_time:8.288s step_avg:5.41ms
step:1534/3250 train_time:8.442s step_avg:5.50ms
step:1535/3250 train_time:8.595s step_avg:5.60ms
step:1536/3250 train_time:8.748s step_avg:5.70ms
step:1537/3250 train_time:8.901s step_avg:5.79ms
step:1538/3250 train_time:9.056s step_avg:5.89ms
step:1539/3250 train_time:9.209s step_avg:5.98ms
step:1540/3250 train_time:9.363s step_avg:6.08ms
step:1541/3250 train_time:9.517s step_avg:6.18ms
step:1542/3250 train_time:9.671s step_avg:6.27ms
step:1543/3250 train_time:9.826s step_avg:6.37ms
step:1544/3250 train_time:9.979s step_avg:6.46ms
step:1545/3250 train_time:10.132s step_avg:6.56ms
step:1546/3250 train_time:10.286s step_avg:6.65ms
step:1547/3250 train_time:10.439s step_avg:6.75ms
step:1548/3250 train_time:10.592s step_avg:6.84ms
step:1549/3250 train_time:10.747s step_avg:6.94ms
step:1550/3250 train_time:10.900s step_avg:7.03ms
step:1551/3250 train_time:11.053s step_avg:7.13ms
step:1552/3250 train_time:11.208s step_avg:7.22ms
step:1553/3250 train_time:11.361s step_avg:7.32ms
step:1554/3250 train_time:11.514s step_avg:7.41ms
step:1555/3250 train_time:11.668s step_avg:7.50ms
step:1556/3250 train_time:11.821s step_avg:7.60ms
step:1557/3250 train_time:11.975s step_avg:7.69ms
step:1558/3250 train_time:12.129s step_avg:7.78ms
step:1559/3250 train_time:12.281s step_avg:7.88ms
step:1560/3250 train_time:12.435s step_avg:7.97ms
step:1561/3250 train_time:12.588s step_avg:8.06ms
step:1562/3250 train_time:12.742s step_avg:8.16ms
step:1563/3250 train_time:12.896s step_avg:8.25ms
step:1564/3250 train_time:13.050s step_avg:8.34ms
step:1565/3250 train_time:13.204s step_avg:8.44ms
step:1566/3250 train_time:13.357s step_avg:8.53ms
step:1567/3250 train_time:13.510s step_avg:8.62ms
step:1568/3250 train_time:13.663s step_avg:8.71ms
step:1569/3250 train_time:13.817s step_avg:8.81ms
step:1570/3250 train_time:13.970s step_avg:8.90ms
step:1571/3250 train_time:14.123s step_avg:8.99ms
step:1572/3250 train_time:14.277s step_avg:9.08ms
step:1573/3250 train_time:14.430s step_avg:9.17ms
step:1574/3250 train_time:14.582s step_avg:9.26ms
step:1575/3250 train_time:14.736s step_avg:9.36ms
step:1576/3250 train_time:14.889s step_avg:9.45ms
step:1577/3250 train_time:15.045s step_avg:9.54ms
step:1578/3250 train_time:15.197s step_avg:9.63ms
step:1579/3250 train_time:15.351s step_avg:9.72ms
step:1580/3250 train_time:15.504s step_avg:9.81ms
step:1581/3250 train_time:15.658s step_avg:9.90ms
step:1582/3250 train_time:15.812s step_avg:9.99ms
step:1583/3250 train_time:15.965s step_avg:10.09ms
step:1584/3250 train_time:16.119s step_avg:10.18ms
step:1585/3250 train_time:16.273s step_avg:10.27ms
step:1586/3250 train_time:16.428s step_avg:10.36ms
step:1587/3250 train_time:16.581s step_avg:10.45ms
