=== eos_f1500_s100 : run.py configs/req019/eos_f1500_s100.yaml ===
W0830 11:57:44.608000 9166 torch/distributed/run.py:852] 
W0830 11:57:44.608000 9166 torch/distributed/run.py:852] *****************************************
W0830 11:57:44.608000 9166 torch/distributed/run.py:852] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0830 11:57:44.608000 9166 torch/distributed/run.py:852] *****************************************
logs/2b1298e1-ebff-47b1-9c1d-15a780fdfc3d.txt
resumed training state from step 1500 in eos_shared_state, skipped 1500 batches
step:0/3250 val_loss:3.52212 train_time:0.001s step_avg:nanms
learning_rates step:1500 [{'pattern': '^embed\\.weight$', 'lr': [0.7]}, {'pattern': '^proj\\.weight$', 'lr': [0.004]}, {'pattern': '^blocks\\..*\\.weight$', 'lr': [0.025]}, {'pattern': '.*', 'lr': [0.015]}]
step:1501/3250 train_time:3.137s step_avg:2.09ms
learning_rates step:1501 [{'pattern': '^embed\\.weight$', 'lr': [0.7]}, {'pattern': '^proj\\.weight$', 'lr': [0.004]}, {'pattern': '^blocks\\..*\\.weight$', 'lr': [0.025]}, {'pattern': '.*', 'lr': [0.015]}]
step:1502/3250 train_time:3.276s step_avg:2.18ms
step:1503/3250 train_time:3.430s step_avg:2.28ms
step:1504/3250 train_time:3.585s step_avg:2.38ms
step:1505/3250 train_time:3.737s step_avg:2.48ms
step:1506/3250 train_time:3.889s step_avg:2.58ms
step:1507/3250 train_time:4.043s step_avg:2.68ms
step:1508/3250 train_time:4.196s step_avg:2.78ms
step:1509/3250 train_time:4.348s step_avg:2.88ms
step:1510/3250 train_time:4.504s step_avg:2.98ms
step:1511/3250 train_time:4.656s step_avg:3.08ms
step:1512/3250 train_time:4.809s step_avg:3.18ms
step:1513/3250 train_time:4.964s step_avg:3.28ms
step:1514/3250 train_time:5.122s step_avg:3.38ms
step:1515/3250 train_time:5.270s step_avg:3.48ms
step:1516/3250 train_time:5.424s step_avg:3.58ms
step:1517/3250 train_time:5.576s step_avg:3.68ms
step:1518/3250 train_time:5.730s step_avg:3.77ms
step:1519/3250 train_time:5.884s step_avg:3.87ms
step:1520/3250 train_time:6.037s step_avg:3.97ms
step:1521/3250 train_time:6.235s step_avg:4.10ms
step:1522/3250 train_time:6.388s step_avg:4.20ms
step:1523/3250 train_time:6.540s step_avg:4.29ms
step:1524/3250 train_time:6.692s step_avg:4.39ms
step:1525/3250 train_time:6.845s step_avg:4.49ms
step:1526/3250 train_time:6.999s step_avg:4.59ms
step:1527/3250 train_time:7.155s step_avg:4.69ms
step:1528/3250 train_time:7.308s step_avg:4.78ms
step:1529/3250 train_time:7.464s step_avg:4.88ms
step:1530/3250 train_time:7.617s step_avg:4.98ms
step:1531/3250 train_time:7.770s step_avg:5.08ms
step:1532/3250 train_time:7.924s step_avg:5.17ms
step:1533/3250 train_time:8.077s step_avg:5.27ms
step:1534/3250 train_time:8.231s step_avg:5.37ms
step:1535/3250 train_time:8.386s step_avg:5.46ms
step:1536/3250 train_time:8.539s step_avg:5.56ms
step:1537/3250 train_time:8.693s step_avg:5.66ms
step:1538/3250 train_time:8.846s step_avg:5.75ms
step:1539/3250 train_time:9.000s step_avg:5.85ms
step:1540/3250 train_time:9.154s step_avg:5.94ms
step:1541/3250 train_time:9.309s step_avg:6.04ms
step:1542/3250 train_time:9.464s step_avg:6.14ms
step:1543/3250 train_time:9.616s step_avg:6.23ms
step:1544/3250 train_time:9.770s step_avg:6.33ms
step:1545/3250 train_time:9.924s step_avg:6.42ms
step:1546/3250 train_time:10.077s step_avg:6.52ms
step:1547/3250 train_time:10.231s step_avg:6.61ms
step:1548/3250 train_time:10.385s step_avg:6.71ms
