=== eos_f1500_s100dup : run.py configs/req019/eos_f1500_s100dup.yaml ===
W0830 12:01:41.156000 10033 torch/distributed/run.py:852] 
W0830 12:01:41.156000 10033 torch/distributed/run.py:852] *****************************************
W0830 12:01:41.156000 10033 torch/distributed/run.py:852] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0830 12:01:41.156000 10033 torch/distributed/run.py:852] *****************************************
logs/32ffcb8c-ffa5-4244-9ab5-79f59751b128.txt
resumed training state from step 1500 in eos_shared_state, skipped 1500 batches
step:0/3250 val_loss:3.52212 train_time:0.001s step_avg:nanms
learning_rates step:1500 [{'pattern': '^embed\\.weight$', 'lr': [0.7]}, {'pattern': '^proj\\.weight$', 'lr': [0.004]}, {'pattern': '^blocks\\..*\\.weight$', 'lr': [0.025]}, {'pattern': '.*', 'lr': [0.015]}]
step:1501/3250 train_time:2.899s step_avg:1.93ms
learning_rates step:1501 [{'pattern': '^embed\\.weight$', 'lr': [0.7]}, {'pattern': '^proj\\.weight$', 'lr': [0.004]}, {'pattern': '^blocks\\..*\\.weight$', 'lr': [0.025]}, {'pattern': '.*', 'lr': [0.015]}]
step:1502/3250 train_time:3.038s step_avg:2.02ms
step:1503/3250 train_time:3.190s step_avg:2.12ms
step:1504/3250 train_time:3.343s step_avg:2.22ms
step:1505/3250 train_time:3.495s step_avg:2.32ms
step:1506/3250 train_time:3.647s step_avg:2.42ms
step:1507/3250 train_time:3.801s step_avg:2.52ms
step:1508/3250 train_time:3.955s step_avg:2.62ms
step:1509/3250 train_time:4.108s step_avg:2.72ms
step:1510/3250 train_time:4.263s step_avg:2.82ms
step:1511/3250 train_time:4.415s step_avg:2.92ms
step:1512/3250 train_time:4.568s step_avg:3.02ms
step:1513/3250 train_time:4.721s step_avg:3.12ms
step:1514/3250 train_time:4.875s step_avg:3.22ms
step:1515/3250 train_time:5.029s step_avg:3.32ms
step:1516/3250 train_time:5.183s step_avg:3.42ms
step:1517/3250 train_time:5.337s step_avg:3.52ms
step:1518/3250 train_time:5.489s step_avg:3.62ms
step:1519/3250 train_time:5.642s step_avg:3.71ms
step:1520/3250 train_time:5.795s step_avg:3.81ms
step:1521/3250 train_time:5.987s step_avg:3.94ms
step:1522/3250 train_time:6.140s step_avg:4.03ms
step:1523/3250 train_time:6.292s step_avg:4.13ms
step:1524/3250 train_time:6.445s step_avg:4.23ms
step:1525/3250 train_time:6.598s step_avg:4.33ms
step:1526/3250 train_time:6.752s step_avg:4.42ms
step:1527/3250 train_time:6.906s step_avg:4.52ms
step:1528/3250 train_time:7.062s step_avg:4.62ms
step:1529/3250 train_time:7.214s step_avg:4.72ms
step:1530/3250 train_time:7.367s step_avg:4.82ms
step:1531/3250 train_time:7.522s step_avg:4.91ms
step:1532/3250 train_time:7.675s step_avg:5.01ms
step:1533/3250 train_time:7.830s step_avg:5.11ms
step:1534/3250 train_time:7.985s step_avg:5.21ms
step:1535/3250 train_time:8.139s step_avg:5.30ms
step:1536/3250 train_time:8.292s step_avg:5.40ms
step:1537/3250 train_time:8.446s step_avg:5.49ms
step:1538/3250 train_time:8.600s step_avg:5.59ms
step:1539/3250 train_time:8.755s step_avg:5.69ms
step:1540/3250 train_time:8.910s step_avg:5.79ms
step:1541/3250 train_time:9.064s step_avg:5.88ms
step:1542/3250 train_time:9.218s step_avg:5.98ms
step:1543/3250 train_time:9.371s step_avg:6.07ms
step:1544/3250 train_time:9.525s step_avg:6.17ms
step:1545/3250 train_time:9.680s step_avg:6.27ms
step:1546/3250 train_time:9.834s step_avg:6.36ms
step:1547/3250 train_time:9.989s step_avg:6.46ms
step:1548/3250 train_time:10.142s step_avg:6.55ms
step:1549/3250 train_time:10.295s step_avg:6.65ms
step:1550/3250 train_time:10.450s step_avg:6.74ms
step:1551/3250 train_time:10.605s step_avg:6.84ms
step:1552/3250 train_time:10.761s step_avg:6.93ms
step:1553/3250 train_time:10.914s step_avg:7.03ms
step:1554/3250 train_time:11.067s step_avg:7.12ms
step:1555/3250 train_time:11.221s step_avg:7.22ms
step:1556/3250 train_time:11.375s step_avg:7.31ms
step:1557/3250 train_time:11.530s step_avg:7.40ms
step:1558/3250 train_time:11.684s step_avg:7.50ms
step:1559/3250 train_time:11.840s step_avg:7.59ms
step:1560/3250 train_time:11.992s step_avg:7.69ms
step:1561/3250 train_time:12.146s step_avg:7.78ms
step:1562/3250 train_time:12.300s step_avg:7.87ms
step:1563/3250 train_time:12.453s step_avg:7.97ms
step:1564/3250 train_time:12.607s step_avg:8.06ms
step:1565/3250 train_time:12.762s step_avg:8.15ms
step:1566/3250 train_time:12.916s step_avg:8.25ms
step:1567/3250 train_time:13.070s step_avg:8.34ms
step:1568/3250 train_time:13.223s step_avg:8.43ms
step:1569/3250 train_time:13.377s step_avg:8.53ms
step:1570/3250 train_time:13.531s step_avg:8.62ms
step:1571/3250 train_time:13.685s step_avg:8.71ms
step:1572/3250 train_time:13.840s step_avg:8.80ms
step:1573/3250 train_time:13.993s step_avg:8.90ms
step:1574/3250 train_time:14.148s step_avg:8.99ms
step:1575/3250 train_time:14.302s step_avg:9.08ms
step:1576/3250 train_time:14.456s step_avg:9.17ms
step:1577/3250 train_time:14.610s step_avg:9.26ms
step:1578/3250 train_time:14.765s step_avg:9.36ms
step:1579/3250 train_time:14.920s step_avg:9.45ms
step:1580/3250 train_time:15.074s step_avg:9.54ms
step:1581/3250 train_time:15.229s step_avg:9.63ms
step:1582/3250 train_time:15.383s step_avg:9.72ms
step:1583/3250 train_time:15.537s step_avg:9.81ms
step:1584/3250 train_time:15.690s step_avg:9.91ms
step:1585/3250 train_time:15.844s step_avg:10.00ms
step:1586/3250 train_time:15.998s step_avg:10.09ms
step:1587/3250 train_time:16.151s step_avg:10.18ms
step:1588/3250 train_time:16.305s step_avg:10.27ms
step:1589/3250 train_time:16.461s step_avg:10.36ms
step:1590/3250 train_time:16.615s step_avg:10.45ms
step:1591/3250 train_time:16.769s step_avg:10.54ms
step:1592/3250 train_time:16.922s step_avg:10.63ms
step:1593/3250 train_time:17.076s step_avg:10.72ms
step:1594/3250 train_time:17.231s step_avg:10.81ms
step:1595/3250 train_time:17.385s step_avg:10.90ms
step:1596/3250 train_time:17.540s step_avg:10.99ms
step:1597/3250 train_time:17.693s step_avg:11.08ms
step:1598/3250 train_time:17.846s step_avg:11.17ms
step:1599/3250 train_time:18.001s step_avg:11.26ms
step:1600/3250 train_time:18.155s step_avg:11.35ms
step:1601/3250 train_time:18.309s step_avg:11.44ms
step:1602/3250 train_time:18.464s step_avg:11.53ms
step:1603/3250 train_time:18.618s step_avg:11.61ms
step:1604/3250 train_time:18.772s step_avg:11.70ms
step:1605/3250 train_time:18.925s step_avg:11.79ms
step:1606/3250 train_time:19.079s step_avg:11.88ms
step:1607/3250 train_time:19.233s step_avg:11.97ms
step:1608/3250 train_time:19.386s step_avg:12.06ms
step:1609/3250 train_time:19.542s step_avg:12.15ms
step:1610/3250 train_time:19.695s step_avg:12.23ms
step:1611/3250 train_time:19.850s step_avg:12.32ms
step:1612/3250 train_time:20.005s step_avg:12.41ms
step:1613/3250 train_time:20.160s step_avg:12.50ms
step:1614/3250 train_time:20.313s step_avg:12.59ms
step:1615/3250 train_time:20.466s step_avg:12.67ms
step:1616/3250 train_time:20.620s step_avg:12.76ms
step:1617/3250 train_time:20.773s step_avg:12.85ms
step:1618/3250 train_time:20.928s step_avg:12.93ms
step:1619/3250 train_time:21.082s step_avg:13.02ms
step:1620/3250 train_time:21.236s step_avg:13.11ms
step:1621/3250 train_time:21.390s step_avg:13.20ms
step:1622/3250 train_time:21.545s step_avg:13.28ms
step:1623/3250 train_time:21.699s step_avg:13.37ms
step:1624/3250 train_time:21.853s step_avg:13.46ms
step:1625/3250 train_time:22.007s step_avg:13.54ms
step:1625/3250 val_loss:3.56493 train_time:22.019s step_avg:13.55ms
step:1626/3250 train_time:22.758s step_avg:14.00ms
step:1627/3250 train_time:22.900s step_avg:14.07ms
step:1628/3250 train_time:23.052s step_avg:14.16ms
step:1629/3250 train_time:23.205s step_avg:14.24ms
step:1630/3250 train_time:23.358s step_avg:14.33ms
step:1631/3250 train_time:23.513s step_avg:14.42ms
step:1632/3250 train_time:23.667s step_avg:14.50ms
step:1633/3250 train_time:23.820s step_avg:14.59ms
step:1634/3250 train_time:23.975s step_avg:14.67ms
step:1635/3250 train_time:24.128s step_avg:14.76ms
step:1636/3250 train_time:24.283s step_avg:14.84ms
step:1637/3250 train_time:24.436s step_avg:14.93ms
step:1638/3250 train_time:24.590s step_avg:15.01ms
step:1639/3250 train_time:24.743s step_avg:15.10ms
step:1640/3250 train_time:24.898s step_avg:15.18ms
step:1641/3250 train_time:25.052s step_avg:15.27ms
step:1642/3250 train_time:25.205s step_avg:15.35ms
step:1643/3250 train_time:25.359s step_avg:15.43ms
