W0830 22:03:38.935000 10511 torch/distributed/run.py:852] 
W0830 22:03:38.935000 10511 torch/distributed/run.py:852] *****************************************
W0830 22:03:38.935000 10511 torch/distributed/run.py:852] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0830 22:03:38.935000 10511 torch/distributed/run.py:852] *****************************************
logs/6e1dfd6c-1258-44dc-9fa9-48f108b04d29.txt
resumed training state from step 1500 in eos_shared_state, skipped 1500 batches
step:0/3250 val_loss:3.51931 train_time:0.001s step_avg:nanms
learning_rates step:1500 [{'pattern': '^embed\\.weight$', 'lr': [0.77]}, {'pattern': '^proj\\.weight$', 'lr': [0.0044]}, {'pattern': '^blocks\\..*\\.weight$', 'lr': [0.027500000000000004]}, {'pattern': '.*', 'lr': [0.0165]}]
step:1501/3250 train_time:3.060s step_avg:2.04ms
learning_rates step:1501 [{'pattern': '^embed\\.weight$', 'lr': [0.77]}, {'pattern': '^proj\\.weight$', 'lr': [0.0044]}, {'pattern': '^blocks\\..*\\.weight$', 'lr': [0.027500000000000004]}, {'pattern': '.*', 'lr': [0.0165]}]
step:1502/3250 train_time:3.199s step_avg:2.13ms
step:1503/3250 train_time:3.351s step_avg:2.23ms
step:1504/3250 train_time:3.502s step_avg:2.33ms
step:1505/3250 train_time:3.656s step_avg:2.43ms
step:1506/3250 train_time:3.808s step_avg:2.53ms
step:1507/3250 train_time:3.962s step_avg:2.63ms
step:1508/3250 train_time:4.117s step_avg:2.73ms
step:1509/3250 train_time:4.268s step_avg:2.83ms
step:1510/3250 train_time:4.422s step_avg:2.93ms
step:1511/3250 train_time:4.575s step_avg:3.03ms
step:1512/3250 train_time:4.727s step_avg:3.13ms
step:1513/3250 train_time:4.881s step_avg:3.23ms
step:1514/3250 train_time:5.036s step_avg:3.33ms
step:1515/3250 train_time:5.189s step_avg:3.43ms
step:1516/3250 train_time:5.343s step_avg:3.52ms
step:1517/3250 train_time:5.495s step_avg:3.62ms
step:1518/3250 train_time:5.648s step_avg:3.72ms
step:1519/3250 train_time:5.804s step_avg:3.82ms
step:1520/3250 train_time:5.958s step_avg:3.92ms
step:1521/3250 train_time:6.142s step_avg:4.04ms
step:1522/3250 train_time:6.295s step_avg:4.14ms
step:1523/3250 train_time:6.447s step_avg:4.23ms
step:1524/3250 train_time:6.600s step_avg:4.33ms
step:1525/3250 train_time:6.752s step_avg:4.43ms
step:1526/3250 train_time:6.907s step_avg:4.53ms
step:1527/3250 train_time:7.059s step_avg:4.62ms
step:1528/3250 train_time:7.214s step_avg:4.72ms
step:1529/3250 train_time:7.366s step_avg:4.82ms
step:1530/3250 train_time:7.520s step_avg:4.91ms
step:1531/3250 train_time:7.673s step_avg:5.01ms
step:1532/3250 train_time:7.827s step_avg:5.11ms
step:1533/3250 train_time:7.979s step_avg:5.21ms
step:1534/3250 train_time:8.134s step_avg:5.30ms
step:1535/3250 train_time:8.287s step_avg:5.40ms
step:1536/3250 train_time:8.441s step_avg:5.50ms
step:1537/3250 train_time:8.595s step_avg:5.59ms
step:1538/3250 train_time:8.748s step_avg:5.69ms
step:1539/3250 train_time:8.902s step_avg:5.78ms
step:1540/3250 train_time:9.056s step_avg:5.88ms
step:1541/3250 train_time:9.209s step_avg:5.98ms
step:1542/3250 train_time:9.362s step_avg:6.07ms
step:1543/3250 train_time:9.517s step_avg:6.17ms
step:1544/3250 train_time:9.669s step_avg:6.26ms
step:1545/3250 train_time:9.823s step_avg:6.36ms
step:1546/3250 train_time:9.976s step_avg:6.45ms
step:1547/3250 train_time:10.129s step_avg:6.55ms
step:1548/3250 train_time:10.283s step_avg:6.64ms
step:1549/3250 train_time:10.437s step_avg:6.74ms
step:1550/3250 train_time:10.589s step_avg:6.83ms
step:1551/3250 train_time:10.743s step_avg:6.93ms
step:1552/3250 train_time:10.895s step_avg:7.02ms
step:1553/3250 train_time:11.049s step_avg:7.11ms
step:1554/3250 train_time:11.204s step_avg:7.21ms
step:1555/3250 train_time:11.357s step_avg:7.30ms
step:1556/3250 train_time:11.511s step_avg:7.40ms
step:1557/3250 train_time:11.664s step_avg:7.49ms
step:1558/3250 train_time:11.817s step_avg:7.58ms
step:1559/3250 train_time:11.970s step_avg:7.68ms
step:1560/3250 train_time:12.123s step_avg:7.77ms
step:1561/3250 train_time:12.276s step_avg:7.86ms
step:1562/3250 train_time:12.429s step_avg:7.96ms
step:1563/3250 train_time:12.583s step_avg:8.05ms
step:1564/3250 train_time:12.736s step_avg:8.14ms
step:1565/3250 train_time:12.888s step_avg:8.24ms
step:1566/3250 train_time:13.044s step_avg:8.33ms
step:1567/3250 train_time:13.197s step_avg:8.42ms
step:1568/3250 train_time:13.350s step_avg:8.51ms
step:1569/3250 train_time:13.504s step_avg:8.61ms
step:1570/3250 train_time:13.657s step_avg:8.70ms
step:1571/3250 train_time:13.810s step_avg:8.79ms
step:1572/3250 train_time:13.963s step_avg:8.88ms
step:1573/3250 train_time:14.117s step_avg:8.97ms
step:1574/3250 train_time:14.269s step_avg:9.07ms
step:1575/3250 train_time:14.421s step_avg:9.16ms
step:1576/3250 train_time:14.574s step_avg:9.25ms
step:1577/3250 train_time:14.727s step_avg:9.34ms
step:1578/3250 train_time:14.881s step_avg:9.43ms
step:1579/3250 train_time:15.037s step_avg:9.52ms
step:1580/3250 train_time:15.191s step_avg:9.61ms
step:1581/3250 train_time:15.345s step_avg:9.71ms
step:1582/3250 train_time:15.499s step_avg:9.80ms
step:1583/3250 train_time:15.651s step_avg:9.89ms
step:1584/3250 train_time:15.805s step_avg:9.98ms
step:1585/3250 train_time:15.958s step_avg:10.07ms
step:1586/3250 train_time:16.111s step_avg:10.16ms
step:1587/3250 train_time:16.265s step_avg:10.25ms
step:1588/3250 train_time:16.419s step_avg:10.34ms
step:1589/3250 train_time:16.570s step_avg:10.43ms
step:1590/3250 train_time:16.724s step_avg:10.52ms
step:1591/3250 train_time:16.876s step_avg:10.61ms
step:1592/3250 train_time:17.029s step_avg:10.70ms
step:1593/3250 train_time:17.184s step_avg:10.79ms
step:1594/3250 train_time:17.338s step_avg:10.88ms
step:1595/3250 train_time:17.490s step_avg:10.97ms
step:1596/3250 train_time:17.643s step_avg:11.05ms
step:1597/3250 train_time:17.796s step_avg:11.14ms
step:1598/3250 train_time:17.949s step_avg:11.23ms
step:1599/3250 train_time:18.104s step_avg:11.32ms
step:1600/3250 train_time:18.258s step_avg:11.41ms
step:1601/3250 train_time:18.411s step_avg:11.50ms
step:1602/3250 train_time:18.564s step_avg:11.59ms
step:1603/3250 train_time:18.718s step_avg:11.68ms
step:1604/3250 train_time:18.870s step_avg:11.76ms
step:1605/3250 train_time:19.025s step_avg:11.85ms
step:1606/3250 train_time:19.178s step_avg:11.94ms
step:1607/3250 train_time:19.332s step_avg:12.03ms
step:1608/3250 train_time:19.485s step_avg:12.12ms
step:1609/3250 train_time:19.639s step_avg:12.21ms
step:1610/3250 train_time:19.792s step_avg:12.29ms
step:1611/3250 train_time:19.947s step_avg:12.38ms
step:1612/3250 train_time:20.101s step_avg:12.47ms
step:1613/3250 train_time:20.256s step_avg:12.56ms
step:1614/3250 train_time:20.409s step_avg:12.64ms
step:1615/3250 train_time:20.563s step_avg:12.73ms
step:1616/3250 train_time:20.716s step_avg:12.82ms
step:1617/3250 train_time:20.869s step_avg:12.91ms
step:1618/3250 train_time:21.024s step_avg:12.99ms
step:1619/3250 train_time:21.177s step_avg:13.08ms
step:1620/3250 train_time:21.330s step_avg:13.17ms
step:1621/3250 train_time:21.483s step_avg:13.25ms
step:1622/3250 train_time:21.638s step_avg:13.34ms
step:1623/3250 train_time:21.792s step_avg:13.43ms
step:1624/3250 train_time:21.946s step_avg:13.51ms
step:1625/3250 train_time:22.099s step_avg:13.60ms
step:1625/3250 val_loss:3.58163 train_time:22.111s step_avg:13.61ms
step:1626/3250 train_time:22.898s step_avg:14.08ms
step:1627/3250 train_time:23.037s step_avg:14.16ms
step:1628/3250 train_time:23.191s step_avg:14.25ms
step:1629/3250 train_time:23.344s step_avg:14.33ms
step:1630/3250 train_time:23.497s step_avg:14.42ms
step:1631/3250 train_time:23.651s step_avg:14.50ms
step:1632/3250 train_time:23.803s step_avg:14.59ms
step:1633/3250 train_time:23.957s step_avg:14.67ms
