W0830 22:07:33.547000 11471 torch/distributed/run.py:852] 
W0830 22:07:33.547000 11471 torch/distributed/run.py:852] *****************************************
W0830 22:07:33.547000 11471 torch/distributed/run.py:852] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0830 22:07:33.547000 11471 torch/distributed/run.py:852] *****************************************
logs/14641972-ea9b-4785-ae4f-f52ae5107452.txt
resumed training state from step 1500 in eos_shared_state, skipped 1500 batches
step:0/3250 val_loss:3.51931 train_time:0.001s step_avg:nanms
learning_rates step:1500 [{'pattern': '^embed\\.weight$', 'lr': [0.8049999999999999]}, {'pattern': '^proj\\.weight$', 'lr': [0.0046]}, {'pattern': '^blocks\\..*\\.weight$', 'lr': [0.028749999999999998]}, {'pattern': '.*', 'lr': [0.017249999999999998]}]
step:1501/3250 train_time:3.122s step_avg:2.08ms
learning_rates step:1501 [{'pattern': '^embed\\.weight$', 'lr': [0.8049999999999999]}, {'pattern': '^proj\\.weight$', 'lr': [0.0046]}, {'pattern': '^blocks\\..*\\.weight$', 'lr': [0.028749999999999998]}, {'pattern': '.*', 'lr': [0.017249999999999998]}]
step:1502/3250 train_time:3.262s step_avg:2.17ms
step:1503/3250 train_time:3.414s step_avg:2.27ms
step:1504/3250 train_time:3.566s step_avg:2.37ms
step:1505/3250 train_time:3.719s step_avg:2.47ms
step:1506/3250 train_time:3.872s step_avg:2.57ms
step:1507/3250 train_time:4.026s step_avg:2.67ms
step:1508/3250 train_time:4.180s step_avg:2.77ms
step:1509/3250 train_time:4.333s step_avg:2.87ms
step:1510/3250 train_time:4.487s step_avg:2.97ms
step:1511/3250 train_time:4.639s step_avg:3.07ms
step:1512/3250 train_time:4.792s step_avg:3.17ms
step:1513/3250 train_time:4.946s step_avg:3.27ms
step:1514/3250 train_time:5.099s step_avg:3.37ms
step:1515/3250 train_time:5.251s step_avg:3.47ms
step:1516/3250 train_time:5.407s step_avg:3.57ms
step:1517/3250 train_time:5.560s step_avg:3.67ms
step:1518/3250 train_time:5.714s step_avg:3.76ms
step:1519/3250 train_time:5.865s step_avg:3.86ms
step:1520/3250 train_time:6.018s step_avg:3.96ms
step:1521/3250 train_time:6.204s step_avg:4.08ms
step:1522/3250 train_time:6.356s step_avg:4.18ms
step:1523/3250 train_time:6.509s step_avg:4.27ms
step:1524/3250 train_time:6.661s step_avg:4.37ms
step:1525/3250 train_time:6.814s step_avg:4.47ms
step:1526/3250 train_time:6.967s step_avg:4.57ms
step:1527/3250 train_time:7.121s step_avg:4.66ms
step:1528/3250 train_time:7.275s step_avg:4.76ms
step:1529/3250 train_time:7.429s step_avg:4.86ms
step:1530/3250 train_time:7.582s step_avg:4.96ms
step:1531/3250 train_time:7.737s step_avg:5.05ms
step:1532/3250 train_time:7.890s step_avg:5.15ms
step:1533/3250 train_time:8.042s step_avg:5.25ms
step:1534/3250 train_time:8.196s step_avg:5.34ms
step:1535/3250 train_time:8.349s step_avg:5.44ms
step:1536/3250 train_time:8.503s step_avg:5.54ms
step:1537/3250 train_time:8.656s step_avg:5.63ms
step:1538/3250 train_time:8.810s step_avg:5.73ms
step:1539/3250 train_time:8.962s step_avg:5.82ms
step:1540/3250 train_time:9.117s step_avg:5.92ms
step:1541/3250 train_time:9.269s step_avg:6.01ms
step:1542/3250 train_time:9.422s step_avg:6.11ms
step:1543/3250 train_time:9.576s step_avg:6.21ms
step:1544/3250 train_time:9.729s step_avg:6.30ms
step:1545/3250 train_time:9.882s step_avg:6.40ms
step:1546/3250 train_time:10.035s step_avg:6.49ms
step:1547/3250 train_time:10.188s step_avg:6.59ms
step:1548/3250 train_time:10.340s step_avg:6.68ms
step:1549/3250 train_time:10.494s step_avg:6.77ms
step:1550/3250 train_time:10.647s step_avg:6.87ms
step:1551/3250 train_time:10.800s step_avg:6.96ms
step:1552/3250 train_time:10.952s step_avg:7.06ms
step:1553/3250 train_time:11.106s step_avg:7.15ms
step:1554/3250 train_time:11.259s step_avg:7.25ms
step:1555/3250 train_time:11.412s step_avg:7.34ms
step:1556/3250 train_time:11.565s step_avg:7.43ms
step:1557/3250 train_time:11.719s step_avg:7.53ms
step:1558/3250 train_time:11.871s step_avg:7.62ms
step:1559/3250 train_time:12.025s step_avg:7.71ms
step:1560/3250 train_time:12.178s step_avg:7.81ms
step:1561/3250 train_time:12.331s step_avg:7.90ms
step:1562/3250 train_time:12.485s step_avg:7.99ms
step:1563/3250 train_time:12.639s step_avg:8.09ms
step:1564/3250 train_time:12.792s step_avg:8.18ms
step:1565/3250 train_time:12.945s step_avg:8.27ms
step:1566/3250 train_time:13.099s step_avg:8.36ms
step:1567/3250 train_time:13.251s step_avg:8.46ms
step:1568/3250 train_time:13.406s step_avg:8.55ms
step:1569/3250 train_time:13.558s step_avg:8.64ms
step:1570/3250 train_time:13.711s step_avg:8.73ms
step:1571/3250 train_time:13.865s step_avg:8.83ms
step:1572/3250 train_time:14.021s step_avg:8.92ms
step:1573/3250 train_time:14.174s step_avg:9.01ms
step:1574/3250 train_time:14.327s step_avg:9.10ms
step:1575/3250 train_time:14.480s step_avg:9.19ms
step:1576/3250 train_time:14.634s step_avg:9.29ms
step:1577/3250 train_time:14.787s step_avg:9.38ms
step:1578/3250 train_time:14.940s step_avg:9.47ms
step:1579/3250 train_time:15.094s step_avg:9.56ms
step:1580/3250 train_time:15.247s step_avg:9.65ms
step:1581/3250 train_time:15.401s step_avg:9.74ms
step:1582/3250 train_time:15.555s step_avg:9.83ms
step:1583/3250 train_time:15.708s step_avg:9.92ms
step:1584/3250 train_time:15.861s step_avg:10.01ms
step:1585/3250 train_time:16.016s step_avg:10.10ms
step:1586/3250 train_time:16.169s step_avg:10.19ms
step:1587/3250 train_time:16.322s step_avg:10.28ms
step:1588/3250 train_time:16.474s step_avg:10.37ms
step:1589/3250 train_time:16.628s step_avg:10.46ms
step:1590/3250 train_time:16.780s step_avg:10.55ms
step:1591/3250 train_time:16.935s step_avg:10.64ms
step:1592/3250 train_time:17.087s step_avg:10.73ms
step:1593/3250 train_time:17.241s step_avg:10.82ms
step:1594/3250 train_time:17.396s step_avg:10.91ms
step:1595/3250 train_time:17.548s step_avg:11.00ms
step:1596/3250 train_time:17.702s step_avg:11.09ms
step:1597/3250 train_time:17.855s step_avg:11.18ms
step:1598/3250 train_time:18.008s step_avg:11.27ms
step:1599/3250 train_time:18.162s step_avg:11.36ms
step:1600/3250 train_time:18.318s step_avg:11.45ms
step:1601/3250 train_time:18.470s step_avg:11.54ms
step:1602/3250 train_time:18.624s step_avg:11.63ms
step:1603/3250 train_time:18.777s step_avg:11.71ms
step:1604/3250 train_time:18.931s step_avg:11.80ms
step:1605/3250 train_time:19.084s step_avg:11.89ms
step:1606/3250 train_time:19.238s step_avg:11.98ms
step:1607/3250 train_time:19.391s step_avg:12.07ms
step:1608/3250 train_time:19.544s step_avg:12.15ms
step:1609/3250 train_time:19.698s step_avg:12.24ms
step:1610/3250 train_time:19.851s step_avg:12.33ms
step:1611/3250 train_time:20.005s step_avg:12.42ms
step:1612/3250 train_time:20.158s step_avg:12.51ms
step:1613/3250 train_time:20.312s step_avg:12.59ms
step:1614/3250 train_time:20.466s step_avg:12.68ms
step:1615/3250 train_time:20.619s step_avg:12.77ms
step:1616/3250 train_time:20.773s step_avg:12.85ms
step:1617/3250 train_time:20.927s step_avg:12.94ms
step:1618/3250 train_time:21.080s step_avg:13.03ms
step:1619/3250 train_time:21.233s step_avg:13.11ms
step:1620/3250 train_time:21.388s step_avg:13.20ms
step:1621/3250 train_time:21.541s step_avg:13.29ms
step:1622/3250 train_time:21.695s step_avg:13.38ms
step:1623/3250 train_time:21.849s step_avg:13.46ms
step:1624/3250 train_time:22.003s step_avg:13.55ms
step:1625/3250 train_time:22.157s step_avg:13.63ms
step:1625/3250 val_loss:3.59440 train_time:22.169s step_avg:13.64ms
step:1626/3250 train_time:23.016s step_avg:14.16ms
step:1627/3250 train_time:23.157s step_avg:14.23ms
step:1628/3250 train_time:23.309s step_avg:14.32ms
step:1629/3250 train_time:23.462s step_avg:14.40ms
step:1630/3250 train_time:23.615s step_avg:14.49ms
step:1631/3250 train_time:23.769s step_avg:14.57ms
step:1632/3250 train_time:23.922s step_avg:14.66ms
step:1633/3250 train_time:24.074s step_avg:14.74ms
step:1634/3250 train_time:24.229s step_avg:14.83ms
step:1635/3250 train_time:24.381s step_avg:14.91ms
step:1636/3250 train_time:24.536s step_avg:15.00ms
step:1637/3250 train_time:24.689s step_avg:15.08ms
step:1638/3250 train_time:24.843s step_avg:15.17ms
step:1639/3250 train_time:24.996s step_avg:15.25ms
step:1640/3250 train_time:25.150s step_avg:15.34ms
step:1641/3250 train_time:25.303s step_avg:15.42ms
step:1642/3250 train_time:25.457s step_avg:15.50ms
step:1643/3250 train_time:25.610s step_avg:15.59ms
step:1644/3250 train_time:25.764s step_avg:15.67ms
step:1645/3250 train_time:25.918s step_avg:15.76ms
step:1646/3250 train_time:26.071s step_avg:15.84ms
step:1647/3250 train_time:26.226s step_avg:15.92ms
step:1648/3250 train_time:26.378s step_avg:16.01ms
step:1649/3250 train_time:26.532s step_avg:16.09ms
step:1650/3250 train_time:26.685s step_avg:16.17ms
step:1651/3250 train_time:26.839s step_avg:16.26ms
step:1652/3250 train_time:26.992s step_avg:16.34ms
step:1653/3250 train_time:27.147s step_avg:16.42ms
step:1654/3250 train_time:27.300s step_avg:16.51ms
step:1655/3250 train_time:27.456s step_avg:16.59ms
step:1656/3250 train_time:27.610s step_avg:16.67ms
step:1657/3250 train_time:27.763s step_avg:16.75ms
step:1658/3250 train_time:27.917s step_avg:16.84ms
step:1659/3250 train_time:28.071s step_avg:16.92ms
step:1660/3250 train_time:28.226s step_avg:17.00ms
step:1661/3250 train_time:28.379s step_avg:17.09ms
step:1662/3250 train_time:28.532s step_avg:17.17ms
step:1663/3250 train_time:28.686s step_avg:17.25ms
step:1664/3250 train_time:28.839s step_avg:17.33ms
step:1665/3250 train_time:28.993s step_avg:17.41ms
step:1666/3250 train_time:29.147s step_avg:17.50ms
step:1667/3250 train_time:29.299s step_avg:17.58ms
step:1668/3250 train_time:29.454s step_avg:17.66ms
step:1669/3250 train_time:29.608s step_avg:17.74ms
step:1670/3250 train_time:29.761s step_avg:17.82ms
step:1671/3250 train_time:29.918s step_avg:17.90ms
step:1672/3250 train_time:30.072s step_avg:17.99ms
step:1673/3250 train_time:30.227s step_avg:18.07ms
step:1674/3250 train_time:30.380s step_avg:18.15ms
step:1675/3250 train_time:30.533s step_avg:18.23ms
step:1676/3250 train_time:30.687s step_avg:18.31ms
step:1677/3250 train_time:30.840s step_avg:18.39ms
step:1678/3250 train_time:30.994s step_avg:18.47ms
step:1679/3250 train_time:31.149s step_avg:18.55ms
step:1680/3250 train_time:31.303s step_avg:18.63ms
step:1681/3250 train_time:31.458s step_avg:18.71ms
step:1682/3250 train_time:31.611s step_avg:18.79ms
step:1683/3250 train_time:31.765s step_avg:18.87ms
step:1684/3250 train_time:31.919s step_avg:18.95ms
step:1685/3250 train_time:32.072s step_avg:19.03ms
step:1686/3250 train_time:32.227s step_avg:19.11ms
step:1687/3250 train_time:32.380s step_avg:19.19ms
step:1688/3250 train_time:32.533s step_avg:19.27ms
step:1689/3250 train_time:32.687s step_avg:19.35ms
step:1690/3250 train_time:32.840s step_avg:19.43ms
step:1691/3250 train_time:32.993s step_avg:19.51ms
step:1692/3250 train_time:33.146s step_avg:19.59ms
step:1693/3250 train_time:33.300s step_avg:19.67ms
step:1694/3250 train_time:33.455s step_avg:19.75ms
step:1695/3250 train_time:33.609s step_avg:19.83ms
step:1696/3250 train_time:33.762s step_avg:19.91ms
step:1697/3250 train_time:33.917s step_avg:19.99ms
step:1698/3250 train_time:34.071s step_avg:20.07ms
step:1699/3250 train_time:34.225s step_avg:20.14ms
step:1700/3250 train_time:34.379s step_avg:20.22ms
step:1701/3250 train_time:34.533s step_avg:20.30ms
step:1702/3250 train_time:34.688s step_avg:20.38ms
step:1703/3250 train_time:34.843s step_avg:20.46ms
step:1704/3250 train_time:34.997s step_avg:20.54ms
step:1705/3250 train_time:35.152s step_avg:20.62ms
step:1706/3250 train_time:35.308s step_avg:20.70ms
step:1707/3250 train_time:35.461s step_avg:20.77ms
step:1708/3250 train_time:35.615s step_avg:20.85ms
step:1709/3250 train_time:35.769s step_avg:20.93ms
step:1710/3250 train_time:35.924s step_avg:21.01ms
step:1711/3250 train_time:36.108s step_avg:21.10ms
step:1712/3250 train_time:36.262s step_avg:21.18ms
step:1713/3250 train_time:36.416s step_avg:21.26ms
step:1714/3250 train_time:36.570s step_avg:21.34ms
step:1715/3250 train_time:36.723s step_avg:21.41ms
step:1716/3250 train_time:36.877s step_avg:21.49ms
step:1717/3250 train_time:37.032s step_avg:21.57ms
step:1718/3250 train_time:37.186s step_avg:21.64ms
step:1719/3250 train_time:37.340s step_avg:21.72ms
step:1720/3250 train_time:37.493s step_avg:21.80ms
step:1721/3250 train_time:37.648s step_avg:21.88ms
step:1722/3250 train_time:37.801s step_avg:21.95ms
step:1723/3250 train_time:37.956s step_avg:22.03ms
step:1724/3250 train_time:38.110s step_avg:22.11ms
step:1725/3250 train_time:38.264s step_avg:22.18ms
step:1726/3250 train_time:38.418s step_avg:22.26ms
step:1727/3250 train_time:38.571s step_avg:22.33ms
step:1728/3250 train_time:38.726s step_avg:22.41ms
step:1729/3250 train_time:38.879s step_avg:22.49ms
step:1730/3250 train_time:39.033s step_avg:22.56ms
step:1731/3250 train_time:39.187s step_avg:22.64ms
step:1732/3250 train_time:39.341s step_avg:22.71ms
step:1733/3250 train_time:39.495s step_avg:22.79ms
step:1734/3250 train_time:39.649s step_avg:22.87ms
step:1735/3250 train_time:39.802s step_avg:22.94ms
step:1736/3250 train_time:39.958s step_avg:23.02ms
step:1737/3250 train_time:40.111s step_avg:23.09ms
step:1738/3250 train_time:40.266s step_avg:23.17ms
step:1739/3250 train_time:40.420s step_avg:23.24ms
step:1740/3250 train_time:40.573s step_avg:23.32ms
step:1741/3250 train_time:40.729s step_avg:23.39ms
step:1742/3250 train_time:40.881s step_avg:23.47ms
step:1743/3250 train_time:41.037s step_avg:23.54ms
step:1744/3250 train_time:41.190s step_avg:23.62ms
step:1745/3250 train_time:41.344s step_avg:23.69ms
step:1746/3250 train_time:41.497s step_avg:23.77ms
step:1747/3250 train_time:41.652s step_avg:23.84ms
step:1748/3250 train_time:41.807s step_avg:23.92ms
step:1749/3250 train_time:41.960s step_avg:23.99ms
step:1750/3250 train_time:42.115s step_avg:24.07ms
step:1750/3250 val_loss:3.57992 train_time:42.127s step_avg:159.67ms
step:1751/3250 train_time:42.912s step_avg:24.51ms
step:1752/3250 train_time:43.050s step_avg:24.57ms
step:1753/3250 train_time:43.202s step_avg:24.64ms
step:1754/3250 train_time:43.356s step_avg:24.72ms
step:1755/3250 train_time:43.509s step_avg:24.79ms
step:1756/3250 train_time:43.663s step_avg:24.87ms
step:1757/3250 train_time:43.818s step_avg:24.94ms
step:1758/3250 train_time:43.972s step_avg:25.01ms
step:1759/3250 train_time:44.125s step_avg:25.09ms
step:1760/3250 train_time:44.279s step_avg:25.16ms
step:1761/3250 train_time:44.432s step_avg:25.23ms
step:1762/3250 train_time:44.586s step_avg:25.30ms
step:1763/3250 train_time:44.739s step_avg:25.38ms
step:1764/3250 train_time:44.893s step_avg:25.45ms
step:1765/3250 train_time:45.046s step_avg:25.52ms
step:1766/3250 train_time:45.200s step_avg:25.59ms
step:1767/3250 train_time:45.354s step_avg:25.67ms
step:1768/3250 train_time:45.507s step_avg:25.74ms
step:1769/3250 train_time:45.663s step_avg:25.81ms
step:1770/3250 train_time:45.817s step_avg:25.89ms
step:1771/3250 train_time:45.970s step_avg:25.96ms
step:1772/3250 train_time:46.123s step_avg:26.03ms
step:1773/3250 train_time:46.281s step_avg:26.10ms
step:1774/3250 train_time:46.435s step_avg:26.18ms
step:1775/3250 train_time:46.588s step_avg:26.25ms
step:1776/3250 train_time:46.742s step_avg:26.32ms
step:1777/3250 train_time:46.896s step_avg:26.39ms
step:1778/3250 train_time:47.049s step_avg:26.46ms
step:1779/3250 train_time:47.202s step_avg:26.53ms
step:1780/3250 train_time:47.359s step_avg:26.61ms
step:1781/3250 train_time:47.511s step_avg:26.68ms
step:1782/3250 train_time:47.665s step_avg:26.75ms
step:1783/3250 train_time:47.818s step_avg:26.82ms
step:1784/3250 train_time:47.972s step_avg:26.89ms
step:1785/3250 train_time:48.125s step_avg:26.96ms
step:1786/3250 train_time:48.279s step_avg:27.03ms
step:1787/3250 train_time:48.436s step_avg:27.10ms
step:1788/3250 train_time:48.592s step_avg:27.18ms
step:1789/3250 train_time:48.746s step_avg:27.25ms
step:1790/3250 train_time:48.900s step_avg:27.32ms
step:1791/3250 train_time:49.054s step_avg:27.39ms
step:1792/3250 train_time:49.208s step_avg:27.46ms
step:1793/3250 train_time:49.363s step_avg:27.53ms
step:1794/3250 train_time:49.517s step_avg:27.60ms
step:1795/3250 train_time:49.671s step_avg:27.67ms
step:1796/3250 train_time:49.824s step_avg:27.74ms
step:1797/3250 train_time:49.979s step_avg:27.81ms
step:1798/3250 train_time:50.133s step_avg:27.88ms
step:1799/3250 train_time:50.287s step_avg:27.95ms
