=== eos_f1500_s130 : run.py configs/req019/eos_f1500_s130.yaml ===
W0830 12:05:35.843000 10900 torch/distributed/run.py:852] 
W0830 12:05:35.843000 10900 torch/distributed/run.py:852] *****************************************
W0830 12:05:35.843000 10900 torch/distributed/run.py:852] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0830 12:05:35.843000 10900 torch/distributed/run.py:852] *****************************************
logs/646beb80-c1a5-4a58-b312-d4444e6aa65a.txt
resumed training state from step 1500 in eos_shared_state, skipped 1500 batches
step:0/3250 val_loss:3.52212 train_time:0.001s step_avg:nanms
learning_rates step:1500 [{'pattern': '^embed\\.weight$', 'lr': [0.9099999999999999]}, {'pattern': '^proj\\.weight$', 'lr': [0.005200000000000001]}, {'pattern': '^blocks\\..*\\.weight$', 'lr': [0.0325]}, {'pattern': '.*', 'lr': [0.0195]}]
step:1501/3250 train_time:3.493s step_avg:2.33ms
learning_rates step:1501 [{'pattern': '^embed\\.weight$', 'lr': [0.9099999999999999]}, {'pattern': '^proj\\.weight$', 'lr': [0.005200000000000001]}, {'pattern': '^blocks\\..*\\.weight$', 'lr': [0.0325]}, {'pattern': '.*', 'lr': [0.0195]}]
step:1502/3250 train_time:3.632s step_avg:2.42ms
step:1503/3250 train_time:3.783s step_avg:2.52ms
step:1504/3250 train_time:3.936s step_avg:2.62ms
step:1505/3250 train_time:4.090s step_avg:2.72ms
step:1506/3250 train_time:4.243s step_avg:2.82ms
step:1507/3250 train_time:4.398s step_avg:2.92ms
step:1508/3250 train_time:4.553s step_avg:3.02ms
step:1509/3250 train_time:4.705s step_avg:3.12ms
step:1510/3250 train_time:4.857s step_avg:3.22ms
step:1511/3250 train_time:5.011s step_avg:3.32ms
step:1512/3250 train_time:5.163s step_avg:3.41ms
step:1513/3250 train_time:5.319s step_avg:3.52ms
step:1514/3250 train_time:5.472s step_avg:3.61ms
step:1515/3250 train_time:5.625s step_avg:3.71ms
step:1516/3250 train_time:5.778s step_avg:3.81ms
step:1517/3250 train_time:5.933s step_avg:3.91ms
step:1518/3250 train_time:6.087s step_avg:4.01ms
step:1519/3250 train_time:6.242s step_avg:4.11ms
step:1520/3250 train_time:6.396s step_avg:4.21ms
step:1521/3250 train_time:6.586s step_avg:4.33ms
step:1522/3250 train_time:6.739s step_avg:4.43ms
step:1523/3250 train_time:6.893s step_avg:4.53ms
step:1524/3250 train_time:7.046s step_avg:4.62ms
step:1525/3250 train_time:7.200s step_avg:4.72ms
step:1526/3250 train_time:7.354s step_avg:4.82ms
step:1527/3250 train_time:7.507s step_avg:4.92ms
step:1528/3250 train_time:7.662s step_avg:5.01ms
step:1529/3250 train_time:7.816s step_avg:5.11ms
step:1530/3250 train_time:7.970s step_avg:5.21ms
step:1531/3250 train_time:8.124s step_avg:5.31ms
step:1532/3250 train_time:8.277s step_avg:5.40ms
step:1533/3250 train_time:8.432s step_avg:5.50ms
step:1534/3250 train_time:8.585s step_avg:5.60ms
step:1535/3250 train_time:8.739s step_avg:5.69ms
step:1536/3250 train_time:8.893s step_avg:5.79ms
step:1537/3250 train_time:9.047s step_avg:5.89ms
step:1538/3250 train_time:9.199s step_avg:5.98ms
step:1539/3250 train_time:9.354s step_avg:6.08ms
step:1540/3250 train_time:9.507s step_avg:6.17ms
step:1541/3250 train_time:9.661s step_avg:6.27ms
step:1542/3250 train_time:9.815s step_avg:6.37ms
step:1543/3250 train_time:9.969s step_avg:6.46ms
step:1544/3250 train_time:10.123s step_avg:6.56ms
step:1545/3250 train_time:10.277s step_avg:6.65ms
step:1546/3250 train_time:10.431s step_avg:6.75ms
step:1547/3250 train_time:10.584s step_avg:6.84ms
step:1548/3250 train_time:10.737s step_avg:6.94ms
step:1549/3250 train_time:10.893s step_avg:7.03ms
step:1550/3250 train_time:11.047s step_avg:7.13ms
step:1551/3250 train_time:11.200s step_avg:7.22ms
step:1552/3250 train_time:11.354s step_avg:7.32ms
step:1553/3250 train_time:11.507s step_avg:7.41ms
step:1554/3250 train_time:11.662s step_avg:7.50ms
step:1555/3250 train_time:11.816s step_avg:7.60ms
step:1556/3250 train_time:11.971s step_avg:7.69ms
step:1557/3250 train_time:12.124s step_avg:7.79ms
step:1558/3250 train_time:12.278s step_avg:7.88ms
step:1559/3250 train_time:12.432s step_avg:7.97ms
step:1560/3250 train_time:12.584s step_avg:8.07ms
step:1561/3250 train_time:12.738s step_avg:8.16ms
step:1562/3250 train_time:12.892s step_avg:8.25ms
step:1563/3250 train_time:13.048s step_avg:8.35ms
step:1564/3250 train_time:13.202s step_avg:8.44ms
step:1565/3250 train_time:13.356s step_avg:8.53ms
step:1566/3250 train_time:13.510s step_avg:8.63ms
step:1567/3250 train_time:13.665s step_avg:8.72ms
step:1568/3250 train_time:13.820s step_avg:8.81ms
step:1569/3250 train_time:13.975s step_avg:8.91ms
step:1570/3250 train_time:14.128s step_avg:9.00ms
step:1571/3250 train_time:14.281s step_avg:9.09ms
step:1572/3250 train_time:14.434s step_avg:9.18ms
step:1573/3250 train_time:14.588s step_avg:9.27ms
step:1574/3250 train_time:14.744s step_avg:9.37ms
step:1575/3250 train_time:14.897s step_avg:9.46ms
step:1576/3250 train_time:15.051s step_avg:9.55ms
step:1577/3250 train_time:15.204s step_avg:9.64ms
step:1578/3250 train_time:15.359s step_avg:9.73ms
step:1579/3250 train_time:15.514s step_avg:9.83ms
step:1580/3250 train_time:15.668s step_avg:9.92ms
step:1581/3250 train_time:15.823s step_avg:10.01ms
step:1582/3250 train_time:15.977s step_avg:10.10ms
step:1583/3250 train_time:16.131s step_avg:10.19ms
step:1584/3250 train_time:16.284s step_avg:10.28ms
