W0830 22:11:28.007000 12417 torch/distributed/run.py:852] 
W0830 22:11:28.007000 12417 torch/distributed/run.py:852] *****************************************
W0830 22:11:28.007000 12417 torch/distributed/run.py:852] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0830 22:11:28.007000 12417 torch/distributed/run.py:852] *****************************************
logs/eda72b1e-0c19-46e2-a9b7-b0c483fc862d.txt
resumed training state from step 1500 in eos_shared_state, skipped 1500 batches
step:0/3250 val_loss:3.51931 train_time:0.001s step_avg:nanms
learning_rates step:1500 [{'pattern': '^embed\\.weight$', 'lr': [1.015]}, {'pattern': '^proj\\.weight$', 'lr': [0.0058]}, {'pattern': '^blocks\\..*\\.weight$', 'lr': [0.03625]}, {'pattern': '.*', 'lr': [0.02175]}]
step:1501/3250 train_time:3.298s step_avg:2.20ms
learning_rates step:1501 [{'pattern': '^embed\\.weight$', 'lr': [1.015]}, {'pattern': '^proj\\.weight$', 'lr': [0.0058]}, {'pattern': '^blocks\\..*\\.weight$', 'lr': [0.03625]}, {'pattern': '.*', 'lr': [0.02175]}]
step:1502/3250 train_time:3.438s step_avg:2.29ms
step:1503/3250 train_time:3.590s step_avg:2.39ms
step:1504/3250 train_time:3.743s step_avg:2.49ms
step:1505/3250 train_time:3.898s step_avg:2.59ms
step:1506/3250 train_time:4.051s step_avg:2.69ms
step:1507/3250 train_time:4.205s step_avg:2.79ms
step:1508/3250 train_time:4.358s step_avg:2.89ms
step:1509/3250 train_time:4.511s step_avg:2.99ms
step:1510/3250 train_time:4.665s step_avg:3.09ms
step:1511/3250 train_time:4.818s step_avg:3.19ms
step:1512/3250 train_time:4.972s step_avg:3.29ms
step:1513/3250 train_time:5.125s step_avg:3.39ms
step:1514/3250 train_time:5.279s step_avg:3.49ms
step:1515/3250 train_time:5.433s step_avg:3.59ms
step:1516/3250 train_time:5.586s step_avg:3.68ms
step:1517/3250 train_time:5.739s step_avg:3.78ms
step:1518/3250 train_time:5.893s step_avg:3.88ms
step:1519/3250 train_time:6.046s step_avg:3.98ms
step:1520/3250 train_time:6.199s step_avg:4.08ms
step:1521/3250 train_time:6.386s step_avg:4.20ms
step:1522/3250 train_time:6.539s step_avg:4.30ms
step:1523/3250 train_time:6.692s step_avg:4.39ms
step:1524/3250 train_time:6.845s step_avg:4.49ms
step:1525/3250 train_time:6.999s step_avg:4.59ms
step:1526/3250 train_time:7.152s step_avg:4.69ms
step:1527/3250 train_time:7.305s step_avg:4.78ms
step:1528/3250 train_time:7.457s step_avg:4.88ms
step:1529/3250 train_time:7.611s step_avg:4.98ms
step:1530/3250 train_time:7.765s step_avg:5.08ms
step:1531/3250 train_time:7.917s step_avg:5.17ms
step:1532/3250 train_time:8.071s step_avg:5.27ms
step:1533/3250 train_time:8.225s step_avg:5.37ms
step:1534/3250 train_time:8.379s step_avg:5.46ms
step:1535/3250 train_time:8.534s step_avg:5.56ms
step:1536/3250 train_time:8.687s step_avg:5.66ms
step:1537/3250 train_time:8.840s step_avg:5.75ms
step:1538/3250 train_time:8.996s step_avg:5.85ms
