=== eos_f1500_s170 : run.py configs/req019/eos_f1500_s170.yaml ===
W0830 12:09:31.375000 11767 torch/distributed/run.py:852] 
W0830 12:09:31.375000 11767 torch/distributed/run.py:852] *****************************************
W0830 12:09:31.375000 11767 torch/distributed/run.py:852] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0830 12:09:31.375000 11767 torch/distributed/run.py:852] *****************************************
logs/1ad128b2-6072-48ab-897d-924bf3a24d91.txt
resumed training state from step 1500 in eos_shared_state, skipped 1500 batches
step:0/3250 val_loss:3.52212 train_time:0.001s step_avg:nanms
learning_rates step:1500 [{'pattern': '^embed\\.weight$', 'lr': [1.19]}, {'pattern': '^proj\\.weight$', 'lr': [0.0068]}, {'pattern': '^blocks\\..*\\.weight$', 'lr': [0.0425]}, {'pattern': '.*', 'lr': [0.0255]}]
step:1501/3250 train_time:3.324s step_avg:2.21ms
learning_rates step:1501 [{'pattern': '^embed\\.weight$', 'lr': [1.19]}, {'pattern': '^proj\\.weight$', 'lr': [0.0068]}, {'pattern': '^blocks\\..*\\.weight$', 'lr': [0.0425]}, {'pattern': '.*', 'lr': [0.0255]}]
step:1502/3250 train_time:3.467s step_avg:2.31ms
step:1503/3250 train_time:3.619s step_avg:2.41ms
step:1504/3250 train_time:3.772s step_avg:2.51ms
step:1505/3250 train_time:3.925s step_avg:2.61ms
step:1506/3250 train_time:4.078s step_avg:2.71ms
step:1507/3250 train_time:4.232s step_avg:2.81ms
step:1508/3250 train_time:4.385s step_avg:2.91ms
step:1509/3250 train_time:4.538s step_avg:3.01ms
step:1510/3250 train_time:4.693s step_avg:3.11ms
step:1511/3250 train_time:4.846s step_avg:3.21ms
step:1512/3250 train_time:4.999s step_avg:3.31ms
step:1513/3250 train_time:5.152s step_avg:3.41ms
step:1514/3250 train_time:5.306s step_avg:3.50ms
step:1515/3250 train_time:5.458s step_avg:3.60ms
step:1516/3250 train_time:5.612s step_avg:3.70ms
step:1517/3250 train_time:5.766s step_avg:3.80ms
step:1518/3250 train_time:5.920s step_avg:3.90ms
step:1519/3250 train_time:6.072s step_avg:4.00ms
step:1520/3250 train_time:6.226s step_avg:4.10ms
step:1521/3250 train_time:6.424s step_avg:4.22ms
step:1522/3250 train_time:6.576s step_avg:4.32ms
step:1523/3250 train_time:6.730s step_avg:4.42ms
step:1524/3250 train_time:6.884s step_avg:4.52ms
step:1525/3250 train_time:7.036s step_avg:4.61ms
step:1526/3250 train_time:7.190s step_avg:4.71ms
step:1527/3250 train_time:7.344s step_avg:4.81ms
step:1528/3250 train_time:7.499s step_avg:4.91ms
step:1529/3250 train_time:7.652s step_avg:5.00ms
step:1530/3250 train_time:7.806s step_avg:5.10ms
step:1531/3250 train_time:7.959s step_avg:5.20ms
step:1532/3250 train_time:8.112s step_avg:5.30ms
step:1533/3250 train_time:8.266s step_avg:5.39ms
step:1534/3250 train_time:8.419s step_avg:5.49ms
step:1535/3250 train_time:8.573s step_avg:5.58ms
step:1536/3250 train_time:8.727s step_avg:5.68ms
step:1537/3250 train_time:8.880s step_avg:5.78ms
step:1538/3250 train_time:9.034s step_avg:5.87ms
step:1539/3250 train_time:9.189s step_avg:5.97ms
step:1540/3250 train_time:9.344s step_avg:6.07ms
step:1541/3250 train_time:9.498s step_avg:6.16ms
step:1542/3250 train_time:9.653s step_avg:6.26ms
step:1543/3250 train_time:9.807s step_avg:6.36ms
step:1544/3250 train_time:9.959s step_avg:6.45ms
step:1545/3250 train_time:10.114s step_avg:6.55ms
step:1546/3250 train_time:10.268s step_avg:6.64ms
step:1547/3250 train_time:10.422s step_avg:6.74ms
step:1548/3250 train_time:10.577s step_avg:6.83ms
step:1549/3250 train_time:10.731s step_avg:6.93ms
step:1550/3250 train_time:10.886s step_avg:7.02ms
step:1551/3250 train_time:11.040s step_avg:7.12ms
step:1552/3250 train_time:11.194s step_avg:7.21ms
step:1553/3250 train_time:11.348s step_avg:7.31ms
step:1554/3250 train_time:11.501s step_avg:7.40ms
step:1555/3250 train_time:11.654s step_avg:7.49ms
step:1556/3250 train_time:11.809s step_avg:7.59ms
step:1557/3250 train_time:11.963s step_avg:7.68ms
step:1558/3250 train_time:12.116s step_avg:7.78ms
step:1559/3250 train_time:12.270s step_avg:7.87ms
step:1560/3250 train_time:12.425s step_avg:7.96ms
step:1561/3250 train_time:12.579s step_avg:8.06ms
step:1562/3250 train_time:12.733s step_avg:8.15ms
step:1563/3250 train_time:12.886s step_avg:8.24ms
step:1564/3250 train_time:13.039s step_avg:8.34ms
step:1565/3250 train_time:13.193s step_avg:8.43ms
step:1566/3250 train_time:13.347s step_avg:8.52ms
step:1567/3250 train_time:13.502s step_avg:8.62ms
step:1568/3250 train_time:13.655s step_avg:8.71ms
step:1569/3250 train_time:13.808s step_avg:8.80ms
step:1570/3250 train_time:13.962s step_avg:8.89ms
step:1571/3250 train_time:14.116s step_avg:8.99ms
step:1572/3250 train_time:14.270s step_avg:9.08ms
step:1573/3250 train_time:14.426s step_avg:9.17ms
step:1574/3250 train_time:14.579s step_avg:9.26ms
step:1575/3250 train_time:14.734s step_avg:9.35ms
step:1576/3250 train_time:14.887s step_avg:9.45ms
step:1577/3250 train_time:15.041s step_avg:9.54ms
step:1578/3250 train_time:15.196s step_avg:9.63ms
step:1579/3250 train_time:15.349s step_avg:9.72ms
step:1580/3250 train_time:15.504s step_avg:9.81ms
step:1581/3250 train_time:15.657s step_avg:9.90ms
step:1582/3250 train_time:15.811s step_avg:9.99ms
step:1583/3250 train_time:15.965s step_avg:10.09ms
step:1584/3250 train_time:16.118s step_avg:10.18ms
step:1585/3250 train_time:16.273s step_avg:10.27ms
step:1586/3250 train_time:16.428s step_avg:10.36ms
step:1587/3250 train_time:16.583s step_avg:10.45ms
step:1588/3250 train_time:16.736s step_avg:10.54ms
step:1589/3250 train_time:16.891s step_avg:10.63ms
step:1590/3250 train_time:17.046s step_avg:10.72ms
step:1591/3250 train_time:17.202s step_avg:10.81ms
step:1592/3250 train_time:17.355s step_avg:10.90ms
step:1593/3250 train_time:17.509s step_avg:10.99ms
step:1594/3250 train_time:17.663s step_avg:11.08ms
step:1595/3250 train_time:17.818s step_avg:11.17ms
