=== eos_f2000_s060 : resume eos_shared_state@2000 ===
W0830 15:06:28.678000 20466 torch/distributed/run.py:852] 
W0830 15:06:28.678000 20466 torch/distributed/run.py:852] *****************************************
W0830 15:06:28.678000 20466 torch/distributed/run.py:852] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0830 15:06:28.678000 20466 torch/distributed/run.py:852] *****************************************
logs/f791cadb-6910-4cb2-90ce-4cc49b31b00b.txt
resumed training state from step 2000 in eos_shared_state, skipped 2000 batches
step:0/3250 val_loss:3.44321 train_time:0.001s step_avg:nanms
learning_rates step:2000 [{'pattern': '^embed\\.weight$', 'lr': [0.42]}, {'pattern': '^proj\\.weight$', 'lr': [0.0024]}, {'pattern': '^blocks\\..*\\.weight$', 'lr': [0.015]}, {'pattern': '.*', 'lr': [0.009]}]
step:2001/3250 train_time:3.129s step_avg:1.56ms
learning_rates step:2001 [{'pattern': '^embed\\.weight$', 'lr': [0.42]}, {'pattern': '^proj\\.weight$', 'lr': [0.0024]}, {'pattern': '^blocks\\..*\\.weight$', 'lr': [0.015]}, {'pattern': '.*', 'lr': [0.009]}]
step:2002/3250 train_time:3.268s step_avg:1.63ms
step:2003/3250 train_time:3.419s step_avg:1.71ms
step:2004/3250 train_time:3.571s step_avg:1.78ms
step:2005/3250 train_time:3.723s step_avg:1.86ms
step:2006/3250 train_time:3.879s step_avg:1.93ms
step:2007/3250 train_time:4.032s step_avg:2.01ms
step:2008/3250 train_time:4.185s step_avg:2.08ms
step:2009/3250 train_time:4.337s step_avg:2.16ms
step:2010/3250 train_time:4.490s step_avg:2.23ms
step:2011/3250 train_time:4.643s step_avg:2.31ms
step:2012/3250 train_time:4.796s step_avg:2.38ms
step:2013/3250 train_time:4.948s step_avg:2.46ms
step:2014/3250 train_time:5.099s step_avg:2.53ms
step:2015/3250 train_time:5.251s step_avg:2.61ms
step:2016/3250 train_time:5.403s step_avg:2.68ms
step:2017/3250 train_time:5.557s step_avg:2.76ms
step:2018/3250 train_time:5.710s step_avg:2.83ms
step:2019/3250 train_time:5.864s step_avg:2.90ms
step:2020/3250 train_time:6.017s step_avg:2.98ms
step:2021/3250 train_time:6.171s step_avg:3.05ms
step:2022/3250 train_time:6.322s step_avg:3.13ms
step:2023/3250 train_time:6.475s step_avg:3.20ms
step:2024/3250 train_time:6.628s step_avg:3.27ms
step:2025/3250 train_time:6.780s step_avg:3.35ms
step:2026/3250 train_time:6.931s step_avg:3.42ms
step:2027/3250 train_time:7.085s step_avg:3.50ms
step:2028/3250 train_time:7.238s step_avg:3.57ms
step:2029/3250 train_time:7.390s step_avg:3.64ms
step:2030/3250 train_time:7.543s step_avg:3.72ms
step:2031/3250 train_time:7.695s step_avg:3.79ms
step:2032/3250 train_time:7.848s step_avg:3.86ms
step:2033/3250 train_time:8.000s step_avg:3.94ms
step:2034/3250 train_time:8.153s step_avg:4.01ms
step:2035/3250 train_time:8.305s step_avg:4.08ms
step:2036/3250 train_time:8.460s step_avg:4.16ms
step:2037/3250 train_time:8.612s step_avg:4.23ms
step:2038/3250 train_time:8.766s step_avg:4.30ms
