=== eos_f2000_s100 : resume eos_shared_state@2000 ===
W0830 15:10:23.769000 21518 torch/distributed/run.py:852] 
W0830 15:10:23.769000 21518 torch/distributed/run.py:852] *****************************************
W0830 15:10:23.769000 21518 torch/distributed/run.py:852] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0830 15:10:23.769000 21518 torch/distributed/run.py:852] *****************************************
logs/aa8c00a5-b0b5-4ae7-b91a-f8ec2f973824.txt
resumed training state from step 2000 in eos_shared_state, skipped 2000 batches
step:0/3250 val_loss:3.44321 train_time:0.001s step_avg:nanms
learning_rates step:2000 [{'pattern': '^embed\\.weight$', 'lr': [0.7]}, {'pattern': '^proj\\.weight$', 'lr': [0.004]}, {'pattern': '^blocks\\..*\\.weight$', 'lr': [0.025]}, {'pattern': '.*', 'lr': [0.015]}]
step:2001/3250 train_time:3.071s step_avg:1.53ms
learning_rates step:2001 [{'pattern': '^embed\\.weight$', 'lr': [0.7]}, {'pattern': '^proj\\.weight$', 'lr': [0.004]}, {'pattern': '^blocks\\..*\\.weight$', 'lr': [0.025]}, {'pattern': '.*', 'lr': [0.015]}]
step:2002/3250 train_time:3.209s step_avg:1.60ms
step:2003/3250 train_time:3.362s step_avg:1.68ms
step:2004/3250 train_time:3.514s step_avg:1.75ms
step:2005/3250 train_time:3.668s step_avg:1.83ms
step:2006/3250 train_time:3.821s step_avg:1.90ms
step:2007/3250 train_time:3.974s step_avg:1.98ms
step:2008/3250 train_time:4.128s step_avg:2.06ms
step:2009/3250 train_time:4.282s step_avg:2.13ms
step:2010/3250 train_time:4.435s step_avg:2.21ms
step:2011/3250 train_time:4.589s step_avg:2.28ms
step:2012/3250 train_time:4.743s step_avg:2.36ms
step:2013/3250 train_time:4.896s step_avg:2.43ms
step:2014/3250 train_time:5.050s step_avg:2.51ms
step:2015/3250 train_time:5.203s step_avg:2.58ms
step:2016/3250 train_time:5.357s step_avg:2.66ms
step:2017/3250 train_time:5.510s step_avg:2.73ms
step:2018/3250 train_time:5.664s step_avg:2.81ms
step:2019/3250 train_time:5.818s step_avg:2.88ms
step:2020/3250 train_time:5.971s step_avg:2.96ms
step:2021/3250 train_time:6.124s step_avg:3.03ms
step:2022/3250 train_time:6.279s step_avg:3.11ms
step:2023/3250 train_time:6.431s step_avg:3.18ms
step:2024/3250 train_time:6.585s step_avg:3.25ms
step:2025/3250 train_time:6.740s step_avg:3.33ms
step:2026/3250 train_time:6.892s step_avg:3.40ms
step:2027/3250 train_time:7.045s step_avg:3.48ms
step:2028/3250 train_time:7.199s step_avg:3.55ms
step:2029/3250 train_time:7.353s step_avg:3.62ms
step:2030/3250 train_time:7.507s step_avg:3.70ms
step:2031/3250 train_time:7.662s step_avg:3.77ms
step:2032/3250 train_time:7.814s step_avg:3.85ms
step:2033/3250 train_time:7.968s step_avg:3.92ms
step:2034/3250 train_time:8.122s step_avg:3.99ms
step:2035/3250 train_time:8.277s step_avg:4.07ms
step:2036/3250 train_time:8.431s step_avg:4.14ms
step:2037/3250 train_time:8.584s step_avg:4.21ms
step:2038/3250 train_time:8.738s step_avg:4.29ms
step:2039/3250 train_time:8.891s step_avg:4.36ms
step:2040/3250 train_time:9.045s step_avg:4.43ms
step:2041/3250 train_time:9.198s step_avg:4.51ms
step:2042/3250 train_time:9.351s step_avg:4.58ms
step:2043/3250 train_time:9.504s step_avg:4.65ms
step:2044/3250 train_time:9.659s step_avg:4.73ms
step:2045/3250 train_time:9.812s step_avg:4.80ms
step:2046/3250 train_time:9.966s step_avg:4.87ms
step:2047/3250 train_time:10.120s step_avg:4.94ms
step:2048/3250 train_time:10.273s step_avg:5.02ms
step:2049/3250 train_time:10.427s step_avg:5.09ms
step:2050/3250 train_time:10.583s step_avg:5.16ms
step:2051/3250 train_time:10.737s step_avg:5.24ms
step:2052/3250 train_time:10.891s step_avg:5.31ms
step:2053/3250 train_time:11.045s step_avg:5.38ms
step:2054/3250 train_time:11.199s step_avg:5.45ms
