=== eos_f2000_s170 : resume eos_shared_state@2000 ===
W0830 15:14:19.686000 22494 torch/distributed/run.py:852] 
W0830 15:14:19.686000 22494 torch/distributed/run.py:852] *****************************************
W0830 15:14:19.686000 22494 torch/distributed/run.py:852] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0830 15:14:19.686000 22494 torch/distributed/run.py:852] *****************************************
logs/877f68e3-55aa-46be-8d2e-3cf6b598a03b.txt
resumed training state from step 2000 in eos_shared_state, skipped 2000 batches
step:0/3250 val_loss:3.44321 train_time:0.001s step_avg:nanms
learning_rates step:2000 [{'pattern': '^embed\\.weight$', 'lr': [1.19]}, {'pattern': '^proj\\.weight$', 'lr': [0.0068]}, {'pattern': '^blocks\\..*\\.weight$', 'lr': [0.0425]}, {'pattern': '.*', 'lr': [0.0255]}]
step:2001/3250 train_time:2.982s step_avg:1.49ms
learning_rates step:2001 [{'pattern': '^embed\\.weight$', 'lr': [1.19]}, {'pattern': '^proj\\.weight$', 'lr': [0.0068]}, {'pattern': '^blocks\\..*\\.weight$', 'lr': [0.0425]}, {'pattern': '.*', 'lr': [0.0255]}]
step:2002/3250 train_time:3.121s step_avg:1.56ms
step:2003/3250 train_time:3.276s step_avg:1.64ms
step:2004/3250 train_time:3.429s step_avg:1.71ms
step:2005/3250 train_time:3.582s step_avg:1.79ms
step:2006/3250 train_time:3.736s step_avg:1.86ms
step:2007/3250 train_time:3.888s step_avg:1.94ms
step:2008/3250 train_time:4.041s step_avg:2.01ms
step:2009/3250 train_time:4.195s step_avg:2.09ms
step:2010/3250 train_time:4.347s step_avg:2.16ms
step:2011/3250 train_time:4.500s step_avg:2.24ms
step:2012/3250 train_time:4.653s step_avg:2.31ms
step:2013/3250 train_time:4.806s step_avg:2.39ms
step:2014/3250 train_time:4.959s step_avg:2.46ms
step:2015/3250 train_time:5.112s step_avg:2.54ms
step:2016/3250 train_time:5.266s step_avg:2.61ms
step:2017/3250 train_time:5.420s step_avg:2.69ms
step:2018/3250 train_time:5.573s step_avg:2.76ms
step:2019/3250 train_time:5.726s step_avg:2.84ms
step:2020/3250 train_time:5.881s step_avg:2.91ms
step:2021/3250 train_time:6.036s step_avg:2.99ms
step:2022/3250 train_time:6.189s step_avg:3.06ms
step:2023/3250 train_time:6.343s step_avg:3.14ms
step:2024/3250 train_time:6.497s step_avg:3.21ms
step:2025/3250 train_time:6.650s step_avg:3.28ms
step:2026/3250 train_time:6.804s step_avg:3.36ms
step:2027/3250 train_time:6.957s step_avg:3.43ms
