run_id	fork	multiplier	stop_after	curvature_checkpoints	matrices	merged_json
eos_f1500_s060	1500	0.60	2750	2250,2375,2500,2625,2750	74	eos_f1500_s060/req019_per_matrix_curvature.json
eos_f1500_s077	1500	0.77	2750	2250,2375,2500,2625,2750	74	eos_f1500_s077/req019_per_matrix_curvature.json
eos_f1500_s100	1500	1.00	2750	2250,2375,2500,2625,2750	74	eos_f1500_s100/req019_per_matrix_curvature.json
eos_f1500_s100dup	1500	1.00	2750	2250,2375,2500,2625,2750	74	eos_f1500_s100dup/req019_per_matrix_curvature.json
eos_f1500_s130	1500	1.30	2750	2250,2375,2500,2625,2750	74	eos_f1500_s130/req019_per_matrix_curvature.json
eos_f1500_s170	1500	1.70	2750	2250,2375,2500,2625,2750	74	eos_f1500_s170/req019_per_matrix_curvature.json
eos_f2000_s060	2000	0.60	3249	2750,2875,3000,3125,3249	74	eos_f2000_s060/req019_per_matrix_curvature.json
eos_f2000_s100	2000	1.00	3249	2750,2875,3000,3125,3249	74	eos_f2000_s100/req019_per_matrix_curvature.json
eos_f2000_s170	2000	1.70	3249	2750,2875,3000,3125,3249	74	eos_f2000_s170/req019_per_matrix_curvature.json
eos_f1500_s065	1500	0.65	2750	2250,2375,2500,2625,2750	74	eos_f1500_s065/req019_per_matrix_curvature.json
eos_f1500_s085	1500	0.85	2750	2250,2375,2500,2625,2750	74	eos_f1500_s085/req019_per_matrix_curvature.json
eos_f1500_s090	1500	0.90	2750	2250,2375,2500,2625,2750	74	eos_f1500_s090/req019_per_matrix_curvature.json
eos_f1500_s110	1500	1.10	2750	2250,2375,2500,2625,2750	74	eos_f1500_s110/req019_per_matrix_curvature.json
eos_f1500_s115	1500	1.15	2750	2250,2375,2500,2625,2750	74	eos_f1500_s115/req019_per_matrix_curvature.json
eos_f1500_s145	1500	1.45	2750	2250,2375,2500,2625,2750	74	eos_f1500_s145/req019_per_matrix_curvature.json
eos_f1500_s085dup	1500	0.85	2750	2250,2375,2500,2625,2750	74	eos_f1500_s085dup/req019_per_matrix_curvature.json
