# REQ-019 eos_state_dependence summary (9 arms: 6 fork-1500 + 3 fork-2000). SHA ebf53cd, node qvgl1eq 8xH100, torch 2.10.0+cu128.
# shared-state gate: PASS for both forks (shared-state-check.tsv). Curvature = per-matrix DIAGONAL-block top Hessian eigenvalue (Lanczos iters=8, 131072 tokens).
# max/mean_top_eig@final = max/mean over 74 matrices at each arm's final curvature checkpoint (2750 for fork-1500, 3249 for fork-2000).
run_id	fork	multiplier	sha	node_gpu	train_wall_s	curv_wall_s	completion	ckpt_count	matrix_count	final_ckpt	max_top_eig_final	mean_top_eig_final	failure
eos_f1500_s060	1500	0.60	ebf53cd	qvgl1eq/8xH100	201.460	1122.7	OK	5	74	2750	1164457.7026	52951.2672	none
eos_f1500_s077	1500	0.77	ebf53cd	qvgl1eq/8xH100	201.986	1122.5	OK	5	74	2750	717360.8548	38510.2286	none
eos_f1500_s100	1500	1.00	ebf53cd	qvgl1eq/8xH100	202.525	1122.8	OK	5	74	2750	396190.8672	22183.3190	none
eos_f1500_s100dup	1500	1.00	ebf53cd	qvgl1eq/8xH100	201.575	1120.0	OK	5	74	2750	437888.5383	26491.2499	none
eos_f1500_s130	1500	1.30	ebf53cd	qvgl1eq/8xH100	203.160	1123.6	OK	5	74	2750	270697.7338	16714.0559	none
eos_f1500_s170	1500	1.70	ebf53cd	qvgl1eq/8xH100	202.080	1123.2	OK	5	74	2750	150454.6752	9206.1768	none
eos_f2000_s060	2000	0.60	ebf53cd	qvgl1eq/8xH100	202.012	1120.6	OK	5	74	3249	1140570.9365	57041.3543	none
eos_f2000_s100	2000	1.00	ebf53cd	qvgl1eq/8xH100	202.292	1123.5	OK	5	74	3249	466864.7426	23808.9166	none
eos_f2000_s170	2000	1.70	ebf53cd	qvgl1eq/8xH100	201.653	1122.6	OK	5	74	3249	188492.3650	11011.5094	none
eos_f1500_s065	1500	0.65	ebf53cd	wxgmk0q/8xH100	202.182	1119.9	OK	5	74	2750	950390.5146	43991.2123	none
eos_f1500_s085	1500	0.85	ebf53cd	wxgmk0q/8xH100	202.403	1121.7	OK	5	74	2750	565557.3744	31419.9910	none
eos_f1500_s090	1500	0.90	ebf53cd	wxgmk0q/8xH100	202.335	1118.4	OK	5	74	2750	605393.7777	31112.6271	none
eos_f1500_s110	1500	1.10	ebf53cd	wxgmk0q/8xH100	202.131	1121.0	OK	5	74	2750	382331.8430	19120.3356	none
eos_f1500_s115	1500	1.15	ebf53cd	wxgmk0q/8xH100	202.290	1121.4	OK	5	74	2750	284474.5129	17089.3457	none
eos_f1500_s145	1500	1.45	ebf53cd	wxgmk0q/8xH100	202.325	1119.8	OK	5	74	2750	268701.7565	12826.3027	none
eos_f1500_s085dup	1500	0.85	ebf53cd	wxgmk0q/8xH100	202.556	1119.3	OK	5	74	2750	636992.8611	30082.9876	none
