step	restart	iter	objective
1500	0	0	76533496.0
1500	0	1	301240352.0
1500	0	2	345759040.0
1500	0	3	365071840.0
1500	0	4	376177504.0
1500	0	5	383339168.0
1500	0	6	388456160.0
1500	0	7	392211136.0
1500	0	8	395106976.0
1500	0	9	397400448.0
1500	0	10	399310400.0
1500	0	11	400850720.0
1500	0	12	402285152.0
1500	0	13	403503328.0
1500	0	14	404492320.0
1500	0	15	405381792.0
1500	0	16	406172800.0
1500	0	17	406976960.0
1500	0	18	407624672.0
1500	0	19	408310176.0
1500	0	20	408902208.0
1500	0	21	409356992.0
1500	0	22	409748096.0
1500	0	23	410250816.0
1500	0	24	410701920.0
1500	0	25	411061248.0
1500	0	26	411380736.0
1500	0	27	411835712.0
1500	0	28	412110432.0
1500	0	29	412483712.0
1500	0	30	412770144.0
1500	0	31	412985472.0
1500	0	32	413158976.0
1500	0	33	413493472.0
1500	0	34	413717824.0
1500	0	35	413943680.0
1500	0	36	414173504.0
1500	0	37	414390432.0
1500	0	38	414602912.0
1500	0	39	414763744.0
1500	0	40	414900864.0
1500	0	41	415111104.0
1500	0	42	415330272.0
1500	0	43	415481568.0
1500	0	44	415669344.0
1500	0	45	415797344.0
1500	0	46	415948800.0
1500	0	47	416118848.0
1500	0	48	416201312.0
1500	0	49	416455200.0
1500	0	50	416474496.0
1500	1	0	284003.9375
1500	1	1	101047920.0
1500	1	2	227066592.0
1500	1	3	284490688.0
1500	1	4	315202592.0
1500	1	5	333861760.0
1500	1	6	346455872.0
1500	1	7	355443264.0
1500	1	8	362260768.0
1500	1	9	367697280.0
1500	1	10	372012704.0
1500	1	11	375566304.0
1500	1	12	378437504.0
1500	1	13	380984352.0
1500	1	14	383152544.0
1500	1	15	385090624.0
1500	1	16	386715200.0
1500	1	17	388214400.0
1500	1	18	389507520.0
1500	1	19	390836032.0
1500	1	20	391930112.0
1500	1	21	392915584.0
1500	1	22	393868224.0
1500	1	23	394681088.0
1500	1	24	395428032.0
1500	1	25	396166944.0
1500	1	26	396825600.0
1500	1	27	397476896.0
1500	1	28	398029184.0
1500	1	29	398599744.0
1500	1	30	399102624.0
1500	1	31	399553984.0
1500	1	32	400010688.0
1500	1	33	400434496.0
1500	1	34	400857088.0
1500	1	35	401252512.0
1500	1	36	401578144.0
1500	1	37	401965472.0
1500	1	38	402349568.0
1500	1	39	402649440.0
1500	1	40	402972288.0
1500	1	41	403345184.0
1500	1	42	403539072.0
1500	1	43	403860736.0
1500	1	44	404087136.0
1500	1	45	404338464.0
1500	1	46	404629440.0
1500	1	47	404812864.0
1500	1	48	405072864.0
1500	1	49	405174560.0
1500	1	50	405354368.0
1500	2	0	296775.28125
1500	2	1	95832880.0
1500	2	2	219313232.0
1500	2	3	279034240.0
1500	2	4	311835808.0
1500	2	5	331973472.0
1500	2	6	345412288.0
1500	2	7	354968224.0
1500	2	8	361929568.0
1500	2	9	367386976.0
1500	2	10	371596064.0
1500	2	11	375164192.0
1500	2	12	378013728.0
1500	2	13	380414976.0
1500	2	14	382588064.0
1500	2	15	384415584.0
1500	2	16	385979168.0
1500	2	17	387322976.0
1500	2	18	388596352.0
1500	2	19	389679936.0
1500	2	20	390753056.0
1500	2	21	391607552.0
1500	2	22	392443296.0
1500	2	23	393194656.0
1500	2	24	393907680.0
1500	2	25	394561600.0
1500	2	26	395180320.0
1500	2	27	395719040.0
1500	2	28	396265792.0
1500	2	29	396766848.0
1500	2	30	397208512.0
1500	2	31	397652352.0
1500	2	32	398078944.0
1500	2	33	398458368.0
1500	2	34	398876288.0
1500	2	35	399182464.0
1500	2	36	399551008.0
1500	2	37	399947008.0
1500	2	38	400207264.0
1500	2	39	400541024.0
1500	2	40	400857920.0
1500	2	41	401080704.0
1500	2	42	401308512.0
1500	2	43	401623584.0
1500	2	44	401776064.0
1500	2	45	402075040.0
1500	2	46	402281344.0
1500	2	47	402539904.0
1500	2	48	402742880.0
1500	2	49	403000672.0
1500	2	50	403143776.0
1500	3	0	299710.09375
1500	3	1	109011112.0
1500	3	2	241451024.0
1500	3	3	299130912.0
1500	3	4	329387392.0
1500	3	5	347638848.0
1500	3	6	359690368.0
1500	3	7	368134976.0
1500	3	8	374651776.0
1500	3	9	379587744.0
1500	3	10	383502176.0
1500	3	11	386653632.0
1500	3	12	389370112.0
1500	3	13	391685344.0
1500	3	14	393628768.0
1500	3	15	395366400.0
1500	3	16	396943936.0
1500	3	17	398316736.0
1500	3	18	399491200.0
1500	3	19	400554880.0
1500	3	20	401600512.0
1500	3	21	402472096.0
1500	3	22	403306272.0
1500	3	23	404057760.0
1500	3	24	404814048.0
1500	3	25	405529440.0
1500	3	26	406051776.0
1500	3	27	406701920.0
1500	3	28	407120000.0
1500	3	29	407816192.0
1500	3	30	408180992.0
1500	3	31	408662944.0
1500	3	32	409088736.0
1500	3	33	409497600.0
1500	3	34	409906880.0
1500	3	35	410320736.0
1500	3	36	410641120.0
1500	3	37	410942976.0
1500	3	38	411164000.0
1500	3	39	411445248.0
1500	3	40	411842848.0
1500	3	41	412016512.0
1500	3	42	412380096.0
1500	3	43	412547744.0
1500	3	44	412881248.0
1500	3	45	413071072.0
1500	3	46	413269216.0
1500	3	47	413444160.0
1500	3	48	413588672.0
1500	3	49	413920864.0
1500	3	50	414099712.0
1500	4	0	295606.53125
1500	4	1	107201824.0
1500	4	2	228698960.0
1500	4	3	282980896.0
1500	4	4	312152448.0
1500	4	5	329953920.0
1500	4	6	342109632.0
1500	4	7	350764736.0
1500	4	8	357155392.0
1500	4	9	362238784.0
1500	4	10	366287136.0
1500	4	11	369573184.0
1500	4	12	372332032.0
1500	4	13	374697952.0
1500	4	14	376667040.0
1500	4	15	378245376.0
1500	4	16	379909280.0
1500	4	17	381239776.0
1500	4	18	382480800.0
1500	4	19	383707360.0
1500	4	20	384603616.0
1500	4	21	385518464.0
1500	4	22	386366464.0
1500	4	23	387174752.0
1500	4	24	387878112.0
1500	4	25	388546720.0
1500	4	26	389164384.0
1500	4	27	389703456.0
1500	4	28	390283264.0
1500	4	29	390752064.0
1500	4	30	391225440.0
1500	4	31	391662176.0
1500	4	32	392158208.0
1500	4	33	392459712.0
1500	4	34	392870976.0
1500	4	35	393252096.0
1500	4	36	393467328.0
1500	4	37	393920000.0
1500	4	38	394219872.0
1500	4	39	394515136.0
1500	4	40	394838976.0
1500	4	41	395094048.0
1500	4	42	395316416.0
1500	4	43	395581696.0
1500	4	44	395832096.0
1500	4	45	396022720.0
1500	4	46	396253888.0
1500	4	47	396497920.0
1500	4	48	396630272.0
1500	4	49	396971808.0
1500	4	50	397070400.0
2750	0	0	130484216.0
2750	0	1	346088000.0
2750	0	2	385779648.0
2750	0	3	401015456.0
2750	0	4	409319360.0
2750	0	5	414443808.0
2750	0	6	417976384.0
2750	0	7	420680224.0
2750	0	8	422637536.0
2750	0	9	424217248.0
2750	0	10	425539872.0
2750	0	11	426565472.0
2750	0	12	427524672.0
2750	0	13	428280352.0
2750	0	14	429071424.0
2750	0	15	429632384.0
2750	0	16	430195616.0
2750	0	17	430703072.0
2750	0	18	431082464.0
2750	0	19	431495264.0
2750	0	20	431887712.0
2750	0	21	432258944.0
2750	0	22	432545408.0
2750	0	23	432887136.0
2750	0	24	433150560.0
2750	0	25	433353920.0
2750	0	26	433561792.0
2750	0	27	433816768.0
2750	0	28	434001088.0
2750	0	29	434171136.0
2750	0	30	434395968.0
2750	0	31	434578368.0
2750	0	32	434772352.0
2750	0	33	434902240.0
2750	0	34	435072800.0
2750	0	35	435228096.0
2750	0	36	435357984.0
2750	0	37	435460064.0
2750	0	38	435627136.0
2750	0	39	435776320.0
2750	0	40	435882592.0
2750	0	41	435970944.0
2750	0	42	436091296.0
2750	0	43	436144256.0
2750	0	44	436241632.0
2750	0	45	436378624.0
2750	0	46	436432992.0
2750	0	47	436552992.0
2750	0	48	436620064.0
2750	0	49	436735200.0
2750	0	50	436778752.0
2750	1	0	251655.421875
2750	1	1	84808744.0
2750	1	2	220439280.0
2750	1	3	287539744.0
2750	1	4	323852288.0
2750	1	5	346021408.0
2750	1	6	360859776.0
2750	1	7	371406048.0
2750	1	8	379303840.0
2750	1	9	385356480.0
2750	1	10	390232960.0
2750	1	11	394228096.0
2750	1	12	397541088.0
2750	1	13	400283072.0
2750	1	14	402716384.0
2750	1	15	404916480.0
2750	1	16	406689792.0
2750	1	17	408310432.0
2750	1	18	409799040.0
2750	1	19	411026976.0
2750	1	20	412228384.0
2750	1	21	413299808.0
2750	1	22	414324512.0
2750	1	23	415139968.0
2750	1	24	415985824.0
2750	1	25	416672640.0
2750	1	26	417492032.0
2750	1	27	418153504.0
2750	1	28	418735520.0
2750	1	29	419335392.0
2750	1	30	419897152.0
2750	1	31	420372448.0
2750	1	32	420842112.0
2750	1	33	421341792.0
2750	1	34	421750144.0
2750	1	35	422148448.0
2750	1	36	422577472.0
2750	1	37	422862656.0
2750	1	38	423239648.0
2750	1	39	423549888.0
2750	1	40	423879616.0
2750	1	41	424149472.0
2750	1	42	424460032.0
2750	1	43	424729472.0
2750	1	44	425004224.0
2750	1	45	425283296.0
2750	1	46	425528032.0
2750	1	47	425693184.0
2750	1	48	425923264.0
2750	1	49	426153120.0
2750	1	50	426380032.0
2750	2	0	252551.453125
2750	2	1	71659776.0
2750	2	2	196031552.0
2750	2	3	263978608.0
2750	2	4	301247520.0
2750	2	5	324564000.0
2750	2	6	340368704.0
2750	2	7	351808608.0
2750	2	8	360467712.0
2750	2	9	367208320.0
2750	2	10	372596960.0
2750	2	11	377078848.0
2750	2	12	380828352.0
2750	2	13	383970016.0
2750	2	14	386640224.0
2750	2	15	389045376.0
2750	2	16	391165312.0
2750	2	17	392952416.0
2750	2	18	394574816.0
2750	2	19	396092160.0
2750	2	20	397428352.0
2750	2	21	398667904.0
2750	2	22	399710688.0
2750	2	23	400745152.0
2750	2	24	401663456.0
2750	2	25	402451296.0
2750	2	26	403258912.0
2750	2	27	403964256.0
2750	2	28	404637376.0
2750	2	29	405269888.0
2750	2	30	405856288.0
2750	2	31	406447648.0
2750	2	32	407001344.0
2750	2	33	407539904.0
2750	2	34	407984448.0
2750	2	35	408456032.0
2750	2	36	408810912.0
2750	2	37	409217344.0
2750	2	38	409604512.0
2750	2	39	409954880.0
2750	2	40	410332512.0
2750	2	41	410659136.0
2750	2	42	411047616.0
2750	2	43	411337024.0
2750	2	44	411625184.0
2750	2	45	411848160.0
2750	2	46	412119648.0
2750	2	47	412427232.0
2750	2	48	412643360.0
2750	2	49	412884800.0
2750	2	50	413121760.0
2750	3	0	247473.296875
2750	3	1	78135456.0
2750	3	2	196015248.0
2750	3	3	258661104.0
2750	3	4	293829376.0
2750	3	5	315995296.0
2750	3	6	330989888.0
2750	3	7	341714912.0
2750	3	8	349900224.0
2750	3	9	356156352.0
2750	3	10	361263296.0
2750	3	11	365354112.0
2750	3	12	368768320.0
2750	3	13	371718368.0
2750	3	14	374240576.0
2750	3	15	376369600.0
2750	3	16	378336480.0
2750	3	17	380058848.0
2750	3	18	381621856.0
2750	3	19	382969792.0
2750	3	20	384175776.0
2750	3	21	385281216.0
2750	3	22	386290464.0
2750	3	23	387270624.0
2750	3	24	388151392.0
2750	3	25	389052928.0
2750	3	26	389774944.0
2750	3	27	390420800.0
