candidate	step	seed	bimaxwell_val	candidate_val	diff_bimaxwell_minus_candidate
expann_b0p982_b0p944	0	0	3.64974	3.64974	+0.000000
expann_b0p982_b0p944	0	1	3.65102	3.65102	+0.000000
expann_b0p982_b0p944	0	2	3.65366	3.65366	+0.000000
expann_b0p982_b0p944	0	3	3.65225	3.65225	+0.000000
expann_b0p982_b0p944	1125	0	3.60197	3.65544	-0.053470
expann_b0p982_b0p944	1125	1	3.60103	3.65528	-0.054250
expann_b0p982_b0p944	1125	2	3.60412	3.65666	-0.052540
expann_b0p982_b0p944	1125	3	3.60093	3.65527	-0.054340
expann_b0p982_b0p944	1250	0	3.57055	3.60502	-0.034470
expann_b0p982_b0p944	1250	1	3.57031	3.60465	-0.034340
expann_b0p982_b0p944	1250	2	3.57241	3.60750	-0.035090
expann_b0p982_b0p944	1250	3	3.57068	3.60553	-0.034850
expann_b0p982_b0p944	1375	0	3.54693	3.56983	-0.022900
expann_b0p982_b0p944	1375	1	3.54627	3.57034	-0.024070
expann_b0p982_b0p944	1375	2	3.54694	3.57067	-0.023730
expann_b0p982_b0p944	1375	3	3.54808	3.57120	-0.023120
expann_b0p982_b0p944	1500	0	3.52295	3.53737	-0.014420
expann_b0p982_b0p944	1500	1	3.52388	3.53686	-0.012980
expann_b0p982_b0p944	1500	2	3.52141	3.53873	-0.017320
expann_b0p982_b0p944	1500	3	3.52218	3.53815	-0.015970
expann_b0p982_b0p944	1625	0	3.50370	3.51324	-0.009540
expann_b0p982_b0p944	1625	1	3.50094	3.51245	-0.011510
expann_b0p982_b0p944	1625	2	3.50347	3.51366	-0.010190
expann_b0p982_b0p944	1625	3	3.50417	3.51383	-0.009660
expann_b0p982_b0p944	1750	0	3.48274	3.48787	-0.005130
expann_b0p982_b0p944	1750	1	3.48137	3.48772	-0.006350
expann_b0p982_b0p944	1750	2	3.48196	3.48914	-0.007180
expann_b0p982_b0p944	1750	3	3.48299	3.48905	-0.006060
expann_b0p982_b0p944	1875	0	3.46179	3.46710	-0.005310
expann_b0p982_b0p944	1875	1	3.46211	3.46539	-0.003280
expann_b0p982_b0p944	1875	2	3.46269	3.46745	-0.004760
expann_b0p982_b0p944	1875	3	3.46415	3.46810	-0.003950
expann_b0p982_b0p944	2000	0	3.44234	3.44465	-0.002310
expann_b0p982_b0p944	2000	1	3.44282	3.44445	-0.001630
expann_b0p982_b0p944	2000	2	3.44335	3.44528	-0.001930
expann_b0p982_b0p944	2000	3	3.44413	3.44595	-0.001820
expann_b0p982_b0p944	2125	0	3.42481	3.42539	-0.000580
expann_b0p982_b0p944	2125	1	3.42506	3.42542	-0.000360
expann_b0p982_b0p944	2125	2	3.42619	3.42599	+0.000200
expann_b0p982_b0p944	2125	3	3.42596	3.42632	-0.000360
expann_b0p982_b0p944	2250	0	3.40680	3.40597	+0.000830
expann_b0p982_b0p944	2250	1	3.40678	3.40607	+0.000710
expann_b0p982_b0p944	2250	2	3.40748	3.40655	+0.000930
expann_b0p982_b0p944	2250	3	3.40858	3.40726	+0.001320
expann_b0p982_b0p944	2375	0	3.38940	3.38811	+0.001290
expann_b0p982_b0p944	2375	1	3.38942	3.38789	+0.001530
expann_b0p982_b0p944	2375	2	3.39012	3.38838	+0.001740
expann_b0p982_b0p944	2375	3	3.39109	3.38877	+0.002320
expann_b0p982_b0p944	2500	0	3.37196	3.36942	+0.002540
expann_b0p982_b0p944	2500	1	3.37207	3.36934	+0.002730
expann_b0p982_b0p944	2500	2	3.37270	3.36988	+0.002820
expann_b0p982_b0p944	2500	3	3.37307	3.37084	+0.002230
expann_b0p982_b0p944	2625	0	3.35307	3.35028	+0.002790
expann_b0p982_b0p944	2625	1	3.35347	3.35049	+0.002980
expann_b0p982_b0p944	2625	2	3.35412	3.35095	+0.003170
expann_b0p982_b0p944	2625	3	3.35420	3.35139	+0.002810
expann_b0p982_b0p944	2750	0	3.33536	3.33259	+0.002770
expann_b0p982_b0p944	2750	1	3.33537	3.33226	+0.003110
expann_b0p982_b0p944	2750	2	3.33586	3.33287	+0.002990
expann_b0p982_b0p944	2750	3	3.33657	3.33358	+0.002990
expann_b0p982_b0p944	2875	0	3.31730	3.31473	+0.002570
expann_b0p982_b0p944	2875	1	3.31732	3.31458	+0.002740
expann_b0p982_b0p944	2875	2	3.31791	3.31523	+0.002680
expann_b0p982_b0p944	2875	3	3.31868	3.31584	+0.002840
expann_b0p982_b0p944	2900	0	3.31351	3.31112	+0.002390
expann_b0p982_b0p944	2900	1	3.31344	3.31101	+0.002430
expann_b0p982_b0p944	2900	2	3.31424	3.31182	+0.002420
expann_b0p982_b0p944	2900	3	3.31484	3.31252	+0.002320
expann_b0p982_b0p944	2910	0	3.31193	3.30955	+0.002380
expann_b0p982_b0p944	2910	1	3.31178	3.30943	+0.002350
expann_b0p982_b0p944	2910	2	3.31259	3.31018	+0.002410
expann_b0p982_b0p944	2910	3	3.31329	3.31089	+0.002400
expann_b0p982_b0p944	2920	0	3.31069	3.30818	+0.002510
expann_b0p982_b0p944	2920	1	3.31041	3.30782	+0.002590
expann_b0p982_b0p944	2920	2	3.31116	3.30859	+0.002570
expann_b0p982_b0p944	2920	3	3.31177	3.30935	+0.002420
expann_b0p982_b0p944	2925	0	3.30985	3.30753	+0.002320
expann_b0p982_b0p944	2925	1	3.30968	3.30730	+0.002380
expann_b0p982_b0p944	2925	2	3.31045	3.30802	+0.002430
expann_b0p982_b0p944	2925	3	3.31082	3.30857	+0.002250
expann_b0p982_b0p944	2930	0	3.30956	3.30715	+0.002410
expann_b0p982_b0p944	2930	1	3.30932	3.30689	+0.002430
expann_b0p982_b0p944	2930	2	3.31022	3.30768	+0.002540
expann_b0p982_b0p944	2930	3	3.31083	3.30832	+0.002510
expann_b0p982_b0p944	2940	0	3.30775	3.30578	+0.001970
expann_b0p982_b0p944	2940	1	3.30789	3.30558	+0.002310
expann_b0p982_b0p944	2940	2	3.30866	3.30648	+0.002180
expann_b0p982_b0p944	2940	3	3.30905	3.30686	+0.002190
expann_b0p982_b0p944	2950	0	3.30658	3.30428	+0.002300
expann_b0p982_b0p944	2950	1	3.30640	3.30407	+0.002330
expann_b0p982_b0p944	2950	2	3.30728	3.30492	+0.002360
expann_b0p982_b0p944	2950	3	3.30771	3.30534	+0.002370
expann_b0p982_b0p944	2960	0	3.30517	3.30286	+0.002310
expann_b0p982_b0p944	2960	1	3.30508	3.30277	+0.002310
expann_b0p982_b0p944	2960	2	3.30578	3.30345	+0.002330
expann_b0p982_b0p944	2960	3	3.30616	3.30398	+0.002180
expann_b0p982_b0p944	2970	0	3.30355	3.30143	+0.002120
expann_b0p982_b0p944	2970	1	3.30362	3.30143	+0.002190
expann_b0p982_b0p944	2970	2	3.30425	3.30202	+0.002230
expann_b0p982_b0p944	2970	3	3.30475	3.30251	+0.002240
expann_b0p982_b0p944	2975	0	3.30301	3.30094	+0.002070
expann_b0p982_b0p944	2975	1	3.30319	3.30093	+0.002260
expann_b0p982_b0p944	2975	2	3.30378	3.30148	+0.002300
expann_b0p982_b0p944	2975	3	3.30421	3.30203	+0.002180
expann_b0p982_b0p944	2980	0	3.30230	3.30031	+0.001990
expann_b0p982_b0p944	2980	1	3.30256	3.30026	+0.002300
expann_b0p982_b0p944	2980	2	3.30305	3.30085	+0.002200
expann_b0p982_b0p944	2980	3	3.30371	3.30140	+0.002310
expann_b0p982_b0p944	2990	0	3.30128	3.29916	+0.002120
expann_b0p982_b0p944	2990	1	3.30148	3.29930	+0.002180
expann_b0p982_b0p944	2990	2	3.30206	3.29983	+0.002230
expann_b0p982_b0p944	2990	3	3.30269	3.30036	+0.002330
expann_b0p982_b0p944	3000	0	3.30000	3.29796	+0.002040
expann_b0p982_b0p944	3000	1	3.29996	3.29786	+0.002100
expann_b0p982_b0p944	3000	2	3.30068	3.29859	+0.002090
expann_b0p982_b0p944	3000	3	3.30108	3.29912	+0.001960
expann_b0p982_b0p944	3010	0	3.29836	3.29664	+0.001720
expann_b0p982_b0p944	3010	1	3.29847	3.29647	+0.002000
expann_b0p982_b0p944	3010	2	3.29916	3.29720	+0.001960
