
===== plann_bimaxwell_control (seed 0) =====
W0830 12:52:31.835000 8326 torch/distributed/run.py:852] 
W0830 12:52:31.835000 8326 torch/distributed/run.py:852] *****************************************
W0830 12:52:31.835000 8326 torch/distributed/run.py:852] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0830 12:52:31.835000 8326 torch/distributed/run.py:852] *****************************************
logs/4ace6574-7a39-4412-ae0b-4c5c55260bcb.txt
resumed training state from step 1000 in warmstart_pl_anneal, skipped 1000 batches
step:0/3250 val_loss:3.64974 train_time:0.001s step_avg:nanms
step:1001/3250 train_time:2.708s step_avg:2.71ms
step:1002/3250 train_time:10.147s step_avg:10.13ms
step:1003/3250 train_time:10.330s step_avg:10.30ms
step:1004/3250 train_time:10.483s step_avg:10.44ms
step:1005/3250 train_time:10.634s step_avg:10.58ms
step:1006/3250 train_time:10.787s step_avg:10.72ms
step:1007/3250 train_time:10.940s step_avg:10.86ms
step:1008/3250 train_time:11.092s step_avg:11.00ms
step:1009/3250 train_time:11.246s step_avg:11.15ms
step:1010/3250 train_time:11.398s step_avg:11.29ms
step:1011/3250 train_time:11.550s step_avg:11.42ms
step:1012/3250 train_time:11.702s step_avg:11.56ms
step:1013/3250 train_time:11.855s step_avg:11.70ms
step:1014/3250 train_time:12.010s step_avg:11.84ms
step:1015/3250 train_time:12.164s step_avg:11.98ms
step:1016/3250 train_time:12.317s step_avg:12.12ms
step:1017/3250 train_time:12.469s step_avg:12.26ms
step:1018/3250 train_time:12.622s step_avg:12.40ms
step:1019/3250 train_time:12.774s step_avg:12.54ms
step:1020/3250 train_time:12.926s step_avg:12.67ms
step:1021/3250 train_time:13.079s step_avg:12.81ms
step:1022/3250 train_time:13.231s step_avg:12.95ms
step:1023/3250 train_time:13.384s step_avg:13.08ms
step:1024/3250 train_time:13.538s step_avg:13.22ms
step:1025/3250 train_time:13.691s step_avg:13.36ms
step:1026/3250 train_time:13.843s step_avg:13.49ms
step:1027/3250 train_time:13.996s step_avg:13.63ms
step:1028/3250 train_time:14.148s step_avg:13.76ms
step:1029/3250 train_time:14.301s step_avg:13.90ms
step:1030/3250 train_time:14.453s step_avg:14.03ms
step:1031/3250 train_time:14.608s step_avg:14.17ms
