
===== plann_bimaxwell_control (seed 1) =====
W0830 13:18:22.978000 14798 torch/distributed/run.py:852] 
W0830 13:18:22.978000 14798 torch/distributed/run.py:852] *****************************************
W0830 13:18:22.978000 14798 torch/distributed/run.py:852] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0830 13:18:22.978000 14798 torch/distributed/run.py:852] *****************************************
logs/2dbf1859-3a02-4651-aadc-57e698d09550.txt
resumed training state from step 1000 in warmstart_pl_anneal, skipped 1000 batches
step:0/3250 val_loss:3.65102 train_time:0.001s step_avg:nanms
step:1001/3250 train_time:2.745s step_avg:2.74ms
step:1002/3250 train_time:3.255s step_avg:3.25ms
step:1003/3250 train_time:3.402s step_avg:3.39ms
step:1004/3250 train_time:3.554s step_avg:3.54ms
step:1005/3250 train_time:3.708s step_avg:3.69ms
step:1006/3250 train_time:3.860s step_avg:3.84ms
step:1007/3250 train_time:4.013s step_avg:3.98ms
step:1008/3250 train_time:4.166s step_avg:4.13ms
step:1009/3250 train_time:4.317s step_avg:4.28ms
step:1010/3250 train_time:4.470s step_avg:4.43ms
step:1011/3250 train_time:4.622s step_avg:4.57ms
step:1012/3250 train_time:4.776s step_avg:4.72ms
step:1013/3250 train_time:4.929s step_avg:4.87ms
step:1014/3250 train_time:5.082s step_avg:5.01ms
step:1015/3250 train_time:5.235s step_avg:5.16ms
step:1016/3250 train_time:5.388s step_avg:5.30ms
step:1017/3250 train_time:5.541s step_avg:5.45ms
step:1018/3250 train_time:5.693s step_avg:5.59ms
step:1019/3250 train_time:5.845s step_avg:5.74ms
step:1020/3250 train_time:5.997s step_avg:5.88ms
step:1021/3250 train_time:6.150s step_avg:6.02ms
step:1022/3250 train_time:6.303s step_avg:6.17ms
step:1023/3250 train_time:6.456s step_avg:6.31ms
step:1024/3250 train_time:6.610s step_avg:6.45ms
step:1025/3250 train_time:6.761s step_avg:6.60ms
step:1026/3250 train_time:6.914s step_avg:6.74ms
step:1027/3250 train_time:7.068s step_avg:6.88ms
step:1028/3250 train_time:7.220s step_avg:7.02ms
step:1029/3250 train_time:7.373s step_avg:7.17ms
step:1030/3250 train_time:7.528s step_avg:7.31ms
step:1031/3250 train_time:7.680s step_avg:7.45ms
step:1032/3250 train_time:7.833s step_avg:7.59ms
step:1033/3250 train_time:7.986s step_avg:7.73ms
step:1034/3250 train_time:8.139s step_avg:7.87ms
step:1035/3250 train_time:8.290s step_avg:8.01ms
step:1036/3250 train_time:8.443s step_avg:8.15ms
step:1037/3250 train_time:8.595s step_avg:8.29ms
step:1038/3250 train_time:8.750s step_avg:8.43ms
step:1039/3250 train_time:8.904s step_avg:8.57ms
step:1040/3250 train_time:9.057s step_avg:8.71ms
step:1041/3250 train_time:9.210s step_avg:8.85ms
step:1042/3250 train_time:9.362s step_avg:8.98ms
step:1043/3250 train_time:9.515s step_avg:9.12ms
step:1044/3250 train_time:9.667s step_avg:9.26ms
step:1045/3250 train_time:9.819s step_avg:9.40ms
step:1046/3250 train_time:9.973s step_avg:9.53ms
step:1047/3250 train_time:10.127s step_avg:9.67ms
step:1048/3250 train_time:10.280s step_avg:9.81ms
step:1049/3250 train_time:10.434s step_avg:9.95ms
step:1050/3250 train_time:10.587s step_avg:10.08ms
step:1051/3250 train_time:10.742s step_avg:10.22ms
step:1052/3250 train_time:10.894s step_avg:10.36ms
step:1053/3250 train_time:11.048s step_avg:10.49ms
step:1054/3250 train_time:11.200s step_avg:10.63ms
step:1055/3250 train_time:11.353s step_avg:10.76ms
step:1056/3250 train_time:11.507s step_avg:10.90ms
step:1057/3250 train_time:11.660s step_avg:11.03ms
step:1058/3250 train_time:11.813s step_avg:11.17ms
step:1059/3250 train_time:11.965s step_avg:11.30ms
step:1060/3250 train_time:12.118s step_avg:11.43ms
step:1061/3250 train_time:12.271s step_avg:11.57ms
step:1062/3250 train_time:12.425s step_avg:11.70ms
step:1063/3250 train_time:12.577s step_avg:11.83ms
step:1064/3250 train_time:12.731s step_avg:11.97ms
step:1065/3250 train_time:12.884s step_avg:12.10ms
step:1066/3250 train_time:13.036s step_avg:12.23ms
step:1067/3250 train_time:13.189s step_avg:12.36ms
step:1068/3250 train_time:13.342s step_avg:12.49ms
step:1069/3250 train_time:13.494s step_avg:12.62ms
