
===== plann_bimaxwell_control (seed 2) =====
W0830 13:43:50.921000 19702 torch/distributed/run.py:852] 
W0830 13:43:50.921000 19702 torch/distributed/run.py:852] *****************************************
W0830 13:43:50.921000 19702 torch/distributed/run.py:852] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0830 13:43:50.921000 19702 torch/distributed/run.py:852] *****************************************
logs/b2743d7e-66aa-4562-8c66-ae3eda727292.txt
resumed training state from step 1000 in warmstart_pl_anneal, skipped 1000 batches
step:0/3250 val_loss:3.65366 train_time:0.001s step_avg:nanms
step:1001/3250 train_time:2.639s step_avg:2.64ms
step:1002/3250 train_time:3.153s step_avg:3.15ms
step:1003/3250 train_time:3.293s step_avg:3.28ms
step:1004/3250 train_time:3.446s step_avg:3.43ms
step:1005/3250 train_time:3.598s step_avg:3.58ms
step:1006/3250 train_time:3.751s step_avg:3.73ms
step:1007/3250 train_time:3.905s step_avg:3.88ms
step:1008/3250 train_time:4.057s step_avg:4.02ms
step:1009/3250 train_time:4.211s step_avg:4.17ms
step:1010/3250 train_time:4.364s step_avg:4.32ms
step:1011/3250 train_time:4.516s step_avg:4.47ms
step:1012/3250 train_time:4.669s step_avg:4.61ms
step:1013/3250 train_time:4.822s step_avg:4.76ms
step:1014/3250 train_time:4.975s step_avg:4.91ms
step:1015/3250 train_time:5.128s step_avg:5.05ms
step:1016/3250 train_time:5.281s step_avg:5.20ms
step:1017/3250 train_time:5.434s step_avg:5.34ms
step:1018/3250 train_time:5.588s step_avg:5.49ms
step:1019/3250 train_time:5.740s step_avg:5.63ms
step:1020/3250 train_time:5.893s step_avg:5.78ms
step:1021/3250 train_time:6.047s step_avg:5.92ms
step:1022/3250 train_time:6.199s step_avg:6.07ms
step:1023/3250 train_time:6.353s step_avg:6.21ms
step:1024/3250 train_time:6.506s step_avg:6.35ms
step:1025/3250 train_time:6.659s step_avg:6.50ms
step:1026/3250 train_time:6.812s step_avg:6.64ms
step:1027/3250 train_time:6.964s step_avg:6.78ms
step:1028/3250 train_time:7.117s step_avg:6.92ms
step:1029/3250 train_time:7.270s step_avg:7.07ms
step:1030/3250 train_time:7.424s step_avg:7.21ms
step:1031/3250 train_time:7.577s step_avg:7.35ms
step:1032/3250 train_time:7.730s step_avg:7.49ms
step:1033/3250 train_time:7.882s step_avg:7.63ms
step:1034/3250 train_time:8.035s step_avg:7.77ms
step:1035/3250 train_time:8.189s step_avg:7.91ms
step:1036/3250 train_time:8.342s step_avg:8.05ms
step:1037/3250 train_time:8.496s step_avg:8.19ms
step:1038/3250 train_time:8.650s step_avg:8.33ms
step:1039/3250 train_time:8.803s step_avg:8.47ms
step:1040/3250 train_time:8.956s step_avg:8.61ms
step:1041/3250 train_time:9.110s step_avg:8.75ms
step:1042/3250 train_time:9.263s step_avg:8.89ms
step:1043/3250 train_time:9.415s step_avg:9.03ms
step:1044/3250 train_time:9.568s step_avg:9.16ms
step:1045/3250 train_time:9.721s step_avg:9.30ms
step:1046/3250 train_time:9.875s step_avg:9.44ms
step:1047/3250 train_time:10.029s step_avg:9.58ms
step:1048/3250 train_time:10.182s step_avg:9.72ms
step:1049/3250 train_time:10.334s step_avg:9.85ms
step:1050/3250 train_time:10.487s step_avg:9.99ms
step:1051/3250 train_time:10.640s step_avg:10.12ms
step:1052/3250 train_time:10.793s step_avg:10.26ms
