
===== plann_bimaxwell_control (seed 3) =====
W0830 14:09:18.989000 24680 torch/distributed/run.py:852] 
W0830 14:09:18.989000 24680 torch/distributed/run.py:852] *****************************************
W0830 14:09:18.989000 24680 torch/distributed/run.py:852] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0830 14:09:18.989000 24680 torch/distributed/run.py:852] *****************************************
logs/1e985dd7-b5f6-44bf-b713-a03aa6455389.txt
resumed training state from step 1000 in warmstart_pl_anneal, skipped 1000 batches
step:0/3250 val_loss:3.65225 train_time:0.001s step_avg:nanms
step:1001/3250 train_time:2.617s step_avg:2.61ms
step:1002/3250 train_time:3.125s step_avg:3.12ms
step:1003/3250 train_time:3.265s step_avg:3.26ms
step:1004/3250 train_time:3.419s step_avg:3.40ms
step:1005/3250 train_time:3.570s step_avg:3.55ms
step:1006/3250 train_time:3.723s step_avg:3.70ms
step:1007/3250 train_time:3.876s step_avg:3.85ms
step:1008/3250 train_time:4.030s step_avg:4.00ms
step:1009/3250 train_time:4.185s step_avg:4.15ms
step:1010/3250 train_time:4.339s step_avg:4.30ms
step:1011/3250 train_time:4.493s step_avg:4.44ms
step:1012/3250 train_time:4.646s step_avg:4.59ms
step:1013/3250 train_time:4.799s step_avg:4.74ms
step:1014/3250 train_time:4.952s step_avg:4.88ms
step:1015/3250 train_time:5.105s step_avg:5.03ms
step:1016/3250 train_time:5.259s step_avg:5.18ms
step:1017/3250 train_time:5.412s step_avg:5.32ms
step:1018/3250 train_time:5.565s step_avg:5.47ms
step:1019/3250 train_time:5.719s step_avg:5.61ms
step:1020/3250 train_time:5.871s step_avg:5.76ms
step:1021/3250 train_time:6.024s step_avg:5.90ms
step:1022/3250 train_time:6.177s step_avg:6.04ms
step:1023/3250 train_time:6.330s step_avg:6.19ms
step:1024/3250 train_time:6.484s step_avg:6.33ms
step:1025/3250 train_time:6.639s step_avg:6.48ms
step:1026/3250 train_time:6.791s step_avg:6.62ms
step:1027/3250 train_time:6.945s step_avg:6.76ms
step:1028/3250 train_time:7.098s step_avg:6.90ms
step:1029/3250 train_time:7.251s step_avg:7.05ms
step:1030/3250 train_time:7.405s step_avg:7.19ms
step:1031/3250 train_time:7.559s step_avg:7.33ms
step:1032/3250 train_time:7.712s step_avg:7.47ms
step:1033/3250 train_time:7.865s step_avg:7.61ms
step:1034/3250 train_time:8.019s step_avg:7.76ms
step:1035/3250 train_time:8.172s step_avg:7.90ms
step:1036/3250 train_time:8.324s step_avg:8.04ms
step:1037/3250 train_time:8.478s step_avg:8.18ms
step:1038/3250 train_time:8.631s step_avg:8.32ms
step:1039/3250 train_time:8.785s step_avg:8.46ms
step:1040/3250 train_time:8.940s step_avg:8.60ms
step:1041/3250 train_time:9.093s step_avg:8.73ms
step:1042/3250 train_time:9.245s step_avg:8.87ms
step:1043/3250 train_time:9.398s step_avg:9.01ms
step:1044/3250 train_time:9.551s step_avg:9.15ms
step:1045/3250 train_time:9.705s step_avg:9.29ms
step:1046/3250 train_time:9.859s step_avg:9.43ms
step:1047/3250 train_time:10.012s step_avg:9.56ms
step:1048/3250 train_time:10.166s step_avg:9.70ms
step:1049/3250 train_time:10.320s step_avg:9.84ms
step:1050/3250 train_time:10.473s step_avg:9.97ms
step:1051/3250 train_time:10.626s step_avg:10.11ms
step:1052/3250 train_time:10.780s step_avg:10.25ms
step:1053/3250 train_time:10.935s step_avg:10.38ms
step:1054/3250 train_time:11.088s step_avg:10.52ms
step:1055/3250 train_time:11.242s step_avg:10.66ms
step:1056/3250 train_time:11.396s step_avg:10.79ms
step:1057/3250 train_time:11.549s step_avg:10.93ms
step:1058/3250 train_time:11.703s step_avg:11.06ms
step:1059/3250 train_time:11.857s step_avg:11.20ms
step:1060/3250 train_time:12.009s step_avg:11.33ms
step:1061/3250 train_time:12.165s step_avg:11.47ms
step:1062/3250 train_time:12.320s step_avg:11.60ms
step:1063/3250 train_time:12.472s step_avg:11.73ms
