sorted_index	name	matrix_type	assignment_0	assignment_1	assignment_2
0	blocks.0.mlp.fc.weight	mlp.fc	1.0	1.7	0.6
1	blocks.1.mlp.fc.weight	mlp.fc	0.6	1.0	1.7
2	blocks.2.mlp.fc.weight	mlp.fc	0.6	1.0	1.7
3	blocks.3.mlp.fc.weight	mlp.fc	0.6	1.0	1.7
4	blocks.4.mlp.fc.weight	mlp.fc	1.0	1.7	0.6
5	blocks.5.mlp.fc.weight	mlp.fc	1.7	0.6	1.0
6	blocks.6.mlp.fc.weight	mlp.fc	1.0	1.7	0.6
7	blocks.7.mlp.fc.weight	mlp.fc	1.0	1.7	0.6
8	blocks.8.mlp.fc.weight	mlp.fc	1.7	0.6	1.0
9	blocks.9.mlp.fc.weight	mlp.fc	1.7	0.6	1.0
10	blocks.10.mlp.fc.weight	mlp.fc	0.6	1.0	1.7
11	blocks.11.mlp.fc.weight	mlp.fc	1.7	0.6	1.0
12	blocks.0.mlp.proj.weight	mlp.proj	1.7	0.6	1.0
13	blocks.1.mlp.proj.weight	mlp.proj	1.7	0.6	1.0
14	blocks.2.mlp.proj.weight	mlp.proj	1.0	1.7	0.6
15	blocks.3.mlp.proj.weight	mlp.proj	1.0	1.7	0.6
16	blocks.4.mlp.proj.weight	mlp.proj	1.7	0.6	1.0
17	blocks.5.mlp.proj.weight	mlp.proj	0.6	1.0	1.7
18	blocks.6.mlp.proj.weight	mlp.proj	0.6	1.0	1.7
19	blocks.7.mlp.proj.weight	mlp.proj	1.7	0.6	1.0
20	blocks.8.mlp.proj.weight	mlp.proj	1.0	1.7	0.6
21	blocks.9.mlp.proj.weight	mlp.proj	0.6	1.0	1.7
22	blocks.10.mlp.proj.weight	mlp.proj	0.6	1.0	1.7
23	blocks.11.mlp.proj.weight	mlp.proj	1.0	1.7	0.6
24	blocks.0.attn.q.weight	attn.q	1.0	1.7	0.6
25	blocks.0.attn.k.weight	attn.k	1.0	1.7	0.6
26	blocks.0.attn.v.weight	attn.v	1.0	1.7	0.6
27	blocks.0.attn.proj.weight	attn.proj	0.6	1.0	1.7
28	blocks.1.attn.q.weight	attn.q	1.7	0.6	1.0
29	blocks.1.attn.k.weight	attn.k	1.7	0.6	1.0
30	blocks.1.attn.v.weight	attn.v	1.0	1.7	0.6
31	blocks.1.attn.proj.weight	attn.proj	1.7	0.6	1.0
32	blocks.2.attn.q.weight	attn.q	1.0	1.7	0.6
33	blocks.2.attn.k.weight	attn.k	0.6	1.0	1.7
34	blocks.2.attn.v.weight	attn.v	1.7	0.6	1.0
35	blocks.2.attn.proj.weight	attn.proj	1.7	0.6	1.0
36	blocks.3.attn.q.weight	attn.q	0.6	1.0	1.7
37	blocks.3.attn.k.weight	attn.k	0.6	1.0	1.7
38	blocks.3.attn.v.weight	attn.v	0.6	1.0	1.7
39	blocks.3.attn.proj.weight	attn.proj	1.0	1.7	0.6
40	blocks.4.attn.q.weight	attn.q	0.6	1.0	1.7
41	blocks.4.attn.k.weight	attn.k	1.0	1.7	0.6
42	blocks.4.attn.v.weight	attn.v	0.6	1.0	1.7
43	blocks.4.attn.proj.weight	attn.proj	1.7	0.6	1.0
44	blocks.5.attn.q.weight	attn.q	1.7	0.6	1.0
45	blocks.5.attn.k.weight	attn.k	0.6	1.0	1.7
46	blocks.5.attn.v.weight	attn.v	1.7	0.6	1.0
47	blocks.5.attn.proj.weight	attn.proj	0.6	1.0	1.7
48	blocks.6.attn.q.weight	attn.q	1.0	1.7	0.6
49	blocks.6.attn.k.weight	attn.k	1.7	0.6	1.0
50	blocks.6.attn.v.weight	attn.v	0.6	1.0	1.7
51	blocks.6.attn.proj.weight	attn.proj	0.6	1.0	1.7
52	blocks.7.attn.q.weight	attn.q	1.0	1.7	0.6
53	blocks.7.attn.k.weight	attn.k	0.6	1.0	1.7
54	blocks.7.attn.v.weight	attn.v	1.0	1.7	0.6
55	blocks.7.attn.proj.weight	attn.proj	1.7	0.6	1.0
56	blocks.8.attn.q.weight	attn.q	0.6	1.0	1.7
57	blocks.8.attn.k.weight	attn.k	1.7	0.6	1.0
58	blocks.8.attn.v.weight	attn.v	1.7	0.6	1.0
59	blocks.8.attn.proj.weight	attn.proj	1.0	1.7	0.6
60	blocks.9.attn.q.weight	attn.q	1.7	0.6	1.0
61	blocks.9.attn.k.weight	attn.k	1.0	1.7	0.6
62	blocks.9.attn.v.weight	attn.v	0.6	1.0	1.7
63	blocks.9.attn.proj.weight	attn.proj	1.0	1.7	0.6
64	blocks.10.attn.q.weight	attn.q	1.7	0.6	1.0
65	blocks.10.attn.k.weight	attn.k	1.0	1.7	0.6
66	blocks.10.attn.v.weight	attn.v	1.7	0.6	1.0
67	blocks.10.attn.proj.weight	attn.proj	0.6	1.0	1.7
68	blocks.11.attn.q.weight	attn.q	0.6	1.0	1.7
69	blocks.11.attn.k.weight	attn.k	1.7	0.6	1.0
70	blocks.11.attn.v.weight	attn.v	1.0	1.7	0.6
71	blocks.11.attn.proj.weight	attn.proj	1.0	1.7	0.6
