# REQ-023 runtime LR trace (one-update trace, assignment 0, SHA 25d3208). GATE PASS both forks:
# loaded pre-update state == source (model exact, optim tensors 0.000e+00); 72 entries in sorted_index order;
# every sorted_index->name->multiplier == assignments.tsv assignment_0; every effective_lr == 0.025*multiplier.
fork	sorted_index	name	multiplier	effective_lr	expected_0.025xmult	match
1500	0	blocks.0.mlp.fc.weight	1.0	0.025	0.025	OK
1500	1	blocks.1.mlp.fc.weight	0.6	0.015	0.015	OK
1500	2	blocks.2.mlp.fc.weight	0.6	0.015	0.015	OK
1500	3	blocks.3.mlp.fc.weight	0.6	0.015	0.015	OK
1500	4	blocks.4.mlp.fc.weight	1.0	0.025	0.025	OK
1500	5	blocks.5.mlp.fc.weight	1.7	0.0425	0.0425	OK
1500	6	blocks.6.mlp.fc.weight	1.0	0.025	0.025	OK
1500	7	blocks.7.mlp.fc.weight	1.0	0.025	0.025	OK
1500	8	blocks.8.mlp.fc.weight	1.7	0.0425	0.0425	OK
1500	9	blocks.9.mlp.fc.weight	1.7	0.0425	0.0425	OK
1500	10	blocks.10.mlp.fc.weight	0.6	0.015	0.015	OK
1500	11	blocks.11.mlp.fc.weight	1.7	0.0425	0.0425	OK
1500	12	blocks.0.mlp.proj.weight	1.7	0.0425	0.0425	OK
1500	13	blocks.1.mlp.proj.weight	1.7	0.0425	0.0425	OK
1500	14	blocks.2.mlp.proj.weight	1.0	0.025	0.025	OK
1500	15	blocks.3.mlp.proj.weight	1.0	0.025	0.025	OK
1500	16	blocks.4.mlp.proj.weight	1.7	0.0425	0.0425	OK
1500	17	blocks.5.mlp.proj.weight	0.6	0.015	0.015	OK
1500	18	blocks.6.mlp.proj.weight	0.6	0.015	0.015	OK
1500	19	blocks.7.mlp.proj.weight	1.7	0.0425	0.0425	OK
1500	20	blocks.8.mlp.proj.weight	1.0	0.025	0.025	OK
1500	21	blocks.9.mlp.proj.weight	0.6	0.015	0.015	OK
1500	22	blocks.10.mlp.proj.weight	0.6	0.015	0.015	OK
1500	23	blocks.11.mlp.proj.weight	1.0	0.025	0.025	OK
1500	24	blocks.0.attn.q.weight	1.0	0.025	0.025	OK
1500	25	blocks.0.attn.k.weight	1.0	0.025	0.025	OK
1500	26	blocks.0.attn.v.weight	1.0	0.025	0.025	OK
1500	27	blocks.0.attn.proj.weight	0.6	0.015	0.015	OK
1500	28	blocks.1.attn.q.weight	1.7	0.0425	0.0425	OK
1500	29	blocks.1.attn.k.weight	1.7	0.0425	0.0425	OK
1500	30	blocks.1.attn.v.weight	1.0	0.025	0.025	OK
1500	31	blocks.1.attn.proj.weight	1.7	0.0425	0.0425	OK
1500	32	blocks.2.attn.q.weight	1.0	0.025	0.025	OK
1500	33	blocks.2.attn.k.weight	0.6	0.015	0.015	OK
1500	34	blocks.2.attn.v.weight	1.7	0.0425	0.0425	OK
