W0831 11:42:16.757000 16291 torch/distributed/run.py:852] 
W0831 11:42:16.757000 16291 torch/distributed/run.py:852] *****************************************
W0831 11:42:16.757000 16291 torch/distributed/run.py:852] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0831 11:42:16.757000 16291 torch/distributed/run.py:852] *****************************************
logs/75cad2f0-e026-4dc3-b006-2317b3b2091c.txt
resumed training state from step 2000 in eos_shared_state, skipped 2000 batches
step:0/3250 val_loss:3.44367 train_time:0.001s step_avg:nanms
step:2001/3250 train_time:3.347s step_avg:1.67ms
step:2002/3250 train_time:3.487s step_avg:1.74ms
step:2003/3250 train_time:3.640s step_avg:1.82ms
step:2004/3250 train_time:3.792s step_avg:1.89ms
step:2005/3250 train_time:3.944s step_avg:1.97ms
step:2006/3250 train_time:4.097s step_avg:2.04ms
step:2007/3250 train_time:4.251s step_avg:2.12ms
step:2008/3250 train_time:4.404s step_avg:2.19ms
step:2009/3250 train_time:4.557s step_avg:2.27ms
step:2010/3250 train_time:4.710s step_avg:2.34ms
step:2011/3250 train_time:4.863s step_avg:2.42ms
step:2012/3250 train_time:5.017s step_avg:2.49ms
step:2013/3250 train_time:5.170s step_avg:2.57ms
step:2014/3250 train_time:5.324s step_avg:2.64ms
step:2015/3250 train_time:5.476s step_avg:2.72ms
step:2016/3250 train_time:5.630s step_avg:2.79ms
step:2017/3250 train_time:5.782s step_avg:2.87ms
step:2018/3250 train_time:5.935s step_avg:2.94ms
step:2019/3250 train_time:6.089s step_avg:3.02ms
step:2020/3250 train_time:6.242s step_avg:3.09ms
step:2021/3250 train_time:6.394s step_avg:3.16ms
step:2022/3250 train_time:6.547s step_avg:3.24ms
step:2023/3250 train_time:6.702s step_avg:3.31ms
step:2024/3250 train_time:6.854s step_avg:3.39ms
step:2025/3250 train_time:7.008s step_avg:3.46ms
step:2026/3250 train_time:7.162s step_avg:3.53ms
step:2027/3250 train_time:7.314s step_avg:3.61ms
step:2028/3250 train_time:7.467s step_avg:3.68ms
step:2029/3250 train_time:7.621s step_avg:3.76ms
step:2030/3250 train_time:7.774s step_avg:3.83ms
step:2031/3250 train_time:7.927s step_avg:3.90ms
step:2032/3250 train_time:8.082s step_avg:3.98ms
step:2033/3250 train_time:8.234s step_avg:4.05ms
step:2034/3250 train_time:8.387s step_avg:4.12ms
step:2035/3250 train_time:8.539s step_avg:4.20ms
step:2036/3250 train_time:8.693s step_avg:4.27ms
step:2037/3250 train_time:8.845s step_avg:4.34ms
