W0831 11:37:18.476000 14461 torch/distributed/run.py:852] 
W0831 11:37:18.476000 14461 torch/distributed/run.py:852] *****************************************
W0831 11:37:18.476000 14461 torch/distributed/run.py:852] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0831 11:37:18.476000 14461 torch/distributed/run.py:852] *****************************************
logs/70b4eb0d-3c7f-4333-aeb5-c7023a304ba9.txt
resumed training state from step 2000 in eos_shared_state, skipped 2000 batches
step:0/3250 val_loss:3.44367 train_time:0.001s step_avg:nanms
step:2001/3250 train_time:3.258s step_avg:1.63ms
step:2002/3250 train_time:3.395s step_avg:1.70ms
step:2003/3250 train_time:3.547s step_avg:1.77ms
step:2004/3250 train_time:3.698s step_avg:1.85ms
step:2005/3250 train_time:3.851s step_avg:1.92ms
step:2006/3250 train_time:4.003s step_avg:2.00ms
step:2007/3250 train_time:4.155s step_avg:2.07ms
step:2008/3250 train_time:4.307s step_avg:2.15ms
step:2009/3250 train_time:4.459s step_avg:2.22ms
step:2010/3250 train_time:4.611s step_avg:2.29ms
step:2011/3250 train_time:4.763s step_avg:2.37ms
step:2012/3250 train_time:4.916s step_avg:2.44ms
step:2013/3250 train_time:5.067s step_avg:2.52ms
step:2014/3250 train_time:5.219s step_avg:2.59ms
step:2015/3250 train_time:5.372s step_avg:2.67ms
step:2016/3250 train_time:5.525s step_avg:2.74ms
step:2017/3250 train_time:5.677s step_avg:2.81ms
step:2018/3250 train_time:5.830s step_avg:2.89ms
step:2019/3250 train_time:5.982s step_avg:2.96ms
step:2020/3250 train_time:6.134s step_avg:3.04ms
step:2021/3250 train_time:6.285s step_avg:3.11ms
step:2022/3250 train_time:6.438s step_avg:3.18ms
step:2023/3250 train_time:6.590s step_avg:3.26ms
step:2024/3250 train_time:6.744s step_avg:3.33ms
step:2025/3250 train_time:6.895s step_avg:3.40ms
step:2026/3250 train_time:7.048s step_avg:3.48ms
step:2027/3250 train_time:7.199s step_avg:3.55ms
step:2028/3250 train_time:7.354s step_avg:3.63ms
step:2029/3250 train_time:7.507s step_avg:3.70ms
step:2030/3250 train_time:7.658s step_avg:3.77ms
step:2031/3250 train_time:7.811s step_avg:3.85ms
step:2032/3250 train_time:7.962s step_avg:3.92ms
step:2033/3250 train_time:8.114s step_avg:3.99ms
step:2034/3250 train_time:8.266s step_avg:4.06ms
step:2035/3250 train_time:8.418s step_avg:4.14ms
step:2036/3250 train_time:8.571s step_avg:4.21ms
step:2037/3250 train_time:8.724s step_avg:4.28ms
step:2038/3250 train_time:8.875s step_avg:4.35ms
step:2039/3250 train_time:9.030s step_avg:4.43ms
step:2040/3250 train_time:9.182s step_avg:4.50ms
step:2041/3250 train_time:9.334s step_avg:4.57ms
step:2042/3250 train_time:9.487s step_avg:4.65ms
step:2043/3250 train_time:9.638s step_avg:4.72ms
step:2044/3250 train_time:9.791s step_avg:4.79ms
