W0831 11:39:47.441000 15363 torch/distributed/run.py:852] 
W0831 11:39:47.441000 15363 torch/distributed/run.py:852] *****************************************
W0831 11:39:47.441000 15363 torch/distributed/run.py:852] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0831 11:39:47.441000 15363 torch/distributed/run.py:852] *****************************************
logs/40cbebad-9ff0-4066-b383-3d106899b99a.txt
resumed training state from step 2000 in eos_shared_state, skipped 2000 batches
step:0/3250 val_loss:3.44367 train_time:0.001s step_avg:nanms
step:2001/3250 train_time:3.251s step_avg:1.62ms
step:2002/3250 train_time:3.392s step_avg:1.69ms
step:2003/3250 train_time:3.544s step_avg:1.77ms
step:2004/3250 train_time:3.696s step_avg:1.84ms
step:2005/3250 train_time:3.849s step_avg:1.92ms
step:2006/3250 train_time:4.001s step_avg:1.99ms
step:2007/3250 train_time:4.153s step_avg:2.07ms
step:2008/3250 train_time:4.307s step_avg:2.14ms
step:2009/3250 train_time:4.461s step_avg:2.22ms
step:2010/3250 train_time:4.613s step_avg:2.30ms
step:2011/3250 train_time:4.766s step_avg:2.37ms
step:2012/3250 train_time:4.918s step_avg:2.44ms
step:2013/3250 train_time:5.072s step_avg:2.52ms
step:2014/3250 train_time:5.225s step_avg:2.59ms
step:2015/3250 train_time:5.377s step_avg:2.67ms
step:2016/3250 train_time:5.530s step_avg:2.74ms
step:2017/3250 train_time:5.684s step_avg:2.82ms
step:2018/3250 train_time:5.837s step_avg:2.89ms
step:2019/3250 train_time:5.991s step_avg:2.97ms
step:2020/3250 train_time:6.144s step_avg:3.04ms
step:2021/3250 train_time:6.297s step_avg:3.12ms
step:2022/3250 train_time:6.450s step_avg:3.19ms
step:2023/3250 train_time:6.604s step_avg:3.26ms
step:2024/3250 train_time:6.756s step_avg:3.34ms
step:2025/3250 train_time:6.909s step_avg:3.41ms
step:2026/3250 train_time:7.065s step_avg:3.49ms
step:2027/3250 train_time:7.216s step_avg:3.56ms
step:2028/3250 train_time:7.369s step_avg:3.63ms
step:2029/3250 train_time:7.523s step_avg:3.71ms
step:2030/3250 train_time:7.675s step_avg:3.78ms
step:2031/3250 train_time:7.828s step_avg:3.85ms
step:2032/3250 train_time:7.983s step_avg:3.93ms
step:2033/3250 train_time:8.136s step_avg:4.00ms
step:2034/3250 train_time:8.289s step_avg:4.08ms
step:2035/3250 train_time:8.443s step_avg:4.15ms
step:2036/3250 train_time:8.596s step_avg:4.22ms
step:2037/3250 train_time:8.749s step_avg:4.30ms
step:2038/3250 train_time:8.903s step_avg:4.37ms
step:2039/3250 train_time:9.056s step_avg:4.44ms
step:2040/3250 train_time:9.210s step_avg:4.51ms
step:2041/3250 train_time:9.365s step_avg:4.59ms
step:2042/3250 train_time:9.518s step_avg:4.66ms
step:2043/3250 train_time:9.671s step_avg:4.73ms
step:2044/3250 train_time:9.824s step_avg:4.81ms
step:2045/3250 train_time:9.977s step_avg:4.88ms
step:2046/3250 train_time:10.131s step_avg:4.95ms
step:2047/3250 train_time:10.285s step_avg:5.02ms
step:2048/3250 train_time:10.438s step_avg:5.10ms
step:2049/3250 train_time:10.591s step_avg:5.17ms
step:2050/3250 train_time:10.745s step_avg:5.24ms
step:2051/3250 train_time:10.898s step_avg:5.31ms
step:2052/3250 train_time:11.051s step_avg:5.39ms
step:2053/3250 train_time:11.206s step_avg:5.46ms
step:2054/3250 train_time:11.361s step_avg:5.53ms
step:2055/3250 train_time:11.514s step_avg:5.60ms
step:2056/3250 train_time:11.667s step_avg:5.67ms
step:2057/3250 train_time:11.820s step_avg:5.75ms
step:2058/3250 train_time:11.973s step_avg:5.82ms
step:2059/3250 train_time:12.125s step_avg:5.89ms
step:2060/3250 train_time:12.279s step_avg:5.96ms
step:2061/3250 train_time:12.435s step_avg:6.03ms
step:2062/3250 train_time:12.590s step_avg:6.11ms
step:2063/3250 train_time:12.744s step_avg:6.18ms
step:2064/3250 train_time:12.897s step_avg:6.25ms
step:2065/3250 train_time:13.050s step_avg:6.32ms
step:2066/3250 train_time:13.205s step_avg:6.39ms
step:2067/3250 train_time:13.358s step_avg:6.46ms
step:2068/3250 train_time:13.512s step_avg:6.53ms
step:2069/3250 train_time:13.665s step_avg:6.60ms
step:2070/3250 train_time:13.818s step_avg:6.68ms
step:2071/3250 train_time:13.971s step_avg:6.75ms
step:2072/3250 train_time:14.124s step_avg:6.82ms
step:2073/3250 train_time:14.277s step_avg:6.89ms
step:2074/3250 train_time:14.432s step_avg:6.96ms
step:2075/3250 train_time:14.587s step_avg:7.03ms
step:2076/3250 train_time:14.741s step_avg:7.10ms
step:2077/3250 train_time:14.894s step_avg:7.17ms
step:2078/3250 train_time:15.047s step_avg:7.24ms
step:2079/3250 train_time:15.200s step_avg:7.31ms
step:2080/3250 train_time:15.355s step_avg:7.38ms
step:2081/3250 train_time:15.508s step_avg:7.45ms
step:2082/3250 train_time:15.662s step_avg:7.52ms
step:2083/3250 train_time:15.815s step_avg:7.59ms
step:2084/3250 train_time:15.969s step_avg:7.66ms
step:2085/3250 train_time:16.123s step_avg:7.73ms
step:2086/3250 train_time:16.276s step_avg:7.80ms
step:2087/3250 train_time:16.430s step_avg:7.87ms
step:2088/3250 train_time:16.584s step_avg:7.94ms
step:2089/3250 train_time:16.737s step_avg:8.01ms
step:2090/3250 train_time:16.890s step_avg:8.08ms
step:2091/3250 train_time:17.075s step_avg:8.17ms
step:2092/3250 train_time:17.227s step_avg:8.23ms
step:2093/3250 train_time:17.381s step_avg:8.30ms
step:2094/3250 train_time:17.534s step_avg:8.37ms
step:2095/3250 train_time:17.688s step_avg:8.44ms
step:2096/3250 train_time:17.841s step_avg:8.51ms
step:2097/3250 train_time:17.995s step_avg:8.58ms
step:2098/3250 train_time:18.148s step_avg:8.65ms
step:2099/3250 train_time:18.302s step_avg:8.72ms
step:2100/3250 train_time:18.454s step_avg:8.79ms
step:2101/3250 train_time:18.607s step_avg:8.86ms
step:2102/3250 train_time:18.760s step_avg:8.92ms
step:2103/3250 train_time:18.913s step_avg:8.99ms
step:2104/3250 train_time:19.066s step_avg:9.06ms
