W0831 12:00:26.419000 19018 torch/distributed/run.py:852] 
W0831 12:00:26.419000 19018 torch/distributed/run.py:852] *****************************************
W0831 12:00:26.419000 19018 torch/distributed/run.py:852] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0831 12:00:26.419000 19018 torch/distributed/run.py:852] *****************************************
logs/ace0df18-98c8-4e2f-a529-bd357d476d4d.txt
resumed training state from step 2000 in eos_shared_state, skipped 500 batches
step:0/3250 val_loss:3.44367 train_time:0.001s step_avg:nanms
step:2001/3250 train_time:3.816s step_avg:1.91ms
step:2002/3250 train_time:4.373s step_avg:2.18ms
step:2003/3250 train_time:4.953s step_avg:2.47ms
step:2004/3250 train_time:5.525s step_avg:2.76ms
step:2005/3250 train_time:6.108s step_avg:3.05ms
step:2006/3250 train_time:6.687s step_avg:3.33ms
step:2007/3250 train_time:7.267s step_avg:3.62ms
step:2008/3250 train_time:7.843s step_avg:3.91ms
step:2009/3250 train_time:8.419s step_avg:4.19ms
step:2010/3250 train_time:8.997s step_avg:4.48ms
step:2011/3250 train_time:9.577s step_avg:4.76ms
step:2012/3250 train_time:10.157s step_avg:5.05ms
step:2013/3250 train_time:10.737s step_avg:5.33ms
step:2014/3250 train_time:11.319s step_avg:5.62ms
step:2015/3250 train_time:11.897s step_avg:5.90ms
step:2016/3250 train_time:12.478s step_avg:6.19ms
step:2017/3250 train_time:13.058s step_avg:6.47ms
step:2018/3250 train_time:13.658s step_avg:6.77ms
step:2019/3250 train_time:14.243s step_avg:7.05ms
step:2020/3250 train_time:14.815s step_avg:7.33ms
step:2021/3250 train_time:15.401s step_avg:7.62ms
step:2022/3250 train_time:15.977s step_avg:7.90ms
step:2023/3250 train_time:16.559s step_avg:8.19ms
step:2024/3250 train_time:17.139s step_avg:8.47ms
step:2025/3250 train_time:17.718s step_avg:8.75ms
step:2026/3250 train_time:18.300s step_avg:9.03ms
step:2027/3250 train_time:18.878s step_avg:9.31ms
step:2028/3250 train_time:19.459s step_avg:9.60ms
step:2029/3250 train_time:20.039s step_avg:9.88ms
step:2030/3250 train_time:20.618s step_avg:10.16ms
step:2031/3250 train_time:21.199s step_avg:10.44ms
step:2032/3250 train_time:21.779s step_avg:10.72ms
step:2033/3250 train_time:22.360s step_avg:11.00ms
step:2034/3250 train_time:22.939s step_avg:11.28ms
step:2035/3250 train_time:23.519s step_avg:11.56ms
step:2036/3250 train_time:24.099s step_avg:11.84ms
step:2037/3250 train_time:24.678s step_avg:12.11ms
step:2038/3250 train_time:25.259s step_avg:12.39ms
step:2039/3250 train_time:25.838s step_avg:12.67ms
step:2040/3250 train_time:26.419s step_avg:12.95ms
step:2041/3250 train_time:26.999s step_avg:13.23ms
step:2042/3250 train_time:27.580s step_avg:13.51ms
step:2043/3250 train_time:28.159s step_avg:13.78ms
step:2044/3250 train_time:28.740s step_avg:14.06ms
step:2045/3250 train_time:29.319s step_avg:14.34ms
step:2046/3250 train_time:29.900s step_avg:14.61ms
step:2047/3250 train_time:30.478s step_avg:14.89ms
step:2048/3250 train_time:31.059s step_avg:15.17ms
step:2049/3250 train_time:31.639s step_avg:15.44ms
step:2050/3250 train_time:32.219s step_avg:15.72ms
step:2051/3250 train_time:32.801s step_avg:15.99ms
step:2052/3250 train_time:33.380s step_avg:16.27ms
step:2053/3250 train_time:33.959s step_avg:16.54ms
step:2054/3250 train_time:34.540s step_avg:16.82ms
step:2055/3250 train_time:35.120s step_avg:17.09ms
step:2056/3250 train_time:35.699s step_avg:17.36ms
step:2057/3250 train_time:36.280s step_avg:17.64ms
step:2058/3250 train_time:36.861s step_avg:17.91ms
step:2059/3250 train_time:37.442s step_avg:18.18ms
step:2060/3250 train_time:38.021s step_avg:18.46ms
step:2061/3250 train_time:38.601s step_avg:18.73ms
step:2062/3250 train_time:39.181s step_avg:19.00ms
step:2063/3250 train_time:39.760s step_avg:19.27ms
step:2064/3250 train_time:40.342s step_avg:19.55ms
