W0831 11:44:45.779000 17184 torch/distributed/run.py:852] 
W0831 11:44:45.779000 17184 torch/distributed/run.py:852] *****************************************
W0831 11:44:45.779000 17184 torch/distributed/run.py:852] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0831 11:44:45.779000 17184 torch/distributed/run.py:852] *****************************************
logs/8cf4d043-370b-4a86-90f5-84459d76a74c.txt
resumed training state from step 2000 in eos_shared_state, skipped 500 batches
step:0/3250 val_loss:3.44367 train_time:0.001s step_avg:nanms
step:2001/3250 train_time:3.703s step_avg:1.85ms
step:2002/3250 train_time:4.260s step_avg:2.13ms
step:2003/3250 train_time:4.839s step_avg:2.42ms
step:2004/3250 train_time:5.414s step_avg:2.70ms
step:2005/3250 train_time:5.995s step_avg:2.99ms
step:2006/3250 train_time:6.573s step_avg:3.28ms
step:2007/3250 train_time:7.155s step_avg:3.56ms
step:2008/3250 train_time:7.732s step_avg:3.85ms
step:2009/3250 train_time:8.313s step_avg:4.14ms
step:2010/3250 train_time:8.894s step_avg:4.42ms
step:2011/3250 train_time:9.472s step_avg:4.71ms
step:2012/3250 train_time:10.051s step_avg:5.00ms
step:2013/3250 train_time:10.634s step_avg:5.28ms
step:2014/3250 train_time:11.214s step_avg:5.57ms
step:2015/3250 train_time:11.793s step_avg:5.85ms
step:2016/3250 train_time:12.374s step_avg:6.14ms
step:2017/3250 train_time:12.955s step_avg:6.42ms
step:2018/3250 train_time:13.553s step_avg:6.72ms
step:2019/3250 train_time:14.142s step_avg:7.00ms
step:2020/3250 train_time:14.713s step_avg:7.28ms
step:2021/3250 train_time:15.297s step_avg:7.57ms
step:2022/3250 train_time:15.872s step_avg:7.85ms
step:2023/3250 train_time:16.456s step_avg:8.13ms
step:2024/3250 train_time:17.034s step_avg:8.42ms
step:2025/3250 train_time:17.616s step_avg:8.70ms
step:2026/3250 train_time:18.194s step_avg:8.98ms
step:2027/3250 train_time:18.775s step_avg:9.26ms
step:2028/3250 train_time:19.355s step_avg:9.54ms
step:2029/3250 train_time:19.935s step_avg:9.83ms
step:2030/3250 train_time:20.516s step_avg:10.11ms
step:2031/3250 train_time:21.096s step_avg:10.39ms
step:2032/3250 train_time:21.674s step_avg:10.67ms
step:2033/3250 train_time:22.255s step_avg:10.95ms
step:2034/3250 train_time:22.835s step_avg:11.23ms
step:2035/3250 train_time:23.415s step_avg:11.51ms
step:2036/3250 train_time:23.995s step_avg:11.79ms
