W0831 11:52:36.126000 18101 torch/distributed/run.py:852] 
W0831 11:52:36.126000 18101 torch/distributed/run.py:852] *****************************************
W0831 11:52:36.126000 18101 torch/distributed/run.py:852] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0831 11:52:36.126000 18101 torch/distributed/run.py:852] *****************************************
logs/b2c49a2e-7c4d-4ff0-bb46-7355524497e9.txt
resumed training state from step 2000 in eos_shared_state, skipped 500 batches
step:0/3250 val_loss:3.44367 train_time:0.001s step_avg:nanms
step:2001/3250 train_time:3.706s step_avg:1.85ms
step:2002/3250 train_time:4.263s step_avg:2.13ms
step:2003/3250 train_time:4.844s step_avg:2.42ms
step:2004/3250 train_time:5.418s step_avg:2.70ms
step:2005/3250 train_time:6.000s step_avg:2.99ms
step:2006/3250 train_time:6.579s step_avg:3.28ms
step:2007/3250 train_time:7.161s step_avg:3.57ms
step:2008/3250 train_time:7.740s step_avg:3.85ms
step:2009/3250 train_time:8.319s step_avg:4.14ms
step:2010/3250 train_time:8.899s step_avg:4.43ms
step:2011/3250 train_time:9.479s step_avg:4.71ms
step:2012/3250 train_time:10.059s step_avg:5.00ms
step:2013/3250 train_time:10.640s step_avg:5.29ms
step:2014/3250 train_time:11.220s step_avg:5.57ms
step:2015/3250 train_time:11.800s step_avg:5.86ms
step:2016/3250 train_time:12.379s step_avg:6.14ms
step:2017/3250 train_time:12.959s step_avg:6.43ms
step:2018/3250 train_time:13.566s step_avg:6.72ms
step:2019/3250 train_time:14.148s step_avg:7.01ms
step:2020/3250 train_time:14.721s step_avg:7.29ms
step:2021/3250 train_time:15.304s step_avg:7.57ms
step:2022/3250 train_time:15.879s step_avg:7.85ms
step:2023/3250 train_time:16.461s step_avg:8.14ms
step:2024/3250 train_time:17.040s step_avg:8.42ms
step:2025/3250 train_time:17.620s step_avg:8.70ms
step:2026/3250 train_time:18.201s step_avg:8.98ms
step:2027/3250 train_time:18.781s step_avg:9.27ms
step:2028/3250 train_time:19.361s step_avg:9.55ms
step:2029/3250 train_time:19.943s step_avg:9.83ms
step:2030/3250 train_time:20.521s step_avg:10.11ms
step:2031/3250 train_time:21.102s step_avg:10.39ms
step:2032/3250 train_time:21.681s step_avg:10.67ms
step:2033/3250 train_time:22.263s step_avg:10.95ms
step:2034/3250 train_time:22.841s step_avg:11.23ms
step:2035/3250 train_time:23.422s step_avg:11.51ms
step:2036/3250 train_time:24.002s step_avg:11.79ms
step:2037/3250 train_time:24.583s step_avg:12.07ms
step:2038/3250 train_time:25.161s step_avg:12.35ms
step:2039/3250 train_time:25.741s step_avg:12.62ms
step:2040/3250 train_time:26.322s step_avg:12.90ms
step:2041/3250 train_time:26.903s step_avg:13.18ms
step:2042/3250 train_time:27.482s step_avg:13.46ms
step:2043/3250 train_time:28.063s step_avg:13.74ms
step:2044/3250 train_time:28.642s step_avg:14.01ms
step:2045/3250 train_time:29.222s step_avg:14.29ms
step:2046/3250 train_time:29.802s step_avg:14.57ms
step:2047/3250 train_time:30.384s step_avg:14.84ms
step:2048/3250 train_time:30.963s step_avg:15.12ms
step:2049/3250 train_time:31.542s step_avg:15.39ms
step:2050/3250 train_time:32.124s step_avg:15.67ms
step:2051/3250 train_time:32.703s step_avg:15.94ms
step:2052/3250 train_time:33.283s step_avg:16.22ms
step:2053/3250 train_time:33.862s step_avg:16.49ms
step:2054/3250 train_time:34.442s step_avg:16.77ms
step:2055/3250 train_time:35.024s step_avg:17.04ms
step:2056/3250 train_time:35.603s step_avg:17.32ms
step:2057/3250 train_time:36.182s step_avg:17.59ms
step:2058/3250 train_time:36.763s step_avg:17.86ms
step:2059/3250 train_time:37.342s step_avg:18.14ms
step:2060/3250 train_time:37.922s step_avg:18.41ms
step:2061/3250 train_time:38.503s step_avg:18.68ms
step:2062/3250 train_time:39.082s step_avg:18.95ms
step:2063/3250 train_time:39.663s step_avg:19.23ms
step:2064/3250 train_time:40.243s step_avg:19.50ms
step:2065/3250 train_time:40.853s step_avg:19.78ms
step:2066/3250 train_time:41.437s step_avg:20.06ms
step:2067/3250 train_time:42.019s step_avg:20.33ms
step:2068/3250 train_time:42.601s step_avg:20.60ms
step:2069/3250 train_time:43.181s step_avg:20.87ms
step:2070/3250 train_time:43.763s step_avg:21.14ms
step:2071/3250 train_time:44.343s step_avg:21.41ms
step:2072/3250 train_time:44.923s step_avg:21.68ms
step:2073/3250 train_time:45.505s step_avg:21.95ms
step:2074/3250 train_time:46.084s step_avg:22.22ms
step:2075/3250 train_time:46.665s step_avg:22.49ms
step:2076/3250 train_time:47.244s step_avg:22.76ms
step:2077/3250 train_time:47.824s step_avg:23.03ms
step:2078/3250 train_time:48.403s step_avg:23.29ms
step:2079/3250 train_time:48.984s step_avg:23.56ms
step:2080/3250 train_time:49.563s step_avg:23.83ms
step:2081/3250 train_time:50.143s step_avg:24.10ms
step:2082/3250 train_time:50.724s step_avg:24.36ms
step:2083/3250 train_time:51.303s step_avg:24.63ms
step:2084/3250 train_time:51.884s step_avg:24.90ms
step:2085/3250 train_time:52.464s step_avg:25.16ms
step:2086/3250 train_time:53.043s step_avg:25.43ms
step:2087/3250 train_time:53.623s step_avg:25.69ms
step:2088/3250 train_time:54.203s step_avg:25.96ms
step:2089/3250 train_time:54.782s step_avg:26.22ms
step:2090/3250 train_time:55.364s step_avg:26.49ms
