W0831 14:30:31.633000 10239 torch/distributed/run.py:852] 
W0831 14:30:31.633000 10239 torch/distributed/run.py:852] *****************************************
W0831 14:30:31.633000 10239 torch/distributed/run.py:852] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0831 14:30:31.633000 10239 torch/distributed/run.py:852] *****************************************
logs/44c1f555-7d9b-4b54-b5d7-3fcf536ed539.txt
resumed training state from step 2000 in eos_shared_state, skipped 2000 batches
step:0/3250 val_loss:3.44373 train_time:0.001s step_avg:nanms
step:2001/3250 train_time:2.773s step_avg:1.39ms
step:2002/3250 train_time:2.916s step_avg:1.46ms
step:2003/3250 train_time:3.068s step_avg:1.53ms
step:2004/3250 train_time:3.221s step_avg:1.61ms
step:2005/3250 train_time:3.375s step_avg:1.68ms
step:2006/3250 train_time:3.528s step_avg:1.76ms
step:2007/3250 train_time:3.681s step_avg:1.83ms
step:2008/3250 train_time:3.835s step_avg:1.91ms
step:2009/3250 train_time:3.987s step_avg:1.98ms
step:2010/3250 train_time:4.141s step_avg:2.06ms
step:2011/3250 train_time:4.293s step_avg:2.13ms
step:2012/3250 train_time:4.446s step_avg:2.21ms
step:2013/3250 train_time:4.599s step_avg:2.28ms
step:2014/3250 train_time:4.751s step_avg:2.36ms
step:2015/3250 train_time:4.904s step_avg:2.43ms
step:2016/3250 train_time:5.058s step_avg:2.51ms
step:2017/3250 train_time:5.210s step_avg:2.58ms
step:2018/3250 train_time:5.364s step_avg:2.66ms
step:2019/3250 train_time:5.517s step_avg:2.73ms
step:2020/3250 train_time:5.670s step_avg:2.81ms
step:2021/3250 train_time:5.823s step_avg:2.88ms
step:2022/3250 train_time:5.978s step_avg:2.96ms
step:2023/3250 train_time:6.130s step_avg:3.03ms
step:2024/3250 train_time:6.284s step_avg:3.10ms
step:2025/3250 train_time:6.437s step_avg:3.18ms
step:2026/3250 train_time:6.590s step_avg:3.25ms
step:2027/3250 train_time:6.744s step_avg:3.33ms
step:2028/3250 train_time:6.898s step_avg:3.40ms
step:2029/3250 train_time:7.052s step_avg:3.48ms
step:2030/3250 train_time:7.205s step_avg:3.55ms
step:2031/3250 train_time:7.358s step_avg:3.62ms
step:2032/3250 train_time:7.511s step_avg:3.70ms
step:2033/3250 train_time:7.665s step_avg:3.77ms
step:2034/3250 train_time:7.819s step_avg:3.84ms
step:2035/3250 train_time:7.972s step_avg:3.92ms
step:2036/3250 train_time:8.125s step_avg:3.99ms
step:2037/3250 train_time:8.280s step_avg:4.06ms
step:2038/3250 train_time:8.433s step_avg:4.14ms
step:2039/3250 train_time:8.586s step_avg:4.21ms
step:2040/3250 train_time:8.741s step_avg:4.28ms
step:2041/3250 train_time:8.894s step_avg:4.36ms
step:2042/3250 train_time:9.047s step_avg:4.43ms
step:2043/3250 train_time:9.201s step_avg:4.50ms
step:2044/3250 train_time:9.355s step_avg:4.58ms
step:2045/3250 train_time:9.508s step_avg:4.65ms
step:2046/3250 train_time:9.664s step_avg:4.72ms
step:2047/3250 train_time:9.816s step_avg:4.80ms
step:2048/3250 train_time:9.969s step_avg:4.87ms
step:2049/3250 train_time:10.123s step_avg:4.94ms
step:2050/3250 train_time:10.277s step_avg:5.01ms
step:2051/3250 train_time:10.429s step_avg:5.08ms
step:2052/3250 train_time:10.584s step_avg:5.16ms
step:2053/3250 train_time:10.739s step_avg:5.23ms
step:2054/3250 train_time:10.891s step_avg:5.30ms
step:2055/3250 train_time:11.045s step_avg:5.37ms
step:2056/3250 train_time:11.199s step_avg:5.45ms
step:2057/3250 train_time:11.351s step_avg:5.52ms
step:2058/3250 train_time:11.506s step_avg:5.59ms
step:2059/3250 train_time:11.662s step_avg:5.66ms
step:2060/3250 train_time:11.816s step_avg:5.74ms
step:2061/3250 train_time:11.969s step_avg:5.81ms
step:2062/3250 train_time:12.124s step_avg:5.88ms
step:2063/3250 train_time:12.279s step_avg:5.95ms
step:2064/3250 train_time:12.431s step_avg:6.02ms
step:2065/3250 train_time:12.585s step_avg:6.09ms
step:2066/3250 train_time:12.740s step_avg:6.17ms
step:2067/3250 train_time:12.893s step_avg:6.24ms
step:2068/3250 train_time:13.046s step_avg:6.31ms
step:2069/3250 train_time:13.201s step_avg:6.38ms
step:2070/3250 train_time:13.355s step_avg:6.45ms
step:2071/3250 train_time:13.508s step_avg:6.52ms
step:2072/3250 train_time:13.663s step_avg:6.59ms
step:2073/3250 train_time:13.817s step_avg:6.67ms
step:2074/3250 train_time:13.970s step_avg:6.74ms
step:2075/3250 train_time:14.124s step_avg:6.81ms
step:2076/3250 train_time:14.278s step_avg:6.88ms
step:2077/3250 train_time:14.431s step_avg:6.95ms
step:2078/3250 train_time:14.584s step_avg:7.02ms
step:2079/3250 train_time:14.739s step_avg:7.09ms
step:2080/3250 train_time:14.893s step_avg:7.16ms
step:2081/3250 train_time:15.046s step_avg:7.23ms
step:2082/3250 train_time:15.201s step_avg:7.30ms
step:2083/3250 train_time:15.355s step_avg:7.37ms
step:2084/3250 train_time:15.508s step_avg:7.44ms
step:2085/3250 train_time:15.664s step_avg:7.51ms
step:2086/3250 train_time:15.817s step_avg:7.58ms
step:2087/3250 train_time:15.970s step_avg:7.65ms
step:2088/3250 train_time:16.125s step_avg:7.72ms
step:2089/3250 train_time:16.281s step_avg:7.79ms
step:2090/3250 train_time:16.434s step_avg:7.86ms
step:2091/3250 train_time:16.621s step_avg:7.95ms
step:2092/3250 train_time:16.774s step_avg:8.02ms
step:2093/3250 train_time:16.927s step_avg:8.09ms
step:2094/3250 train_time:17.081s step_avg:8.16ms
step:2095/3250 train_time:17.234s step_avg:8.23ms
step:2096/3250 train_time:17.388s step_avg:8.30ms
step:2097/3250 train_time:17.544s step_avg:8.37ms
step:2098/3250 train_time:17.697s step_avg:8.44ms
step:2099/3250 train_time:17.850s step_avg:8.50ms
step:2100/3250 train_time:18.005s step_avg:8.57ms
step:2101/3250 train_time:18.160s step_avg:8.64ms
step:2102/3250 train_time:18.313s step_avg:8.71ms
step:2103/3250 train_time:18.466s step_avg:8.78ms
step:2104/3250 train_time:18.621s step_avg:8.85ms
step:2105/3250 train_time:18.776s step_avg:8.92ms
step:2106/3250 train_time:18.929s step_avg:8.99ms
step:2107/3250 train_time:19.085s step_avg:9.06ms
step:2108/3250 train_time:19.241s step_avg:9.13ms
step:2109/3250 train_time:19.394s step_avg:9.20ms
step:2110/3250 train_time:19.548s step_avg:9.26ms
step:2111/3250 train_time:19.703s step_avg:9.33ms
step:2112/3250 train_time:19.856s step_avg:9.40ms
step:2113/3250 train_time:20.009s step_avg:9.47ms
step:2114/3250 train_time:20.164s step_avg:9.54ms
step:2115/3250 train_time:20.318s step_avg:9.61ms
step:2116/3250 train_time:20.471s step_avg:9.67ms
step:2117/3250 train_time:20.625s step_avg:9.74ms
step:2118/3250 train_time:20.780s step_avg:9.81ms
step:2119/3250 train_time:20.933s step_avg:9.88ms
step:2120/3250 train_time:21.087s step_avg:9.95ms
step:2121/3250 train_time:21.241s step_avg:10.01ms
