W0831 14:23:30.604000 12127 torch/distributed/run.py:852] 
W0831 14:23:30.604000 12127 torch/distributed/run.py:852] *****************************************
W0831 14:23:30.604000 12127 torch/distributed/run.py:852] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0831 14:23:30.604000 12127 torch/distributed/run.py:852] *****************************************
logs/c6f45a1f-b4cc-47f2-9abd-18690998cb15.txt
resumed training state from step 2000 in eos_shared_state, skipped 2000 batches
step:0/3250 val_loss:3.44335 train_time:0.001s step_avg:nanms
step:2001/3250 train_time:2.682s step_avg:1.34ms
step:2002/3250 train_time:2.826s step_avg:1.41ms
step:2003/3250 train_time:2.981s step_avg:1.49ms
step:2004/3250 train_time:3.132s step_avg:1.56ms
step:2005/3250 train_time:3.285s step_avg:1.64ms
step:2006/3250 train_time:3.439s step_avg:1.71ms
step:2007/3250 train_time:3.592s step_avg:1.79ms
step:2008/3250 train_time:3.744s step_avg:1.86ms
step:2009/3250 train_time:3.898s step_avg:1.94ms
step:2010/3250 train_time:4.051s step_avg:2.02ms
step:2011/3250 train_time:4.205s step_avg:2.09ms
step:2012/3250 train_time:4.359s step_avg:2.17ms
step:2013/3250 train_time:4.511s step_avg:2.24ms
step:2014/3250 train_time:4.664s step_avg:2.32ms
step:2015/3250 train_time:4.818s step_avg:2.39ms
step:2016/3250 train_time:4.972s step_avg:2.47ms
step:2017/3250 train_time:5.125s step_avg:2.54ms
step:2018/3250 train_time:5.279s step_avg:2.62ms
step:2019/3250 train_time:5.432s step_avg:2.69ms
step:2020/3250 train_time:5.586s step_avg:2.77ms
step:2021/3250 train_time:5.740s step_avg:2.84ms
step:2022/3250 train_time:5.895s step_avg:2.92ms
step:2023/3250 train_time:6.048s step_avg:2.99ms
step:2024/3250 train_time:6.203s step_avg:3.06ms
step:2025/3250 train_time:6.357s step_avg:3.14ms
step:2026/3250 train_time:6.510s step_avg:3.21ms
step:2027/3250 train_time:6.664s step_avg:3.29ms
step:2028/3250 train_time:6.817s step_avg:3.36ms
step:2029/3250 train_time:6.970s step_avg:3.44ms
step:2030/3250 train_time:7.124s step_avg:3.51ms
step:2031/3250 train_time:7.279s step_avg:3.58ms
step:2032/3250 train_time:7.432s step_avg:3.66ms
step:2033/3250 train_time:7.586s step_avg:3.73ms
step:2034/3250 train_time:7.737s step_avg:3.80ms
step:2035/3250 train_time:7.891s step_avg:3.88ms
step:2036/3250 train_time:8.044s step_avg:3.95ms
step:2037/3250 train_time:8.200s step_avg:4.03ms
step:2038/3250 train_time:8.353s step_avg:4.10ms
step:2039/3250 train_time:8.507s step_avg:4.17ms
step:2040/3250 train_time:8.662s step_avg:4.25ms
step:2041/3250 train_time:8.816s step_avg:4.32ms
step:2042/3250 train_time:8.970s step_avg:4.39ms
step:2043/3250 train_time:9.123s step_avg:4.47ms
step:2044/3250 train_time:9.278s step_avg:4.54ms
step:2045/3250 train_time:9.431s step_avg:4.61ms
step:2046/3250 train_time:9.585s step_avg:4.68ms
step:2047/3250 train_time:9.740s step_avg:4.76ms
