W0831 14:15:43.071000 11216 torch/distributed/run.py:852] 
W0831 14:15:43.071000 11216 torch/distributed/run.py:852] *****************************************
W0831 14:15:43.071000 11216 torch/distributed/run.py:852] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0831 14:15:43.071000 11216 torch/distributed/run.py:852] *****************************************
logs/41d844e0-2462-4d23-8790-1db296652e09.txt
resumed training state from step 2000 in eos_shared_state, skipped 500 batches
step:0/3250 val_loss:3.44335 train_time:0.001s step_avg:nanms
step:2001/3250 train_time:2.931s step_avg:1.46ms
step:2002/3250 train_time:3.490s step_avg:1.74ms
step:2003/3250 train_time:4.073s step_avg:2.03ms
step:2004/3250 train_time:4.648s step_avg:2.32ms
step:2005/3250 train_time:5.231s step_avg:2.61ms
step:2006/3250 train_time:5.806s step_avg:2.89ms
step:2007/3250 train_time:6.392s step_avg:3.18ms
step:2008/3250 train_time:6.968s step_avg:3.47ms
step:2009/3250 train_time:7.552s step_avg:3.76ms
step:2010/3250 train_time:8.129s step_avg:4.04ms
step:2011/3250 train_time:8.711s step_avg:4.33ms
step:2012/3250 train_time:9.288s step_avg:4.62ms
step:2013/3250 train_time:9.870s step_avg:4.90ms
step:2014/3250 train_time:10.450s step_avg:5.19ms
step:2015/3250 train_time:11.033s step_avg:5.48ms
step:2016/3250 train_time:11.611s step_avg:5.76ms
step:2017/3250 train_time:12.192s step_avg:6.04ms
step:2018/3250 train_time:12.805s step_avg:6.35ms
step:2019/3250 train_time:13.392s step_avg:6.63ms
step:2020/3250 train_time:13.965s step_avg:6.91ms
step:2021/3250 train_time:14.549s step_avg:7.20ms
step:2022/3250 train_time:15.125s step_avg:7.48ms
step:2023/3250 train_time:15.708s step_avg:7.76ms
step:2024/3250 train_time:16.288s step_avg:8.05ms
step:2025/3250 train_time:16.866s step_avg:8.33ms
step:2026/3250 train_time:17.448s step_avg:8.61ms
step:2027/3250 train_time:18.026s step_avg:8.89ms
