W0831 14:22:43.382000 9331 torch/distributed/run.py:852] 
W0831 14:22:43.382000 9331 torch/distributed/run.py:852] *****************************************
W0831 14:22:43.382000 9331 torch/distributed/run.py:852] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0831 14:22:43.382000 9331 torch/distributed/run.py:852] *****************************************
logs/0ee032a5-16a8-4b81-a314-6058900bb8b9.txt
resumed training state from step 2000 in eos_shared_state, skipped 500 batches
step:0/3250 val_loss:3.44373 train_time:0.001s step_avg:nanms
step:2001/3250 train_time:2.884s step_avg:1.44ms
step:2002/3250 train_time:3.443s step_avg:1.72ms
step:2003/3250 train_time:4.031s step_avg:2.01ms
step:2004/3250 train_time:4.601s step_avg:2.30ms
step:2005/3250 train_time:5.185s step_avg:2.59ms
step:2006/3250 train_time:5.761s step_avg:2.87ms
step:2007/3250 train_time:6.343s step_avg:3.16ms
step:2008/3250 train_time:6.921s step_avg:3.45ms
step:2009/3250 train_time:7.502s step_avg:3.73ms
step:2010/3250 train_time:8.082s step_avg:4.02ms
step:2011/3250 train_time:8.664s step_avg:4.31ms
step:2012/3250 train_time:9.244s step_avg:4.59ms
step:2013/3250 train_time:9.823s step_avg:4.88ms
step:2014/3250 train_time:10.405s step_avg:5.17ms
step:2015/3250 train_time:10.984s step_avg:5.45ms
step:2016/3250 train_time:11.564s step_avg:5.74ms
step:2017/3250 train_time:12.144s step_avg:6.02ms
step:2018/3250 train_time:12.755s step_avg:6.32ms
step:2019/3250 train_time:13.338s step_avg:6.61ms
step:2020/3250 train_time:13.919s step_avg:6.89ms
step:2021/3250 train_time:14.503s step_avg:7.18ms
step:2022/3250 train_time:15.083s step_avg:7.46ms
step:2023/3250 train_time:15.665s step_avg:7.74ms
step:2024/3250 train_time:16.245s step_avg:8.03ms
step:2025/3250 train_time:16.824s step_avg:8.31ms
step:2026/3250 train_time:17.405s step_avg:8.59ms
step:2027/3250 train_time:17.985s step_avg:8.87ms
step:2028/3250 train_time:18.565s step_avg:9.15ms
step:2029/3250 train_time:19.145s step_avg:9.44ms
step:2030/3250 train_time:19.725s step_avg:9.72ms
step:2031/3250 train_time:20.304s step_avg:10.00ms
step:2032/3250 train_time:20.885s step_avg:10.28ms
step:2033/3250 train_time:21.465s step_avg:10.56ms
step:2034/3250 train_time:22.045s step_avg:10.84ms
step:2035/3250 train_time:22.624s step_avg:11.12ms
step:2036/3250 train_time:23.203s step_avg:11.40ms
step:2037/3250 train_time:23.785s step_avg:11.68ms
step:2038/3250 train_time:24.365s step_avg:11.96ms
step:2039/3250 train_time:24.944s step_avg:12.23ms
step:2040/3250 train_time:25.524s step_avg:12.51ms
step:2041/3250 train_time:26.104s step_avg:12.79ms
step:2042/3250 train_time:26.685s step_avg:13.07ms
step:2043/3250 train_time:27.265s step_avg:13.35ms
step:2044/3250 train_time:27.844s step_avg:13.62ms
step:2045/3250 train_time:28.425s step_avg:13.90ms
step:2046/3250 train_time:29.004s step_avg:14.18ms
step:2047/3250 train_time:29.585s step_avg:14.45ms
step:2048/3250 train_time:30.164s step_avg:14.73ms
step:2049/3250 train_time:30.745s step_avg:15.00ms
step:2050/3250 train_time:31.325s step_avg:15.28ms
step:2051/3250 train_time:31.905s step_avg:15.56ms
step:2052/3250 train_time:32.485s step_avg:15.83ms
step:2053/3250 train_time:33.065s step_avg:16.11ms
step:2054/3250 train_time:33.645s step_avg:16.38ms
step:2055/3250 train_time:34.225s step_avg:16.65ms
step:2056/3250 train_time:34.805s step_avg:16.93ms
step:2057/3250 train_time:35.385s step_avg:17.20ms
step:2058/3250 train_time:35.964s step_avg:17.48ms
step:2059/3250 train_time:36.545s step_avg:17.75ms
step:2060/3250 train_time:37.126s step_avg:18.02ms
step:2061/3250 train_time:37.704s step_avg:18.29ms
step:2062/3250 train_time:38.286s step_avg:18.57ms
step:2063/3250 train_time:38.865s step_avg:18.84ms
step:2064/3250 train_time:39.445s step_avg:19.11ms
step:2065/3250 train_time:40.060s step_avg:19.40ms
step:2066/3250 train_time:40.650s step_avg:19.68ms
step:2067/3250 train_time:41.222s step_avg:19.94ms
step:2068/3250 train_time:41.808s step_avg:20.22ms
step:2069/3250 train_time:42.384s step_avg:20.49ms
step:2070/3250 train_time:42.966s step_avg:20.76ms
step:2071/3250 train_time:43.545s step_avg:21.03ms
step:2072/3250 train_time:44.125s step_avg:21.30ms
step:2073/3250 train_time:44.706s step_avg:21.57ms
step:2074/3250 train_time:45.286s step_avg:21.84ms
step:2075/3250 train_time:45.865s step_avg:22.10ms
step:2076/3250 train_time:46.443s step_avg:22.37ms
step:2077/3250 train_time:47.025s step_avg:22.64ms
step:2078/3250 train_time:47.604s step_avg:22.91ms
step:2079/3250 train_time:48.184s step_avg:23.18ms
step:2080/3250 train_time:48.765s step_avg:23.44ms
step:2081/3250 train_time:49.344s step_avg:23.71ms
step:2082/3250 train_time:49.925s step_avg:23.98ms
step:2083/3250 train_time:50.504s step_avg:24.25ms
step:2084/3250 train_time:51.085s step_avg:24.51ms
step:2085/3250 train_time:51.664s step_avg:24.78ms
step:2086/3250 train_time:52.245s step_avg:25.05ms
step:2087/3250 train_time:52.825s step_avg:25.31ms
step:2088/3250 train_time:53.404s step_avg:25.58ms
step:2089/3250 train_time:53.987s step_avg:25.84ms
step:2090/3250 train_time:54.565s step_avg:26.11ms
step:2091/3250 train_time:55.145s step_avg:26.37ms
step:2092/3250 train_time:55.725s step_avg:26.64ms
step:2093/3250 train_time:56.304s step_avg:26.90ms
step:2094/3250 train_time:56.885s step_avg:27.17ms
step:2095/3250 train_time:57.465s step_avg:27.43ms
step:2096/3250 train_time:58.046s step_avg:27.69ms
step:2097/3250 train_time:58.627s step_avg:27.96ms
step:2098/3250 train_time:59.204s step_avg:28.22ms
step:2099/3250 train_time:59.785s step_avg:28.48ms
step:2100/3250 train_time:60.364s step_avg:28.74ms
step:2101/3250 train_time:60.945s step_avg:29.01ms
step:2102/3250 train_time:61.524s step_avg:29.27ms
step:2103/3250 train_time:62.104s step_avg:29.53ms
step:2104/3250 train_time:62.684s step_avg:29.79ms
step:2105/3250 train_time:63.264s step_avg:30.05ms
step:2106/3250 train_time:63.846s step_avg:30.32ms
step:2107/3250 train_time:64.424s step_avg:30.58ms
step:2108/3250 train_time:65.004s step_avg:30.84ms
step:2109/3250 train_time:65.585s step_avg:31.10ms
step:2110/3250 train_time:66.164s step_avg:31.36ms
step:2111/3250 train_time:66.745s step_avg:31.62ms
step:2112/3250 train_time:67.355s step_avg:31.89ms
step:2113/3250 train_time:67.941s step_avg:32.15ms
step:2114/3250 train_time:68.521s step_avg:32.41ms
step:2115/3250 train_time:69.104s step_avg:32.67ms
step:2116/3250 train_time:69.685s step_avg:32.93ms
step:2117/3250 train_time:70.266s step_avg:33.19ms
step:2118/3250 train_time:70.846s step_avg:33.45ms
step:2119/3250 train_time:71.426s step_avg:33.71ms
step:2120/3250 train_time:72.005s step_avg:33.96ms
step:2121/3250 train_time:72.585s step_avg:34.22ms
step:2122/3250 train_time:73.165s step_avg:34.48ms
step:2123/3250 train_time:73.746s step_avg:34.74ms
step:2124/3250 train_time:74.326s step_avg:34.99ms
step:2125/3250 train_time:74.905s step_avg:35.25ms
step:2125/3250 val_loss:3.34675 train_time:74.917s step_avg:35.25ms
step:2126/3250 train_time:75.492s step_avg:35.51ms
step:2127/3250 train_time:76.073s step_avg:35.77ms
step:2128/3250 train_time:76.654s step_avg:36.02ms
step:2129/3250 train_time:77.237s step_avg:36.28ms
step:2130/3250 train_time:77.816s step_avg:36.53ms
step:2131/3250 train_time:78.396s step_avg:36.79ms
step:2132/3250 train_time:78.975s step_avg:37.04ms
step:2133/3250 train_time:79.558s step_avg:37.30ms
step:2134/3250 train_time:80.135s step_avg:37.55ms
step:2135/3250 train_time:80.718s step_avg:37.81ms
step:2136/3250 train_time:81.295s step_avg:38.06ms
step:2137/3250 train_time:81.875s step_avg:38.31ms
step:2138/3250 train_time:82.455s step_avg:38.57ms
step:2139/3250 train_time:83.035s step_avg:38.82ms
step:2140/3250 train_time:83.616s step_avg:39.07ms
step:2141/3250 train_time:84.195s step_avg:39.33ms
step:2142/3250 train_time:84.777s step_avg:39.58ms
step:2143/3250 train_time:85.355s step_avg:39.83ms
step:2144/3250 train_time:85.935s step_avg:40.08ms
step:2145/3250 train_time:86.515s step_avg:40.33ms
step:2146/3250 train_time:87.095s step_avg:40.58ms
step:2147/3250 train_time:87.676s step_avg:40.84ms
step:2148/3250 train_time:88.255s step_avg:41.09ms
step:2149/3250 train_time:88.834s step_avg:41.34ms
step:2150/3250 train_time:89.416s step_avg:41.59ms
step:2151/3250 train_time:89.995s step_avg:41.84ms
step:2152/3250 train_time:90.576s step_avg:42.09ms
step:2153/3250 train_time:91.157s step_avg:42.34ms
step:2154/3250 train_time:91.736s step_avg:42.59ms
step:2155/3250 train_time:92.318s step_avg:42.84ms
step:2156/3250 train_time:92.896s step_avg:43.09ms
step:2157/3250 train_time:93.478s step_avg:43.34ms
step:2158/3250 train_time:94.055s step_avg:43.58ms
step:2159/3250 train_time:94.670s step_avg:43.85ms
step:2160/3250 train_time:95.261s step_avg:44.10ms
step:2161/3250 train_time:95.833s step_avg:44.35ms
step:2162/3250 train_time:96.419s step_avg:44.60ms
