W0831 14:07:55.498000 10303 torch/distributed/run.py:852] 
W0831 14:07:55.498000 10303 torch/distributed/run.py:852] *****************************************
W0831 14:07:55.498000 10303 torch/distributed/run.py:852] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0831 14:07:55.498000 10303 torch/distributed/run.py:852] *****************************************
logs/f9d2fefb-8538-47a7-b17c-9ed929ca1852.txt
resumed training state from step 2000 in eos_shared_state, skipped 500 batches
step:0/3250 val_loss:3.44335 train_time:0.001s step_avg:nanms
step:2001/3250 train_time:3.039s step_avg:1.52ms
step:2002/3250 train_time:3.597s step_avg:1.80ms
step:2003/3250 train_time:4.178s step_avg:2.09ms
step:2004/3250 train_time:4.754s step_avg:2.37ms
step:2005/3250 train_time:5.335s step_avg:2.66ms
step:2006/3250 train_time:5.912s step_avg:2.95ms
step:2007/3250 train_time:6.488s step_avg:3.23ms
step:2008/3250 train_time:7.062s step_avg:3.52ms
step:2009/3250 train_time:7.640s step_avg:3.80ms
step:2010/3250 train_time:8.218s step_avg:4.09ms
step:2011/3250 train_time:8.798s step_avg:4.37ms
step:2012/3250 train_time:9.378s step_avg:4.66ms
step:2013/3250 train_time:9.957s step_avg:4.95ms
step:2014/3250 train_time:10.537s step_avg:5.23ms
step:2015/3250 train_time:11.119s step_avg:5.52ms
step:2016/3250 train_time:11.698s step_avg:5.80ms
step:2017/3250 train_time:12.278s step_avg:6.09ms
step:2018/3250 train_time:12.886s step_avg:6.39ms
step:2019/3250 train_time:13.465s step_avg:6.67ms
step:2020/3250 train_time:14.038s step_avg:6.95ms
step:2021/3250 train_time:14.621s step_avg:7.23ms
step:2022/3250 train_time:15.197s step_avg:7.52ms
step:2023/3250 train_time:15.780s step_avg:7.80ms
step:2024/3250 train_time:16.358s step_avg:8.08ms
step:2025/3250 train_time:16.940s step_avg:8.37ms
step:2026/3250 train_time:17.521s step_avg:8.65ms
step:2027/3250 train_time:18.100s step_avg:8.93ms
step:2028/3250 train_time:18.679s step_avg:9.21ms
step:2029/3250 train_time:19.259s step_avg:9.49ms
step:2030/3250 train_time:19.839s step_avg:9.77ms
step:2031/3250 train_time:20.420s step_avg:10.05ms
step:2032/3250 train_time:21.000s step_avg:10.33ms
step:2033/3250 train_time:21.580s step_avg:10.61ms
step:2034/3250 train_time:22.161s step_avg:10.90ms
step:2035/3250 train_time:22.740s step_avg:11.17ms
step:2036/3250 train_time:23.321s step_avg:11.45ms
step:2037/3250 train_time:23.901s step_avg:11.73ms
step:2038/3250 train_time:24.480s step_avg:12.01ms
step:2039/3250 train_time:25.062s step_avg:12.29ms
step:2040/3250 train_time:25.641s step_avg:12.57ms
step:2041/3250 train_time:26.221s step_avg:12.85ms
step:2042/3250 train_time:26.801s step_avg:13.12ms
step:2043/3250 train_time:27.382s step_avg:13.40ms
step:2044/3250 train_time:27.960s step_avg:13.68ms
step:2045/3250 train_time:28.543s step_avg:13.96ms
step:2046/3250 train_time:29.121s step_avg:14.23ms
step:2047/3250 train_time:29.703s step_avg:14.51ms
step:2048/3250 train_time:30.282s step_avg:14.79ms
step:2049/3250 train_time:30.866s step_avg:15.06ms
step:2050/3250 train_time:31.444s step_avg:15.34ms
step:2051/3250 train_time:32.021s step_avg:15.61ms
step:2052/3250 train_time:32.599s step_avg:15.89ms
step:2053/3250 train_time:33.179s step_avg:16.16ms
step:2054/3250 train_time:33.759s step_avg:16.44ms
step:2055/3250 train_time:34.338s step_avg:16.71ms
step:2056/3250 train_time:34.917s step_avg:16.98ms
step:2057/3250 train_time:35.499s step_avg:17.26ms
step:2058/3250 train_time:36.078s step_avg:17.53ms
step:2059/3250 train_time:36.658s step_avg:17.80ms
step:2060/3250 train_time:37.238s step_avg:18.08ms
step:2061/3250 train_time:37.818s step_avg:18.35ms
step:2062/3250 train_time:38.398s step_avg:18.62ms
step:2063/3250 train_time:38.978s step_avg:18.89ms
step:2064/3250 train_time:39.559s step_avg:19.17ms
step:2065/3250 train_time:40.163s step_avg:19.45ms
step:2066/3250 train_time:40.744s step_avg:19.72ms
step:2067/3250 train_time:41.320s step_avg:19.99ms
step:2068/3250 train_time:41.904s step_avg:20.26ms
step:2069/3250 train_time:42.478s step_avg:20.53ms
step:2070/3250 train_time:43.061s step_avg:20.80ms
step:2071/3250 train_time:43.637s step_avg:21.07ms
step:2072/3250 train_time:44.221s step_avg:21.34ms
step:2073/3250 train_time:44.800s step_avg:21.61ms
step:2074/3250 train_time:45.381s step_avg:21.88ms
step:2075/3250 train_time:45.959s step_avg:22.15ms
step:2076/3250 train_time:46.540s step_avg:22.42ms
step:2077/3250 train_time:47.121s step_avg:22.69ms
step:2078/3250 train_time:47.700s step_avg:22.95ms
step:2079/3250 train_time:48.282s step_avg:23.22ms
step:2080/3250 train_time:48.860s step_avg:23.49ms
step:2081/3250 train_time:49.441s step_avg:23.76ms
step:2082/3250 train_time:50.020s step_avg:24.02ms
step:2083/3250 train_time:50.601s step_avg:24.29ms
step:2084/3250 train_time:51.180s step_avg:24.56ms
step:2085/3250 train_time:51.761s step_avg:24.83ms
step:2086/3250 train_time:52.341s step_avg:25.09ms
step:2087/3250 train_time:52.921s step_avg:25.36ms
step:2088/3250 train_time:53.501s step_avg:25.62ms
step:2089/3250 train_time:54.079s step_avg:25.89ms
step:2090/3250 train_time:54.661s step_avg:26.15ms
step:2091/3250 train_time:55.240s step_avg:26.42ms
step:2092/3250 train_time:55.819s step_avg:26.68ms
step:2093/3250 train_time:56.400s step_avg:26.95ms
step:2094/3250 train_time:56.981s step_avg:27.21ms
step:2095/3250 train_time:57.561s step_avg:27.48ms
step:2096/3250 train_time:58.139s step_avg:27.74ms
step:2097/3250 train_time:58.720s step_avg:28.00ms
step:2098/3250 train_time:59.301s step_avg:28.27ms
step:2099/3250 train_time:59.880s step_avg:28.53ms
step:2100/3250 train_time:60.461s step_avg:28.79ms
step:2101/3250 train_time:61.040s step_avg:29.05ms
step:2102/3250 train_time:61.621s step_avg:29.32ms
step:2103/3250 train_time:62.201s step_avg:29.58ms
step:2104/3250 train_time:62.780s step_avg:29.84ms
step:2105/3250 train_time:63.362s step_avg:30.10ms
step:2106/3250 train_time:63.941s step_avg:30.36ms
step:2107/3250 train_time:64.521s step_avg:30.62ms
step:2108/3250 train_time:65.100s step_avg:30.88ms
step:2109/3250 train_time:65.680s step_avg:31.14ms
step:2110/3250 train_time:66.261s step_avg:31.40ms
step:2111/3250 train_time:66.840s step_avg:31.66ms
step:2112/3250 train_time:67.445s step_avg:31.93ms
step:2113/3250 train_time:68.025s step_avg:32.19ms
step:2114/3250 train_time:68.600s step_avg:32.45ms
step:2115/3250 train_time:69.181s step_avg:32.71ms
step:2116/3250 train_time:69.759s step_avg:32.97ms
step:2117/3250 train_time:70.340s step_avg:33.23ms
step:2118/3250 train_time:70.919s step_avg:33.48ms
step:2119/3250 train_time:71.499s step_avg:33.74ms
step:2120/3250 train_time:72.079s step_avg:34.00ms
step:2121/3250 train_time:72.660s step_avg:34.26ms
step:2122/3250 train_time:73.240s step_avg:34.51ms
step:2123/3250 train_time:73.819s step_avg:34.77ms
step:2124/3250 train_time:74.399s step_avg:35.03ms
step:2125/3250 train_time:74.979s step_avg:35.28ms
step:2125/3250 val_loss:3.35626 train_time:74.991s step_avg:35.29ms
step:2126/3250 train_time:75.566s step_avg:35.54ms
step:2127/3250 train_time:76.149s step_avg:35.80ms
step:2128/3250 train_time:76.731s step_avg:36.06ms
step:2129/3250 train_time:77.312s step_avg:36.31ms
step:2130/3250 train_time:77.892s step_avg:36.57ms
step:2131/3250 train_time:78.473s step_avg:36.82ms
step:2132/3250 train_time:79.051s step_avg:37.08ms
step:2133/3250 train_time:79.632s step_avg:37.33ms
step:2134/3250 train_time:80.211s step_avg:37.59ms
step:2135/3250 train_time:80.794s step_avg:37.84ms
step:2136/3250 train_time:81.373s step_avg:38.10ms
step:2137/3250 train_time:81.954s step_avg:38.35ms
step:2138/3250 train_time:82.534s step_avg:38.60ms
step:2139/3250 train_time:83.113s step_avg:38.86ms
step:2140/3250 train_time:83.691s step_avg:39.11ms
step:2141/3250 train_time:84.273s step_avg:39.36ms
step:2142/3250 train_time:84.852s step_avg:39.61ms
step:2143/3250 train_time:85.433s step_avg:39.87ms
step:2144/3250 train_time:86.011s step_avg:40.12ms
step:2145/3250 train_time:86.593s step_avg:40.37ms
step:2146/3250 train_time:87.172s step_avg:40.62ms
step:2147/3250 train_time:87.752s step_avg:40.87ms
step:2148/3250 train_time:88.332s step_avg:41.12ms
step:2149/3250 train_time:88.912s step_avg:41.37ms
step:2150/3250 train_time:89.493s step_avg:41.62ms
step:2151/3250 train_time:90.073s step_avg:41.87ms
step:2152/3250 train_time:90.652s step_avg:42.12ms
step:2153/3250 train_time:91.233s step_avg:42.37ms
step:2154/3250 train_time:91.812s step_avg:42.62ms
step:2155/3250 train_time:92.393s step_avg:42.87ms
step:2156/3250 train_time:92.972s step_avg:43.12ms
step:2157/3250 train_time:93.553s step_avg:43.37ms
step:2158/3250 train_time:94.133s step_avg:43.62ms
step:2159/3250 train_time:94.749s step_avg:43.89ms
step:2160/3250 train_time:95.336s step_avg:44.14ms
step:2161/3250 train_time:95.911s step_avg:44.38ms
step:2162/3250 train_time:96.494s step_avg:44.63ms
step:2163/3250 train_time:97.072s step_avg:44.88ms
step:2164/3250 train_time:97.652s step_avg:45.13ms
step:2165/3250 train_time:98.230s step_avg:45.37ms
step:2166/3250 train_time:98.811s step_avg:45.62ms
step:2167/3250 train_time:99.392s step_avg:45.87ms
step:2168/3250 train_time:99.972s step_avg:46.11ms
step:2169/3250 train_time:100.553s step_avg:46.36ms
step:2170/3250 train_time:101.133s step_avg:46.60ms
step:2171/3250 train_time:101.711s step_avg:46.85ms
step:2172/3250 train_time:102.293s step_avg:47.10ms
step:2173/3250 train_time:102.872s step_avg:47.34ms
step:2174/3250 train_time:103.452s step_avg:47.59ms
step:2175/3250 train_time:104.031s step_avg:47.83ms
step:2176/3250 train_time:104.611s step_avg:48.07ms
step:2177/3250 train_time:105.193s step_avg:48.32ms
step:2178/3250 train_time:105.772s step_avg:48.56ms
step:2179/3250 train_time:106.353s step_avg:48.81ms
step:2180/3250 train_time:106.932s step_avg:49.05ms
step:2181/3250 train_time:107.512s step_avg:49.29ms
step:2182/3250 train_time:108.093s step_avg:49.54ms
step:2183/3250 train_time:108.672s step_avg:49.78ms
step:2184/3250 train_time:109.251s step_avg:50.02ms
step:2185/3250 train_time:109.833s step_avg:50.27ms
step:2186/3250 train_time:110.411s step_avg:50.51ms
step:2187/3250 train_time:110.994s step_avg:50.75ms
step:2188/3250 train_time:111.573s step_avg:50.99ms
step:2189/3250 train_time:112.153s step_avg:51.23ms
step:2190/3250 train_time:112.732s step_avg:51.48ms
step:2191/3250 train_time:113.311s step_avg:51.72ms
step:2192/3250 train_time:113.892s step_avg:51.96ms
step:2193/3250 train_time:114.471s step_avg:52.20ms
step:2194/3250 train_time:115.051s step_avg:52.44ms
step:2195/3250 train_time:115.632s step_avg:52.68ms
step:2196/3250 train_time:116.212s step_avg:52.92ms
step:2197/3250 train_time:116.792s step_avg:53.16ms
step:2198/3250 train_time:117.371s step_avg:53.40ms
step:2199/3250 train_time:117.952s step_avg:53.64ms
step:2200/3250 train_time:118.531s step_avg:53.88ms
step:2201/3250 train_time:119.111s step_avg:54.12ms
step:2202/3250 train_time:119.691s step_avg:54.36ms
step:2203/3250 train_time:120.271s step_avg:54.59ms
step:2204/3250 train_time:120.852s step_avg:54.83ms
step:2205/3250 train_time:121.432s step_avg:55.07ms
step:2206/3250 train_time:122.047s step_avg:55.32ms
step:2207/3250 train_time:122.633s step_avg:55.57ms
step:2208/3250 train_time:123.210s step_avg:55.80ms
step:2209/3250 train_time:123.794s step_avg:56.04ms
step:2210/3250 train_time:124.371s step_avg:56.28ms
step:2211/3250 train_time:124.952s step_avg:56.51ms
step:2212/3250 train_time:125.532s step_avg:56.75ms
step:2213/3250 train_time:126.112s step_avg:56.99ms
step:2214/3250 train_time:126.691s step_avg:57.22ms
step:2215/3250 train_time:127.272s step_avg:57.46ms
step:2216/3250 train_time:127.850s step_avg:57.69ms
step:2217/3250 train_time:128.433s step_avg:57.93ms
step:2218/3250 train_time:129.011s step_avg:58.17ms
step:2219/3250 train_time:129.592s step_avg:58.40ms
step:2220/3250 train_time:130.171s step_avg:58.64ms
step:2221/3250 train_time:130.752s step_avg:58.87ms
step:2222/3250 train_time:131.331s step_avg:59.10ms
step:2223/3250 train_time:131.912s step_avg:59.34ms
step:2224/3250 train_time:132.492s step_avg:59.57ms
step:2225/3250 train_time:133.072s step_avg:59.81ms
step:2226/3250 train_time:133.652s step_avg:60.04ms
step:2227/3250 train_time:134.233s step_avg:60.28ms
step:2228/3250 train_time:134.814s step_avg:60.51ms
step:2229/3250 train_time:135.393s step_avg:60.74ms
step:2230/3250 train_time:135.974s step_avg:60.97ms
step:2231/3250 train_time:136.553s step_avg:61.21ms
step:2232/3250 train_time:137.134s step_avg:61.44ms
step:2233/3250 train_time:137.712s step_avg:61.67ms
step:2234/3250 train_time:138.293s step_avg:61.90ms
step:2235/3250 train_time:138.874s step_avg:62.14ms
step:2236/3250 train_time:139.453s step_avg:62.37ms
step:2237/3250 train_time:140.033s step_avg:62.60ms
step:2238/3250 train_time:140.611s step_avg:62.83ms
step:2239/3250 train_time:141.193s step_avg:63.06ms
