W0831 14:14:54.202000 8423 torch/distributed/run.py:852] 
W0831 14:14:54.202000 8423 torch/distributed/run.py:852] *****************************************
W0831 14:14:54.202000 8423 torch/distributed/run.py:852] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0831 14:14:54.202000 8423 torch/distributed/run.py:852] *****************************************
logs/75b74ad6-f11d-4ca8-8400-54db0430c244.txt
resumed training state from step 2000 in eos_shared_state, skipped 500 batches
step:0/3250 val_loss:3.44373 train_time:0.001s step_avg:nanms
step:2001/3250 train_time:2.941s step_avg:1.47ms
step:2002/3250 train_time:3.498s step_avg:1.75ms
step:2003/3250 train_time:4.080s step_avg:2.04ms
step:2004/3250 train_time:4.654s step_avg:2.32ms
step:2005/3250 train_time:5.235s step_avg:2.61ms
step:2006/3250 train_time:5.815s step_avg:2.90ms
step:2007/3250 train_time:6.397s step_avg:3.19ms
step:2008/3250 train_time:6.978s step_avg:3.47ms
step:2009/3250 train_time:7.558s step_avg:3.76ms
step:2010/3250 train_time:8.138s step_avg:4.05ms
step:2011/3250 train_time:8.718s step_avg:4.34ms
step:2012/3250 train_time:9.298s step_avg:4.62ms
step:2013/3250 train_time:9.879s step_avg:4.91ms
step:2014/3250 train_time:10.460s step_avg:5.19ms
step:2015/3250 train_time:11.040s step_avg:5.48ms
step:2016/3250 train_time:11.620s step_avg:5.76ms
step:2017/3250 train_time:12.200s step_avg:6.05ms
step:2018/3250 train_time:12.820s step_avg:6.35ms
step:2019/3250 train_time:13.407s step_avg:6.64ms
step:2020/3250 train_time:13.983s step_avg:6.92ms
step:2021/3250 train_time:14.566s step_avg:7.21ms
step:2022/3250 train_time:15.143s step_avg:7.49ms
step:2023/3250 train_time:15.725s step_avg:7.77ms
step:2024/3250 train_time:16.306s step_avg:8.06ms
step:2025/3250 train_time:16.886s step_avg:8.34ms
step:2026/3250 train_time:17.465s step_avg:8.62ms
step:2027/3250 train_time:18.045s step_avg:8.90ms
step:2028/3250 train_time:18.625s step_avg:9.18ms
step:2029/3250 train_time:19.206s step_avg:9.47ms
step:2030/3250 train_time:19.785s step_avg:9.75ms
step:2031/3250 train_time:20.364s step_avg:10.03ms
step:2032/3250 train_time:20.944s step_avg:10.31ms
step:2033/3250 train_time:21.525s step_avg:10.59ms
step:2034/3250 train_time:22.105s step_avg:10.87ms
step:2035/3250 train_time:22.686s step_avg:11.15ms
step:2036/3250 train_time:23.266s step_avg:11.43ms
step:2037/3250 train_time:23.846s step_avg:11.71ms
step:2038/3250 train_time:24.426s step_avg:11.99ms
step:2039/3250 train_time:25.006s step_avg:12.26ms
step:2040/3250 train_time:25.587s step_avg:12.54ms
step:2041/3250 train_time:26.166s step_avg:12.82ms
step:2042/3250 train_time:26.746s step_avg:13.10ms
step:2043/3250 train_time:27.326s step_avg:13.38ms
step:2044/3250 train_time:27.906s step_avg:13.65ms
step:2045/3250 train_time:28.487s step_avg:13.93ms
step:2046/3250 train_time:29.065s step_avg:14.21ms
step:2047/3250 train_time:29.647s step_avg:14.48ms
step:2048/3250 train_time:30.226s step_avg:14.76ms
step:2049/3250 train_time:30.807s step_avg:15.04ms
step:2050/3250 train_time:31.388s step_avg:15.31ms
step:2051/3250 train_time:31.966s step_avg:15.59ms
step:2052/3250 train_time:32.546s step_avg:15.86ms
step:2053/3250 train_time:33.125s step_avg:16.13ms
step:2054/3250 train_time:33.705s step_avg:16.41ms
step:2055/3250 train_time:34.285s step_avg:16.68ms
step:2056/3250 train_time:34.866s step_avg:16.96ms
step:2057/3250 train_time:35.445s step_avg:17.23ms
step:2058/3250 train_time:36.026s step_avg:17.51ms
step:2059/3250 train_time:36.605s step_avg:17.78ms
step:2060/3250 train_time:37.186s step_avg:18.05ms
step:2061/3250 train_time:37.767s step_avg:18.32ms
step:2062/3250 train_time:38.345s step_avg:18.60ms
step:2063/3250 train_time:38.926s step_avg:18.87ms
step:2064/3250 train_time:39.506s step_avg:19.14ms
step:2065/3250 train_time:40.135s step_avg:19.44ms
step:2066/3250 train_time:40.721s step_avg:19.71ms
step:2067/3250 train_time:41.298s step_avg:19.98ms
step:2068/3250 train_time:41.883s step_avg:20.25ms
step:2069/3250 train_time:42.460s step_avg:20.52ms
step:2070/3250 train_time:43.041s step_avg:20.79ms
step:2071/3250 train_time:43.622s step_avg:21.06ms
step:2072/3250 train_time:44.201s step_avg:21.33ms
step:2073/3250 train_time:44.782s step_avg:21.60ms
step:2074/3250 train_time:45.362s step_avg:21.87ms
step:2075/3250 train_time:45.944s step_avg:22.14ms
step:2076/3250 train_time:46.523s step_avg:22.41ms
step:2077/3250 train_time:47.101s step_avg:22.68ms
step:2078/3250 train_time:47.681s step_avg:22.95ms
step:2079/3250 train_time:48.262s step_avg:23.21ms
step:2080/3250 train_time:48.841s step_avg:23.48ms
step:2081/3250 train_time:49.422s step_avg:23.75ms
step:2082/3250 train_time:50.000s step_avg:24.02ms
step:2083/3250 train_time:50.581s step_avg:24.28ms
step:2084/3250 train_time:51.160s step_avg:24.55ms
step:2085/3250 train_time:51.742s step_avg:24.82ms
step:2086/3250 train_time:52.323s step_avg:25.08ms
step:2087/3250 train_time:52.900s step_avg:25.35ms
step:2088/3250 train_time:53.483s step_avg:25.61ms
step:2089/3250 train_time:54.062s step_avg:25.88ms
step:2090/3250 train_time:54.642s step_avg:26.14ms
step:2091/3250 train_time:55.222s step_avg:26.41ms
step:2092/3250 train_time:55.801s step_avg:26.67ms
step:2093/3250 train_time:56.383s step_avg:26.94ms
step:2094/3250 train_time:56.961s step_avg:27.20ms
step:2095/3250 train_time:57.544s step_avg:27.47ms
step:2096/3250 train_time:58.122s step_avg:27.73ms
step:2097/3250 train_time:58.703s step_avg:27.99ms
step:2098/3250 train_time:59.281s step_avg:28.26ms
step:2099/3250 train_time:59.861s step_avg:28.52ms
step:2100/3250 train_time:60.442s step_avg:28.78ms
step:2101/3250 train_time:61.021s step_avg:29.04ms
step:2102/3250 train_time:61.601s step_avg:29.31ms
step:2103/3250 train_time:62.182s step_avg:29.57ms
step:2104/3250 train_time:62.761s step_avg:29.83ms
step:2105/3250 train_time:63.342s step_avg:30.09ms
step:2106/3250 train_time:63.921s step_avg:30.35ms
step:2107/3250 train_time:64.501s step_avg:30.61ms
step:2108/3250 train_time:65.082s step_avg:30.87ms
step:2109/3250 train_time:65.663s step_avg:31.13ms
step:2110/3250 train_time:66.242s step_avg:31.39ms
step:2111/3250 train_time:66.822s step_avg:31.65ms
step:2112/3250 train_time:67.438s step_avg:31.93ms
step:2113/3250 train_time:68.031s step_avg:32.20ms
step:2114/3250 train_time:68.607s step_avg:32.45ms
step:2115/3250 train_time:69.193s step_avg:32.72ms
step:2116/3250 train_time:69.774s step_avg:32.97ms
step:2117/3250 train_time:70.358s step_avg:33.23ms
step:2118/3250 train_time:70.940s step_avg:33.49ms
step:2119/3250 train_time:71.521s step_avg:33.75ms
step:2120/3250 train_time:72.101s step_avg:34.01ms
step:2121/3250 train_time:72.683s step_avg:34.27ms
step:2122/3250 train_time:73.264s step_avg:34.53ms
step:2123/3250 train_time:73.844s step_avg:34.78ms
step:2124/3250 train_time:74.423s step_avg:35.04ms
step:2125/3250 train_time:75.001s step_avg:35.29ms
step:2125/3250 val_loss:3.35554 train_time:75.013s step_avg:35.30ms
step:2126/3250 train_time:75.589s step_avg:35.55ms
step:2127/3250 train_time:76.171s step_avg:35.81ms
step:2128/3250 train_time:76.751s step_avg:36.07ms
step:2129/3250 train_time:77.331s step_avg:36.32ms
step:2130/3250 train_time:77.911s step_avg:36.58ms
step:2131/3250 train_time:78.491s step_avg:36.83ms
step:2132/3250 train_time:79.071s step_avg:37.09ms
step:2133/3250 train_time:79.651s step_avg:37.34ms
step:2134/3250 train_time:80.232s step_avg:37.60ms
step:2135/3250 train_time:80.812s step_avg:37.85ms
step:2136/3250 train_time:81.392s step_avg:38.10ms
step:2137/3250 train_time:81.972s step_avg:38.36ms
step:2138/3250 train_time:82.552s step_avg:38.61ms
step:2139/3250 train_time:83.130s step_avg:38.86ms
step:2140/3250 train_time:83.712s step_avg:39.12ms
step:2141/3250 train_time:84.291s step_avg:39.37ms
step:2142/3250 train_time:84.872s step_avg:39.62ms
step:2143/3250 train_time:85.452s step_avg:39.87ms
step:2144/3250 train_time:86.030s step_avg:40.13ms
step:2145/3250 train_time:86.611s step_avg:40.38ms
step:2146/3250 train_time:87.190s step_avg:40.63ms
step:2147/3250 train_time:87.771s step_avg:40.88ms
step:2148/3250 train_time:88.352s step_avg:41.13ms
step:2149/3250 train_time:88.931s step_avg:41.38ms
step:2150/3250 train_time:89.510s step_avg:41.63ms
step:2151/3250 train_time:90.090s step_avg:41.88ms
step:2152/3250 train_time:90.671s step_avg:42.13ms
step:2153/3250 train_time:91.251s step_avg:42.38ms
step:2154/3250 train_time:91.829s step_avg:42.63ms
step:2155/3250 train_time:92.410s step_avg:42.88ms
step:2156/3250 train_time:92.989s step_avg:43.13ms
step:2157/3250 train_time:93.569s step_avg:43.38ms
step:2158/3250 train_time:94.154s step_avg:43.63ms
step:2159/3250 train_time:94.784s step_avg:43.90ms
step:2160/3250 train_time:95.371s step_avg:44.15ms
step:2161/3250 train_time:95.946s step_avg:44.40ms
step:2162/3250 train_time:96.531s step_avg:44.65ms
step:2163/3250 train_time:97.109s step_avg:44.90ms
step:2164/3250 train_time:97.691s step_avg:45.14ms
step:2165/3250 train_time:98.270s step_avg:45.39ms
step:2166/3250 train_time:98.850s step_avg:45.64ms
step:2167/3250 train_time:99.431s step_avg:45.88ms
step:2168/3250 train_time:100.011s step_avg:46.13ms
step:2169/3250 train_time:100.592s step_avg:46.38ms
step:2170/3250 train_time:101.170s step_avg:46.62ms
step:2171/3250 train_time:101.750s step_avg:46.87ms
step:2172/3250 train_time:102.329s step_avg:47.11ms
step:2173/3250 train_time:102.911s step_avg:47.36ms
step:2174/3250 train_time:103.490s step_avg:47.60ms
step:2175/3250 train_time:104.071s step_avg:47.85ms
step:2176/3250 train_time:104.650s step_avg:48.09ms
step:2177/3250 train_time:105.231s step_avg:48.34ms
step:2178/3250 train_time:105.810s step_avg:48.58ms
step:2179/3250 train_time:106.390s step_avg:48.83ms
step:2180/3250 train_time:106.971s step_avg:49.07ms
step:2181/3250 train_time:107.551s step_avg:49.31ms
step:2182/3250 train_time:108.131s step_avg:49.56ms
step:2183/3250 train_time:108.710s step_avg:49.80ms
step:2184/3250 train_time:109.290s step_avg:50.04ms
step:2185/3250 train_time:109.871s step_avg:50.28ms
step:2186/3250 train_time:110.450s step_avg:50.53ms
step:2187/3250 train_time:111.030s step_avg:50.77ms
step:2188/3250 train_time:111.611s step_avg:51.01ms
step:2189/3250 train_time:112.191s step_avg:51.25ms
step:2190/3250 train_time:112.770s step_avg:51.49ms
step:2191/3250 train_time:113.349s step_avg:51.73ms
step:2192/3250 train_time:113.931s step_avg:51.98ms
step:2193/3250 train_time:114.510s step_avg:52.22ms
