W0831 15:06:39.777000 9432 torch/distributed/run.py:852] 
W0831 15:06:39.777000 9432 torch/distributed/run.py:852] *****************************************
W0831 15:06:39.777000 9432 torch/distributed/run.py:852] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0831 15:06:39.777000 9432 torch/distributed/run.py:852] *****************************************
logs/325fba60-027b-4d6a-a9dd-0ddea1bb2f12.txt
resumed training state from step 2000 in eos_shared_state, skipped 250 batches
step:0/3250 val_loss:3.44335 train_time:0.001s step_avg:nanms
step:2001/3250 train_time:3.590s step_avg:1.79ms
step:2002/3250 train_time:4.729s step_avg:2.36ms
step:2003/3250 train_time:5.872s step_avg:2.93ms
step:2004/3250 train_time:7.059s step_avg:3.52ms
step:2005/3250 train_time:8.206s step_avg:4.09ms
step:2006/3250 train_time:9.352s step_avg:4.66ms
step:2007/3250 train_time:10.495s step_avg:5.23ms
step:2008/3250 train_time:11.641s step_avg:5.80ms
step:2009/3250 train_time:12.786s step_avg:6.36ms
step:2010/3250 train_time:13.931s step_avg:6.93ms
step:2011/3250 train_time:15.075s step_avg:7.50ms
step:2012/3250 train_time:16.222s step_avg:8.06ms
step:2013/3250 train_time:17.368s step_avg:8.63ms
step:2014/3250 train_time:18.513s step_avg:9.19ms
step:2015/3250 train_time:19.659s step_avg:9.76ms
step:2016/3250 train_time:20.806s step_avg:10.32ms
step:2017/3250 train_time:21.954s step_avg:10.88ms
step:2018/3250 train_time:23.103s step_avg:11.45ms
step:2019/3250 train_time:24.250s step_avg:12.01ms
step:2020/3250 train_time:25.394s step_avg:12.57ms
step:2021/3250 train_time:26.542s step_avg:13.13ms
step:2022/3250 train_time:27.690s step_avg:13.69ms
step:2023/3250 train_time:28.837s step_avg:14.25ms
step:2024/3250 train_time:29.987s step_avg:14.82ms
step:2025/3250 train_time:31.137s step_avg:15.38ms
step:2026/3250 train_time:32.288s step_avg:15.94ms
step:2027/3250 train_time:33.482s step_avg:16.52ms
step:2028/3250 train_time:34.634s step_avg:17.08ms
step:2029/3250 train_time:35.782s step_avg:17.64ms
step:2030/3250 train_time:36.933s step_avg:18.19ms
step:2031/3250 train_time:38.081s step_avg:18.75ms
step:2032/3250 train_time:39.231s step_avg:19.31ms
step:2033/3250 train_time:40.379s step_avg:19.86ms
step:2034/3250 train_time:41.531s step_avg:20.42ms
step:2035/3250 train_time:42.678s step_avg:20.97ms
step:2036/3250 train_time:43.829s step_avg:21.53ms
step:2037/3250 train_time:44.980s step_avg:22.08ms
step:2038/3250 train_time:46.130s step_avg:22.64ms
step:2039/3250 train_time:47.282s step_avg:23.19ms
step:2040/3250 train_time:48.433s step_avg:23.74ms
step:2041/3250 train_time:49.583s step_avg:24.29ms
step:2042/3250 train_time:50.735s step_avg:24.85ms
step:2043/3250 train_time:51.884s step_avg:25.40ms
step:2044/3250 train_time:53.037s step_avg:25.95ms
step:2045/3250 train_time:54.189s step_avg:26.50ms
step:2046/3250 train_time:55.341s step_avg:27.05ms
step:2047/3250 train_time:56.494s step_avg:27.60ms
step:2048/3250 train_time:57.645s step_avg:28.15ms
step:2049/3250 train_time:58.798s step_avg:28.70ms
step:2050/3250 train_time:59.988s step_avg:29.26ms
step:2051/3250 train_time:61.142s step_avg:29.81ms
step:2052/3250 train_time:62.295s step_avg:30.36ms
step:2053/3250 train_time:63.446s step_avg:30.90ms
step:2054/3250 train_time:64.598s step_avg:31.45ms
step:2055/3250 train_time:65.749s step_avg:31.99ms
step:2056/3250 train_time:66.905s step_avg:32.54ms
step:2057/3250 train_time:68.059s step_avg:33.09ms
step:2058/3250 train_time:69.209s step_avg:33.63ms
step:2059/3250 train_time:70.364s step_avg:34.17ms
step:2060/3250 train_time:71.516s step_avg:34.72ms
step:2061/3250 train_time:72.666s step_avg:35.26ms
step:2062/3250 train_time:73.823s step_avg:35.80ms
step:2063/3250 train_time:74.975s step_avg:36.34ms
step:2064/3250 train_time:76.128s step_avg:36.88ms
step:2065/3250 train_time:77.286s step_avg:37.43ms
step:2066/3250 train_time:78.440s step_avg:37.97ms
step:2067/3250 train_time:79.593s step_avg:38.51ms
step:2068/3250 train_time:80.745s step_avg:39.05ms
step:2069/3250 train_time:81.902s step_avg:39.59ms
step:2070/3250 train_time:83.054s step_avg:40.12ms
step:2071/3250 train_time:84.205s step_avg:40.66ms
step:2072/3250 train_time:85.358s step_avg:41.20ms
step:2073/3250 train_time:86.559s step_avg:41.76ms
step:2074/3250 train_time:87.710s step_avg:42.29ms
step:2075/3250 train_time:88.864s step_avg:42.83ms
step:2076/3250 train_time:90.014s step_avg:43.36ms
step:2077/3250 train_time:91.163s step_avg:43.89ms
step:2078/3250 train_time:92.314s step_avg:44.42ms
step:2079/3250 train_time:93.464s step_avg:44.96ms
step:2080/3250 train_time:94.617s step_avg:45.49ms
step:2081/3250 train_time:95.767s step_avg:46.02ms
step:2082/3250 train_time:96.916s step_avg:46.55ms
step:2083/3250 train_time:98.066s step_avg:47.08ms
step:2084/3250 train_time:99.218s step_avg:47.61ms
step:2085/3250 train_time:100.365s step_avg:48.14ms
step:2086/3250 train_time:101.517s step_avg:48.67ms
step:2087/3250 train_time:102.667s step_avg:49.19ms
step:2088/3250 train_time:103.818s step_avg:49.72ms
step:2089/3250 train_time:104.966s step_avg:50.25ms
step:2090/3250 train_time:106.119s step_avg:50.77ms
step:2091/3250 train_time:107.267s step_avg:51.30ms
step:2092/3250 train_time:108.421s step_avg:51.83ms
step:2093/3250 train_time:109.571s step_avg:52.35ms
step:2094/3250 train_time:110.724s step_avg:52.88ms
step:2095/3250 train_time:111.877s step_avg:53.40ms
step:2096/3250 train_time:113.064s step_avg:53.94ms
step:2097/3250 train_time:114.218s step_avg:54.47ms
step:2098/3250 train_time:115.368s step_avg:54.99ms
step:2099/3250 train_time:116.521s step_avg:55.51ms
step:2100/3250 train_time:117.671s step_avg:56.03ms
