W0831 15:07:01.770000 9495 torch/distributed/run.py:852] 
W0831 15:07:01.770000 9495 torch/distributed/run.py:852] *****************************************
W0831 15:07:01.770000 9495 torch/distributed/run.py:852] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0831 15:07:01.770000 9495 torch/distributed/run.py:852] *****************************************
logs/ad7a27f1-8001-45d8-a6a0-ba01a38cbffb.txt
resumed training state from step 2000 in eos_shared_state, skipped 250 batches
step:0/3250 val_loss:3.44361 train_time:0.001s step_avg:nanms
step:2001/3250 train_time:3.484s step_avg:1.74ms
step:2002/3250 train_time:4.620s step_avg:2.31ms
step:2003/3250 train_time:5.765s step_avg:2.88ms
step:2004/3250 train_time:6.962s step_avg:3.47ms
step:2005/3250 train_time:8.104s step_avg:4.04ms
step:2006/3250 train_time:9.247s step_avg:4.61ms
step:2007/3250 train_time:10.394s step_avg:5.18ms
step:2008/3250 train_time:11.541s step_avg:5.75ms
step:2009/3250 train_time:12.687s step_avg:6.31ms
step:2010/3250 train_time:13.838s step_avg:6.88ms
step:2011/3250 train_time:14.985s step_avg:7.45ms
step:2012/3250 train_time:16.133s step_avg:8.02ms
step:2013/3250 train_time:17.280s step_avg:8.58ms
step:2014/3250 train_time:18.429s step_avg:9.15ms
step:2015/3250 train_time:19.579s step_avg:9.72ms
step:2016/3250 train_time:20.727s step_avg:10.28ms
step:2017/3250 train_time:21.876s step_avg:10.85ms
step:2018/3250 train_time:23.022s step_avg:11.41ms
step:2019/3250 train_time:24.169s step_avg:11.97ms
step:2020/3250 train_time:25.320s step_avg:12.53ms
step:2021/3250 train_time:26.467s step_avg:13.10ms
step:2022/3250 train_time:27.616s step_avg:13.66ms
step:2023/3250 train_time:28.765s step_avg:14.22ms
step:2024/3250 train_time:29.914s step_avg:14.78ms
step:2025/3250 train_time:31.062s step_avg:15.34ms
step:2026/3250 train_time:32.209s step_avg:15.90ms
step:2027/3250 train_time:33.409s step_avg:16.48ms
step:2028/3250 train_time:34.560s step_avg:17.04ms
step:2029/3250 train_time:35.708s step_avg:17.60ms
step:2030/3250 train_time:36.857s step_avg:18.16ms
step:2031/3250 train_time:38.007s step_avg:18.71ms
step:2032/3250 train_time:39.156s step_avg:19.27ms
step:2033/3250 train_time:40.301s step_avg:19.82ms
step:2034/3250 train_time:41.449s step_avg:20.38ms
step:2035/3250 train_time:42.600s step_avg:20.93ms
step:2036/3250 train_time:43.748s step_avg:21.49ms
step:2037/3250 train_time:44.896s step_avg:22.04ms
step:2038/3250 train_time:46.043s step_avg:22.59ms
step:2039/3250 train_time:47.191s step_avg:23.14ms
step:2040/3250 train_time:48.342s step_avg:23.70ms
step:2041/3250 train_time:49.488s step_avg:24.25ms
step:2042/3250 train_time:50.639s step_avg:24.80ms
step:2043/3250 train_time:51.784s step_avg:25.35ms
step:2044/3250 train_time:52.933s step_avg:25.90ms
step:2045/3250 train_time:54.083s step_avg:26.45ms
step:2046/3250 train_time:55.229s step_avg:26.99ms
step:2047/3250 train_time:56.380s step_avg:27.54ms
step:2048/3250 train_time:57.529s step_avg:28.09ms
step:2049/3250 train_time:58.679s step_avg:28.64ms
step:2050/3250 train_time:59.883s step_avg:29.21ms
step:2051/3250 train_time:61.029s step_avg:29.76ms
step:2052/3250 train_time:62.181s step_avg:30.30ms
step:2053/3250 train_time:63.330s step_avg:30.85ms
step:2054/3250 train_time:64.482s step_avg:31.39ms
step:2055/3250 train_time:65.632s step_avg:31.94ms
step:2056/3250 train_time:66.783s step_avg:32.48ms
step:2057/3250 train_time:67.931s step_avg:33.02ms
step:2058/3250 train_time:69.085s step_avg:33.57ms
step:2059/3250 train_time:70.236s step_avg:34.11ms
step:2060/3250 train_time:71.387s step_avg:34.65ms
step:2061/3250 train_time:72.536s step_avg:35.19ms
step:2062/3250 train_time:73.684s step_avg:35.73ms
step:2063/3250 train_time:74.835s step_avg:36.27ms
step:2064/3250 train_time:75.984s step_avg:36.81ms
step:2065/3250 train_time:77.132s step_avg:37.35ms
step:2066/3250 train_time:78.283s step_avg:37.89ms
step:2067/3250 train_time:79.432s step_avg:38.43ms
step:2068/3250 train_time:80.582s step_avg:38.97ms
step:2069/3250 train_time:81.730s step_avg:39.50ms
step:2070/3250 train_time:82.880s step_avg:40.04ms
step:2071/3250 train_time:84.030s step_avg:40.57ms
step:2072/3250 train_time:85.182s step_avg:41.11ms
step:2073/3250 train_time:86.388s step_avg:41.67ms
step:2074/3250 train_time:87.539s step_avg:42.21ms
step:2075/3250 train_time:88.687s step_avg:42.74ms
step:2076/3250 train_time:89.835s step_avg:43.27ms
step:2077/3250 train_time:90.986s step_avg:43.81ms
step:2078/3250 train_time:92.136s step_avg:44.34ms
step:2079/3250 train_time:93.285s step_avg:44.87ms
step:2080/3250 train_time:94.435s step_avg:45.40ms
step:2081/3250 train_time:95.585s step_avg:45.93ms
step:2082/3250 train_time:96.737s step_avg:46.46ms
step:2083/3250 train_time:97.887s step_avg:46.99ms
step:2084/3250 train_time:99.037s step_avg:47.52ms
step:2085/3250 train_time:100.185s step_avg:48.05ms
step:2086/3250 train_time:101.335s step_avg:48.58ms
step:2087/3250 train_time:102.484s step_avg:49.11ms
step:2088/3250 train_time:103.635s step_avg:49.63ms
step:2089/3250 train_time:104.787s step_avg:50.16ms
step:2090/3250 train_time:105.936s step_avg:50.69ms
step:2091/3250 train_time:107.084s step_avg:51.21ms
step:2092/3250 train_time:108.233s step_avg:51.74ms
step:2093/3250 train_time:109.383s step_avg:52.26ms
step:2094/3250 train_time:110.533s step_avg:52.79ms
step:2095/3250 train_time:111.683s step_avg:53.31ms
step:2096/3250 train_time:112.888s step_avg:53.86ms
step:2097/3250 train_time:114.040s step_avg:54.38ms
step:2098/3250 train_time:115.189s step_avg:54.90ms
step:2099/3250 train_time:116.341s step_avg:55.43ms
step:2100/3250 train_time:117.489s step_avg:55.95ms
step:2101/3250 train_time:118.639s step_avg:56.47ms
step:2102/3250 train_time:119.788s step_avg:56.99ms
step:2103/3250 train_time:120.939s step_avg:57.51ms
step:2104/3250 train_time:122.090s step_avg:58.03ms
step:2105/3250 train_time:123.239s step_avg:58.55ms
step:2106/3250 train_time:124.386s step_avg:59.06ms
step:2107/3250 train_time:125.536s step_avg:59.58ms
step:2108/3250 train_time:126.685s step_avg:60.10ms
step:2109/3250 train_time:127.836s step_avg:60.61ms
step:2110/3250 train_time:128.985s step_avg:61.13ms
step:2111/3250 train_time:130.135s step_avg:61.65ms
step:2112/3250 train_time:131.282s step_avg:62.16ms
step:2113/3250 train_time:132.429s step_avg:62.67ms
step:2114/3250 train_time:133.583s step_avg:63.19ms
step:2115/3250 train_time:134.733s step_avg:63.70ms
step:2116/3250 train_time:135.885s step_avg:64.22ms
step:2117/3250 train_time:137.033s step_avg:64.73ms
step:2118/3250 train_time:138.186s step_avg:65.24ms
step:2119/3250 train_time:139.388s step_avg:65.78ms
step:2120/3250 train_time:140.544s step_avg:66.29ms
step:2121/3250 train_time:141.694s step_avg:66.81ms
step:2122/3250 train_time:142.844s step_avg:67.32ms
step:2123/3250 train_time:143.994s step_avg:67.83ms
step:2124/3250 train_time:145.144s step_avg:68.34ms
step:2125/3250 train_time:146.292s step_avg:68.84ms
step:2125/3250 val_loss:3.32293 train_time:146.304s step_avg:68.85ms
step:2126/3250 train_time:147.448s step_avg:69.35ms
step:2127/3250 train_time:148.600s step_avg:69.86ms
step:2128/3250 train_time:149.756s step_avg:70.37ms
step:2129/3250 train_time:150.902s step_avg:70.88ms
step:2130/3250 train_time:152.055s step_avg:71.39ms
step:2131/3250 train_time:153.203s step_avg:71.89ms
step:2132/3250 train_time:154.356s step_avg:72.40ms
step:2133/3250 train_time:155.504s step_avg:72.90ms
step:2134/3250 train_time:156.656s step_avg:73.41ms
step:2135/3250 train_time:157.804s step_avg:73.91ms
step:2136/3250 train_time:158.953s step_avg:74.42ms
step:2137/3250 train_time:160.103s step_avg:74.92ms
step:2138/3250 train_time:161.255s step_avg:75.42ms
step:2139/3250 train_time:162.405s step_avg:75.93ms
step:2140/3250 train_time:163.558s step_avg:76.43ms
step:2141/3250 train_time:164.707s step_avg:76.93ms
step:2142/3250 train_time:165.921s step_avg:77.46ms
step:2143/3250 train_time:167.072s step_avg:77.96ms
step:2144/3250 train_time:168.220s step_avg:78.46ms
step:2145/3250 train_time:169.370s step_avg:78.96ms
step:2146/3250 train_time:170.518s step_avg:79.46ms
step:2147/3250 train_time:171.667s step_avg:79.96ms
step:2148/3250 train_time:172.817s step_avg:80.45ms
step:2149/3250 train_time:173.967s step_avg:80.95ms
step:2150/3250 train_time:175.113s step_avg:81.45ms
step:2151/3250 train_time:176.261s step_avg:81.94ms
step:2152/3250 train_time:177.412s step_avg:82.44ms
step:2153/3250 train_time:178.561s step_avg:82.94ms
step:2154/3250 train_time:179.714s step_avg:83.43ms
step:2155/3250 train_time:180.861s step_avg:83.93ms
step:2156/3250 train_time:182.017s step_avg:84.42ms
step:2157/3250 train_time:183.166s step_avg:84.92ms
step:2158/3250 train_time:184.318s step_avg:85.41ms
step:2159/3250 train_time:185.468s step_avg:85.90ms
step:2160/3250 train_time:186.619s step_avg:86.40ms
step:2161/3250 train_time:187.768s step_avg:86.89ms
step:2162/3250 train_time:188.914s step_avg:87.38ms
step:2163/3250 train_time:190.062s step_avg:87.87ms
step:2164/3250 train_time:191.213s step_avg:88.36ms
step:2165/3250 train_time:192.421s step_avg:88.88ms
step:2166/3250 train_time:193.574s step_avg:89.37ms
step:2167/3250 train_time:194.720s step_avg:89.86ms
step:2168/3250 train_time:195.871s step_avg:90.35ms
step:2169/3250 train_time:197.019s step_avg:90.83ms
step:2170/3250 train_time:198.170s step_avg:91.32ms
step:2171/3250 train_time:199.317s step_avg:91.81ms
step:2172/3250 train_time:200.466s step_avg:92.30ms
step:2173/3250 train_time:201.616s step_avg:92.78ms
step:2174/3250 train_time:202.765s step_avg:93.27ms
step:2175/3250 train_time:203.916s step_avg:93.75ms
step:2176/3250 train_time:205.066s step_avg:94.24ms
step:2177/3250 train_time:206.219s step_avg:94.73ms
step:2178/3250 train_time:207.370s step_avg:95.21ms
step:2179/3250 train_time:208.518s step_avg:95.69ms
step:2180/3250 train_time:209.670s step_avg:96.18ms
step:2181/3250 train_time:210.819s step_avg:96.66ms
step:2182/3250 train_time:211.970s step_avg:97.14ms
step:2183/3250 train_time:213.121s step_avg:97.63ms
step:2184/3250 train_time:214.274s step_avg:98.11ms
step:2185/3250 train_time:215.421s step_avg:98.59ms
step:2186/3250 train_time:216.573s step_avg:99.07ms
step:2187/3250 train_time:217.721s step_avg:99.55ms
step:2188/3250 train_time:218.936s step_avg:100.06ms
step:2189/3250 train_time:220.082s step_avg:100.54ms
step:2190/3250 train_time:221.232s step_avg:101.02ms
step:2191/3250 train_time:222.382s step_avg:101.50ms
step:2192/3250 train_time:223.533s step_avg:101.98ms
step:2193/3250 train_time:224.683s step_avg:102.45ms
step:2194/3250 train_time:225.838s step_avg:102.93ms
step:2195/3250 train_time:226.987s step_avg:103.41ms
step:2196/3250 train_time:228.135s step_avg:103.89ms
step:2197/3250 train_time:229.284s step_avg:104.36ms
step:2198/3250 train_time:230.440s step_avg:104.84ms
step:2199/3250 train_time:231.589s step_avg:105.32ms
step:2200/3250 train_time:232.739s step_avg:105.79ms
step:2201/3250 train_time:233.888s step_avg:106.26ms
step:2202/3250 train_time:235.039s step_avg:106.74ms
step:2203/3250 train_time:236.189s step_avg:107.21ms
step:2204/3250 train_time:237.339s step_avg:107.69ms
step:2205/3250 train_time:238.487s step_avg:108.16ms
step:2206/3250 train_time:239.639s step_avg:108.63ms
step:2207/3250 train_time:240.789s step_avg:109.10ms
step:2208/3250 train_time:241.939s step_avg:109.57ms
step:2209/3250 train_time:243.089s step_avg:110.04ms
step:2210/3250 train_time:244.240s step_avg:110.52ms
step:2211/3250 train_time:245.458s step_avg:111.02ms
step:2212/3250 train_time:246.608s step_avg:111.49ms
step:2213/3250 train_time:247.760s step_avg:111.96ms
step:2214/3250 train_time:248.909s step_avg:112.43ms
step:2215/3250 train_time:250.060s step_avg:112.89ms
step:2216/3250 train_time:251.213s step_avg:113.36ms
step:2217/3250 train_time:252.362s step_avg:113.83ms
step:2218/3250 train_time:253.516s step_avg:114.30ms
step:2219/3250 train_time:254.665s step_avg:114.77ms
step:2220/3250 train_time:255.817s step_avg:115.23ms
step:2221/3250 train_time:256.968s step_avg:115.70ms
step:2222/3250 train_time:258.118s step_avg:116.16ms
step:2223/3250 train_time:259.268s step_avg:116.63ms
step:2224/3250 train_time:260.420s step_avg:117.10ms
step:2225/3250 train_time:261.572s step_avg:117.56ms
step:2226/3250 train_time:262.719s step_avg:118.02ms
step:2227/3250 train_time:263.869s step_avg:118.49ms
step:2228/3250 train_time:265.019s step_avg:118.95ms
step:2229/3250 train_time:266.173s step_avg:119.41ms
step:2230/3250 train_time:267.321s step_avg:119.87ms
step:2231/3250 train_time:268.474s step_avg:120.34ms
step:2232/3250 train_time:269.623s step_avg:120.80ms
step:2233/3250 train_time:270.775s step_avg:121.26ms
step:2234/3250 train_time:271.983s step_avg:121.75ms
step:2235/3250 train_time:273.136s step_avg:122.21ms
step:2236/3250 train_time:274.282s step_avg:122.67ms
step:2237/3250 train_time:275.436s step_avg:123.13ms
step:2238/3250 train_time:276.583s step_avg:123.59ms
step:2239/3250 train_time:277.736s step_avg:124.04ms
step:2240/3250 train_time:278.884s step_avg:124.50ms
step:2241/3250 train_time:280.033s step_avg:124.96ms
step:2242/3250 train_time:281.180s step_avg:125.41ms
step:2243/3250 train_time:282.330s step_avg:125.87ms
step:2244/3250 train_time:283.479s step_avg:126.33ms
step:2245/3250 train_time:284.628s step_avg:126.78ms
step:2246/3250 train_time:285.778s step_avg:127.24ms
step:2247/3250 train_time:286.929s step_avg:127.69ms
step:2248/3250 train_time:288.078s step_avg:128.15ms
step:2249/3250 train_time:289.230s step_avg:128.60ms
step:2250/3250 train_time:290.378s step_avg:129.06ms
step:2250/3250 val_loss:3.28710 train_time:290.390s step_avg:1152.69ms
step:2251/3250 train_time:291.528s step_avg:129.51ms
step:2252/3250 train_time:292.679s step_avg:129.96ms
step:2253/3250 train_time:293.829s step_avg:130.42ms
step:2254/3250 train_time:294.979s step_avg:130.87ms
step:2255/3250 train_time:296.129s step_avg:131.32ms
step:2256/3250 train_time:297.279s step_avg:131.77ms
step:2257/3250 train_time:298.494s step_avg:132.25ms
step:2258/3250 train_time:299.649s step_avg:132.71ms
step:2259/3250 train_time:300.800s step_avg:133.16ms
step:2260/3250 train_time:301.948s step_avg:133.61ms
step:2261/3250 train_time:303.098s step_avg:134.05ms
step:2262/3250 train_time:304.249s step_avg:134.50ms
step:2263/3250 train_time:305.399s step_avg:134.95ms
step:2264/3250 train_time:306.551s step_avg:135.40ms
step:2265/3250 train_time:307.704s step_avg:135.85ms
step:2266/3250 train_time:308.853s step_avg:136.30ms
step:2267/3250 train_time:310.005s step_avg:136.75ms
step:2268/3250 train_time:311.152s step_avg:137.19ms
step:2269/3250 train_time:312.304s step_avg:137.64ms
step:2270/3250 train_time:313.452s step_avg:138.08ms
step:2271/3250 train_time:314.604s step_avg:138.53ms
step:2272/3250 train_time:315.751s step_avg:138.97ms
step:2273/3250 train_time:316.903s step_avg:139.42ms
step:2274/3250 train_time:318.050s step_avg:139.86ms
step:2275/3250 train_time:319.202s step_avg:140.31ms
step:2276/3250 train_time:320.349s step_avg:140.75ms
step:2277/3250 train_time:321.499s step_avg:141.19ms
step:2278/3250 train_time:322.650s step_avg:141.64ms
step:2279/3250 train_time:323.804s step_avg:142.08ms
step:2280/3250 train_time:325.011s step_avg:142.55ms
step:2281/3250 train_time:326.163s step_avg:142.99ms
step:2282/3250 train_time:327.311s step_avg:143.43ms
step:2283/3250 train_time:328.464s step_avg:143.87ms
step:2284/3250 train_time:329.612s step_avg:144.31ms
step:2285/3250 train_time:330.764s step_avg:144.75ms
step:2286/3250 train_time:331.913s step_avg:145.19ms
