W0831 17:31:11.310000 10468 torch/distributed/run.py:852] 
W0831 17:31:11.310000 10468 torch/distributed/run.py:852] *****************************************
W0831 17:31:11.310000 10468 torch/distributed/run.py:852] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0831 17:31:11.310000 10468 torch/distributed/run.py:852] *****************************************
logs/b45b77c3-713b-4031-a8bd-778bbe44769d.txt
resumed training state from step 2000 in eos_shared_state, skipped 125 batches
step:0/3250 val_loss:3.44348 train_time:0.001s step_avg:nanms
step:2001/3250 train_time:4.757s step_avg:2.38ms
step:2002/3250 train_time:6.995s step_avg:3.49ms
step:2003/3250 train_time:9.254s step_avg:4.62ms
step:2004/3250 train_time:11.515s step_avg:5.75ms
step:2005/3250 train_time:13.776s step_avg:6.87ms
step:2006/3250 train_time:16.036s step_avg:7.99ms
step:2007/3250 train_time:18.297s step_avg:9.12ms
step:2008/3250 train_time:20.598s step_avg:10.26ms
step:2009/3250 train_time:22.857s step_avg:11.38ms
step:2010/3250 train_time:25.115s step_avg:12.50ms
step:2011/3250 train_time:27.378s step_avg:13.61ms
step:2012/3250 train_time:29.648s step_avg:14.74ms
step:2013/3250 train_time:31.916s step_avg:15.85ms
step:2014/3250 train_time:34.186s step_avg:16.97ms
step:2015/3250 train_time:36.456s step_avg:18.09ms
step:2016/3250 train_time:38.727s step_avg:19.21ms
step:2017/3250 train_time:41.003s step_avg:20.33ms
step:2018/3250 train_time:43.279s step_avg:21.45ms
step:2019/3250 train_time:45.597s step_avg:22.58ms
step:2020/3250 train_time:47.875s step_avg:23.70ms
step:2021/3250 train_time:50.151s step_avg:24.81ms
step:2022/3250 train_time:52.430s step_avg:25.93ms
step:2023/3250 train_time:54.710s step_avg:27.04ms
step:2024/3250 train_time:56.992s step_avg:28.16ms
step:2025/3250 train_time:59.273s step_avg:29.27ms
step:2026/3250 train_time:61.553s step_avg:30.38ms
step:2027/3250 train_time:63.832s step_avg:31.49ms
step:2028/3250 train_time:66.112s step_avg:32.60ms
step:2029/3250 train_time:68.391s step_avg:33.71ms
step:2030/3250 train_time:70.719s step_avg:34.84ms
step:2031/3250 train_time:72.999s step_avg:35.94ms
step:2032/3250 train_time:75.283s step_avg:37.05ms
step:2033/3250 train_time:77.565s step_avg:38.15ms
step:2034/3250 train_time:79.847s step_avg:39.26ms
step:2035/3250 train_time:82.132s step_avg:40.36ms
step:2036/3250 train_time:84.415s step_avg:41.46ms
step:2037/3250 train_time:86.694s step_avg:42.56ms
step:2038/3250 train_time:88.972s step_avg:43.66ms
step:2039/3250 train_time:91.256s step_avg:44.76ms
step:2040/3250 train_time:93.537s step_avg:45.85ms
step:2041/3250 train_time:95.860s step_avg:46.97ms
step:2042/3250 train_time:98.142s step_avg:48.06ms
step:2043/3250 train_time:100.429s step_avg:49.16ms
step:2044/3250 train_time:102.717s step_avg:50.25ms
step:2045/3250 train_time:105.005s step_avg:51.35ms
step:2046/3250 train_time:107.291s step_avg:52.44ms
step:2047/3250 train_time:109.576s step_avg:53.53ms
step:2048/3250 train_time:111.858s step_avg:54.62ms
step:2049/3250 train_time:114.142s step_avg:55.71ms
step:2050/3250 train_time:116.426s step_avg:56.79ms
step:2051/3250 train_time:118.712s step_avg:57.88ms
step:2052/3250 train_time:121.042s step_avg:58.99ms
step:2053/3250 train_time:123.325s step_avg:60.07ms
step:2054/3250 train_time:125.610s step_avg:61.15ms
step:2055/3250 train_time:127.895s step_avg:62.24ms
step:2056/3250 train_time:130.180s step_avg:63.32ms
step:2057/3250 train_time:132.462s step_avg:64.40ms
step:2058/3250 train_time:134.747s step_avg:65.47ms
step:2059/3250 train_time:137.034s step_avg:66.55ms
step:2060/3250 train_time:139.317s step_avg:67.63ms
step:2061/3250 train_time:141.604s step_avg:68.71ms
step:2062/3250 train_time:143.894s step_avg:69.78ms
step:2063/3250 train_time:146.234s step_avg:70.88ms
step:2064/3250 train_time:148.518s step_avg:71.96ms
step:2065/3250 train_time:150.802s step_avg:73.03ms
step:2066/3250 train_time:153.090s step_avg:74.10ms
step:2067/3250 train_time:155.378s step_avg:75.17ms
step:2068/3250 train_time:157.663s step_avg:76.24ms
step:2069/3250 train_time:159.952s step_avg:77.31ms
step:2070/3250 train_time:162.237s step_avg:78.38ms
step:2071/3250 train_time:164.522s step_avg:79.44ms
step:2072/3250 train_time:166.807s step_avg:80.51ms
step:2073/3250 train_time:169.094s step_avg:81.57ms
step:2074/3250 train_time:171.421s step_avg:82.65ms
step:2075/3250 train_time:173.705s step_avg:83.71ms
step:2076/3250 train_time:175.990s step_avg:84.77ms
step:2077/3250 train_time:178.274s step_avg:85.83ms
step:2078/3250 train_time:180.557s step_avg:86.89ms
step:2079/3250 train_time:182.838s step_avg:87.95ms
step:2080/3250 train_time:185.123s step_avg:89.00ms
step:2081/3250 train_time:187.408s step_avg:90.06ms
step:2082/3250 train_time:189.695s step_avg:91.11ms
step:2083/3250 train_time:191.978s step_avg:92.16ms
step:2084/3250 train_time:194.261s step_avg:93.22ms
step:2085/3250 train_time:196.583s step_avg:94.28ms
step:2086/3250 train_time:198.868s step_avg:95.33ms
step:2087/3250 train_time:201.153s step_avg:96.38ms
step:2088/3250 train_time:203.438s step_avg:97.43ms
step:2089/3250 train_time:205.721s step_avg:98.48ms
step:2090/3250 train_time:208.008s step_avg:99.53ms
step:2091/3250 train_time:210.297s step_avg:100.57ms
step:2092/3250 train_time:212.581s step_avg:101.62ms
step:2093/3250 train_time:214.870s step_avg:102.66ms
step:2094/3250 train_time:217.156s step_avg:103.70ms
step:2095/3250 train_time:219.440s step_avg:104.74ms
step:2096/3250 train_time:221.766s step_avg:105.80ms
step:2097/3250 train_time:224.049s step_avg:106.84ms
step:2098/3250 train_time:226.338s step_avg:107.88ms
step:2099/3250 train_time:228.623s step_avg:108.92ms
step:2100/3250 train_time:230.910s step_avg:109.96ms
step:2101/3250 train_time:233.197s step_avg:110.99ms
step:2102/3250 train_time:235.483s step_avg:112.03ms
step:2103/3250 train_time:237.770s step_avg:113.06ms
step:2104/3250 train_time:240.055s step_avg:114.09ms
step:2105/3250 train_time:242.339s step_avg:115.13ms
step:2106/3250 train_time:244.627s step_avg:116.16ms
step:2107/3250 train_time:246.962s step_avg:117.21ms
step:2108/3250 train_time:249.247s step_avg:118.24ms
step:2109/3250 train_time:251.533s step_avg:119.27ms
step:2110/3250 train_time:253.820s step_avg:120.29ms
step:2111/3250 train_time:256.107s step_avg:121.32ms
step:2112/3250 train_time:258.395s step_avg:122.35ms
step:2113/3250 train_time:260.686s step_avg:123.37ms
step:2114/3250 train_time:262.976s step_avg:124.40ms
step:2115/3250 train_time:265.260s step_avg:125.42ms
step:2116/3250 train_time:267.548s step_avg:126.44ms
step:2117/3250 train_time:269.836s step_avg:127.46ms
step:2118/3250 train_time:272.166s step_avg:128.50ms
step:2119/3250 train_time:274.453s step_avg:129.52ms
step:2120/3250 train_time:276.739s step_avg:130.54ms
step:2121/3250 train_time:279.028s step_avg:131.55ms
step:2122/3250 train_time:281.315s step_avg:132.57ms
step:2123/3250 train_time:283.601s step_avg:133.58ms
step:2124/3250 train_time:285.889s step_avg:134.60ms
step:2125/3250 train_time:288.177s step_avg:135.61ms
step:2125/3250 val_loss:3.29437 train_time:288.189s step_avg:135.62ms
step:2126/3250 train_time:290.467s step_avg:136.63ms
step:2127/3250 train_time:292.758s step_avg:137.64ms
step:2128/3250 train_time:295.044s step_avg:138.65ms
step:2129/3250 train_time:297.378s step_avg:139.68ms
step:2130/3250 train_time:299.665s step_avg:140.69ms
step:2131/3250 train_time:301.955s step_avg:141.70ms
step:2132/3250 train_time:304.244s step_avg:142.70ms
step:2133/3250 train_time:306.533s step_avg:143.71ms
step:2134/3250 train_time:308.819s step_avg:144.71ms
step:2135/3250 train_time:311.108s step_avg:145.72ms
step:2136/3250 train_time:313.394s step_avg:146.72ms
step:2137/3250 train_time:315.683s step_avg:147.72ms
step:2138/3250 train_time:317.973s step_avg:148.72ms
step:2139/3250 train_time:320.260s step_avg:149.72ms
step:2140/3250 train_time:322.599s step_avg:150.75ms
step:2141/3250 train_time:324.887s step_avg:151.75ms
step:2142/3250 train_time:327.172s step_avg:152.74ms
step:2143/3250 train_time:329.458s step_avg:153.74ms
step:2144/3250 train_time:331.745s step_avg:154.73ms
step:2145/3250 train_time:334.035s step_avg:155.73ms
step:2146/3250 train_time:336.323s step_avg:156.72ms
step:2147/3250 train_time:338.612s step_avg:157.71ms
step:2148/3250 train_time:340.899s step_avg:158.71ms
step:2149/3250 train_time:343.185s step_avg:159.70ms
step:2150/3250 train_time:345.473s step_avg:160.69ms
step:2151/3250 train_time:347.812s step_avg:161.70ms
step:2152/3250 train_time:350.098s step_avg:162.69ms
step:2153/3250 train_time:352.386s step_avg:163.67ms
step:2154/3250 train_time:354.675s step_avg:164.66ms
step:2155/3250 train_time:356.966s step_avg:165.65ms
step:2156/3250 train_time:359.253s step_avg:166.63ms
step:2157/3250 train_time:361.543s step_avg:167.61ms
step:2158/3250 train_time:363.832s step_avg:168.60ms
step:2159/3250 train_time:366.125s step_avg:169.58ms
step:2160/3250 train_time:368.415s step_avg:170.56ms
step:2161/3250 train_time:370.705s step_avg:171.54ms
step:2162/3250 train_time:373.043s step_avg:172.55ms
step:2163/3250 train_time:375.335s step_avg:173.53ms
step:2164/3250 train_time:377.627s step_avg:174.50ms
step:2165/3250 train_time:379.916s step_avg:175.48ms
step:2166/3250 train_time:382.207s step_avg:176.46ms
