W0831 17:46:46.895000 12200 torch/distributed/run.py:852] 
W0831 17:46:46.895000 12200 torch/distributed/run.py:852] *****************************************
W0831 17:46:46.895000 12200 torch/distributed/run.py:852] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0831 17:46:46.895000 12200 torch/distributed/run.py:852] *****************************************
logs/b741dfa3-a35c-4ce4-b4bb-fbdeda69233c.txt
resumed training state from step 2000 in eos_shared_state, skipped 125 batches
step:0/3250 val_loss:3.44428 train_time:0.001s step_avg:nanms
step:2001/3250 train_time:4.620s step_avg:2.31ms
step:2002/3250 train_time:6.882s step_avg:3.44ms
step:2003/3250 train_time:9.163s step_avg:4.57ms
step:2004/3250 train_time:11.446s step_avg:5.71ms
step:2005/3250 train_time:13.726s step_avg:6.85ms
step:2006/3250 train_time:16.009s step_avg:7.98ms
step:2007/3250 train_time:18.293s step_avg:9.11ms
step:2008/3250 train_time:20.613s step_avg:10.27ms
step:2009/3250 train_time:22.897s step_avg:11.40ms
step:2010/3250 train_time:25.185s step_avg:12.53ms
step:2011/3250 train_time:27.476s step_avg:13.66ms
step:2012/3250 train_time:29.770s step_avg:14.80ms
step:2013/3250 train_time:32.061s step_avg:15.93ms
step:2014/3250 train_time:34.355s step_avg:17.06ms
step:2015/3250 train_time:36.651s step_avg:18.19ms
step:2016/3250 train_time:38.945s step_avg:19.32ms
step:2017/3250 train_time:41.243s step_avg:20.45ms
step:2018/3250 train_time:43.533s step_avg:21.57ms
step:2019/3250 train_time:45.853s step_avg:22.71ms
step:2020/3250 train_time:48.136s step_avg:23.83ms
step:2021/3250 train_time:50.425s step_avg:24.95ms
step:2022/3250 train_time:52.712s step_avg:26.07ms
step:2023/3250 train_time:54.996s step_avg:27.19ms
step:2024/3250 train_time:57.284s step_avg:28.30ms
step:2025/3250 train_time:59.568s step_avg:29.42ms
step:2026/3250 train_time:61.856s step_avg:30.53ms
step:2027/3250 train_time:64.143s step_avg:31.64ms
step:2028/3250 train_time:66.428s step_avg:32.76ms
step:2029/3250 train_time:68.713s step_avg:33.87ms
step:2030/3250 train_time:71.039s step_avg:34.99ms
step:2031/3250 train_time:73.328s step_avg:36.10ms
step:2032/3250 train_time:75.617s step_avg:37.21ms
step:2033/3250 train_time:77.907s step_avg:38.32ms
step:2034/3250 train_time:80.194s step_avg:39.43ms
step:2035/3250 train_time:82.483s step_avg:40.53ms
step:2036/3250 train_time:84.775s step_avg:41.64ms
step:2037/3250 train_time:87.062s step_avg:42.74ms
step:2038/3250 train_time:89.358s step_avg:43.85ms
step:2039/3250 train_time:91.652s step_avg:44.95ms
step:2040/3250 train_time:93.939s step_avg:46.05ms
step:2041/3250 train_time:96.262s step_avg:47.16ms
step:2042/3250 train_time:98.550s step_avg:48.26ms
step:2043/3250 train_time:100.839s step_avg:49.36ms
step:2044/3250 train_time:103.128s step_avg:50.45ms
step:2045/3250 train_time:105.418s step_avg:51.55ms
step:2046/3250 train_time:107.713s step_avg:52.65ms
step:2047/3250 train_time:110.003s step_avg:53.74ms
step:2048/3250 train_time:112.293s step_avg:54.83ms
step:2049/3250 train_time:114.584s step_avg:55.92ms
step:2050/3250 train_time:116.871s step_avg:57.01ms
step:2051/3250 train_time:119.158s step_avg:58.10ms
step:2052/3250 train_time:121.501s step_avg:59.21ms
step:2053/3250 train_time:123.786s step_avg:60.30ms
step:2054/3250 train_time:126.071s step_avg:61.38ms
step:2055/3250 train_time:128.357s step_avg:62.46ms
step:2056/3250 train_time:130.645s step_avg:63.54ms
step:2057/3250 train_time:132.932s step_avg:64.62ms
step:2058/3250 train_time:135.218s step_avg:65.70ms
step:2059/3250 train_time:137.511s step_avg:66.79ms
step:2060/3250 train_time:139.800s step_avg:67.86ms
step:2061/3250 train_time:142.091s step_avg:68.94ms
step:2062/3250 train_time:144.381s step_avg:70.02ms
step:2063/3250 train_time:146.718s step_avg:71.12ms
step:2064/3250 train_time:149.014s step_avg:72.20ms
step:2065/3250 train_time:151.303s step_avg:73.27ms
step:2066/3250 train_time:153.599s step_avg:74.35ms
step:2067/3250 train_time:155.888s step_avg:75.42ms
step:2068/3250 train_time:158.174s step_avg:76.49ms
step:2069/3250 train_time:160.463s step_avg:77.56ms
step:2070/3250 train_time:162.752s step_avg:78.62ms
step:2071/3250 train_time:165.038s step_avg:79.69ms
step:2072/3250 train_time:167.328s step_avg:80.76ms
step:2073/3250 train_time:169.619s step_avg:81.82ms
step:2074/3250 train_time:171.951s step_avg:82.91ms
step:2075/3250 train_time:174.240s step_avg:83.97ms
step:2076/3250 train_time:176.530s step_avg:85.03ms
step:2077/3250 train_time:178.818s step_avg:86.09ms
step:2078/3250 train_time:181.111s step_avg:87.16ms
step:2079/3250 train_time:183.400s step_avg:88.22ms
step:2080/3250 train_time:185.688s step_avg:89.27ms
step:2081/3250 train_time:187.978s step_avg:90.33ms
step:2082/3250 train_time:190.267s step_avg:91.39ms
step:2083/3250 train_time:192.557s step_avg:92.44ms
step:2084/3250 train_time:194.847s step_avg:93.50ms
step:2085/3250 train_time:197.177s step_avg:94.57ms
step:2086/3250 train_time:199.466s step_avg:95.62ms
step:2087/3250 train_time:201.757s step_avg:96.67ms
step:2088/3250 train_time:204.046s step_avg:97.72ms
step:2089/3250 train_time:206.338s step_avg:98.77ms
step:2090/3250 train_time:208.630s step_avg:99.82ms
step:2091/3250 train_time:210.920s step_avg:100.87ms
step:2092/3250 train_time:213.213s step_avg:101.92ms
step:2093/3250 train_time:215.501s step_avg:102.96ms
step:2094/3250 train_time:217.791s step_avg:104.01ms
step:2095/3250 train_time:220.079s step_avg:105.05ms
step:2096/3250 train_time:222.406s step_avg:106.11ms
step:2097/3250 train_time:224.700s step_avg:107.15ms
step:2098/3250 train_time:226.991s step_avg:108.19ms
step:2099/3250 train_time:229.284s step_avg:109.23ms
step:2100/3250 train_time:231.573s step_avg:110.27ms
step:2101/3250 train_time:233.867s step_avg:111.31ms
step:2102/3250 train_time:236.159s step_avg:112.35ms
step:2103/3250 train_time:238.458s step_avg:113.39ms
step:2104/3250 train_time:240.758s step_avg:114.43ms
step:2105/3250 train_time:243.054s step_avg:115.47ms
step:2106/3250 train_time:245.345s step_avg:116.50ms
step:2107/3250 train_time:247.682s step_avg:117.55ms
step:2108/3250 train_time:249.978s step_avg:118.59ms
step:2109/3250 train_time:252.274s step_avg:119.62ms
step:2110/3250 train_time:254.568s step_avg:120.65ms
step:2111/3250 train_time:256.867s step_avg:121.68ms
step:2112/3250 train_time:259.164s step_avg:122.71ms
step:2113/3250 train_time:261.459s step_avg:123.74ms
step:2114/3250 train_time:263.758s step_avg:124.77ms
step:2115/3250 train_time:266.058s step_avg:125.80ms
step:2116/3250 train_time:268.358s step_avg:126.82ms
step:2117/3250 train_time:270.661s step_avg:127.85ms
step:2118/3250 train_time:273.002s step_avg:128.90ms
step:2119/3250 train_time:275.304s step_avg:129.92ms
step:2120/3250 train_time:277.601s step_avg:130.94ms
step:2121/3250 train_time:279.897s step_avg:131.96ms
step:2122/3250 train_time:282.199s step_avg:132.99ms
step:2123/3250 train_time:284.495s step_avg:134.01ms
step:2124/3250 train_time:286.790s step_avg:135.02ms
step:2125/3250 train_time:289.083s step_avg:136.04ms
step:2125/3250 val_loss:3.29647 train_time:289.095s step_avg:136.04ms
step:2126/3250 train_time:291.382s step_avg:137.06ms
step:2127/3250 train_time:293.679s step_avg:138.07ms
step:2128/3250 train_time:295.973s step_avg:139.09ms
step:2129/3250 train_time:298.306s step_avg:140.12ms
step:2130/3250 train_time:300.598s step_avg:141.13ms
step:2131/3250 train_time:302.885s step_avg:142.13ms
step:2132/3250 train_time:305.177s step_avg:143.14ms
step:2133/3250 train_time:307.465s step_avg:144.15ms
step:2134/3250 train_time:309.755s step_avg:145.15ms
step:2135/3250 train_time:312.048s step_avg:146.16ms
step:2136/3250 train_time:314.345s step_avg:147.17ms
step:2137/3250 train_time:316.647s step_avg:148.17ms
step:2138/3250 train_time:318.943s step_avg:149.18ms
step:2139/3250 train_time:321.235s step_avg:150.18ms
step:2140/3250 train_time:323.566s step_avg:151.20ms
step:2141/3250 train_time:325.859s step_avg:152.20ms
step:2142/3250 train_time:328.147s step_avg:153.20ms
step:2143/3250 train_time:330.446s step_avg:154.20ms
step:2144/3250 train_time:332.741s step_avg:155.20ms
step:2145/3250 train_time:335.031s step_avg:156.19ms
step:2146/3250 train_time:337.327s step_avg:157.19ms
step:2147/3250 train_time:339.624s step_avg:158.19ms
step:2148/3250 train_time:341.915s step_avg:159.18ms
step:2149/3250 train_time:344.201s step_avg:160.17ms
step:2150/3250 train_time:346.488s step_avg:161.16ms
step:2151/3250 train_time:348.820s step_avg:162.17ms
step:2152/3250 train_time:351.109s step_avg:163.15ms
step:2153/3250 train_time:353.403s step_avg:164.14ms
step:2154/3250 train_time:355.693s step_avg:165.13ms
step:2155/3250 train_time:357.988s step_avg:166.12ms
step:2156/3250 train_time:360.284s step_avg:167.11ms
step:2157/3250 train_time:362.577s step_avg:168.09ms
step:2158/3250 train_time:364.866s step_avg:169.08ms
step:2159/3250 train_time:367.160s step_avg:170.06ms
step:2160/3250 train_time:369.451s step_avg:171.04ms
step:2161/3250 train_time:371.744s step_avg:172.02ms
step:2162/3250 train_time:374.074s step_avg:173.02ms
step:2163/3250 train_time:376.366s step_avg:174.00ms
step:2164/3250 train_time:378.657s step_avg:174.98ms
step:2165/3250 train_time:380.947s step_avg:175.96ms
step:2166/3250 train_time:383.240s step_avg:176.93ms
step:2167/3250 train_time:385.531s step_avg:177.91ms
step:2168/3250 train_time:387.826s step_avg:178.89ms
step:2169/3250 train_time:390.119s step_avg:179.86ms
step:2170/3250 train_time:392.410s step_avg:180.83ms
step:2171/3250 train_time:394.704s step_avg:181.81ms
step:2172/3250 train_time:396.998s step_avg:182.78ms
step:2173/3250 train_time:399.327s step_avg:183.77ms
step:2174/3250 train_time:401.626s step_avg:184.74ms
step:2175/3250 train_time:403.920s step_avg:185.71ms
step:2176/3250 train_time:406.207s step_avg:186.68ms
step:2177/3250 train_time:408.495s step_avg:187.64ms
step:2178/3250 train_time:410.787s step_avg:188.61ms
step:2179/3250 train_time:413.080s step_avg:189.57ms
step:2180/3250 train_time:415.370s step_avg:190.54ms
step:2181/3250 train_time:417.669s step_avg:191.50ms
step:2182/3250 train_time:419.962s step_avg:192.47ms
step:2183/3250 train_time:422.258s step_avg:193.43ms
step:2184/3250 train_time:424.589s step_avg:194.41ms
step:2185/3250 train_time:426.891s step_avg:195.37ms
step:2186/3250 train_time:429.189s step_avg:196.34ms
step:2187/3250 train_time:431.487s step_avg:197.30ms
step:2188/3250 train_time:433.786s step_avg:198.26ms
step:2189/3250 train_time:436.081s step_avg:199.21ms
step:2190/3250 train_time:438.368s step_avg:200.17ms
step:2191/3250 train_time:440.657s step_avg:201.12ms
step:2192/3250 train_time:442.947s step_avg:202.07ms
step:2193/3250 train_time:445.239s step_avg:203.03ms
step:2194/3250 train_time:447.527s step_avg:203.98ms
step:2195/3250 train_time:449.852s step_avg:204.94ms
step:2196/3250 train_time:452.141s step_avg:205.89ms
step:2197/3250 train_time:454.430s step_avg:206.84ms
step:2198/3250 train_time:456.726s step_avg:207.79ms
step:2199/3250 train_time:459.019s step_avg:208.74ms
step:2200/3250 train_time:461.308s step_avg:209.69ms
step:2201/3250 train_time:463.599s step_avg:210.63ms
step:2202/3250 train_time:465.882s step_avg:211.57ms
step:2203/3250 train_time:468.168s step_avg:212.51ms
step:2204/3250 train_time:470.457s step_avg:213.46ms
step:2205/3250 train_time:472.748s step_avg:214.40ms
step:2206/3250 train_time:475.084s step_avg:215.36ms
step:2207/3250 train_time:477.373s step_avg:216.30ms
step:2208/3250 train_time:479.667s step_avg:217.24ms
step:2209/3250 train_time:481.959s step_avg:218.18ms
step:2210/3250 train_time:484.254s step_avg:219.12ms
step:2211/3250 train_time:486.547s step_avg:220.06ms
step:2212/3250 train_time:488.845s step_avg:221.00ms
step:2213/3250 train_time:491.139s step_avg:221.93ms
step:2214/3250 train_time:493.428s step_avg:222.87ms
step:2215/3250 train_time:495.725s step_avg:223.80ms
step:2216/3250 train_time:498.021s step_avg:224.74ms
step:2217/3250 train_time:500.347s step_avg:225.69ms
step:2218/3250 train_time:502.643s step_avg:226.62ms
step:2219/3250 train_time:504.936s step_avg:227.55ms
step:2220/3250 train_time:507.226s step_avg:228.48ms
step:2221/3250 train_time:509.518s step_avg:229.41ms
step:2222/3250 train_time:511.810s step_avg:230.34ms
step:2223/3250 train_time:514.102s step_avg:231.26ms
step:2224/3250 train_time:516.393s step_avg:232.19ms
step:2225/3250 train_time:518.689s step_avg:233.12ms
step:2226/3250 train_time:520.987s step_avg:234.05ms
step:2227/3250 train_time:523.280s step_avg:234.97ms
step:2228/3250 train_time:525.610s step_avg:235.91ms
step:2229/3250 train_time:527.904s step_avg:236.83ms
step:2230/3250 train_time:530.197s step_avg:237.76ms
step:2231/3250 train_time:532.484s step_avg:238.67ms
step:2232/3250 train_time:534.772s step_avg:239.59ms
step:2233/3250 train_time:537.065s step_avg:240.51ms
step:2234/3250 train_time:539.357s step_avg:241.43ms
step:2235/3250 train_time:541.649s step_avg:242.35ms
step:2236/3250 train_time:543.947s step_avg:243.27ms
step:2237/3250 train_time:546.240s step_avg:244.18ms
step:2238/3250 train_time:548.530s step_avg:245.10ms
step:2239/3250 train_time:550.863s step_avg:246.03ms
step:2240/3250 train_time:553.157s step_avg:246.95ms
step:2241/3250 train_time:555.452s step_avg:247.86ms
step:2242/3250 train_time:557.748s step_avg:248.77ms
step:2243/3250 train_time:560.044s step_avg:249.69ms
step:2244/3250 train_time:562.336s step_avg:250.60ms
step:2245/3250 train_time:564.631s step_avg:251.51ms
step:2246/3250 train_time:566.927s step_avg:252.42ms
step:2247/3250 train_time:569.228s step_avg:253.33ms
step:2248/3250 train_time:571.518s step_avg:254.23ms
step:2249/3250 train_time:573.809s step_avg:255.14ms
step:2250/3250 train_time:576.141s step_avg:256.06ms
step:2250/3250 val_loss:3.25651 train_time:576.153s step_avg:2296.47ms
step:2251/3250 train_time:578.439s step_avg:256.97ms
step:2252/3250 train_time:580.735s step_avg:257.88ms
step:2253/3250 train_time:583.029s step_avg:258.78ms
step:2254/3250 train_time:585.323s step_avg:259.68ms
step:2255/3250 train_time:587.620s step_avg:260.59ms
step:2256/3250 train_time:589.912s step_avg:261.49ms
step:2257/3250 train_time:592.201s step_avg:262.38ms
step:2258/3250 train_time:594.494s step_avg:263.28ms
step:2259/3250 train_time:596.786s step_avg:264.18ms
step:2260/3250 train_time:599.078s step_avg:265.08ms
step:2261/3250 train_time:601.414s step_avg:265.99ms
step:2262/3250 train_time:603.705s step_avg:266.89ms
step:2263/3250 train_time:606.001s step_avg:267.79ms
step:2264/3250 train_time:608.300s step_avg:268.68ms
step:2265/3250 train_time:610.592s step_avg:269.58ms
step:2266/3250 train_time:612.884s step_avg:270.47ms
step:2267/3250 train_time:615.172s step_avg:271.36ms
step:2268/3250 train_time:617.463s step_avg:272.25ms
step:2269/3250 train_time:619.758s step_avg:273.14ms
step:2270/3250 train_time:622.055s step_avg:274.03ms
step:2271/3250 train_time:624.344s step_avg:274.92ms
step:2272/3250 train_time:626.674s step_avg:275.82ms
step:2273/3250 train_time:628.963s step_avg:276.71ms
step:2274/3250 train_time:631.251s step_avg:277.60ms
step:2275/3250 train_time:633.543s step_avg:278.48ms
step:2276/3250 train_time:635.836s step_avg:279.37ms
step:2277/3250 train_time:638.131s step_avg:280.25ms
step:2278/3250 train_time:640.420s step_avg:281.13ms
step:2279/3250 train_time:642.715s step_avg:282.02ms
step:2280/3250 train_time:645.006s step_avg:282.90ms
step:2281/3250 train_time:647.293s step_avg:283.78ms
step:2282/3250 train_time:649.583s step_avg:284.66ms
step:2283/3250 train_time:651.917s step_avg:285.55ms
step:2284/3250 train_time:654.208s step_avg:286.43ms
step:2285/3250 train_time:656.501s step_avg:287.31ms
step:2286/3250 train_time:658.799s step_avg:288.19ms
step:2287/3250 train_time:661.096s step_avg:289.07ms
step:2288/3250 train_time:663.389s step_avg:289.94ms
step:2289/3250 train_time:665.678s step_avg:290.82ms
step:2290/3250 train_time:667.970s step_avg:291.69ms
step:2291/3250 train_time:670.258s step_avg:292.56ms
step:2292/3250 train_time:672.555s step_avg:293.44ms
step:2293/3250 train_time:674.846s step_avg:294.31ms
step:2294/3250 train_time:677.174s step_avg:295.19ms
step:2295/3250 train_time:679.464s step_avg:296.06ms
step:2296/3250 train_time:681.756s step_avg:296.93ms
step:2297/3250 train_time:684.048s step_avg:297.80ms
step:2298/3250 train_time:686.341s step_avg:298.67ms
step:2299/3250 train_time:688.638s step_avg:299.54ms
step:2300/3250 train_time:690.936s step_avg:300.41ms
step:2301/3250 train_time:693.230s step_avg:301.27ms
step:2302/3250 train_time:695.522s step_avg:302.14ms
step:2303/3250 train_time:697.816s step_avg:303.00ms
step:2304/3250 train_time:700.106s step_avg:303.87ms
step:2305/3250 train_time:702.438s step_avg:304.75ms
step:2306/3250 train_time:704.740s step_avg:305.61ms
step:2307/3250 train_time:707.040s step_avg:306.48ms
step:2308/3250 train_time:709.339s step_avg:307.34ms
step:2309/3250 train_time:711.634s step_avg:308.20ms
step:2310/3250 train_time:713.931s step_avg:309.06ms
step:2311/3250 train_time:716.220s step_avg:309.92ms
step:2312/3250 train_time:718.519s step_avg:310.78ms
step:2313/3250 train_time:720.815s step_avg:311.64ms
step:2314/3250 train_time:723.106s step_avg:312.49ms
step:2315/3250 train_time:725.399s step_avg:313.35ms
step:2316/3250 train_time:727.737s step_avg:314.22ms
step:2317/3250 train_time:730.035s step_avg:315.08ms
step:2318/3250 train_time:732.332s step_avg:315.93ms
step:2319/3250 train_time:734.624s step_avg:316.78ms
step:2320/3250 train_time:736.918s step_avg:317.64ms
step:2321/3250 train_time:739.211s step_avg:318.49ms
step:2322/3250 train_time:741.500s step_avg:319.34ms
step:2323/3250 train_time:743.791s step_avg:320.19ms
step:2324/3250 train_time:746.078s step_avg:321.03ms
step:2325/3250 train_time:748.371s step_avg:321.88ms
step:2326/3250 train_time:750.661s step_avg:322.73ms
step:2327/3250 train_time:752.994s step_avg:323.59ms
step:2328/3250 train_time:755.286s step_avg:324.44ms
