W0831 17:27:36.606000 11107 torch/distributed/run.py:852] 
W0831 17:27:36.606000 11107 torch/distributed/run.py:852] *****************************************
W0831 17:27:36.606000 11107 torch/distributed/run.py:852] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0831 17:27:36.606000 11107 torch/distributed/run.py:852] *****************************************
logs/df39e35b-41d3-422c-97bb-f2b409859aae.txt
resumed training state from step 2000 in eos_shared_state, skipped 250 batches
step:0/3250 val_loss:3.44428 train_time:0.001s step_avg:nanms
step:2001/3250 train_time:3.572s step_avg:1.79ms
step:2002/3250 train_time:4.714s step_avg:2.35ms
step:2003/3250 train_time:5.871s step_avg:2.93ms
step:2004/3250 train_time:7.061s step_avg:3.52ms
step:2005/3250 train_time:8.212s step_avg:4.10ms
step:2006/3250 train_time:9.366s step_avg:4.67ms
step:2007/3250 train_time:10.510s step_avg:5.24ms
step:2008/3250 train_time:11.657s step_avg:5.81ms
step:2009/3250 train_time:12.801s step_avg:6.37ms
step:2010/3250 train_time:13.947s step_avg:6.94ms
step:2011/3250 train_time:15.091s step_avg:7.50ms
step:2012/3250 train_time:16.239s step_avg:8.07ms
step:2013/3250 train_time:17.383s step_avg:8.64ms
step:2014/3250 train_time:18.529s step_avg:9.20ms
step:2015/3250 train_time:19.675s step_avg:9.76ms
step:2016/3250 train_time:20.825s step_avg:10.33ms
step:2017/3250 train_time:21.972s step_avg:10.89ms
step:2018/3250 train_time:23.125s step_avg:11.46ms
step:2019/3250 train_time:24.274s step_avg:12.02ms
step:2020/3250 train_time:25.427s step_avg:12.59ms
step:2021/3250 train_time:26.575s step_avg:13.15ms
step:2022/3250 train_time:27.722s step_avg:13.71ms
step:2023/3250 train_time:28.876s step_avg:14.27ms
step:2024/3250 train_time:30.026s step_avg:14.84ms
step:2025/3250 train_time:31.176s step_avg:15.40ms
step:2026/3250 train_time:32.332s step_avg:15.96ms
step:2027/3250 train_time:33.524s step_avg:16.54ms
step:2028/3250 train_time:34.674s step_avg:17.10ms
step:2029/3250 train_time:35.827s step_avg:17.66ms
step:2030/3250 train_time:36.973s step_avg:18.21ms
step:2031/3250 train_time:38.126s step_avg:18.77ms
step:2032/3250 train_time:39.272s step_avg:19.33ms
step:2033/3250 train_time:40.426s step_avg:19.88ms
step:2034/3250 train_time:41.574s step_avg:20.44ms
step:2035/3250 train_time:42.725s step_avg:20.99ms
step:2036/3250 train_time:43.873s step_avg:21.55ms
step:2037/3250 train_time:45.024s step_avg:22.10ms
step:2038/3250 train_time:46.174s step_avg:22.66ms
step:2039/3250 train_time:47.324s step_avg:23.21ms
step:2040/3250 train_time:48.474s step_avg:23.76ms
step:2041/3250 train_time:49.627s step_avg:24.32ms
step:2042/3250 train_time:50.776s step_avg:24.87ms
step:2043/3250 train_time:51.930s step_avg:25.42ms
step:2044/3250 train_time:53.078s step_avg:25.97ms
step:2045/3250 train_time:54.230s step_avg:26.52ms
step:2046/3250 train_time:55.380s step_avg:27.07ms
step:2047/3250 train_time:56.532s step_avg:27.62ms
step:2048/3250 train_time:57.686s step_avg:28.17ms
step:2049/3250 train_time:58.835s step_avg:28.71ms
step:2050/3250 train_time:60.026s step_avg:29.28ms
step:2051/3250 train_time:61.173s step_avg:29.83ms
step:2052/3250 train_time:62.327s step_avg:30.37ms
step:2053/3250 train_time:63.475s step_avg:30.92ms
step:2054/3250 train_time:64.625s step_avg:31.46ms
step:2055/3250 train_time:65.773s step_avg:32.01ms
step:2056/3250 train_time:66.925s step_avg:32.55ms
step:2057/3250 train_time:68.074s step_avg:33.09ms
step:2058/3250 train_time:69.227s step_avg:33.64ms
step:2059/3250 train_time:70.377s step_avg:34.18ms
step:2060/3250 train_time:71.530s step_avg:34.72ms
step:2061/3250 train_time:72.681s step_avg:35.26ms
step:2062/3250 train_time:73.834s step_avg:35.81ms
step:2063/3250 train_time:74.984s step_avg:36.35ms
step:2064/3250 train_time:76.133s step_avg:36.89ms
step:2065/3250 train_time:77.283s step_avg:37.43ms
step:2066/3250 train_time:78.433s step_avg:37.96ms
step:2067/3250 train_time:79.584s step_avg:38.50ms
step:2068/3250 train_time:80.734s step_avg:39.04ms
step:2069/3250 train_time:81.886s step_avg:39.58ms
step:2070/3250 train_time:83.035s step_avg:40.11ms
step:2071/3250 train_time:84.187s step_avg:40.65ms
step:2072/3250 train_time:85.331s step_avg:41.18ms
step:2073/3250 train_time:86.522s step_avg:41.74ms
step:2074/3250 train_time:87.673s step_avg:42.27ms
step:2075/3250 train_time:88.825s step_avg:42.81ms
step:2076/3250 train_time:89.973s step_avg:43.34ms
step:2077/3250 train_time:91.125s step_avg:43.87ms
step:2078/3250 train_time:92.272s step_avg:44.40ms
step:2079/3250 train_time:93.427s step_avg:44.94ms
step:2080/3250 train_time:94.575s step_avg:45.47ms
step:2081/3250 train_time:95.727s step_avg:46.00ms
step:2082/3250 train_time:96.873s step_avg:46.53ms
step:2083/3250 train_time:98.025s step_avg:47.06ms
step:2084/3250 train_time:99.173s step_avg:47.59ms
step:2085/3250 train_time:100.326s step_avg:48.12ms
step:2086/3250 train_time:101.474s step_avg:48.65ms
step:2087/3250 train_time:102.628s step_avg:49.17ms
step:2088/3250 train_time:103.777s step_avg:49.70ms
step:2089/3250 train_time:104.932s step_avg:50.23ms
step:2090/3250 train_time:106.084s step_avg:50.76ms
step:2091/3250 train_time:107.235s step_avg:51.28ms
step:2092/3250 train_time:108.386s step_avg:51.81ms
step:2093/3250 train_time:109.535s step_avg:52.33ms
step:2094/3250 train_time:110.686s step_avg:52.86ms
step:2095/3250 train_time:111.832s step_avg:53.38ms
step:2096/3250 train_time:113.025s step_avg:53.92ms
step:2097/3250 train_time:114.172s step_avg:54.45ms
step:2098/3250 train_time:115.327s step_avg:54.97ms
step:2099/3250 train_time:116.475s step_avg:55.49ms
step:2100/3250 train_time:117.627s step_avg:56.01ms
step:2101/3250 train_time:118.778s step_avg:56.53ms
step:2102/3250 train_time:119.932s step_avg:57.06ms
step:2103/3250 train_time:121.081s step_avg:57.58ms
step:2104/3250 train_time:122.232s step_avg:58.10ms
step:2105/3250 train_time:123.389s step_avg:58.62ms
step:2106/3250 train_time:124.539s step_avg:59.14ms
step:2107/3250 train_time:125.693s step_avg:59.65ms
step:2108/3250 train_time:126.843s step_avg:60.17ms
step:2109/3250 train_time:127.994s step_avg:60.69ms
step:2110/3250 train_time:129.146s step_avg:61.21ms
step:2111/3250 train_time:130.295s step_avg:61.72ms
step:2112/3250 train_time:131.446s step_avg:62.24ms
step:2113/3250 train_time:132.595s step_avg:62.75ms
step:2114/3250 train_time:133.747s step_avg:63.27ms
step:2115/3250 train_time:134.895s step_avg:63.78ms
step:2116/3250 train_time:136.048s step_avg:64.29ms
step:2117/3250 train_time:137.199s step_avg:64.81ms
step:2118/3250 train_time:138.347s step_avg:65.32ms
step:2119/3250 train_time:139.533s step_avg:65.85ms
step:2120/3250 train_time:140.686s step_avg:66.36ms
step:2121/3250 train_time:141.834s step_avg:66.87ms
step:2122/3250 train_time:142.985s step_avg:67.38ms
step:2123/3250 train_time:144.134s step_avg:67.89ms
step:2124/3250 train_time:145.287s step_avg:68.40ms
step:2125/3250 train_time:146.435s step_avg:68.91ms
step:2125/3250 val_loss:3.32346 train_time:146.447s step_avg:68.92ms
step:2126/3250 train_time:147.589s step_avg:69.42ms
step:2127/3250 train_time:148.741s step_avg:69.93ms
step:2128/3250 train_time:149.895s step_avg:70.44ms
step:2129/3250 train_time:151.045s step_avg:70.95ms
step:2130/3250 train_time:152.199s step_avg:71.46ms
step:2131/3250 train_time:153.351s step_avg:71.96ms
step:2132/3250 train_time:154.502s step_avg:72.47ms
step:2133/3250 train_time:155.656s step_avg:72.98ms
step:2134/3250 train_time:156.807s step_avg:73.48ms
step:2135/3250 train_time:157.958s step_avg:73.99ms
step:2136/3250 train_time:159.109s step_avg:74.49ms
step:2137/3250 train_time:160.260s step_avg:74.99ms
step:2138/3250 train_time:161.411s step_avg:75.50ms
step:2139/3250 train_time:162.562s step_avg:76.00ms
step:2140/3250 train_time:163.713s step_avg:76.50ms
step:2141/3250 train_time:164.863s step_avg:77.00ms
step:2142/3250 train_time:166.060s step_avg:77.53ms
step:2143/3250 train_time:167.210s step_avg:78.03ms
step:2144/3250 train_time:168.362s step_avg:78.53ms
step:2145/3250 train_time:169.514s step_avg:79.03ms
step:2146/3250 train_time:170.663s step_avg:79.53ms
step:2147/3250 train_time:171.814s step_avg:80.03ms
step:2148/3250 train_time:172.963s step_avg:80.52ms
step:2149/3250 train_time:174.113s step_avg:81.02ms
step:2150/3250 train_time:175.261s step_avg:81.52ms
step:2151/3250 train_time:176.413s step_avg:82.01ms
step:2152/3250 train_time:177.562s step_avg:82.51ms
step:2153/3250 train_time:178.715s step_avg:83.01ms
step:2154/3250 train_time:179.863s step_avg:83.50ms
step:2155/3250 train_time:181.013s step_avg:84.00ms
step:2156/3250 train_time:182.163s step_avg:84.49ms
step:2157/3250 train_time:183.317s step_avg:84.99ms
step:2158/3250 train_time:184.465s step_avg:85.48ms
step:2159/3250 train_time:185.620s step_avg:85.97ms
step:2160/3250 train_time:186.769s step_avg:86.47ms
step:2161/3250 train_time:187.922s step_avg:86.96ms
step:2162/3250 train_time:189.073s step_avg:87.45ms
step:2163/3250 train_time:190.224s step_avg:87.94ms
step:2164/3250 train_time:191.376s step_avg:88.44ms
step:2165/3250 train_time:192.568s step_avg:88.95ms
step:2166/3250 train_time:193.718s step_avg:89.44ms
step:2167/3250 train_time:194.869s step_avg:89.93ms
step:2168/3250 train_time:196.021s step_avg:90.42ms
step:2169/3250 train_time:197.174s step_avg:90.91ms
step:2170/3250 train_time:198.324s step_avg:91.39ms
step:2171/3250 train_time:199.474s step_avg:91.88ms
step:2172/3250 train_time:200.623s step_avg:92.37ms
step:2173/3250 train_time:201.774s step_avg:92.86ms
step:2174/3250 train_time:202.923s step_avg:93.34ms
step:2175/3250 train_time:204.072s step_avg:93.83ms
step:2176/3250 train_time:205.223s step_avg:94.31ms
step:2177/3250 train_time:206.375s step_avg:94.80ms
step:2178/3250 train_time:207.525s step_avg:95.28ms
step:2179/3250 train_time:208.676s step_avg:95.77ms
step:2180/3250 train_time:209.827s step_avg:96.25ms
step:2181/3250 train_time:210.979s step_avg:96.74ms
step:2182/3250 train_time:212.130s step_avg:97.22ms
step:2183/3250 train_time:213.280s step_avg:97.70ms
step:2184/3250 train_time:214.433s step_avg:98.18ms
step:2185/3250 train_time:215.582s step_avg:98.66ms
step:2186/3250 train_time:216.735s step_avg:99.15ms
step:2187/3250 train_time:217.883s step_avg:99.63ms
step:2188/3250 train_time:219.073s step_avg:100.12ms
step:2189/3250 train_time:220.224s step_avg:100.60ms
step:2190/3250 train_time:221.376s step_avg:101.08ms
step:2191/3250 train_time:222.524s step_avg:101.56ms
step:2192/3250 train_time:223.676s step_avg:102.04ms
step:2193/3250 train_time:224.824s step_avg:102.52ms
step:2194/3250 train_time:225.976s step_avg:103.00ms
step:2195/3250 train_time:227.126s step_avg:103.47ms
step:2196/3250 train_time:228.274s step_avg:103.95ms
step:2197/3250 train_time:229.425s step_avg:104.43ms
step:2198/3250 train_time:230.575s step_avg:104.90ms
step:2199/3250 train_time:231.725s step_avg:105.38ms
step:2200/3250 train_time:232.880s step_avg:105.85ms
step:2201/3250 train_time:234.032s step_avg:106.33ms
step:2202/3250 train_time:235.183s step_avg:106.80ms
step:2203/3250 train_time:236.335s step_avg:107.28ms
step:2204/3250 train_time:237.483s step_avg:107.75ms
step:2205/3250 train_time:238.636s step_avg:108.22ms
step:2206/3250 train_time:239.783s step_avg:108.70ms
step:2207/3250 train_time:240.936s step_avg:109.17ms
step:2208/3250 train_time:242.086s step_avg:109.64ms
step:2209/3250 train_time:243.240s step_avg:110.11ms
step:2210/3250 train_time:244.393s step_avg:110.59ms
step:2211/3250 train_time:245.583s step_avg:111.07ms
step:2212/3250 train_time:246.736s step_avg:111.54ms
step:2213/3250 train_time:247.884s step_avg:112.01ms
step:2214/3250 train_time:249.040s step_avg:112.48ms
step:2215/3250 train_time:250.191s step_avg:112.95ms
step:2216/3250 train_time:251.342s step_avg:113.42ms
step:2217/3250 train_time:252.497s step_avg:113.89ms
step:2218/3250 train_time:253.648s step_avg:114.36ms
step:2219/3250 train_time:254.801s step_avg:114.83ms
step:2220/3250 train_time:255.952s step_avg:115.29ms
step:2221/3250 train_time:257.103s step_avg:115.76ms
step:2222/3250 train_time:258.258s step_avg:116.23ms
step:2223/3250 train_time:259.406s step_avg:116.69ms
step:2224/3250 train_time:260.560s step_avg:117.16ms
step:2225/3250 train_time:261.713s step_avg:117.62ms
step:2226/3250 train_time:262.863s step_avg:118.09ms
step:2227/3250 train_time:264.016s step_avg:118.55ms
step:2228/3250 train_time:265.165s step_avg:119.01ms
step:2229/3250 train_time:266.317s step_avg:119.48ms
step:2230/3250 train_time:267.466s step_avg:119.94ms
step:2231/3250 train_time:268.620s step_avg:120.40ms
step:2232/3250 train_time:269.770s step_avg:120.86ms
step:2233/3250 train_time:270.921s step_avg:121.33ms
step:2234/3250 train_time:272.111s step_avg:121.80ms
step:2235/3250 train_time:273.264s step_avg:122.27ms
step:2236/3250 train_time:274.416s step_avg:122.73ms
step:2237/3250 train_time:275.563s step_avg:123.18ms
step:2238/3250 train_time:276.717s step_avg:123.64ms
step:2239/3250 train_time:277.867s step_avg:124.10ms
step:2240/3250 train_time:279.020s step_avg:124.56ms
step:2241/3250 train_time:280.169s step_avg:125.02ms
step:2242/3250 train_time:281.318s step_avg:125.48ms
step:2243/3250 train_time:282.469s step_avg:125.93ms
step:2244/3250 train_time:283.622s step_avg:126.39ms
step:2245/3250 train_time:284.771s step_avg:126.85ms
step:2246/3250 train_time:285.921s step_avg:127.30ms
step:2247/3250 train_time:287.071s step_avg:127.76ms
step:2248/3250 train_time:288.219s step_avg:128.21ms
step:2249/3250 train_time:289.369s step_avg:128.67ms
step:2250/3250 train_time:290.518s step_avg:129.12ms
step:2250/3250 val_loss:3.28720 train_time:290.530s step_avg:1152.66ms
step:2251/3250 train_time:291.674s step_avg:129.58ms
step:2252/3250 train_time:292.828s step_avg:130.03ms
step:2253/3250 train_time:293.977s step_avg:130.48ms
step:2254/3250 train_time:295.129s step_avg:130.94ms
step:2255/3250 train_time:296.279s step_avg:131.39ms
step:2256/3250 train_time:297.432s step_avg:131.84ms
step:2257/3250 train_time:298.630s step_avg:132.31ms
step:2258/3250 train_time:299.780s step_avg:132.76ms
step:2259/3250 train_time:300.931s step_avg:133.21ms
step:2260/3250 train_time:302.085s step_avg:133.67ms
step:2261/3250 train_time:303.237s step_avg:134.12ms
step:2262/3250 train_time:304.394s step_avg:134.57ms
step:2263/3250 train_time:305.545s step_avg:135.02ms
step:2264/3250 train_time:306.694s step_avg:135.47ms
step:2265/3250 train_time:307.847s step_avg:135.91ms
step:2266/3250 train_time:308.995s step_avg:136.36ms
step:2267/3250 train_time:310.147s step_avg:136.81ms
step:2268/3250 train_time:311.295s step_avg:137.26ms
step:2269/3250 train_time:312.449s step_avg:137.70ms
step:2270/3250 train_time:313.599s step_avg:138.15ms
step:2271/3250 train_time:314.751s step_avg:138.60ms
step:2272/3250 train_time:315.905s step_avg:139.04ms
step:2273/3250 train_time:317.058s step_avg:139.49ms
step:2274/3250 train_time:318.218s step_avg:139.94ms
step:2275/3250 train_time:319.375s step_avg:140.38ms
step:2276/3250 train_time:320.533s step_avg:140.83ms
step:2277/3250 train_time:321.685s step_avg:141.28ms
step:2278/3250 train_time:322.836s step_avg:141.72ms
