W0902 23:22:55.766000 37224 torch/distributed/run.py:852] 
W0902 23:22:55.766000 37224 torch/distributed/run.py:852] *****************************************
W0902 23:22:55.766000 37224 torch/distributed/run.py:852] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0902 23:22:55.766000 37224 torch/distributed/run.py:852] *****************************************
logs/e3bfdc6c-4115-40d1-add9-e4fae9dbdb27.txt
resumed training state from step 1000 in eos_shared_state, skipped 4000 batches
step:0/3250 val_loss:3.65171 train_time:0.001s step_avg:nanms
step:1001/3250 train_time:0.501s step_avg:0.50ms
step:1002/3250 train_time:0.619s step_avg:0.62ms
step:1003/3250 train_time:0.741s step_avg:0.74ms
step:1004/3250 train_time:0.863s step_avg:0.86ms
step:1005/3250 train_time:0.985s step_avg:0.98ms
step:1006/3250 train_time:1.107s step_avg:1.10ms
step:1007/3250 train_time:1.230s step_avg:1.22ms
step:1008/3250 train_time:1.352s step_avg:1.34ms
step:1009/3250 train_time:1.474s step_avg:1.46ms
step:1010/3250 train_time:1.596s step_avg:1.58ms
step:1011/3250 train_time:1.718s step_avg:1.70ms
step:1012/3250 train_time:1.840s step_avg:1.82ms
step:1013/3250 train_time:1.962s step_avg:1.94ms
step:1014/3250 train_time:2.084s step_avg:2.06ms
step:1015/3250 train_time:2.207s step_avg:2.17ms
step:1016/3250 train_time:2.329s step_avg:2.29ms
step:1017/3250 train_time:2.451s step_avg:2.41ms
step:1018/3250 train_time:2.573s step_avg:2.53ms
step:1019/3250 train_time:2.695s step_avg:2.64ms
step:1020/3250 train_time:2.817s step_avg:2.76ms
step:1021/3250 train_time:2.940s step_avg:2.88ms
step:1022/3250 train_time:3.062s step_avg:3.00ms
step:1023/3250 train_time:3.184s step_avg:3.11ms
step:1024/3250 train_time:3.306s step_avg:3.23ms
step:1025/3250 train_time:3.428s step_avg:3.34ms
step:1026/3250 train_time:3.550s step_avg:3.46ms
step:1027/3250 train_time:3.672s step_avg:3.58ms
step:1028/3250 train_time:3.794s step_avg:3.69ms
step:1029/3250 train_time:3.916s step_avg:3.81ms
step:1030/3250 train_time:4.038s step_avg:3.92ms
step:1031/3250 train_time:4.161s step_avg:4.04ms
step:1032/3250 train_time:4.283s step_avg:4.15ms
step:1033/3250 train_time:4.405s step_avg:4.26ms
step:1034/3250 train_time:4.527s step_avg:4.38ms
step:1035/3250 train_time:4.649s step_avg:4.49ms
step:1036/3250 train_time:4.771s step_avg:4.61ms
step:1037/3250 train_time:4.893s step_avg:4.72ms
step:1038/3250 train_time:5.015s step_avg:4.83ms
step:1039/3250 train_time:5.137s step_avg:4.94ms
step:1040/3250 train_time:5.260s step_avg:5.06ms
step:1041/3250 train_time:5.382s step_avg:5.17ms
step:1042/3250 train_time:5.504s step_avg:5.28ms
step:1043/3250 train_time:5.626s step_avg:5.39ms
step:1044/3250 train_time:5.748s step_avg:5.51ms
step:1045/3250 train_time:5.870s step_avg:5.62ms
step:1046/3250 train_time:5.993s step_avg:5.73ms
step:1047/3250 train_time:6.114s step_avg:5.84ms
step:1048/3250 train_time:6.237s step_avg:5.95ms
step:1049/3250 train_time:6.359s step_avg:6.06ms
step:1050/3250 train_time:6.481s step_avg:6.17ms
step:1051/3250 train_time:6.603s step_avg:6.28ms
step:1052/3250 train_time:6.725s step_avg:6.39ms
step:1053/3250 train_time:6.847s step_avg:6.50ms
step:1054/3250 train_time:6.969s step_avg:6.61ms
step:1055/3250 train_time:7.092s step_avg:6.72ms
step:1056/3250 train_time:7.214s step_avg:6.83ms
step:1057/3250 train_time:7.336s step_avg:6.94ms
step:1058/3250 train_time:7.458s step_avg:7.05ms
step:1059/3250 train_time:7.580s step_avg:7.16ms
step:1060/3250 train_time:7.702s step_avg:7.27ms
step:1061/3250 train_time:7.824s step_avg:7.37ms
step:1062/3250 train_time:7.946s step_avg:7.48ms
step:1063/3250 train_time:8.069s step_avg:7.59ms
step:1064/3250 train_time:8.191s step_avg:7.70ms
step:1065/3250 train_time:8.313s step_avg:7.81ms
step:1066/3250 train_time:8.435s step_avg:7.91ms
step:1067/3250 train_time:8.557s step_avg:8.02ms
step:1068/3250 train_time:8.679s step_avg:8.13ms
step:1069/3250 train_time:8.801s step_avg:8.23ms
step:1070/3250 train_time:8.923s step_avg:8.34ms
step:1071/3250 train_time:9.045s step_avg:8.45ms
step:1072/3250 train_time:9.168s step_avg:8.55ms
step:1073/3250 train_time:9.290s step_avg:8.66ms
step:1074/3250 train_time:9.412s step_avg:8.76ms
step:1075/3250 train_time:9.534s step_avg:8.87ms
step:1076/3250 train_time:9.656s step_avg:8.97ms
step:1077/3250 train_time:9.778s step_avg:9.08ms
step:1078/3250 train_time:9.901s step_avg:9.18ms
step:1079/3250 train_time:10.023s step_avg:9.29ms
step:1080/3250 train_time:10.145s step_avg:9.39ms
step:1081/3250 train_time:10.267s step_avg:9.50ms
step:1082/3250 train_time:10.389s step_avg:9.60ms
step:1083/3250 train_time:10.511s step_avg:9.71ms
step:1084/3250 train_time:10.633s step_avg:9.81ms
step:1085/3250 train_time:10.755s step_avg:9.91ms
step:1086/3250 train_time:10.878s step_avg:10.02ms
step:1087/3250 train_time:11.000s step_avg:10.12ms
step:1088/3250 train_time:11.122s step_avg:10.22ms
step:1089/3250 train_time:11.244s step_avg:10.33ms
step:1090/3250 train_time:11.366s step_avg:10.43ms
step:1091/3250 train_time:11.488s step_avg:10.53ms
step:1092/3250 train_time:11.610s step_avg:10.63ms
step:1093/3250 train_time:11.733s step_avg:10.73ms
step:1094/3250 train_time:11.855s step_avg:10.84ms
step:1095/3250 train_time:11.977s step_avg:10.94ms
step:1096/3250 train_time:12.099s step_avg:11.04ms
step:1097/3250 train_time:12.222s step_avg:11.14ms
step:1098/3250 train_time:12.343s step_avg:11.24ms
step:1099/3250 train_time:12.465s step_avg:11.34ms
step:1100/3250 train_time:12.587s step_avg:11.44ms
step:1101/3250 train_time:12.710s step_avg:11.54ms
step:1102/3250 train_time:12.832s step_avg:11.64ms
step:1103/3250 train_time:12.954s step_avg:11.74ms
step:1104/3250 train_time:13.076s step_avg:11.84ms
step:1105/3250 train_time:13.198s step_avg:11.94ms
step:1106/3250 train_time:13.320s step_avg:12.04ms
step:1107/3250 train_time:13.442s step_avg:12.14ms
step:1108/3250 train_time:13.564s step_avg:12.24ms
step:1109/3250 train_time:13.687s step_avg:12.34ms
step:1110/3250 train_time:13.809s step_avg:12.44ms
step:1111/3250 train_time:13.931s step_avg:12.54ms
step:1112/3250 train_time:14.053s step_avg:12.64ms
step:1113/3250 train_time:14.175s step_avg:12.74ms
step:1114/3250 train_time:14.297s step_avg:12.83ms
step:1115/3250 train_time:14.419s step_avg:12.93ms
step:1116/3250 train_time:14.541s step_avg:13.03ms
step:1117/3250 train_time:14.664s step_avg:13.13ms
step:1118/3250 train_time:14.786s step_avg:13.23ms
step:1119/3250 train_time:14.908s step_avg:13.32ms
step:1120/3250 train_time:15.030s step_avg:13.42ms
