W0902 23:30:44.186000 37823 torch/distributed/run.py:852] 
W0902 23:30:44.186000 37823 torch/distributed/run.py:852] *****************************************
W0902 23:30:44.186000 37823 torch/distributed/run.py:852] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0902 23:30:44.186000 37823 torch/distributed/run.py:852] *****************************************
logs/2bb5dea7-5734-4b33-bf23-72d26d19290b.txt
resumed training state from step 1000 in eos_shared_state, skipped 4000 batches
step:0/3250 val_loss:3.65171 train_time:0.001s step_avg:nanms
step:1001/3250 train_time:0.358s step_avg:0.36ms
step:1002/3250 train_time:0.476s step_avg:0.47ms
step:1003/3250 train_time:0.598s step_avg:0.60ms
step:1004/3250 train_time:0.720s step_avg:0.72ms
step:1005/3250 train_time:0.843s step_avg:0.84ms
step:1006/3250 train_time:0.966s step_avg:0.96ms
step:1007/3250 train_time:1.088s step_avg:1.08ms
step:1008/3250 train_time:1.211s step_avg:1.20ms
step:1009/3250 train_time:1.333s step_avg:1.32ms
step:1010/3250 train_time:1.456s step_avg:1.44ms
step:1011/3250 train_time:1.578s step_avg:1.56ms
step:1012/3250 train_time:1.701s step_avg:1.68ms
step:1013/3250 train_time:1.824s step_avg:1.80ms
step:1014/3250 train_time:1.946s step_avg:1.92ms
step:1015/3250 train_time:2.068s step_avg:2.04ms
step:1016/3250 train_time:2.191s step_avg:2.16ms
step:1017/3250 train_time:2.313s step_avg:2.27ms
step:1018/3250 train_time:2.436s step_avg:2.39ms
step:1019/3250 train_time:2.558s step_avg:2.51ms
step:1020/3250 train_time:2.681s step_avg:2.63ms
step:1021/3250 train_time:2.803s step_avg:2.75ms
step:1022/3250 train_time:2.926s step_avg:2.86ms
step:1023/3250 train_time:3.048s step_avg:2.98ms
step:1024/3250 train_time:3.171s step_avg:3.10ms
step:1025/3250 train_time:3.293s step_avg:3.21ms
step:1026/3250 train_time:3.416s step_avg:3.33ms
step:1027/3250 train_time:3.539s step_avg:3.45ms
step:1028/3250 train_time:3.661s step_avg:3.56ms
step:1029/3250 train_time:3.784s step_avg:3.68ms
step:1030/3250 train_time:3.906s step_avg:3.79ms
step:1031/3250 train_time:4.029s step_avg:3.91ms
step:1032/3250 train_time:4.151s step_avg:4.02ms
step:1033/3250 train_time:4.274s step_avg:4.14ms
step:1034/3250 train_time:4.396s step_avg:4.25ms
step:1035/3250 train_time:4.519s step_avg:4.37ms
step:1036/3250 train_time:4.641s step_avg:4.48ms
step:1037/3250 train_time:4.764s step_avg:4.59ms
step:1038/3250 train_time:4.886s step_avg:4.71ms
step:1039/3250 train_time:5.009s step_avg:4.82ms
step:1040/3250 train_time:5.132s step_avg:4.93ms
step:1041/3250 train_time:5.254s step_avg:5.05ms
step:1042/3250 train_time:5.376s step_avg:5.16ms
step:1043/3250 train_time:5.499s step_avg:5.27ms
step:1044/3250 train_time:5.621s step_avg:5.38ms
step:1045/3250 train_time:5.744s step_avg:5.50ms
step:1046/3250 train_time:5.866s step_avg:5.61ms
step:1047/3250 train_time:5.989s step_avg:5.72ms
step:1048/3250 train_time:6.111s step_avg:5.83ms
step:1049/3250 train_time:6.234s step_avg:5.94ms
step:1050/3250 train_time:6.357s step_avg:6.05ms
step:1051/3250 train_time:6.479s step_avg:6.16ms
step:1052/3250 train_time:6.602s step_avg:6.28ms
step:1053/3250 train_time:6.724s step_avg:6.39ms
step:1054/3250 train_time:6.847s step_avg:6.50ms
step:1055/3250 train_time:6.969s step_avg:6.61ms
step:1056/3250 train_time:7.092s step_avg:6.72ms
step:1057/3250 train_time:7.214s step_avg:6.83ms
step:1058/3250 train_time:7.337s step_avg:6.93ms
step:1059/3250 train_time:7.459s step_avg:7.04ms
step:1060/3250 train_time:7.582s step_avg:7.15ms
step:1061/3250 train_time:7.705s step_avg:7.26ms
step:1062/3250 train_time:7.827s step_avg:7.37ms
step:1063/3250 train_time:7.950s step_avg:7.48ms
step:1064/3250 train_time:8.072s step_avg:7.59ms
step:1065/3250 train_time:8.195s step_avg:7.69ms
step:1066/3250 train_time:8.317s step_avg:7.80ms
step:1067/3250 train_time:8.440s step_avg:7.91ms
step:1068/3250 train_time:8.562s step_avg:8.02ms
