W0902 23:38:31.683000 38450 torch/distributed/run.py:852] 
W0902 23:38:31.683000 38450 torch/distributed/run.py:852] *****************************************
W0902 23:38:31.683000 38450 torch/distributed/run.py:852] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0902 23:38:31.683000 38450 torch/distributed/run.py:852] *****************************************
logs/092ecc2b-bb8d-41fa-9cb8-b6337b7a5671.txt
resumed training state from step 1000 in eos_shared_state, skipped 4000 batches
step:0/3250 val_loss:3.65171 train_time:0.001s step_avg:nanms
step:1001/3250 train_time:0.368s step_avg:0.37ms
step:1002/3250 train_time:0.501s step_avg:0.50ms
step:1003/3250 train_time:0.633s step_avg:0.63ms
step:1004/3250 train_time:0.764s step_avg:0.76ms
step:1005/3250 train_time:0.895s step_avg:0.89ms
step:1006/3250 train_time:1.027s step_avg:1.02ms
step:1007/3250 train_time:1.160s step_avg:1.15ms
step:1008/3250 train_time:1.293s step_avg:1.28ms
step:1009/3250 train_time:1.427s step_avg:1.41ms
step:1010/3250 train_time:1.559s step_avg:1.54ms
step:1011/3250 train_time:1.693s step_avg:1.67ms
step:1012/3250 train_time:1.830s step_avg:1.81ms
step:1013/3250 train_time:1.961s step_avg:1.94ms
step:1014/3250 train_time:2.093s step_avg:2.06ms
step:1015/3250 train_time:2.228s step_avg:2.19ms
step:1016/3250 train_time:2.361s step_avg:2.32ms
step:1017/3250 train_time:2.500s step_avg:2.46ms
step:1018/3250 train_time:2.635s step_avg:2.59ms
step:1019/3250 train_time:2.767s step_avg:2.72ms
step:1020/3250 train_time:2.899s step_avg:2.84ms
step:1021/3250 train_time:3.032s step_avg:2.97ms
step:1022/3250 train_time:3.164s step_avg:3.10ms
step:1023/3250 train_time:3.297s step_avg:3.22ms
step:1024/3250 train_time:3.429s step_avg:3.35ms
step:1025/3250 train_time:3.561s step_avg:3.47ms
step:1026/3250 train_time:3.695s step_avg:3.60ms
step:1027/3250 train_time:3.828s step_avg:3.73ms
step:1028/3250 train_time:3.962s step_avg:3.85ms
step:1029/3250 train_time:4.094s step_avg:3.98ms
step:1030/3250 train_time:4.228s step_avg:4.10ms
step:1031/3250 train_time:4.362s step_avg:4.23ms
step:1032/3250 train_time:4.498s step_avg:4.36ms
step:1033/3250 train_time:4.635s step_avg:4.49ms
step:1034/3250 train_time:4.768s step_avg:4.61ms
step:1035/3250 train_time:4.901s step_avg:4.74ms
step:1036/3250 train_time:5.033s step_avg:4.86ms
step:1037/3250 train_time:5.169s step_avg:4.98ms
step:1038/3250 train_time:5.301s step_avg:5.11ms
step:1039/3250 train_time:5.432s step_avg:5.23ms
