W0902 23:46:43.189000 39036 torch/distributed/run.py:852] 
W0902 23:46:43.189000 39036 torch/distributed/run.py:852] *****************************************
W0902 23:46:43.189000 39036 torch/distributed/run.py:852] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0902 23:46:43.189000 39036 torch/distributed/run.py:852] *****************************************
logs/4b0363bd-b5db-4238-8bd2-aa272a712006.txt
resumed training state from step 1000 in eos_shared_state, skipped 4000 batches
step:0/3250 val_loss:3.65171 train_time:0.001s step_avg:nanms
step:1001/3250 train_time:0.348s step_avg:0.35ms
step:1002/3250 train_time:0.481s step_avg:0.48ms
step:1003/3250 train_time:0.613s step_avg:0.61ms
step:1004/3250 train_time:0.745s step_avg:0.74ms
step:1005/3250 train_time:0.877s step_avg:0.87ms
step:1006/3250 train_time:1.009s step_avg:1.00ms
step:1007/3250 train_time:1.142s step_avg:1.13ms
step:1008/3250 train_time:1.273s step_avg:1.26ms
step:1009/3250 train_time:1.406s step_avg:1.39ms
step:1010/3250 train_time:1.537s step_avg:1.52ms
step:1011/3250 train_time:1.670s step_avg:1.65ms
step:1012/3250 train_time:1.802s step_avg:1.78ms
step:1013/3250 train_time:1.935s step_avg:1.91ms
step:1014/3250 train_time:2.067s step_avg:2.04ms
step:1015/3250 train_time:2.200s step_avg:2.17ms
step:1016/3250 train_time:2.334s step_avg:2.30ms
step:1017/3250 train_time:2.465s step_avg:2.42ms
step:1018/3250 train_time:2.597s step_avg:2.55ms
step:1019/3250 train_time:2.729s step_avg:2.68ms
step:1020/3250 train_time:2.860s step_avg:2.80ms
step:1021/3250 train_time:2.992s step_avg:2.93ms
step:1022/3250 train_time:3.123s step_avg:3.06ms
step:1023/3250 train_time:3.255s step_avg:3.18ms
step:1024/3250 train_time:3.387s step_avg:3.31ms
step:1025/3250 train_time:3.518s step_avg:3.43ms
step:1026/3250 train_time:3.650s step_avg:3.56ms
step:1027/3250 train_time:3.782s step_avg:3.68ms
step:1028/3250 train_time:3.918s step_avg:3.81ms
step:1029/3250 train_time:4.051s step_avg:3.94ms
step:1030/3250 train_time:4.183s step_avg:4.06ms
step:1031/3250 train_time:4.315s step_avg:4.18ms
step:1032/3250 train_time:4.446s step_avg:4.31ms
step:1033/3250 train_time:4.578s step_avg:4.43ms
step:1034/3250 train_time:4.710s step_avg:4.55ms
step:1035/3250 train_time:4.841s step_avg:4.68ms
step:1036/3250 train_time:4.974s step_avg:4.80ms
step:1037/3250 train_time:5.106s step_avg:4.92ms
step:1038/3250 train_time:5.237s step_avg:5.05ms
step:1039/3250 train_time:5.369s step_avg:5.17ms
step:1040/3250 train_time:5.500s step_avg:5.29ms
step:1041/3250 train_time:5.632s step_avg:5.41ms
step:1042/3250 train_time:5.764s step_avg:5.53ms
step:1043/3250 train_time:5.896s step_avg:5.65ms
step:1044/3250 train_time:6.031s step_avg:5.78ms
step:1045/3250 train_time:6.165s step_avg:5.90ms
step:1046/3250 train_time:6.297s step_avg:6.02ms
step:1047/3250 train_time:6.428s step_avg:6.14ms
step:1048/3250 train_time:6.560s step_avg:6.26ms
step:1049/3250 train_time:6.691s step_avg:6.38ms
step:1050/3250 train_time:6.823s step_avg:6.50ms
step:1051/3250 train_time:6.955s step_avg:6.62ms
step:1052/3250 train_time:7.086s step_avg:6.74ms
step:1053/3250 train_time:7.218s step_avg:6.85ms
step:1054/3250 train_time:7.350s step_avg:6.97ms
step:1055/3250 train_time:7.482s step_avg:7.09ms
step:1056/3250 train_time:7.614s step_avg:7.21ms
step:1057/3250 train_time:7.745s step_avg:7.33ms
step:1058/3250 train_time:7.878s step_avg:7.45ms
step:1059/3250 train_time:8.010s step_avg:7.56ms
step:1060/3250 train_time:8.141s step_avg:7.68ms
step:1061/3250 train_time:8.274s step_avg:7.80ms
step:1062/3250 train_time:8.406s step_avg:7.91ms
step:1063/3250 train_time:8.537s step_avg:8.03ms
step:1064/3250 train_time:8.668s step_avg:8.15ms
step:1065/3250 train_time:8.801s step_avg:8.26ms
step:1066/3250 train_time:8.932s step_avg:8.38ms
step:1067/3250 train_time:9.063s step_avg:8.49ms
step:1068/3250 train_time:9.196s step_avg:8.61ms
step:1069/3250 train_time:9.327s step_avg:8.73ms
step:1070/3250 train_time:9.462s step_avg:8.84ms
step:1071/3250 train_time:9.595s step_avg:8.96ms
step:1072/3250 train_time:9.726s step_avg:9.07ms
step:1073/3250 train_time:9.857s step_avg:9.19ms
step:1074/3250 train_time:9.988s step_avg:9.30ms
step:1075/3250 train_time:10.119s step_avg:9.41ms
step:1076/3250 train_time:10.251s step_avg:9.53ms
step:1077/3250 train_time:10.383s step_avg:9.64ms
step:1078/3250 train_time:10.516s step_avg:9.75ms
step:1079/3250 train_time:10.649s step_avg:9.87ms
step:1080/3250 train_time:10.780s step_avg:9.98ms
step:1081/3250 train_time:10.914s step_avg:10.10ms
step:1082/3250 train_time:11.045s step_avg:10.21ms
step:1083/3250 train_time:11.177s step_avg:10.32ms
step:1084/3250 train_time:11.309s step_avg:10.43ms
step:1085/3250 train_time:11.441s step_avg:10.54ms
step:1086/3250 train_time:11.573s step_avg:10.66ms
step:1087/3250 train_time:11.704s step_avg:10.77ms
step:1088/3250 train_time:11.836s step_avg:10.88ms
step:1089/3250 train_time:11.968s step_avg:10.99ms
step:1090/3250 train_time:12.100s step_avg:11.10ms
step:1091/3250 train_time:12.233s step_avg:11.21ms
step:1092/3250 train_time:12.365s step_avg:11.32ms
step:1093/3250 train_time:12.496s step_avg:11.43ms
step:1094/3250 train_time:12.629s step_avg:11.54ms
step:1095/3250 train_time:12.760s step_avg:11.65ms
step:1096/3250 train_time:12.891s step_avg:11.76ms
step:1097/3250 train_time:13.024s step_avg:11.87ms
step:1098/3250 train_time:13.156s step_avg:11.98ms
step:1099/3250 train_time:13.288s step_avg:12.09ms
step:1100/3250 train_time:13.420s step_avg:12.20ms
step:1101/3250 train_time:13.551s step_avg:12.31ms
step:1102/3250 train_time:13.682s step_avg:12.42ms
step:1103/3250 train_time:13.815s step_avg:12.52ms
step:1104/3250 train_time:13.945s step_avg:12.63ms
step:1105/3250 train_time:14.076s step_avg:12.74ms
step:1106/3250 train_time:14.207s step_avg:12.85ms
step:1107/3250 train_time:14.340s step_avg:12.95ms
step:1108/3250 train_time:14.471s step_avg:13.06ms
step:1109/3250 train_time:14.602s step_avg:13.17ms
step:1110/3250 train_time:14.734s step_avg:13.27ms
step:1111/3250 train_time:14.866s step_avg:13.38ms
step:1112/3250 train_time:14.997s step_avg:13.49ms
step:1113/3250 train_time:15.129s step_avg:13.59ms
step:1114/3250 train_time:15.261s step_avg:13.70ms
step:1115/3250 train_time:15.393s step_avg:13.81ms
step:1116/3250 train_time:15.523s step_avg:13.91ms
step:1117/3250 train_time:15.655s step_avg:14.02ms
step:1118/3250 train_time:15.786s step_avg:14.12ms
step:1119/3250 train_time:15.917s step_avg:14.22ms
step:1120/3250 train_time:16.049s step_avg:14.33ms
step:1121/3250 train_time:16.180s step_avg:14.43ms
step:1122/3250 train_time:16.311s step_avg:14.54ms
step:1123/3250 train_time:16.443s step_avg:14.64ms
step:1124/3250 train_time:16.574s step_avg:14.75ms
step:1125/3250 train_time:16.706s step_avg:14.85ms
step:1125/3250 val_loss:4.25209 train_time:16.706s step_avg:14.85ms
step:1126/3250 train_time:16.838s step_avg:14.95ms
step:1127/3250 train_time:16.971s step_avg:15.06ms
step:1128/3250 train_time:17.102s step_avg:15.16ms
step:1129/3250 train_time:17.236s step_avg:15.27ms
step:1130/3250 train_time:17.367s step_avg:15.37ms
step:1131/3250 train_time:17.499s step_avg:15.47ms
step:1132/3250 train_time:17.632s step_avg:15.58ms
step:1133/3250 train_time:17.765s step_avg:15.68ms
step:1134/3250 train_time:17.896s step_avg:15.78ms
step:1135/3250 train_time:18.027s step_avg:15.88ms
step:1136/3250 train_time:18.160s step_avg:15.99ms
step:1137/3250 train_time:18.292s step_avg:16.09ms
step:1138/3250 train_time:18.425s step_avg:16.19ms
step:1139/3250 train_time:18.556s step_avg:16.29ms
step:1140/3250 train_time:18.688s step_avg:16.39ms
step:1141/3250 train_time:18.819s step_avg:16.49ms
step:1142/3250 train_time:18.951s step_avg:16.59ms
step:1143/3250 train_time:19.082s step_avg:16.69ms
step:1144/3250 train_time:19.213s step_avg:16.79ms
step:1145/3250 train_time:19.346s step_avg:16.90ms
step:1146/3250 train_time:19.479s step_avg:17.00ms
step:1147/3250 train_time:19.611s step_avg:17.10ms
step:1148/3250 train_time:19.742s step_avg:17.20ms
step:1149/3250 train_time:19.875s step_avg:17.30ms
step:1150/3250 train_time:20.006s step_avg:17.40ms
step:1151/3250 train_time:20.139s step_avg:17.50ms
